latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
0.02500,-78.77500,Quito,0,0.00000,35.00000,0.00000,54.00000,0.00000,0.00000,0.00000,0.00000,-6.60300,0.18400,-9999.00000,-9999.00000,-6.70000,0.09300,-6.65300,0.14200,-7.14800,0.41300,-6.75000,0.09900,-6.54600,0.23600,-6.60100,0.10800,-9999.00000,-9999.00000,-7.64400,0.15100,-7.78600,0.17100,-7.71000,0.18100,-7.59300,0.20100,-7.69900,0.24900,-7.63500,0.21300,-7.84300,0.28400,-7.72200,0.18700,-7.65100,0.23700,-7.59500,0.21300,-6.54200,0.23100,-6.41800,0.23700,-6.36600,0.25300,-6.58600,0.25400,-6.50300,0.22600,-6.50100,0.25700,-6.46000,0.20200,-6.42800,0.24400,-6.55500,0.23700,-6.44700,0.33200,-6.65600,0.28500,-6.52200,0.33400,-6.38500,0.41600,-6.42800,0.33800,0,-9999,-9999,-9999,30772676,62.04000,11.55000
0.02500,-78.72500,Quito,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-6.64500,0.18800,-9999.00000,-9999.00000,-6.84000,0.08300,-6.71700,0.13600,-7.30000,0.54800,-6.84200,0.11300,-6.63700,0.25100,-6.65100,0.08100,-9999.00000,-9999.00000,-7.67000,0.17200,-7.82200,0.16000,-7.75100,0.19000,-7.63100,0.22600,-7.75000,0.23600,-7.64900,0.18600,-7.89000,0.28200,-7.75600,0.21300,-7.67000,0.22400,-7.63400,0.20400,-6.55600,0.21600,-6.44500,0.21900,-6.37100,0.23300,-6.63200,0.25100,-6.50600,0.23700,-6.49700,0.23800,-6.49600,0.19500,-6.42700,0.26700,-6.55600,0.25200,-6.45600,0.33500,-6.64900,0.27300,-6.54000,0.31300,-6.37100,0.44800,-6.39600,0.40700,0,-9999,-9999,-9999,30772676,56.76000,12.73000
0.02500,-78.67500,Quito,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,134.00000,-6.74600,0.19400,-9999.00000,-9999.00000,-7.10400,0.11400,-6.85000,0.12000,-7.49800,0.58400,-7.04300,0.12700,-6.81100,0.25700,-6.81000,0.09700,-9999.00000,-9999.00000,-7.80900,0.20400,-7.98100,0.16300,-7.93200,0.20800,-7.80100,0.23800,-7.92400,0.23200,-7.77900,0.18400,-8.02000,0.24000,-7.88900,0.24300,-7.80000,0.21500,-7.75200,0.18100,-6.59400,0.22200,-6.51700,0.22600,-6.43200,0.21400,-6.70800,0.24400,-6.55100,0.25600,-6.53400,0.21600,-6.54200,0.19500,-6.48600,0.27200,-6.62200,0.26500,-6.51900,0.32600,-6.70300,0.24100,-6.60300,0.29600,-6.45200,0.45000,-6.41400,0.44600,0,-9999,-9999,-9999,30772676,62.15000,12.51000
0.02500,-78.62500,Quito,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,73.00000,-6.82000,0.19900,-9999.00000,-9999.00000,-7.29100,0.13700,-6.94700,0.11200,-7.63500,0.60400,-7.18800,0.13700,-6.93300,0.26100,-6.92400,0.11100,-9999.00000,-9999.00000,-8.04500,0.21500,-8.24900,0.19400,-8.23900,0.22800,-8.10600,0.22800,-8.21600,0.23100,-8.04400,0.21200,-8.25500,0.19000,-8.13500,0.26400,-8.01400,0.21200,-7.95200,0.18000,-6.76200,0.27000,-6.70100,0.32000,-6.59000,0.23400,-6.85200,0.24700,-6.66600,0.28900,-6.67100,0.23500,-6.69000,0.25300,-6.64400,0.27700,-6.79300,0.27300,-6.70800,0.35200,-6.79600,0.24100,-6.79300,0.32400,-6.63200,0.46100,-6.54600,0.46800,0,-9999,-9999,-9999,30772676,68.31000,9.45000
0.02500,-78.57500,Quito,0,0.00020,16.00000,0.00020,25.00000,0.00020,32.00000,0.00020,33.00000,-7.07600,0.23100,-9999.00000,-9999.00000,-7.89100,0.22900,-7.28600,0.12000,-8.04400,0.58500,-7.68500,0.16400,-7.30800,0.27500,-7.31000,0.19600,-9999.00000,-9999.00000,-8.45100,0.20600,-8.73800,0.26400,-8.76800,0.23400,-8.63700,0.21000,-8.73200,0.23700,-8.50900,0.27500,-8.64200,0.18800,-8.57100,0.32600,-8.38700,0.24500,-8.31200,0.23300,-7.34800,0.32800,-7.14100,0.33900,-7.11600,0.38200,-7.52300,0.30400,-7.14900,0.35000,-7.15700,0.29500,-7.24700,0.37500,-7.22600,0.35500,-7.39300,0.35300,-7.32400,0.42500,-7.17400,0.30000,-7.31600,0.41700,-7.16800,0.55800,-7.18500,0.58800,0,-9999,-9999,-9999,30772676,52.24000,9.04000
0.02500,-78.52500,Quito,0,0.00950,1029.00000,0.00950,1592.00000,0.00950,2025.00000,0.01730,2214.00000,-7.25000,0.25700,-9999.00000,-9999.00000,-8.25400,0.28200,-7.50600,0.16800,-8.29000,0.56800,-8.01100,0.19400,-7.53900,0.28800,-7.55700,0.23600,-9999.00000,-9999.00000,-8.90300,0.22400,-9.27000,0.33700,-9.35900,0.25900,-9.22700,0.21700,-9.30500,0.24900,-9.01900,0.34000,-9.06900,0.27800,-9.05700,0.37800,-8.81800,0.29500,-8.74400,0.28100,-8.12000,0.46000,-7.76600,0.36600,-7.68900,0.46600,-8.49700,0.35900,-7.74900,0.42400,-7.78500,0.38800,-7.97500,0.49200,-7.86000,0.37300,-8.01300,0.41000,-8.07400,0.45600,-7.59000,0.39600,-7.92800,0.48800,-7.92100,0.58500,-7.94400,0.59100,0,-9999,-9999,-9999,30772676,36.70000,9.06000
0.02500,-78.47500,Quito,1,0.27260,3591.00000,0.27260,5555.00000,0.27330,7093.00000,0.30080,10248.00000,-7.46400,0.28900,-9999.00000,-9999.00000,-8.70000,0.34500,-7.77600,0.22600,-8.59000,0.54500,-8.41200,0.23000,-7.82300,0.30100,-7.86200,0.28300,-9999.00000,-9999.00000,-9.40400,0.25600,-9.83500,0.39200,-9.96500,0.29100,-9.83100,0.24600,-9.93000,0.29400,-9.58200,0.40800,-9.54700,0.35400,-9.59200,0.39500,-9.30900,0.34400,-9.24500,0.33000,-8.60300,0.53600,-8.17400,0.49100,-8.05400,0.52800,-9.10300,0.40900,-8.13300,0.50000,-8.21800,0.45300,-8.43000,0.58500,-8.27700,0.51700,-8.47300,0.52600,-8.49100,0.52700,-7.83400,0.44400,-8.29800,0.50600,-8.37600,0.56800,-8.35000,0.56100,0,-9999,-9999,-9999,30772676,15.70000,5.09000
0.02500,-78.42500,Quito,2,0.39940,6968.00000,0.39940,10779.00000,0.40210,13768.00000,0.42950,18415.00000,-7.86600,0.34400,-9999.00000,-9999.00000,-9.43900,0.44300,-8.29000,0.34300,-9.13200,0.53800,-9.12300,0.32300,-8.33900,0.32800,-8.40800,0.32300,-9999.00000,-9999.00000,-9.97700,0.29900,-10.45300,0.41600,-10.62700,0.33100,-10.48700,0.30300,-10.61200,0.33700,-10.19700,0.47300,-10.06400,0.39900,-10.20600,0.41200,-9.87600,0.42000,-9.82800,0.37600,-8.88300,0.55900,-8.40500,0.55700,-8.31700,0.58300,-9.44400,0.44900,-8.35900,0.57800,-8.49400,0.49400,-8.74500,0.68600,-8.57100,0.64200,-8.74000,0.59600,-8.82500,0.61300,-8.06500,0.53000,-8.65400,0.54800,-8.67000,0.61100,-8.63600,0.62700,0,-9999,-9999,-9999,30772676,6.08000,3.03000
0.02500,-78.37500,Quito,1,0.23130,1346.00000,0.23130,2082.00000,0.23300,2642.00000,0.25480,3630.00000,-8.08500,0.36100,-9999.00000,-9999.00000,-9.78800,0.47000,-8.56700,0.38700,-9.40700,0.53500,-9.47300,0.36300,-8.61400,0.33700,-8.69500,0.33700,-9999.00000,-9999.00000,-10.66400,0.36900,-11.18300,0.45700,-11.40100,0.40400,-11.19700,0.37600,-11.37200,0.37400,-10.90500,0.53000,-10.64300,0.42500,-10.90200,0.46700,-10.56200,0.48600,-10.51500,0.39400,-9.29400,0.66100,-8.78800,0.66100,-8.73500,0.67900,-9.96300,0.46500,-8.75900,0.69500,-8.92500,0.53500,-9.17600,0.76200,-8.96900,0.70900,-9.17500,0.66500,-9.31700,0.69100,-8.48100,0.63100,-9.04700,0.54200,-9.07300,0.70800,-9.22300,0.73600,0,-9999,-9999,-9999,30772676,7.07000,3.12000
0.02500,-78.32500,Quito,1,0.19160,895.00000,0.19160,1384.00000,0.19170,1756.00000,0.20460,2261.00000,-8.50800,0.38400,-9999.00000,-9999.00000,-10.40300,0.50200,-9.09400,0.45200,-9.91900,0.53500,-10.10800,0.43500,-9.13500,0.35800,-9.22500,0.35700,-9999.00000,-9999.00000,-11.24400,0.40700,-11.77500,0.45200,-12.02000,0.44800,-11.73400,0.43800,-12.00600,0.39500,-11.51300,0.53300,-11.12400,0.43600,-11.49600,0.51800,-11.12900,0.52700,-11.11800,0.42200,-9.78400,0.83000,-9.14700,0.65400,-9.11800,0.62200,-10.46700,0.41500,-9.20000,0.60400,-9.32200,0.47600,-9.61800,0.82300,-9.40200,0.63600,-9.59100,0.72400,-9.84300,0.73900,-8.91400,0.60800,-9.47500,0.60800,-9.52100,0.67700,-9.71200,0.72000,0,-9999,-9999,-9999,30772676,7.13000,3.02000
