latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
22.57500,70.57500,Rajkot,1,0.00000,0.00000,0.00000,223.00000,0.00140,1326.00000,0.00730,3641.00000,-11.17600,0.69000,-10.52400,0.88900,-10.68600,0.52200,-10.74800,0.48600,-10.29100,0.63900,-10.11000,1.08200,-11.46500,0.59900,-10.93600,0.56000,-12.82500,0.37200,-12.65600,0.67500,-12.20200,0.66500,-12.69400,0.52000,-11.78800,0.63600,-11.96800,0.59400,-11.99700,0.90100,-11.73300,0.78400,-11.49900,0.96300,-11.64100,0.86600,-12.07400,0.76700,-9.90900,1.11400,-10.05600,0.91900,-10.37500,0.62000,-9.75900,0.87600,-9.61500,0.86200,-11.41500,0.48300,-9.14900,0.72800,-9.94400,0.84600,-10.02900,0.99600,-10.27900,0.87200,-10.01800,0.89400,-9.99400,1.00500,-10.42200,1.17600,-9.23200,0.77000,0,-9999,-9999,-9999,28470958,4.72000,1.28000
22.57500,70.62500,Rajkot,0,0.00000,0.00000,0.00000,54.00000,0.00070,1184.00000,0.00190,1415.00000,-11.01300,0.72400,-10.26400,0.86400,-10.57000,0.46400,-10.71800,0.40900,-10.11700,0.63000,-9.83400,1.17100,-11.26800,0.60900,-10.81400,0.55200,-12.79400,0.36800,-12.62800,0.67500,-12.19000,0.66300,-12.71000,0.51500,-11.74900,0.64700,-11.98300,0.60200,-12.05100,0.92900,-11.75700,0.75900,-11.52100,0.96500,-11.73000,0.85000,-12.07600,0.75800,-9.90300,1.10500,-10.10900,0.93600,-10.39100,0.60800,-9.65500,0.88000,-9.58500,0.86500,-11.40000,0.50400,-9.09100,0.71100,-9.85700,0.83900,-10.04700,1.01100,-10.27500,0.87400,-9.99900,0.87800,-9.87600,1.05000,-10.36200,1.21200,-9.16600,0.73000,0,-9999,-9999,-9999,28470958,5.55000,1.41000
22.57500,70.67500,Rajkot,0,0.00000,0.00000,0.00000,261.00000,0.00020,886.00000,0.00240,2431.00000,-10.97000,0.72200,-10.18500,0.84700,-10.54600,0.44000,-10.73500,0.43100,-10.09500,0.63200,-9.74000,1.20700,-11.22300,0.62700,-10.81100,0.53800,-12.70900,0.35300,-12.57200,0.63600,-12.12400,0.66600,-12.69300,0.49200,-11.66500,0.64200,-11.93800,0.61000,-12.02300,0.93100,-11.75200,0.73800,-11.51900,0.94100,-11.76800,0.84200,-12.02900,0.76000,-9.87700,1.10500,-10.14900,0.95700,-10.39100,0.59200,-9.51000,0.89400,-9.58000,0.86500,-11.36600,0.52500,-9.04100,0.69500,-9.76700,0.84100,-10.06200,1.01100,-10.24800,0.89900,-9.96800,0.85800,-9.80200,1.04900,-10.21300,1.26500,-9.07000,0.65200,0,-9999,-9999,-9999,28470958,4.97000,1.35000
22.57500,70.72500,Rajkot,0,0.00000,0.00000,0.00010,35.00000,0.00040,743.00000,0.00200,1436.00000,-10.90300,0.72000,-10.07200,0.82100,-10.52000,0.39900,-10.78200,0.44700,-10.06900,0.63500,-9.59400,1.26900,-11.16000,0.65600,-10.81800,0.51100,-12.59200,0.35900,-12.49400,0.57500,-12.00500,0.67500,-12.64300,0.47600,-11.55300,0.63700,-11.84200,0.61100,-11.92100,0.90800,-11.70100,0.71500,-11.49600,0.89400,-11.75300,0.82500,-11.95600,0.75400,-9.82500,1.09300,-10.12000,0.97600,-10.36000,0.57500,-9.38700,0.90700,-9.53500,0.86200,-11.30400,0.54300,-8.99700,0.67000,-9.66700,0.84900,-10.04200,0.99900,-10.16800,0.94000,-9.93300,0.83700,-9.73700,1.02800,-10.02100,1.31100,-8.99900,0.60700,0,-9999,-9999,-9999,28470958,5.28000,1.42000
22.57500,70.77500,Rajkot,0,0.00020,10025.00000,0.00020,753.00000,0.00050,1585.00000,0.00090,1978.00000,-10.88700,0.69200,-10.06000,0.78400,-10.55300,0.38300,-10.86200,0.42900,-10.15700,0.68100,-9.50200,1.32100,-11.16300,0.68300,-10.91400,0.49100,-12.46700,0.35000,-12.41400,0.52100,-11.89100,0.66700,-12.57500,0.45200,-11.44000,0.61200,-11.73700,0.59700,-11.79100,0.85100,-11.64800,0.68500,-11.43900,0.85100,-11.71300,0.79500,-11.86100,0.73400,-9.72600,1.03100,-10.05500,0.98900,-10.22500,0.56300,-9.32000,0.90200,-9.45800,0.87100,-11.11600,0.55000,-8.96200,0.62200,-9.54500,0.85900,-9.97500,0.98700,-10.03500,0.96400,-9.86900,0.80100,-9.67600,1.00300,-9.86700,1.30000,-8.94200,0.59700,0,-9999,-9999,-9999,28470958,5.16000,1.43000
22.57500,70.82500,Rajkot,0,0.00000,0.00000,0.00000,84.00000,0.00030,931.00000,0.00140,2086.00000,-10.87300,0.67400,-10.04800,0.75800,-10.56800,0.37000,-10.90200,0.41500,-10.20300,0.70000,-9.44400,1.35300,-11.15600,0.69800,-10.96500,0.47200,-12.36900,0.31900,-12.37500,0.47900,-11.80100,0.62300,-12.50700,0.42900,-11.37300,0.55700,-11.65300,0.58600,-11.68100,0.78700,-11.60200,0.63800,-11.37500,0.77900,-11.66000,0.76200,-11.78900,0.72300,-9.52600,0.88300,-9.89300,1.00700,-9.95200,0.52500,-9.21800,0.83300,-9.35700,0.84000,-10.79500,0.56600,-8.91900,0.55600,-9.38500,0.85000,-9.81900,0.94500,-9.89600,0.92800,-9.72000,0.71500,-9.58200,0.93400,-9.63400,1.17400,-8.87200,0.57000,0,-9999,-9999,-9999,28470958,5.39000,1.47000
22.57500,70.87500,Rajkot,0,0.00000,0.00000,0.00000,1160.00000,0.00010,1169.00000,0.00060,1875.00000,-10.95900,0.63200,-10.16000,0.70200,-10.71700,0.35600,-11.07300,0.40600,-10.46600,0.77400,-9.42700,1.39900,-11.19800,0.67000,-11.11500,0.45200,-12.34700,0.29600,-12.36900,0.41900,-11.75900,0.57300,-12.48500,0.40000,-11.37700,0.49900,-11.62500,0.55100,-11.64900,0.73400,-11.60900,0.60000,-11.36600,0.71400,-11.63300,0.73700,-11.75900,0.68800,-9.35700,0.73100,-9.67900,0.93500,-9.73600,0.43700,-9.07400,0.68600,-9.20500,0.74500,-10.15700,0.64300,-8.90000,0.50700,-9.23000,0.78900,-9.67800,0.84800,-9.74100,0.82200,-9.43800,0.57700,-9.49600,0.83900,-9.35200,1.01400,-8.77300,0.51300,0,-9999,-9999,-9999,28470958,4.49000,1.33000
22.57500,70.92500,Rajkot,1,0.00000,0.00000,0.00170,4024.00000,0.00370,6559.00000,0.00720,9276.00000,-10.95700,0.62600,-10.16200,0.68600,-10.72400,0.35000,-11.07700,0.40200,-10.48800,0.77000,-9.41500,1.40500,-11.18700,0.66800,-11.13100,0.43900,-12.41700,0.26100,-12.45200,0.35600,-11.79200,0.52400,-12.50800,0.37200,-11.47400,0.44800,-11.67300,0.52300,-11.72500,0.69500,-11.67600,0.56100,-11.40700,0.64900,-11.66100,0.72500,-11.82000,0.64300,-9.31500,0.68100,-9.58300,0.88700,-9.67100,0.40400,-9.03000,0.62200,-9.15000,0.68200,-9.93200,0.63600,-8.92100,0.49600,-9.17800,0.75200,-9.62500,0.79700,-9.68800,0.77100,-9.32400,0.54200,-9.47100,0.78800,-9.22900,0.99600,-8.75100,0.50900,0,-9999,-9999,-9999,28470958,4.14000,1.28000
22.57500,70.97500,Rajkot,1,0.00000,0.00000,0.00230,5124.00000,0.00690,13797.00000,0.01320,21803.00000,-11.14800,0.58200,-10.40000,0.66700,-10.98900,0.35500,-11.30200,0.36700,-10.83400,0.79200,-9.52000,1.40100,-11.24800,0.60900,-11.42400,0.56300,-12.56400,0.25600,-12.62300,0.32000,-11.90600,0.50700,-12.63100,0.37300,-11.62000,0.43100,-11.81900,0.52000,-11.87300,0.71000,-11.79600,0.53700,-11.54400,0.61100,-11.77000,0.74000,-11.95800,0.63500,-9.37900,0.66600,-9.59300,0.87700,-9.71000,0.40300,-9.07600,0.59600,-9.20400,0.67100,-9.90600,0.62800,-9.00500,0.50100,-9.21000,0.72800,-9.66400,0.75600,-9.73200,0.74200,-9.33900,0.52400,-9.52800,0.80300,-9.23900,0.98600,-8.85600,0.51200,0,-9999,-9999,-9999,28470958,4.08000,1.22000
22.57500,71.02500,Rajkot,0,0.00000,0.00000,0.00050,631.00000,0.00200,1199.00000,0.00480,2246.00000,-11.20200,0.57000,-10.45900,0.66400,-11.05300,0.36400,-11.37200,0.36200,-10.90500,0.78700,-9.59900,1.38400,-11.26300,0.61800,-11.51500,0.57800,-12.79300,0.24700,-12.86600,0.30600,-12.09500,0.48900,-12.83400,0.37800,-11.82700,0.46200,-11.99600,0.53000,-12.08600,0.72600,-11.96500,0.53800,-11.74300,0.59200,-11.92700,0.76400,-12.18600,0.63600,-9.58800,0.70800,-9.80600,0.95200,-9.97000,0.48100,-9.32900,0.61500,-9.44300,0.75500,-10.05000,0.67800,-9.22700,0.53200,-9.38100,0.79100,-9.87100,0.76100,-9.95200,0.78100,-9.46700,0.51300,-9.73900,0.86600,-9.36200,0.99300,-9.06000,0.57500,0,-9999,-9999,-9999,28470958,3.99000,1.17000
