latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
23.62500,85.07500,Ranchi,0,0.00080,37221.00000,0.00100,20614.00000,0.00100,20737.00000,0.00100,26322.00000,-8.39900,0.37900,-8.31300,0.25500,-8.43700,0.36000,-8.75600,0.43400,-8.43500,0.20400,-8.24900,0.30800,-8.39800,0.16800,-8.39300,0.28300,-9.95400,0.18200,-9.74500,0.29100,-10.10800,0.31700,-9.86900,0.28700,-9.89700,0.33900,-9.88500,0.29600,-10.05500,0.37800,-9.96500,0.23100,-9.82900,0.25000,-9.94600,0.36600,-10.08400,0.30300,-7.87100,0.27700,-8.06600,0.31300,-8.13600,0.33400,-8.49300,0.51000,-8.10000,0.54100,-8.05000,0.50300,-7.96300,0.27000,-7.94600,0.24400,-8.21300,0.41000,-7.84000,0.27400,-7.95800,0.33600,-7.92000,0.49000,-7.90200,0.38400,-7.86300,0.28000,0,-9999.00000,-9999.00000,-9999.00000,28254278,12.71000,5.08000
23.62500,85.12500,Ranchi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.39200,0.36800,-8.32100,0.24000,-8.41300,0.36200,-8.73500,0.40900,-8.45500,0.21800,-8.23400,0.31500,-8.41500,0.20300,-8.37700,0.27000,-9.98700,0.19200,-9.78100,0.27700,-10.15900,0.32600,-9.91800,0.29100,-9.95300,0.32900,-9.94900,0.29400,-10.05500,0.35800,-9.98900,0.21700,-9.87500,0.26000,-9.97700,0.32600,-10.08000,0.25600,-7.90900,0.24500,-8.08300,0.32000,-8.14200,0.33900,-8.48500,0.49000,-8.10800,0.50400,-8.07400,0.51400,-7.99900,0.25300,-7.96600,0.22900,-8.27100,0.40400,-7.86700,0.23500,-7.99500,0.35200,-7.87400,0.46200,-7.89600,0.41800,-7.85100,0.29300,0,-9999.00000,-9999.00000,-9999.00000,28254278,8.25000,3.75000
23.62500,85.17500,Ranchi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.39100,0.36500,-8.32600,0.23400,-8.40600,0.36200,-8.72900,0.39900,-8.46700,0.22400,-8.23200,0.31700,-8.42500,0.21700,-8.37400,0.26500,-9.99600,0.22100,-9.81900,0.24300,-10.17900,0.34600,-9.95600,0.32200,-10.00300,0.32000,-9.99800,0.29800,-10.05400,0.35100,-9.97600,0.20900,-9.90300,0.26000,-9.98000,0.28500,-10.06000,0.22000,-7.93700,0.21600,-8.09600,0.29400,-8.13700,0.33800,-8.45100,0.44900,-8.09300,0.44600,-8.10600,0.51800,-8.02100,0.24400,-7.99300,0.22300,-8.28100,0.38700,-7.88000,0.20600,-8.00400,0.32300,-7.83300,0.42200,-7.86100,0.44800,-7.81100,0.30600,0,-9999.00000,-9999.00000,-9999.00000,28254278,11.84000,4.56000
23.62500,85.22500,Ranchi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.38600,0.34500,-8.34500,0.22300,-8.36800,0.37700,-8.69800,0.35100,-8.49400,0.27300,-8.22600,0.30300,-8.45500,0.28800,-8.35200,0.25600,-10.02300,0.26000,-9.90100,0.20600,-10.21000,0.35600,-10.00200,0.33300,-10.07700,0.32500,-10.05700,0.31100,-10.08000,0.35200,-9.97700,0.21300,-9.96000,0.27600,-10.01500,0.29000,-10.06800,0.21400,-7.96000,0.20700,-8.11900,0.27500,-8.13400,0.35000,-8.41200,0.42500,-8.04500,0.40100,-8.12400,0.51900,-8.03100,0.24500,-8.00700,0.22900,-8.28600,0.38000,-7.87500,0.19800,-8.00500,0.30100,-7.83500,0.40400,-7.82500,0.48200,-7.74200,0.30800,0,-9999.00000,-9999.00000,-9999.00000,28254278,14.13000,5.32000
23.62500,85.27500,Ranchi,1,0.02420,10935.00000,0.02910,11326.00000,0.03070,12858.00000,0.03310,9758.00000,-8.38900,0.34100,-8.35300,0.22200,-8.36800,0.38100,-8.69800,0.34000,-8.50100,0.27500,-8.24000,0.29600,-8.46600,0.29900,-8.35400,0.25500,-10.03200,0.27500,-9.98300,0.20600,-10.22500,0.35900,-10.05200,0.36500,-10.14600,0.33600,-10.08900,0.31200,-10.11800,0.34100,-9.98200,0.21100,-10.01000,0.28800,-10.06900,0.31400,-10.08400,0.23200,-7.98900,0.22300,-8.15700,0.25000,-8.13900,0.35200,-8.38500,0.41900,-8.01500,0.38200,-8.13000,0.52200,-8.03200,0.24700,-8.01400,0.23400,-8.28500,0.37600,-7.86100,0.20400,-7.99400,0.28900,-7.84600,0.40500,-7.81100,0.51000,-7.70100,0.31800,3,-9999.00000,-9999.00000,-9999.00000,28254278,8.14000,4.29000
23.62500,85.32500,Ranchi,1,0.01950,9058.00000,0.03060,11692.00000,0.03330,13440.00000,0.04010,11032.00000,-8.39100,0.31900,-8.37200,0.21500,-8.35500,0.40200,-8.68700,0.29200,-8.51100,0.27200,-8.27900,0.27600,-8.48900,0.34300,-8.35000,0.25200,-10.05800,0.28300,-10.05900,0.23400,-10.29900,0.35900,-10.13400,0.37600,-10.22000,0.34200,-10.15000,0.28000,-10.19100,0.31300,-10.03400,0.21500,-10.06400,0.29200,-10.14700,0.35400,-10.15200,0.27500,-8.01900,0.24200,-8.18500,0.23700,-8.14900,0.34900,-8.36300,0.41300,-7.99600,0.36800,-8.12700,0.52200,-8.03300,0.25000,-8.02000,0.23500,-8.28600,0.36900,-7.84200,0.21100,-7.98100,0.27700,-7.86000,0.43200,-7.81600,0.52700,-7.70000,0.32500,4,-9999.00000,-9999.00000,-9999.00000,28254278,8.34000,3.58000
23.62500,85.37500,Ranchi,1,0.01400,12894.00000,0.04120,23966.00000,0.04670,27795.00000,0.09780,25616.00000,-8.40000,0.31500,-8.38400,0.21700,-8.35500,0.41000,-8.68500,0.29100,-8.51100,0.25700,-8.31700,0.30100,-8.49000,0.33700,-8.35300,0.25000,-10.09100,0.26800,-10.13100,0.27400,-10.36200,0.34100,-10.21500,0.38600,-10.29300,0.35200,-10.20800,0.24300,-10.26400,0.29400,-10.11000,0.23300,-10.11400,0.29400,-10.23200,0.39100,-10.23300,0.31500,-8.05000,0.24100,-8.22000,0.24900,-8.17800,0.35100,-8.36400,0.41900,-7.98600,0.36200,-8.12200,0.51700,-8.04700,0.25900,-8.03400,0.23100,-8.31200,0.36100,-7.83500,0.23400,-7.97400,0.25500,-7.88400,0.47100,-7.86900,0.53500,-7.73500,0.33200,0,-9999.00000,-9999.00000,-9999.00000,28254278,11.37000,4.05000
23.62500,85.42500,Ranchi,3,0.02330,7991.00000,0.08460,33243.00000,0.10170,42632.00000,0.26690,100067.00000,-8.40900,0.30900,-8.39900,0.21800,-8.35300,0.42200,-8.68100,0.28900,-8.50800,0.23600,-8.36200,0.33600,-8.48800,0.33000,-8.35500,0.24800,-10.13100,0.25300,-10.20000,0.29500,-10.42500,0.33100,-10.30100,0.37900,-10.36000,0.35100,-10.27500,0.22800,-10.35000,0.29200,-10.18800,0.27900,-10.15200,0.29700,-10.32900,0.42600,-10.32500,0.33600,-8.09200,0.22500,-8.27600,0.27800,-8.25000,0.36000,-8.40700,0.44000,-8.01200,0.37900,-8.15100,0.52000,-8.09200,0.27600,-8.07900,0.23300,-8.37600,0.34500,-7.86300,0.26800,-7.99400,0.24200,-7.91200,0.50000,-7.96200,0.53700,-7.79600,0.35700,0,-9999.00000,-9999.00000,-9999.00000,28254278,9.95000,3.44000
23.62500,85.47500,Ranchi,3,0.05480,9476.00000,0.13620,33407.00000,0.15900,42246.00000,0.25790,51025.00000,-8.43000,0.31200,-8.41500,0.22500,-8.34600,0.42700,-8.67800,0.30200,-8.50900,0.22600,-8.42100,0.43300,-8.47900,0.29900,-8.36300,0.25000,-10.19000,0.23800,-10.25500,0.28600,-10.49900,0.32800,-10.37900,0.35000,-10.40200,0.32900,-10.33500,0.21600,-10.42700,0.30400,-10.26300,0.30700,-10.18200,0.28400,-10.41100,0.43500,-10.42700,0.34300,-8.17000,0.23300,-8.36100,0.30300,-8.37500,0.38700,-8.52200,0.52200,-8.09800,0.41600,-8.25400,0.56700,-8.19000,0.30300,-8.16300,0.24600,-8.47700,0.32600,-7.94800,0.32100,-8.05000,0.23500,-7.93900,0.52200,-8.04800,0.53800,-7.87400,0.37600,0,-9999.00000,-9999.00000,-9999.00000,28254278,6.80000,2.71000
23.62500,85.52500,Ranchi,3,0.03620,91623.00000,0.10610,110171.00000,0.12130,120074.00000,0.15300,130523.00000,-8.44000,0.31400,-8.42500,0.22900,-8.34300,0.43100,-8.67900,0.30700,-8.51000,0.22200,-8.44900,0.47300,-8.47600,0.28600,-8.36800,0.25100,-10.26600,0.24200,-10.30400,0.27600,-10.57700,0.32000,-10.44300,0.32300,-10.44300,0.29300,-10.39900,0.23500,-10.48600,0.30800,-10.33100,0.32600,-10.21200,0.26400,-10.47500,0.41300,-10.51500,0.34200,-8.29200,0.29000,-8.47100,0.30700,-8.52200,0.40800,-8.67000,0.59000,-8.26400,0.49400,-8.41600,0.60300,-8.31900,0.31500,-8.29200,0.26800,-8.59200,0.34200,-8.08100,0.36600,-8.13300,0.23400,-7.99400,0.56100,-8.13200,0.54200,-7.96100,0.39100,0,-9999.00000,-9999.00000,-9999.00000,28254278,7.52000,2.83000
