latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-7.82500,-35.17500,Recife,0,0.00020,150.00000,0.00020,198.00000,0.00030,242.00000,0.00060,387.00000,-10.71700,0.29100,-9.04000,0.46400,-10.02400,0.23400,-9.73800,0.52600,-9.22700,0.64400,-10.23800,0.33900,-10.06400,0.41100,-9.01100,0.23100,-9999.00000,-9999.00000,-11.11500,0.32600,-11.32700,0.46700,-10.69500,0.17100,-11.32200,0.62100,-10.85700,0.59900,-12.21200,0.26900,-12.24900,0.45000,-11.28900,0.47400,-11.29100,0.39300,-11.40100,0.64200,-9.99400,0.66400,-10.15200,0.62000,-9.95800,0.73200,-10.24200,0.59500,-9.76900,0.55100,-9.95500,0.53500,-10.45300,0.51900,-9.84000,0.48900,-10.25500,0.73900,-9.51000,0.46300,-10.89400,0.54100,-9.52000,0.66500,-9.60400,0.63200,-10.03000,0.75400,0,-9999,-9999,-9999,30493706,7.49000,4.03000
-7.82500,-35.12500,Recife,0,0.00000,634.00000,0.00000,939.00000,0.00000,1202.00000,0.00020,1421.00000,-10.60100,0.31000,-8.99400,0.43600,-9.97900,0.22200,-9.68400,0.50900,-9.18200,0.61100,-10.13700,0.35100,-9.98100,0.40000,-8.97000,0.22300,-9999.00000,-9999.00000,-10.63500,0.24800,-10.82800,0.37400,-10.28300,0.19200,-10.81900,0.52700,-10.39600,0.53600,-11.63500,0.25300,-11.58400,0.40400,-10.78800,0.43200,-10.77000,0.37200,-10.88500,0.53600,-9.57900,0.56700,-9.68700,0.51600,-9.47300,0.58100,-9.70800,0.48000,-9.35000,0.40300,-9.46600,0.44900,-9.93200,0.46400,-9.33300,0.46100,-9.72700,0.56700,-9.09500,0.39500,-10.10600,0.45000,-9.25400,0.61000,-9.25300,0.49600,-9.51300,0.56500,0,-9999,-9999,-9999,30493706,35.61000,8.82000
-7.82500,-35.07500,Recife,1,0.00000,158.00000,0.00000,209.00000,0.00000,234.00000,0.00010,528.00000,-10.30100,0.38600,-9.00200,0.36700,-9.89000,0.23200,-9.57400,0.45800,-9.12200,0.52400,-9.91900,0.39100,-9.80900,0.38600,-8.91400,0.21800,-9999.00000,-9999.00000,-10.15500,0.21000,-10.34700,0.32200,-9.86800,0.22000,-10.31400,0.45100,-9.97800,0.44700,-11.06800,0.24800,-10.94100,0.35100,-10.31100,0.35600,-10.31100,0.33600,-10.36700,0.46400,-9.28500,0.54200,-9.41100,0.46900,-9.22800,0.53700,-9.35900,0.47300,-9.07700,0.36600,-9.15400,0.38400,-9.59300,0.41800,-8.98400,0.42800,-9.37500,0.51700,-8.84200,0.35800,-9.68100,0.48100,-9.03200,0.54700,-9.00000,0.45000,-9.22900,0.48900,0,-9999,-9999,-9999,30493706,24.25000,7.21000
-7.82500,-35.02500,Recife,1,0.00050,284.00000,0.00050,474.00000,0.00060,456.00000,0.00090,320.00000,-10.21700,0.44100,-9.13300,0.33100,-9.96400,0.24500,-9.62900,0.42000,-9.19800,0.47600,-9.91700,0.40300,-9.81600,0.39700,-9.01500,0.26300,-9999.00000,-9999.00000,-9.75300,0.19700,-9.96200,0.27000,-9.54800,0.23400,-9.89700,0.40700,-9.64400,0.38700,-10.58300,0.25600,-10.43400,0.30500,-9.92800,0.27800,-9.96900,0.30300,-9.92600,0.40100,-9.11700,0.50900,-9.26600,0.43400,-9.04800,0.50000,-9.14400,0.44400,-8.91800,0.38200,-8.97700,0.40300,-9.38000,0.35500,-8.78400,0.40200,-9.15400,0.54100,-8.71500,0.36400,-9.47200,0.51700,-8.86500,0.49000,-8.84300,0.47800,-9.05500,0.47500,0,-9999,-9999,-9999,30493706,14.24000,5.65000
-7.82500,-34.97500,Recife,0,0.00040,335.00000,0.00040,560.00000,0.00050,532.00000,0.00070,558.00000,-10.14700,0.48000,-9.23000,0.30100,-10.01800,0.25600,-9.66800,0.38800,-9.25200,0.43900,-9.91100,0.41300,-9.81500,0.40700,-9.08800,0.30100,-9999.00000,-9999.00000,-9.62100,0.18800,-9.83700,0.21900,-9.47700,0.24900,-9.75400,0.35400,-9.55500,0.33500,-10.39700,0.24400,-10.22400,0.27700,-9.80700,0.23900,-9.91500,0.27500,-9.74000,0.39000,-8.98600,0.45300,-9.15100,0.40500,-8.93000,0.47300,-9.00500,0.34900,-8.79100,0.34000,-8.87100,0.40800,-9.23100,0.28300,-8.67900,0.37300,-8.95800,0.49100,-8.62900,0.35800,-9.29900,0.46300,-8.73600,0.43300,-8.66800,0.44600,-8.90400,0.43500,0,-9999,-9999,-9999,30493706,26.50000,7.59000
-7.82500,-34.92500,Recife,2,0.04620,19527.00000,0.04620,32635.00000,0.04760,42407.00000,0.06280,57667.00000,-10.29300,0.53700,-9.92600,0.25200,-10.54200,0.24500,-10.13100,0.36300,-9.70800,0.42200,-10.26200,0.40400,-10.12600,0.39800,-9.57000,0.38400,-9999.00000,-9999.00000,-10.03800,0.22600,-10.24600,0.23200,-9.93500,0.28300,-10.18100,0.32000,-9.98500,0.32200,-10.73500,0.24700,-10.58700,0.25900,-10.21300,0.26300,-10.36400,0.25600,-10.09600,0.37400,-9.08700,0.41600,-9.29300,0.37300,-9.04900,0.38900,-9.10300,0.28100,-8.88200,0.33300,-8.92400,0.34900,-9.34500,0.21800,-8.80300,0.37400,-9.01000,0.45700,-8.72100,0.35600,-9.29100,0.43100,-8.78300,0.42300,-8.70900,0.42200,-8.97400,0.40900,0,-9999,-9999,-9999,30493706,17.16000,5.92000
-7.82500,-34.87500,Recife,1,0.00700,2671.00000,0.00700,4503.00000,0.00770,5809.00000,0.01220,7990.00000,-10.40700,0.53700,-10.22000,0.25200,-10.72000,0.25100,-10.32900,0.36700,-9.92300,0.44500,-10.42300,0.39600,-10.28900,0.38600,-9.77500,0.39100,-9999.00000,-9999.00000,-11.23100,0.25500,-11.40700,0.25500,-11.06900,0.31200,-11.32900,0.36600,-11.08800,0.32600,-11.83300,0.29700,-11.74200,0.32700,-11.37600,0.33200,-11.52800,0.26900,-11.17900,0.36100,-9.94500,0.46800,-10.21400,0.43000,-9.83300,0.44900,-9.95300,0.35100,-9.71700,0.37200,-9.70100,0.38900,-10.07200,0.31000,-9.59100,0.40500,-9.79600,0.40700,-9.55300,0.39000,-9.98100,0.44900,-9.56100,0.48600,-9.48500,0.45800,-9.72600,0.42500,5,-9999,-9999,-9999,30493706,22.31000,7.64000
-7.82500,-34.82500,Recife,0,0.00310,739.00000,0.00310,1251.00000,0.00580,1681.00000,0.00810,1930.00000,-11.11400,0.57200,-11.69200,0.28500,-11.63200,0.29300,-11.40500,0.45700,-11.08600,0.59200,-11.32200,0.37000,-11.23900,0.33700,-10.87000,0.41900,-9999.00000,-9999.00000,-13.37900,0.34300,-13.38900,0.37400,-13.06600,0.38000,-13.38700,0.36300,-13.07800,0.38600,-13.83400,0.37400,-13.77000,0.41100,-13.36800,0.39800,-13.61900,0.28600,-13.15500,0.39300,-11.89000,0.44200,-12.09600,0.49600,-11.79200,0.51900,-11.83100,0.37600,-11.75000,0.45000,-11.56300,0.43500,-11.96100,0.44400,-11.60800,0.40500,-11.71500,0.38200,-11.72900,0.46200,-11.91600,0.41400,-11.77200,0.45200,-11.50500,0.58300,-11.63200,0.52000,99,-9999,-9999,-9999,30493706,6.69000,4.77000
-7.82500,-34.77500,Recife,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.11400,0.57200,-11.69200,0.28500,-11.63200,0.29300,-11.40500,0.45700,-11.08600,0.59200,-11.32200,0.37000,-11.23900,0.33700,-10.87000,0.41900,-9999.00000,-9999.00000,-15.73700,0.41800,-15.61000,0.50800,-15.26200,0.52500,-15.63800,0.45800,-15.26800,0.46300,-16.04000,0.53000,-15.97400,0.55600,-15.53200,0.53000,-15.92700,0.36500,-15.41800,0.47200,-13.87700,0.52300,-14.16000,0.56100,-13.92800,0.64400,-13.71600,0.47700,-13.86000,0.49900,-13.56600,0.50200,-13.92900,0.55100,-13.62200,0.54200,-13.64100,0.41800,-13.80000,0.55400,-13.82900,0.46000,-13.84400,0.50400,-13.54400,0.72500,-13.66700,0.62300,100,-9999,-9999,-9999,30493706,-9999.00000,-9999.00000
-7.82500,-34.72500,Recife,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-17.17700,0.44900,-16.97200,0.60400,-16.61900,0.64500,-16.98600,0.55600,-16.57800,0.51500,-17.36200,0.65400,-17.32000,0.67800,-16.84600,0.62200,-17.33100,0.43200,-16.82700,0.53300,-15.11400,0.59100,-15.58000,0.60300,-15.30700,0.73100,-14.88400,0.54000,-15.20600,0.48600,-14.81100,0.52600,-15.08900,0.64400,-14.84400,0.66100,-14.91200,0.43700,-15.07600,0.52600,-14.98000,0.48500,-15.03100,0.60200,-14.78600,0.70200,-14.93200,0.68000,100,-9999,-9999,-9999,30493706,-9999.00000,-9999.00000
