latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-12.72500,-38.72500,Salvador,0,0.00080,56.00000,0.00080,78.00000,0.00120,114.00000,0.00150,131.00000,-9.96300,0.26100,-10.97200,0.42200,-10.43100,0.50500,-9.75500,0.31200,-9.54800,0.31300,-10.01800,0.13800,-9.88300,0.27300,-9.66100,0.36900,-9999.00000,-9999.00000,-11.90900,0.21300,-11.82300,0.25200,-11.78500,0.20300,-12.17200,0.22500,-11.91200,0.24500,-12.05200,0.17500,-12.46100,0.30900,-12.01200,0.28200,-12.18400,0.30100,-11.94100,0.22100,-11.59900,0.46600,-11.58500,0.44500,-11.77900,0.51600,-11.82700,0.49500,-11.51400,0.41900,-11.63600,0.49400,-11.71300,0.54600,-11.43200,0.51900,-11.56000,0.49000,-11.54400,0.33900,-11.70400,0.41100,-11.54100,0.45100,-11.63700,0.45000,-11.46500,0.48200,95,-9999,-9999,-9999,30036364,7.31000,8.33000
-12.72500,-38.67500,Salvador,0,0.00030,0.00000,0.00030,0.00000,0.00050,0.00000,0.00070,0.00000,-10.17000,0.22500,-10.53000,0.30200,-10.54500,0.66300,-9.93800,0.20800,-9.61600,0.28400,-10.12700,0.13500,-10.00300,0.25100,-9.81600,0.41900,-9999.00000,-9999.00000,-12.46300,0.16100,-12.37100,0.27600,-12.31300,0.19800,-12.72800,0.26100,-12.40200,0.24800,-12.52700,0.19100,-13.00300,0.33800,-12.49700,0.27200,-12.73700,0.29100,-12.47700,0.22300,-12.01900,0.55100,-12.29500,0.49000,-12.39900,0.52700,-12.33500,0.49500,-11.97500,0.46300,-12.20700,0.49000,-12.31300,0.46300,-11.93200,0.50200,-12.12300,0.49000,-12.11500,0.37300,-12.22600,0.41100,-12.13300,0.47600,-12.23900,0.41200,-11.90800,0.51400,100,-9999,-9999,-9999,30036364,18.15000,7.57000
-12.72500,-38.62500,Salvador,1,0.01840,5475.00000,0.01840,10910.00000,0.02280,16240.00000,0.02720,26135.00000,-10.19000,0.22000,-10.56400,0.30700,-10.56200,0.68000,-9.95700,0.20600,-9.64300,0.28300,-10.14100,0.13500,-10.01700,0.25000,-9.84400,0.42300,-9999.00000,-9999.00000,-12.52500,0.14200,-12.47700,0.25800,-12.37900,0.20900,-12.82400,0.28700,-12.43400,0.25800,-12.54200,0.21500,-13.06800,0.36300,-12.51800,0.26400,-12.79400,0.32100,-12.53500,0.21000,-11.36000,0.64400,-11.84300,0.66700,-11.83900,0.54200,-11.80900,0.51300,-11.47700,0.57900,-11.68900,0.44100,-11.79100,0.45500,-11.30800,0.52500,-11.62900,0.48000,-11.63300,0.50500,-11.70000,0.48100,-11.65300,0.52800,-11.75200,0.45000,-11.22000,0.52200,52,-9999,-9999,-9999,30036364,14.86000,8.14000
-12.72500,-38.57500,Salvador,1,0.03830,2021.00000,0.03830,3484.00000,0.04710,4887.00000,0.05390,6704.00000,-10.22400,0.21200,-10.51200,0.30100,-10.56900,0.69800,-9.95800,0.19000,-9.61500,0.29100,-10.12000,0.13200,-9.98000,0.25400,-9.84200,0.47000,-9999.00000,-9999.00000,-12.15500,0.18200,-12.16400,0.24400,-12.05500,0.19600,-12.45600,0.30200,-12.06300,0.25500,-12.14800,0.22100,-12.69600,0.35700,-12.12900,0.27200,-12.41000,0.35400,-12.18700,0.19500,-10.14500,0.54000,-10.55400,0.58100,-10.46500,0.36800,-10.49900,0.44600,-10.24700,0.51200,-10.44100,0.36000,-10.59800,0.38700,-9.91700,0.47400,-10.25500,0.38700,-10.35800,0.48700,-10.39500,0.35700,-10.35100,0.43200,-10.36600,0.35100,-9.85700,0.41200,88,-9999,-9999,-9999,30036364,9.86000,8.03000
-12.72500,-38.52500,Salvador,0,0.00840,1630.00000,0.00840,2229.00000,0.01150,2512.00000,0.01320,2866.00000,-10.26700,0.20300,-10.44800,0.29600,-10.57600,0.71400,-9.95700,0.17300,-9.58100,0.29900,-10.09500,0.12800,-9.93800,0.25800,-9.83700,0.52600,-9999.00000,-9999.00000,-11.47700,0.21100,-11.54800,0.26400,-11.41100,0.20000,-11.74600,0.27400,-11.36300,0.21400,-11.47000,0.23900,-11.96800,0.35400,-11.43700,0.25900,-11.69400,0.36100,-11.49000,0.20200,-9.45300,0.48100,-9.81100,0.52000,-9.60600,0.34700,-9.69600,0.44200,-9.46700,0.46300,-9.61600,0.29200,-9.82100,0.35500,-9.15600,0.36400,-9.45100,0.32500,-9.60500,0.39400,-9.59600,0.30200,-9.54300,0.40000,-9.54000,0.30300,-9.09100,0.42900,43,-9999,-9999,-9999,30036364,20.36000,8.97000
-12.72500,-38.47500,Salvador,1,0.02000,3421.00000,0.02000,4670.00000,0.02590,5646.00000,0.05020,6229.00000,-10.31100,0.19700,-10.50800,0.30300,-10.56600,0.69800,-9.95500,0.17900,-9.54500,0.31200,-10.05500,0.12300,-9.87600,0.28700,-9.82400,0.64000,-9999.00000,-9999.00000,-10.75000,0.21300,-10.86000,0.29800,-10.69800,0.20900,-10.97900,0.22000,-10.60200,0.19400,-10.73100,0.22300,-11.16000,0.32000,-10.67400,0.27000,-10.92000,0.33900,-10.73100,0.23100,-9.13500,0.47400,-9.45100,0.46000,-9.19500,0.38200,-9.30900,0.41200,-9.09600,0.46400,-9.26400,0.26600,-9.40100,0.34000,-8.87600,0.31100,-9.06100,0.28700,-9.23100,0.32400,-9.20800,0.25900,-9.20200,0.39500,-9.04900,0.25700,-8.67100,0.38500,4,-9999,-9999,-9999,30036364,20.65000,8.01000
-12.72500,-38.42500,Salvador,1,0.00230,2874.00000,0.00230,4049.00000,0.00400,4773.00000,0.01080,5315.00000,-10.32500,0.19700,-10.54800,0.30600,-10.56700,0.69300,-9.96000,0.18200,-9.54800,0.31400,-10.05100,0.12300,-9.86600,0.29600,-9.82300,0.66500,-9999.00000,-9999.00000,-10.16400,0.19500,-10.25100,0.32100,-10.06900,0.22100,-10.34100,0.23400,-9.98200,0.18300,-10.10700,0.20000,-10.46500,0.25300,-10.04100,0.29900,-10.27300,0.29200,-10.06800,0.25000,-8.92900,0.44200,-9.20500,0.41400,-8.99400,0.36000,-9.02900,0.37500,-8.80000,0.43400,-9.00200,0.26300,-9.05100,0.30500,-8.62600,0.30300,-8.68000,0.31600,-8.82100,0.25800,-8.78100,0.26000,-8.86500,0.41000,-8.70700,0.30700,-8.27300,0.37100,0,-9999,-9999,-9999,30036364,25.79000,8.56000
-12.72500,-38.37500,Salvador,1,0.04540,538.00000,0.04540,931.00000,0.04890,1189.00000,0.05800,1529.00000,-10.37300,0.20100,-10.82000,0.32400,-10.61100,0.69400,-10.02000,0.18600,-9.65400,0.30800,-10.09800,0.14100,-9.89200,0.32100,-9.83800,0.67200,-9999.00000,-9999.00000,-9.93800,0.16100,-9.98800,0.32100,-9.82400,0.24300,-10.11700,0.24900,-9.76400,0.20800,-9.87900,0.20300,-10.17600,0.22600,-9.81100,0.30300,-10.02200,0.26000,-9.81000,0.24600,-8.85800,0.44600,-9.09300,0.44300,-8.86000,0.35000,-8.92200,0.36300,-8.63100,0.42700,-8.83000,0.22800,-8.89600,0.29200,-8.38100,0.35800,-8.51500,0.36100,-8.59100,0.26700,-8.57800,0.22800,-8.53800,0.31800,-8.46200,0.26200,-7.99300,0.38000,0,-9999,-9999,-9999,30036364,25.19000,8.64000
-12.72500,-38.32500,Salvador,2,0.16640,20861.00000,0.16640,46552.00000,0.17640,73649.00000,0.19820,133697.00000,-10.42900,0.20600,-11.00700,0.34000,-10.73800,0.72400,-10.11300,0.19400,-9.79700,0.30600,-10.18500,0.15500,-9.98500,0.32300,-9.91100,0.62600,-9999.00000,-9999.00000,-10.04400,0.16400,-10.04200,0.30300,-9.89700,0.24600,-10.23500,0.26200,-9.87500,0.24700,-9.98000,0.22900,-10.24600,0.23100,-9.90400,0.30100,-10.13200,0.25200,-9.89700,0.22700,-8.90000,0.45400,-9.15200,0.47300,-8.91200,0.33500,-8.96600,0.37200,-8.68400,0.44600,-8.87400,0.23000,-8.98100,0.31600,-8.40200,0.36100,-8.58200,0.38200,-8.65400,0.28300,-8.60700,0.23700,-8.59200,0.31600,-8.49500,0.27400,-8.02100,0.39400,0,-9999,-9999,-9999,30036364,8.90000,5.72000
-12.72500,-38.27500,Salvador,1,0.09090,1228.00000,0.09090,2740.00000,0.09910,4381.00000,0.11570,8127.00000,-10.49700,0.21200,-11.23400,0.35900,-10.89000,0.76100,-10.22600,0.20400,-9.97000,0.30300,-10.29200,0.17300,-10.09700,0.32600,-9.99900,0.56900,-9999.00000,-9999.00000,-10.46100,0.17500,-10.43000,0.27800,-10.31200,0.25500,-10.69800,0.27400,-10.31200,0.26000,-10.42800,0.25000,-10.66600,0.27700,-10.33600,0.30100,-10.57900,0.26400,-10.35100,0.23000,-9.20500,0.46300,-9.50500,0.52400,-9.24400,0.37400,-9.25900,0.39100,-9.01700,0.53700,-9.14600,0.26400,-9.32400,0.36400,-8.70300,0.40700,-8.92100,0.40000,-9.03000,0.33300,-8.97100,0.29000,-8.93400,0.29800,-8.83700,0.38000,-8.34700,0.39200,0,-9999,-9999,-9999,30036364,9.02000,5.89000
