latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
53.42500,49.92500,Samara,0,0.02000,1534.00000,0.03240,1637.00000,0.03320,947.00000,0.03470,799.00000,-9.30600,0.19300,-9.66100,0.33000,-10.13400,0.45400,-10.16900,0.35900,-9.83600,0.37000,-10.05500,0.75800,-9.75300,0.17700,-9.70700,0.15300,-11.77400,0.21900,-11.65100,0.44600,-11.67700,0.34800,-11.74000,0.40700,-11.40100,0.47900,-11.35600,0.42700,-11.64800,0.42800,-11.43400,0.42200,-11.32900,0.35500,-11.43700,0.53300,-11.81700,0.40600,-9.45500,0.32200,-9.51800,0.37500,-9.76600,0.31800,-9.88000,0.31900,-9.32800,0.28800,-9.51400,0.21300,-9.42900,0.30900,-9.74900,0.32100,-9.68900,0.31500,-9.35700,0.26400,-9.54500,0.38900,-9.69300,0.30900,-9.56800,0.36800,-9.52900,0.29300,40,-9999,-9999,-9999,18496020,41.07000,7.85000
53.42500,49.97500,Samara,1,0.03160,2434.00000,0.04140,1601.00000,0.05450,1127.00000,0.05740,896.00000,-9.29800,0.21200,-9.67100,0.33100,-10.14200,0.45600,-10.18200,0.36200,-9.83700,0.36400,-10.06500,0.71200,-9.75600,0.17800,-9.70500,0.14700,-11.80900,0.21300,-11.67500,0.41700,-11.71200,0.34900,-11.78500,0.38800,-11.41100,0.47300,-11.38600,0.42900,-11.67300,0.44000,-11.45900,0.41800,-11.35100,0.34600,-11.45500,0.52000,-11.80700,0.40100,-9.58500,0.31200,-9.62500,0.37200,-9.87500,0.32700,-10.01800,0.29500,-9.36900,0.30600,-9.54900,0.22300,-9.45900,0.33400,-9.80400,0.32300,-9.75900,0.33500,-9.38600,0.28100,-9.52900,0.37600,-9.70100,0.32600,-9.55600,0.36600,-9.55000,0.31600,26,-9999,-9999,-9999,18496020,29.86000,6.86000
53.42500,50.02500,Samara,1,0.01360,537.00000,0.03010,1001.00000,0.03810,1012.00000,0.04750,1792.00000,-9.29100,0.23000,-9.68200,0.33200,-10.15000,0.45800,-10.19400,0.36500,-9.83900,0.35800,-10.07400,0.66700,-9.76000,0.17900,-9.70400,0.14000,-11.83500,0.20800,-11.69400,0.38800,-11.73900,0.34400,-11.82300,0.36200,-11.41000,0.46800,-11.40200,0.42300,-11.69300,0.45000,-11.48200,0.41200,-11.36100,0.33900,-11.46800,0.50100,-11.78700,0.40300,-9.67900,0.32900,-9.68400,0.37200,-9.94100,0.33700,-10.11200,0.27900,-9.38200,0.32200,-9.55200,0.23900,-9.45200,0.34500,-9.82000,0.32700,-9.76200,0.34300,-9.34200,0.28700,-9.47000,0.34200,-9.66500,0.33500,-9.48900,0.33900,-9.52300,0.32800,29,-9999,-9999,-9999,18496020,29.93000,6.92000
53.42500,50.07500,Samara,1,0.01520,3609.00000,0.02570,3537.00000,0.03790,4341.00000,0.07280,6346.00000,-9.30900,0.24100,-9.70900,0.33800,-10.21300,0.46100,-10.25700,0.37100,-9.88700,0.37000,-10.12800,0.67700,-9.80400,0.19600,-9.76800,0.15200,-11.85700,0.21300,-11.70700,0.36400,-11.76300,0.34400,-11.86300,0.33500,-11.42600,0.46100,-11.41700,0.41500,-11.71900,0.45700,-11.51200,0.38800,-11.36800,0.34000,-11.48100,0.47900,-11.79000,0.40300,-9.64800,0.36300,-9.62300,0.37700,-9.88900,0.35400,-10.06000,0.28900,-9.35400,0.32400,-9.49500,0.25300,-9.40500,0.32600,-9.77600,0.32500,-9.68000,0.31300,-9.26400,0.28200,-9.40700,0.31600,-9.59700,0.33700,-9.42500,0.33800,-9.46200,0.30800,32,-9999,-9999,-9999,18496020,26.57000,6.60000
53.42500,50.12500,Samara,2,0.15100,18545.00000,0.19640,14119.00000,0.20640,13268.00000,0.23000,13767.00000,-9.33900,0.30400,-9.78200,0.35700,-10.36300,0.47300,-10.41100,0.37400,-9.99900,0.38800,-10.28500,0.64000,-9.91100,0.25100,-9.88900,0.18300,-11.88000,0.23700,-11.70700,0.34300,-11.78900,0.34600,-11.90700,0.31800,-11.43900,0.46000,-11.42600,0.40100,-11.75100,0.47000,-11.53400,0.37000,-11.37300,0.35900,-11.49000,0.46900,-11.78300,0.40700,-9.55800,0.34400,-9.55600,0.36900,-9.82700,0.34000,-9.96800,0.30300,-9.28600,0.32700,-9.43900,0.23500,-9.34000,0.33200,-9.73100,0.36900,-9.65000,0.30500,-9.21100,0.27600,-9.37700,0.31500,-9.55700,0.32800,-9.38300,0.35600,-9.42700,0.32700,8,-9999,-9999,-9999,18496020,16.33000,5.54000
53.42500,50.17500,Samara,2,0.06050,10311.00000,0.10230,15328.00000,0.12200,17074.00000,0.13170,16331.00000,-9.37700,0.35300,-9.84400,0.37200,-10.49800,0.48700,-10.55200,0.38200,-10.10500,0.40300,-10.42100,0.61100,-10.01300,0.30300,-10.00200,0.20600,-11.91400,0.26000,-11.72200,0.33400,-11.83100,0.34700,-11.96900,0.31000,-11.46200,0.46300,-11.44900,0.38900,-11.79700,0.48300,-11.57100,0.36000,-11.40100,0.36900,-11.51300,0.46500,-11.81200,0.40700,-9.54400,0.35000,-9.56000,0.38300,-9.84100,0.33900,-9.99800,0.33100,-9.25200,0.35000,-9.42100,0.24600,-9.28500,0.34800,-9.74100,0.40800,-9.67700,0.31700,-9.16600,0.29200,-9.34700,0.30800,-9.53200,0.34200,-9.34300,0.37400,-9.41300,0.35000,1,-9999,-9999,-9999,18496020,20.36000,5.79000
53.42500,50.22500,Samara,1,0.01080,242.00000,0.02570,960.00000,0.03630,1991.00000,0.04400,2284.00000,-9.41200,0.37100,-9.88500,0.38200,-10.59700,0.49700,-10.65500,0.39300,-10.18600,0.41900,-10.50900,0.61700,-10.08900,0.33600,-10.09800,0.22000,-11.94800,0.28200,-11.73600,0.34200,-11.88400,0.34600,-12.04200,0.31100,-11.48800,0.47100,-11.47500,0.37700,-11.85300,0.49600,-11.61000,0.35100,-11.43700,0.36500,-11.53800,0.46000,-11.86300,0.41200,-9.54100,0.36200,-9.58200,0.39100,-9.87900,0.34500,-10.10500,0.36300,-9.23000,0.39700,-9.41500,0.28000,-9.24800,0.37800,-9.76800,0.42000,-9.69900,0.33200,-9.13300,0.31200,-9.33500,0.31600,-9.50800,0.36400,-9.28800,0.41100,-9.42000,0.38500,6,-9999,-9999,-9999,18496020,21.29000,5.89000
53.42500,50.27500,Samara,1,0.00790,1579.00000,0.02260,2050.00000,0.02620,1943.00000,0.03160,1730.00000,-9.43500,0.42600,-9.93900,0.40600,-10.71800,0.51800,-10.77600,0.41000,-10.29200,0.43000,-10.65600,0.59600,-10.18400,0.40600,-10.15700,0.25300,-11.96100,0.30200,-11.74600,0.35100,-11.93500,0.34700,-12.11300,0.31900,-11.52600,0.47900,-11.49800,0.38200,-11.90500,0.51500,-11.62900,0.34700,-11.46400,0.37200,-11.55700,0.47400,-11.90900,0.41000,-9.63000,0.36000,-9.61200,0.42700,-9.96800,0.35700,-10.26400,0.42700,-9.25700,0.44000,-9.45400,0.29300,-9.24300,0.42700,-9.79800,0.37400,-9.74700,0.34600,-9.15200,0.40600,-9.36700,0.32600,-9.57600,0.37800,-9.32900,0.41300,-9.41500,0.37900,8,-9999,-9999,-9999,18496020,17.06000,5.47000
53.42500,50.32500,Samara,1,0.00930,1578.00000,0.02480,1859.00000,0.02810,1727.00000,0.03630,2059.00000,-9.44500,0.45500,-9.96700,0.41800,-10.77900,0.52800,-10.83800,0.41800,-10.34600,0.43500,-10.73200,0.58400,-10.23200,0.44300,-10.18500,0.27100,-12.02800,0.33000,-11.80100,0.37100,-12.02300,0.34600,-12.24200,0.32900,-11.60600,0.49500,-11.58400,0.38400,-12.01200,0.53600,-11.69200,0.35200,-11.55600,0.37700,-11.64300,0.49400,-12.03900,0.40000,-9.88100,0.38000,-9.82700,0.46400,-10.30200,0.37800,-10.65300,0.46400,-9.47500,0.49300,-9.70000,0.31700,-9.43800,0.51000,-10.10900,0.40100,-10.08200,0.38200,-9.38100,0.50500,-9.59400,0.37000,-9.88200,0.38900,-9.59900,0.44400,-9.66000,0.41800,0,-9999,-9999,-9999,18496020,11.44000,4.28000
53.42500,50.37500,Samara,1,0.00200,742.00000,0.00770,1919.00000,0.01070,2249.00000,0.01570,3273.00000,-9.45100,0.46200,-9.97700,0.42300,-10.80600,0.53300,-10.86600,0.42100,-10.37100,0.44000,-10.76200,0.58300,-10.25500,0.45700,-10.19700,0.27700,-12.11400,0.37100,-11.87200,0.38900,-12.12200,0.34800,-12.38800,0.34500,-11.70500,0.52000,-11.69900,0.39000,-12.13700,0.55800,-11.76000,0.36300,-11.66700,0.37800,-11.74900,0.51400,-12.19800,0.38800,-10.14200,0.41300,-10.09100,0.49400,-10.66600,0.41900,-11.11500,0.50700,-9.75700,0.52900,-10.01400,0.33500,-9.74000,0.59300,-10.53600,0.47500,-10.50200,0.44000,-9.66300,0.58100,-9.90800,0.43400,-10.24600,0.40300,-9.94000,0.47100,-9.99000,0.45800,0,-9999,-9999,-9999,18496020,8.27000,3.56000
