latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.37500,-117.57500,SanBernardino,1,0.01050,218.00000,0.02060,320.00000,0.02240,389.00000,0.02420,484.00000,-10.35600,0.21000,-10.56800,0.13100,-10.27100,0.27100,-10.70400,0.35100,-10.68400,0.19400,-10.58300,0.15900,-10.88100,0.39900,-10.68600,1.06600,-11.90200,0.16300,-11.87400,0.29000,-11.82700,0.26700,-11.51000,0.20000,-11.77000,0.20600,-11.44200,0.23400,-11.78800,0.31200,-11.78900,0.27900,-11.61500,0.37600,-11.67800,0.19600,-11.54500,0.20900,-9.89600,0.31200,-10.01700,0.23300,-9.83300,0.20100,-9.89600,0.22500,-9.98500,0.22900,-9.95400,0.22300,-9.95200,0.26300,-10.03600,0.26000,-10.15300,0.51700,-9.79500,0.58100,-9.99600,0.53800,-9.84400,0.62600,-9.95900,0.62400,-9.63300,0.62700,0,0.00220,1.90770,0.13080,25507286,4.82000,1.59000
34.37500,-117.52500,SanBernardino,1,0.00250,211.00000,0.00400,278.00000,0.00470,336.00000,0.00540,420.00000,-10.42600,0.19800,-10.62200,0.12600,-10.33100,0.25900,-10.73600,0.44500,-10.74200,0.20700,-10.62200,0.17400,-10.92800,0.36800,-10.70300,1.10200,-12.21000,0.15400,-12.13800,0.26200,-12.09700,0.28100,-11.81200,0.19600,-12.05800,0.18700,-11.70400,0.23300,-12.00600,0.28700,-11.99000,0.27100,-11.81200,0.36200,-11.84300,0.16700,-11.76200,0.20600,-10.70400,0.31500,-10.76000,0.26700,-10.59200,0.22900,-10.61800,0.23300,-10.63400,0.24100,-10.68500,0.25100,-10.70000,0.25000,-10.81600,0.26100,-10.90300,0.52100,-10.64800,0.58200,-10.77900,0.51900,-10.45400,0.61500,-10.59200,0.66700,-10.27700,0.65100,0,0.00230,2.43900,0.12650,25507286,4.19000,1.38000
34.37500,-117.47500,SanBernardino,1,0.00540,227.00000,0.00890,360.00000,0.01400,434.00000,0.01770,539.00000,-10.45600,0.19400,-10.64800,0.11200,-10.37400,0.24500,-10.86800,0.41500,-10.76500,0.22300,-10.63600,0.19000,-10.92600,0.33700,-10.63600,1.10900,-12.46800,0.17700,-12.37100,0.24900,-12.31700,0.27200,-12.05300,0.17800,-12.29000,0.17100,-11.93200,0.22400,-12.15600,0.27600,-12.13400,0.24400,-11.96400,0.35000,-11.97300,0.17000,-11.93000,0.21900,-11.26300,0.28000,-11.23200,0.23300,-11.11400,0.21900,-11.12200,0.19900,-11.11600,0.21600,-11.18800,0.24300,-11.21900,0.22900,-11.29200,0.23900,-11.36000,0.44500,-11.17600,0.49200,-11.23900,0.42400,-10.85000,0.64300,-10.97800,0.64800,-10.64500,0.61900,0,0.00300,2.59340,0.15320,25507286,4.15000,1.60000
34.37500,-117.42500,SanBernardino,1,0.00870,1532.00000,0.02250,2056.00000,0.03770,2489.00000,0.05510,3197.00000,-10.48200,0.19100,-10.67000,0.10000,-10.40900,0.23200,-10.99600,0.44800,-10.78400,0.24000,-10.65200,0.20500,-10.92500,0.31600,-10.57300,1.10700,-12.57000,0.20800,-12.47400,0.23900,-12.40500,0.25500,-12.16800,0.16500,-12.38000,0.17800,-12.02300,0.19700,-12.17400,0.27300,-12.15000,0.21300,-11.99100,0.34200,-11.99900,0.20500,-11.97100,0.23500,-11.38400,0.21800,-11.31700,0.17700,-11.24700,0.15000,-11.23300,0.15100,-11.27100,0.17600,-11.29100,0.19000,-11.32400,0.19900,-11.34100,0.18700,-11.41900,0.34500,-11.23700,0.38600,-11.25100,0.32300,-10.89300,0.60800,-10.98000,0.56200,-10.72100,0.53100,0,0.01730,5.00210,0.91070,25507286,2.13000,0.84000
34.37500,-117.37500,SanBernardino,1,0.01130,1744.00000,0.07160,2368.00000,0.08470,2873.00000,0.11080,3736.00000,-10.48400,0.19900,-10.67800,0.09100,-10.44100,0.22100,-10.97100,0.42200,-10.77000,0.24900,-10.66200,0.21300,-10.88900,0.29100,-10.48700,1.08000,-12.60700,0.21600,-12.52300,0.22200,-12.44300,0.24700,-12.23100,0.17500,-12.41200,0.19500,-12.06800,0.17900,-12.17100,0.26900,-12.14500,0.21200,-11.99700,0.34100,-11.99700,0.23700,-11.98400,0.24200,-11.41300,0.19000,-11.34000,0.16800,-11.28300,0.10700,-11.26900,0.13100,-11.33200,0.16600,-11.33200,0.16200,-11.34500,0.18800,-11.34500,0.17600,-11.50000,0.28700,-11.26500,0.31700,-11.20500,0.23200,-10.94900,0.55200,-10.96000,0.47900,-10.79800,0.43700,0,0.02190,4.78450,1.14170,25507286,1.19000,0.46000
34.37500,-117.32500,SanBernardino,1,0.03070,5246.00000,0.16850,7061.00000,0.18230,8662.00000,0.19890,11143.00000,-10.59800,0.20700,-10.80200,0.08100,-10.60200,0.21300,-11.05600,0.37600,-10.87800,0.25400,-10.80700,0.22000,-10.97400,0.25600,-10.50800,1.05600,-12.63700,0.19800,-12.55700,0.20900,-12.46500,0.24900,-12.27900,0.19200,-12.44300,0.20900,-12.11600,0.16700,-12.18000,0.26400,-12.16800,0.23300,-12.01200,0.33100,-12.01700,0.25400,-12.01300,0.23300,-11.36300,0.19900,-11.29500,0.17900,-11.23400,0.12400,-11.22200,0.14800,-11.28700,0.17500,-11.28700,0.17100,-11.28600,0.19500,-11.29000,0.18500,-11.49700,0.28000,-11.23200,0.28500,-11.13800,0.20800,-10.98600,0.50100,-10.92200,0.44000,-10.83600,0.36100,0,0.03730,4.30140,1.53620,25507286,1.23000,0.32000
34.37500,-117.27500,SanBernardino,1,0.05600,5360.00000,0.14790,7235.00000,0.15830,8834.00000,0.16720,11366.00000,-10.56700,0.20700,-10.77300,0.08500,-10.59100,0.19800,-10.99800,0.36900,-10.81800,0.24900,-10.78400,0.21600,-10.89300,0.20900,-10.41900,1.03800,-12.53300,0.20200,-12.44400,0.21000,-12.37700,0.24800,-12.19300,0.18300,-12.37700,0.22800,-12.03200,0.19100,-12.10800,0.27500,-12.12000,0.26300,-11.95100,0.30900,-11.96100,0.24100,-11.94700,0.21800,-11.31700,0.21700,-11.25200,0.19400,-11.19200,0.13900,-11.17700,0.15900,-11.24200,0.19700,-11.25200,0.18200,-11.24700,0.20100,-11.24400,0.19100,-11.48100,0.29000,-11.20300,0.28600,-11.13200,0.23100,-11.07100,0.45300,-10.90700,0.44200,-10.86900,0.31800,0,0.03430,3.32430,1.40980,25507286,0.89000,0.15000
34.37500,-117.22500,SanBernardino,1,0.00500,777.00000,0.01440,1004.00000,0.01710,1220.00000,0.01980,1596.00000,-10.52700,0.20700,-10.73400,0.08800,-10.57700,0.17900,-10.92300,0.36000,-10.73800,0.24000,-10.75800,0.20900,-10.78600,0.14500,-10.30800,1.00400,-12.41500,0.22700,-12.31000,0.21800,-12.27400,0.24300,-12.07700,0.17100,-12.28800,0.25600,-11.93400,0.21800,-12.06300,0.30000,-12.07100,0.28100,-11.90900,0.28900,-11.91200,0.22600,-11.87600,0.20600,-11.30900,0.24000,-11.27100,0.20900,-11.18800,0.13500,-11.16400,0.16500,-11.25500,0.22100,-11.27400,0.19600,-11.27900,0.20300,-11.26200,0.18900,-11.54300,0.28700,-11.22700,0.30000,-11.19500,0.25200,-11.17700,0.42900,-10.97300,0.43000,-10.96400,0.26800,0,0.00450,2.95770,0.20200,25507286,0.87000,0.25000
34.37500,-117.17500,SanBernardino,0,0.00230,2.00000,0.00310,3.00000,0.00350,3.00000,0.00400,4.00000,-10.44500,0.20200,-10.64300,0.08500,-10.49400,0.16700,-10.83100,0.34900,-10.63800,0.24300,-10.67900,0.20600,-10.68800,0.15700,-10.32700,0.69100,-12.36400,0.25500,-12.22300,0.23500,-12.20900,0.22700,-11.97900,0.17900,-12.23700,0.27800,-11.88900,0.22100,-12.07300,0.32400,-12.06200,0.31000,-11.91100,0.29000,-11.89800,0.21900,-11.83500,0.19200,-11.31200,0.24900,-11.33100,0.21400,-11.19800,0.14500,-11.16300,0.18300,-11.31400,0.23700,-11.32700,0.23300,-11.34000,0.20400,-11.33200,0.18900,-11.57100,0.30500,-11.24600,0.32800,-11.26900,0.26100,-11.24000,0.40100,-11.05700,0.41400,-11.01200,0.25500,0,0.00000,0.00000,0.00000,25507286,1.32000,0.54000
34.37500,-117.12500,SanBernardino,1,0.00090,32.00000,0.00190,42.00000,0.00200,52.00000,0.00270,65.00000,-10.38600,0.19500,-10.57800,0.08100,-10.44500,0.15500,-10.75700,0.32500,-10.56300,0.24200,-10.64600,0.20500,-10.61200,0.16500,-10.43200,0.18800,-12.30500,0.28500,-12.11600,0.26300,-12.12100,0.20900,-11.85500,0.19600,-12.17000,0.28200,-11.82300,0.23000,-12.07100,0.34200,-12.04600,0.35600,-11.89800,0.31600,-11.86600,0.22800,-11.77400,0.19100,-11.29100,0.23200,-11.35300,0.21000,-11.17000,0.19100,-11.12300,0.22100,-11.34800,0.24300,-11.34300,0.27200,-11.34500,0.23300,-11.36700,0.21000,-11.50600,0.34400,-11.18500,0.36700,-11.24400,0.30400,-11.16400,0.42900,-11.08600,0.45600,-10.94200,0.32800,0,0.00020,0.37710,0.00950,25507286,1.34000,0.46000
