latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
33.07500,-117.42500,SanDiego,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,25889310,-9999.00000,-9999.00000
33.07500,-117.37500,SanDiego,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,25889310,-9999.00000,-9999.00000
33.07500,-117.32500,SanDiego,1,0.16560,6442.00000,0.19980,7924.00000,0.22890,9128.00000,0.23300,10398.00000,-13.27800,0.53100,-12.46400,0.20800,-12.32800,0.33800,-12.63200,0.75200,-12.34500,0.46700,-12.13400,0.38000,-12.39400,0.50200,-14.00600,3.77700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,75,0.02520,1.38860,1.89160,25889310,6.48000,2.62000
33.07500,-117.27500,SanDiego,3,0.39870,23561.00000,0.49460,28815.00000,0.58030,32803.00000,0.59520,37341.00000,-13.28200,0.53000,-12.46600,0.20800,-12.33200,0.33600,-12.63600,0.74900,-12.34500,0.46700,-12.13800,0.38000,-12.39400,0.49800,-14.01700,3.78000,-13.16400,0.18000,-13.11800,0.21400,-12.97700,0.21800,-12.84200,0.21000,-12.82400,0.25300,-12.55100,0.25500,-12.51800,0.27500,-12.44100,0.20300,-12.38600,0.21100,-12.52000,0.23800,-12.44700,0.30100,-10.33900,0.38700,-10.40700,0.38100,-10.41500,0.37300,-10.34400,0.37900,-10.34000,0.40600,-10.24200,0.36600,-10.13700,0.41500,-9.98700,0.35600,-10.29900,0.42100,-10.22100,0.48900,-10.15000,0.43100,-10.16300,0.70800,-10.19300,0.48000,-9.96100,0.51900,1,0.09270,7.08430,6.73250,25889310,9.19000,2.71000
33.07500,-117.22500,SanDiego,2,0.19220,19974.00000,0.30450,24213.00000,0.37690,27674.00000,0.48090,30949.00000,-11.72400,0.48300,-11.03100,0.12000,-10.89700,0.31200,-11.33300,0.72800,-10.95800,0.39300,-10.66600,0.18900,-11.13500,0.73800,-12.72300,3.66700,-12.04200,0.19200,-11.93700,0.23600,-11.81300,0.16600,-11.68100,0.12600,-11.64000,0.21100,-11.42600,0.23400,-11.39500,0.20500,-11.32700,0.17300,-11.31400,0.23700,-11.36600,0.20100,-11.31600,0.20600,-9.53700,0.26900,-9.62200,0.21600,-9.57200,0.20900,-9.56300,0.24700,-9.52000,0.24800,-9.43500,0.23000,-9.39300,0.25200,-9.31600,0.24400,-9.33800,0.26600,-9.26100,0.28700,-9.17900,0.25300,-9.11000,0.54400,-9.15100,0.34100,-9.04500,0.39000,0,0.08360,6.52760,5.63290,25889310,9.17000,2.38000
33.07500,-117.17500,SanDiego,1,0.02240,3661.00000,0.05420,4226.00000,0.07510,4542.00000,0.13050,5585.00000,-11.69800,0.48200,-11.00700,0.12900,-10.87100,0.30400,-11.31600,0.72800,-10.92800,0.39100,-10.64400,0.19200,-11.10200,0.73200,-12.70400,3.67700,-11.46000,0.14900,-11.29600,0.20600,-11.18600,0.14000,-11.07500,0.14100,-11.03600,0.18300,-10.86400,0.21000,-10.86500,0.16800,-10.73800,0.14500,-10.80300,0.18900,-10.82500,0.18100,-10.77600,0.15500,-9.19600,0.23500,-9.31700,0.19900,-9.24500,0.19100,-9.23500,0.19800,-9.14600,0.17100,-9.07000,0.19200,-9.09400,0.17700,-9.04700,0.15800,-9.06700,0.27500,-8.97400,0.24600,-8.89200,0.26700,-8.86600,0.46600,-8.84900,0.30100,-8.75500,0.35000,0,0.01720,4.13510,1.26280,25889310,13.46000,2.90000
33.07500,-117.12500,SanDiego,1,0.04600,3371.00000,0.11060,3872.00000,0.13230,4352.00000,0.15020,5021.00000,-10.63400,0.36200,-10.22400,0.14500,-10.04300,0.26500,-10.35700,0.45200,-10.12000,0.32100,-9.87400,0.15100,-10.49400,1.33900,-12.04000,3.25700,-11.24800,0.15400,-11.06700,0.18500,-10.97000,0.14500,-10.83700,0.15400,-10.84500,0.19900,-10.72400,0.21300,-10.64300,0.17900,-10.57900,0.15200,-10.66700,0.17900,-10.69500,0.17600,-10.65500,0.14900,-9.26400,0.22100,-9.41900,0.17600,-9.34100,0.15900,-9.33000,0.18900,-9.23200,0.17200,-9.16500,0.18900,-9.19300,0.17000,-9.12800,0.16300,-9.09300,0.25900,-9.01800,0.23100,-8.96400,0.25200,-8.89300,0.46300,-8.82200,0.31600,-8.73100,0.38600,0,0.01970,5.17130,1.40400,25889310,11.90000,3.00000
33.07500,-117.07500,SanDiego,2,0.11370,9873.00000,0.29960,13018.00000,0.35450,15033.00000,0.38350,17177.00000,-10.60900,0.36200,-10.20400,0.14900,-10.01800,0.25300,-10.34400,0.46100,-10.09600,0.31900,-9.85500,0.15400,-10.47900,1.36200,-12.00800,3.25600,-11.27400,0.16900,-11.09000,0.16400,-11.01200,0.12900,-10.87100,0.18100,-10.90400,0.22400,-10.87500,0.19800,-10.73400,0.18600,-10.71100,0.17600,-10.82000,0.19300,-10.87600,0.17400,-10.82000,0.17700,-9.46100,0.20300,-9.67600,0.16700,-9.58700,0.13200,-9.55500,0.17700,-9.45600,0.19000,-9.41700,0.18800,-9.44500,0.13800,-9.34400,0.16800,-9.27000,0.27500,-9.20100,0.24800,-9.19700,0.24200,-9.05900,0.42800,-8.95800,0.33600,-8.85500,0.41500,0,0.06960,6.40990,4.99350,25889310,7.74000,2.30000
33.07500,-117.02500,SanDiego,1,0.03240,2536.00000,0.13200,2951.00000,0.15590,3404.00000,0.17440,3817.00000,-10.05800,0.21600,-9.94300,0.12900,-9.74800,0.18300,-10.15600,0.47000,-9.84100,0.30600,-9.65800,0.16000,-10.15400,1.18100,-11.49800,2.64800,-11.48300,0.18800,-11.30500,0.18000,-11.23800,0.14700,-11.10300,0.18300,-11.15000,0.23300,-11.21300,0.20400,-11.01800,0.18400,-11.02300,0.23100,-11.14300,0.21600,-11.26500,0.17400,-11.18700,0.21100,-9.69500,0.20100,-10.04600,0.17100,-9.89900,0.16000,-9.81700,0.19300,-9.65800,0.18900,-9.72100,0.15400,-9.84900,0.20700,-9.74300,0.22900,-9.72100,0.33000,-9.65600,0.33200,-9.45400,0.25900,-9.58300,0.49900,-9.37700,0.41300,-9.13000,0.46900,0,0.01640,5.64120,0.97770,25889310,8.07000,2.33000
33.07500,-116.97500,SanDiego,1,0.00400,346.00000,0.01360,441.00000,0.01630,462.00000,0.02670,574.00000,-10.03900,0.21700,-9.92400,0.13200,-9.72400,0.17000,-10.14600,0.48400,-9.82100,0.30300,-9.64200,0.16100,-10.17400,1.31400,-11.47600,2.64100,-11.78400,0.20700,-11.63600,0.19300,-11.56700,0.17700,-11.44400,0.19300,-11.49700,0.22600,-11.65900,0.21200,-11.41600,0.14800,-11.47300,0.26900,-11.56500,0.23400,-11.76900,0.18700,-11.70300,0.24200,-10.24900,0.26300,-10.65400,0.18800,-10.56900,0.24500,-10.45000,0.25700,-10.21900,0.19300,-10.33000,0.21300,-10.45300,0.21500,-10.46100,0.30400,-10.26900,0.34600,-10.13600,0.42400,-10.00700,0.29000,-10.14400,0.57200,-9.98400,0.43900,-9.58600,0.55500,0,0.00310,3.73820,0.18730,25889310,7.54000,2.19000
