latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
37.52500,-122.07500,SanJoseUSA,2,0.22400,5701.00000,0.36800,6363.00000,0.38680,6866.00000,0.40010,7234.00000,-9.52200,0.14500,-9.51400,0.10600,-9.32700,0.10900,-9.51200,0.18900,-9.29400,0.08900,-9.12600,0.12700,-9.28400,0.26600,-9.30400,0.44000,-11.12900,0.17600,-11.04000,0.19200,-10.92300,0.24800,-10.85500,0.19100,-10.74900,0.19300,-10.82300,0.19900,-10.72600,0.19800,-10.69600,0.15500,-10.66900,0.23900,-10.60600,0.20400,-10.66700,0.19400,-9.63500,0.25000,-9.65900,0.24600,-9.52000,0.33100,-9.51100,0.29000,-9.52000,0.28700,-9.54100,0.28500,-9.45400,0.27200,-9.57300,0.24400,-9.58600,0.53500,-9.42000,0.55200,-9.31800,0.50400,-8.99000,0.71800,-8.85000,0.64100,-9.12000,0.57700,46,0.02760,3.72740,3.09940,24527114,6.06000,3.57000
37.52500,-122.02500,SanJoseUSA,2,0.54780,35311.00000,0.69270,38786.00000,0.71250,41868.00000,0.72970,44198.00000,-9.53100,0.14600,-9.54800,0.08400,-9.34800,0.09300,-9.55800,0.18800,-9.34900,0.08400,-9.15400,0.12100,-9.33400,0.24000,-9.33900,0.38700,-10.95800,0.18000,-10.89000,0.18500,-10.78400,0.20800,-10.69600,0.18300,-10.60600,0.17800,-10.69100,0.19400,-10.55500,0.19100,-10.52000,0.16700,-10.50900,0.23600,-10.41100,0.20700,-10.48000,0.19900,-9.53000,0.23300,-9.51500,0.23000,-9.41100,0.33800,-9.41200,0.26500,-9.38700,0.25000,-9.41200,0.25600,-9.34500,0.26500,-9.42600,0.23600,-9.41000,0.48100,-9.24800,0.48800,-9.15800,0.49000,-8.89000,0.68700,-8.76200,0.57400,-8.99200,0.52700,26,0.15450,7.06310,12.27890,24527114,5.00000,2.16000
37.52500,-121.97500,SanJoseUSA,3,0.75300,53484.00000,0.88250,59672.00000,0.89760,64384.00000,0.90480,67955.00000,-9.57400,0.14500,-9.60100,0.08700,-9.39400,0.09500,-9.61100,0.18600,-9.41200,0.08300,-9.20500,0.11800,-9.38800,0.23100,-9.39300,0.38000,-10.89700,0.17600,-10.83200,0.18300,-10.74600,0.16900,-10.64700,0.19600,-10.57800,0.16500,-10.66100,0.18800,-10.49100,0.16900,-10.44200,0.18500,-10.45300,0.22400,-10.35100,0.23000,-10.41300,0.22100,-9.45400,0.20400,-9.43400,0.20400,-9.32400,0.32100,-9.33400,0.24700,-9.29400,0.22100,-9.31600,0.22900,-9.27400,0.25300,-9.33400,0.22500,-9.28700,0.41500,-9.16800,0.47700,-9.07300,0.46200,-8.85500,0.58400,-8.71500,0.53400,-8.94600,0.46500,0,0.21270,7.44120,14.95310,24527114,5.89000,2.21000
37.52500,-121.92500,SanJoseUSA,2,0.33210,24793.00000,0.56950,27615.00000,0.59990,29764.00000,0.61070,31446.00000,-9.84100,0.13700,-9.91800,0.10800,-9.67400,0.10800,-9.93000,0.17100,-9.78300,0.07900,-9.51600,0.10700,-9.70300,0.17300,-9.72000,0.35000,-10.88300,0.16500,-10.81300,0.17300,-10.75300,0.13100,-10.64200,0.21400,-10.59800,0.17300,-10.67000,0.18300,-10.48200,0.15900,-10.41400,0.21000,-10.47300,0.23000,-10.34700,0.25500,-10.39600,0.22300,-9.45600,0.20100,-9.43200,0.20400,-9.31500,0.32500,-9.32500,0.24600,-9.27700,0.21800,-9.30100,0.22700,-9.26600,0.25500,-9.32400,0.23300,-9.28100,0.36900,-9.18700,0.51200,-9.10500,0.47800,-8.82100,0.73300,-8.77600,0.49900,-9.07700,0.48900,0,0.11410,6.51600,7.82090,24527114,8.59000,2.88000
37.52500,-121.87500,SanJoseUSA,1,0.00020,52.00000,0.00170,58.00000,0.00420,74.00000,0.00500,80.00000,-9.78400,0.13200,-9.85500,0.10900,-9.61900,0.11200,-9.87000,0.17500,-9.73500,0.08200,-9.46700,0.10700,-9.64700,0.17000,-9.67200,0.36600,-10.98900,0.17300,-10.86900,0.16500,-10.85300,0.14800,-10.73400,0.21600,-10.72600,0.19700,-10.76400,0.19300,-10.57000,0.17600,-10.50200,0.20800,-10.60100,0.25100,-10.47500,0.25900,-10.49200,0.22400,-10.10400,0.23300,-9.96900,0.22900,-10.00300,0.30400,-9.93200,0.27200,-9.80100,0.24500,-9.85300,0.24800,-10.01400,0.28400,-9.88300,0.36900,-9.60700,0.36000,-9.55300,0.50700,-9.49800,0.47400,-9.43700,0.85400,-9.45200,0.66000,-9.68400,0.50500,0,0.00170,1.45080,0.08580,24527114,18.00000,4.85000
37.52500,-121.82500,SanJoseUSA,1,0.00080,15.00000,0.00560,8.00000,0.00680,8.00000,0.00910,8.00000,-10.21300,0.11800,-10.29800,0.15900,-10.07300,0.12200,-10.34300,0.16900,-10.31400,0.10400,-9.97500,0.09900,-10.15400,0.14900,-10.18800,0.33000,-11.30200,0.18000,-11.16100,0.16600,-11.14300,0.17300,-11.01800,0.23100,-11.05900,0.22300,-11.05500,0.20100,-10.85200,0.19600,-10.78700,0.21200,-10.94000,0.24100,-10.80800,0.25800,-10.79900,0.23200,-10.40000,0.16900,-10.33200,0.18800,-10.35000,0.24500,-10.36000,0.18700,-10.24500,0.15700,-10.22600,0.17800,-10.34500,0.22500,-10.33200,0.25300,-10.07800,0.35600,-9.94600,0.40600,-10.01200,0.31700,-9.91500,0.65500,-9.99300,0.47100,-10.03900,0.45600,0,0.00030,0.40040,0.01410,24527114,16.22000,4.51000
37.52500,-121.77500,SanJoseUSA,0,0.00000,8.00000,0.00000,8.00000,0.00000,9.00000,0.00010,9.00000,-10.15100,0.11400,-10.22700,0.16100,-10.01300,0.12600,-10.27800,0.17500,-10.25800,0.10700,-9.92200,0.10100,-10.09200,0.15000,-10.13100,0.34500,-11.55300,0.17600,-11.42000,0.18500,-11.40000,0.18500,-11.27900,0.21800,-11.37200,0.29400,-11.31200,0.23100,-11.11600,0.22600,-11.07400,0.22600,-11.25100,0.23200,-11.12600,0.23300,-11.11800,0.25600,-10.54500,0.17100,-10.48400,0.17700,-10.50200,0.24200,-10.52800,0.17000,-10.44300,0.16400,-10.41000,0.19300,-10.49500,0.20400,-10.48200,0.22200,-10.25600,0.30600,-10.14900,0.37600,-10.14900,0.26700,-10.09100,0.54200,-10.22400,0.33700,-10.23200,0.33000,0,0.00000,0.00000,0.00000,24527114,15.12000,4.24000
37.52500,-121.72500,SanJoseUSA,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.56300,0.13200,-10.63700,0.18500,-10.46300,0.14300,-10.70300,0.18200,-10.78900,0.11100,-10.42800,0.10100,-10.58000,0.13800,-10.63900,0.30600,-11.80000,0.18300,-11.65200,0.23600,-11.61600,0.21800,-11.52200,0.23500,-11.63700,0.33700,-11.53300,0.23700,-11.37000,0.25400,-11.33500,0.23300,-11.51300,0.27000,-11.38500,0.21700,-11.40500,0.27400,-10.47700,0.20400,-10.40900,0.17500,-10.36500,0.24400,-10.49300,0.18700,-10.38100,0.17200,-10.35100,0.20200,-10.39800,0.21500,-10.35100,0.23800,-10.27700,0.25300,-10.21800,0.31700,-10.11200,0.27700,-10.05100,0.50000,-10.30800,0.36300,-10.21000,0.28400,0,0.00000,0.00000,0.00000,24527114,20.18000,4.85000
37.52500,-121.67500,SanJoseUSA,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,-10.55600,0.13200,-10.62900,0.18500,-10.45600,0.14300,-10.69600,0.18300,-10.78200,0.11100,-10.42300,0.10100,-10.57300,0.13900,-10.63300,0.30800,-11.99900,0.21200,-11.85000,0.28000,-11.81400,0.25100,-11.71500,0.24900,-11.88700,0.33000,-11.74700,0.26800,-11.60600,0.24200,-11.58900,0.21600,-11.75800,0.32700,-11.62800,0.23400,-11.66700,0.28300,-10.27700,0.24800,-10.19200,0.16200,-10.12400,0.22100,-10.29100,0.17100,-10.25300,0.17600,-10.11400,0.20500,-10.16500,0.20800,-10.15100,0.19400,-10.25700,0.22400,-10.16200,0.33100,-10.04500,0.26600,-10.02600,0.45500,-10.26400,0.36500,-10.13900,0.24700,0,0.00000,0.00000,0.00000,24527114,24.13000,5.74000
37.52500,-121.62500,SanJoseUSA,0,0.00000,0.00000,0.00000,0.00000,0.00010,2.00000,0.00010,0.00000,-10.87400,0.14600,-10.91400,0.18500,-10.80900,0.19900,-11.00500,0.20800,-11.17500,0.12100,-10.81700,0.11800,-10.96000,0.11700,-11.04300,0.33600,-11.98400,0.21600,-11.87400,0.30800,-11.81900,0.30800,-11.73200,0.24600,-11.92200,0.32000,-11.74800,0.28100,-11.68100,0.23300,-11.65700,0.21200,-11.77900,0.37700,-11.66300,0.25000,-11.70700,0.29100,-10.17100,0.23900,-10.06700,0.15800,-10.01400,0.18600,-10.16500,0.16900,-10.12900,0.14700,-9.96500,0.14000,-10.03600,0.20000,-10.02800,0.16300,-10.20600,0.20600,-10.09200,0.35400,-9.97700,0.26100,-9.94600,0.34800,-10.14500,0.32800,-10.07600,0.22200,0,0.00000,0.00000,0.00000,24527114,20.13000,4.41000
