latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
13.97500,-89.47500,SanSalvador,1,0.00040,3427.00000,0.00340,2589.00000,0.00430,2417.00000,0.00730,5474.00000,-7.82700,0.18300,-7.98400,0.16500,-7.68600,0.15200,-7.94800,0.13100,-7.93300,0.26200,-7.97900,0.14500,-7.83000,0.13100,-7.96200,0.17200,-9.51700,0.23600,-9.47700,0.19700,-9.43100,0.23200,-9.36000,0.21000,-9.31500,0.17800,-9.46200,0.23500,-9.41100,0.23600,-9.46200,0.26600,-9.42100,0.24000,-9.30300,0.29200,-9.47900,0.25800,-7.58200,0.21900,-7.53900,0.24600,-7.66100,0.20000,-7.40700,0.21200,-7.46500,0.18200,-7.56200,0.23900,-7.63100,0.23400,-7.61900,0.26900,-7.83700,0.26700,-7.64400,0.21200,-7.56000,0.24400,-7.57300,0.44100,-7.71900,0.28900,-7.45200,0.37100,0,-9999,-9999,-9999,29885174,35.94000,8.80000
13.97500,-89.42500,SanSalvador,0,0.00010,0.00000,0.00070,740.00000,0.00100,657.00000,0.00300,668.00000,-7.86500,0.18500,-8.03200,0.16500,-7.74800,0.15000,-8.01000,0.13000,-7.99000,0.26100,-8.02700,0.14400,-7.87700,0.13400,-8.01400,0.15800,-9.68400,0.23800,-9.60500,0.22500,-9.52800,0.22600,-9.49300,0.19600,-9.46000,0.20300,-9.59200,0.24400,-9.56700,0.26600,-9.55400,0.25300,-9.52900,0.21500,-9.43100,0.27800,-9.59700,0.21200,-7.80100,0.21800,-7.74800,0.24200,-7.92700,0.21400,-7.62500,0.22400,-7.65700,0.17900,-7.82600,0.20900,-7.85000,0.20600,-7.92200,0.29500,-8.11400,0.33200,-7.85800,0.22400,-7.80500,0.25600,-7.80600,0.44100,-7.95400,0.32200,-7.69900,0.38500,0,-9999,-9999,-9999,29885174,32.26000,9.16000
13.97500,-89.37500,SanSalvador,0,0.00040,0.00000,0.00250,520.00000,0.00320,528.00000,0.00520,824.00000,-7.90700,0.18800,-8.08700,0.16400,-7.81900,0.14900,-8.08000,0.12900,-8.05500,0.26000,-8.08100,0.14200,-7.93000,0.13700,-8.07400,0.14100,-9.81500,0.24700,-9.72300,0.23900,-9.63900,0.19400,-9.60800,0.18500,-9.59200,0.20900,-9.71000,0.23400,-9.68900,0.27900,-9.64200,0.22900,-9.62300,0.17600,-9.55300,0.23800,-9.69400,0.16800,-7.95700,0.23600,-7.90500,0.20600,-8.07300,0.22700,-7.79100,0.20500,-7.82400,0.20800,-8.03100,0.18500,-8.00100,0.19400,-8.14400,0.29300,-8.29700,0.32700,-7.99600,0.23800,-7.95100,0.25100,-7.99400,0.42900,-8.13900,0.31600,-7.83500,0.40900,0,-9999,-9999,-9999,29885174,30.50000,9.07000
13.97500,-89.32500,SanSalvador,1,0.00460,6941.00000,0.01010,11636.00000,0.01290,13297.00000,0.01870,12044.00000,-7.99400,0.20300,-8.17200,0.15600,-7.91800,0.14600,-8.18400,0.12500,-8.14300,0.25900,-8.16400,0.14900,-8.01200,0.13800,-8.16500,0.12500,-9.91600,0.25300,-9.81900,0.23400,-9.75500,0.17200,-9.70400,0.18200,-9.70000,0.21400,-9.81300,0.21900,-9.77800,0.26800,-9.73600,0.20200,-9.71500,0.16600,-9.65300,0.22600,-9.76600,0.16800,-8.06800,0.27500,-8.05300,0.22300,-8.16700,0.23400,-7.89300,0.18700,-7.97600,0.22300,-8.12000,0.16800,-8.09700,0.19600,-8.23900,0.28300,-8.41700,0.32400,-8.07900,0.22700,-8.07100,0.20800,-8.15600,0.41300,-8.24600,0.28200,-7.94900,0.40800,0,-9999,-9999,-9999,29885174,26.82000,8.91000
13.97500,-89.27500,SanSalvador,0,0.00010,55.00000,0.00040,413.00000,0.00150,1802.00000,0.00320,1852.00000,-8.03400,0.20800,-8.20500,0.15200,-7.95400,0.14300,-8.22300,0.12200,-8.17500,0.25900,-8.19400,0.15200,-8.04200,0.13800,-8.19900,0.12100,-9.98500,0.21100,-9.92800,0.23300,-9.86800,0.16600,-9.78500,0.19700,-9.77900,0.20800,-9.90700,0.21000,-9.85300,0.26400,-9.84900,0.17400,-9.81900,0.18800,-9.75100,0.24200,-9.79400,0.20700,-8.16400,0.27900,-8.19700,0.26200,-8.26000,0.23000,-8.01500,0.19300,-8.11700,0.19000,-8.17900,0.18300,-8.18000,0.19700,-8.32700,0.28800,-8.49800,0.34400,-8.17500,0.22100,-8.18000,0.18900,-8.24500,0.41300,-8.31800,0.25300,-8.04000,0.40700,0,-9999,-9999,-9999,29885174,34.49000,8.93000
13.97500,-89.22500,SanSalvador,1,0.00330,1382.00000,0.00560,1478.00000,0.00710,2349.00000,0.01070,1057.00000,-8.13600,0.21300,-8.27900,0.14100,-8.03300,0.13500,-8.30400,0.11200,-8.24000,0.25600,-8.25500,0.16300,-8.10800,0.13600,-8.27300,0.12000,-10.03500,0.17200,-9.98700,0.22200,-9.96600,0.17500,-9.85400,0.22100,-9.82500,0.22100,-9.97000,0.20600,-9.90200,0.25800,-9.93300,0.16600,-9.87900,0.22200,-9.82400,0.23200,-9.82000,0.20400,-8.30100,0.26300,-8.32800,0.25500,-8.39300,0.22300,-8.12200,0.21400,-8.27500,0.20200,-8.29000,0.22300,-8.27400,0.20800,-8.42600,0.29200,-8.60600,0.40100,-8.26300,0.24100,-8.27900,0.19200,-8.33100,0.41600,-8.36500,0.22700,-8.12700,0.42900,0,-9999,-9999,-9999,29885174,30.77000,8.88000
13.97500,-89.17500,SanSalvador,1,0.01320,17828.00000,0.02260,22496.00000,0.02480,24049.00000,0.04130,28686.00000,-8.19100,0.21300,-8.31100,0.13600,-8.06800,0.12800,-8.33500,0.10800,-8.26600,0.25000,-8.27700,0.16700,-8.13500,0.13300,-8.30700,0.12700,-10.06500,0.15200,-10.00800,0.21800,-10.03600,0.18600,-9.90300,0.24100,-9.85900,0.23600,-10.00900,0.21700,-9.92300,0.24400,-9.99700,0.19300,-9.93300,0.24400,-9.87200,0.19300,-9.84100,0.20200,-8.49400,0.22900,-8.46000,0.26400,-8.53100,0.21400,-8.27200,0.22700,-8.45800,0.23100,-8.45300,0.25100,-8.43600,0.18900,-8.57900,0.29100,-8.75000,0.41000,-8.34500,0.27400,-8.39700,0.19900,-8.48800,0.37300,-8.42500,0.21800,-8.32200,0.36300,0,-9999,-9999,-9999,29885174,23.31000,8.45000
13.97500,-89.12500,SanSalvador,1,0.00100,458.00000,0.00140,855.00000,0.00150,1256.00000,0.01310,8641.00000,-8.24100,0.21400,-8.34000,0.13100,-8.10000,0.12100,-8.36200,0.10500,-8.29000,0.24400,-8.29700,0.17100,-8.16000,0.13000,-8.33800,0.13200,-10.08600,0.17400,-10.01100,0.22700,-10.07300,0.19700,-9.93400,0.24400,-9.88200,0.24600,-10.01700,0.22200,-9.93700,0.22200,-10.03600,0.21900,-9.95200,0.25400,-9.90900,0.18500,-9.87000,0.19700,-8.61700,0.21800,-8.59200,0.25600,-8.64300,0.19000,-8.43300,0.23000,-8.58500,0.23900,-8.58800,0.25600,-8.57500,0.18300,-8.70000,0.27900,-8.86500,0.39600,-8.45200,0.28100,-8.45300,0.23200,-8.61100,0.36700,-8.46700,0.24600,-8.49400,0.27600,0,-9999,-9999,-9999,29885174,25.75000,8.83000
13.97500,-89.07500,SanSalvador,0,0.00010,158.00000,0.00020,422.00000,0.00030,561.00000,0.00130,1847.00000,-8.31200,0.21200,-8.37000,0.12000,-8.13200,0.11000,-8.37700,0.10800,-8.31500,0.23500,-8.31700,0.16600,-8.18500,0.12500,-8.37100,0.13900,-10.06700,0.19300,-9.95900,0.22500,-10.05300,0.20500,-9.93900,0.24200,-9.85700,0.25600,-9.98100,0.21700,-9.88800,0.21700,-9.99900,0.24700,-9.89800,0.27100,-9.91600,0.22700,-9.87600,0.20800,-8.66300,0.22000,-8.66300,0.23700,-8.66500,0.16900,-8.57400,0.21300,-8.64500,0.23500,-8.63100,0.26300,-8.66700,0.18900,-8.78100,0.26000,-8.92600,0.34700,-8.53900,0.27900,-8.46200,0.25200,-8.69100,0.36900,-8.49900,0.28400,-8.56500,0.27300,0,-9999,-9999,-9999,29885174,26.95000,8.86000
13.97500,-89.02500,SanSalvador,0,0.00050,832.00000,0.00190,697.00000,0.00260,1051.00000,0.00280,1100.00000,-8.32700,0.21100,-8.37500,0.11600,-8.13400,0.10700,-8.37300,0.11300,-8.31900,0.23400,-8.31300,0.16200,-8.18700,0.12300,-8.37500,0.13300,-9.99000,0.20900,-9.84200,0.23900,-9.94900,0.21000,-9.86800,0.24700,-9.77600,0.25100,-9.88700,0.20300,-9.75700,0.20600,-9.87400,0.25900,-9.79100,0.26300,-9.85500,0.26300,-9.81800,0.23100,-8.60300,0.22600,-8.62800,0.22300,-8.60700,0.16000,-8.56300,0.20100,-8.62400,0.17900,-8.57600,0.27500,-8.65700,0.21400,-8.79500,0.23200,-8.91300,0.31900,-8.54500,0.25800,-8.42700,0.23900,-8.65500,0.42300,-8.47800,0.29600,-8.58100,0.22600,16,-9999,-9999,-9999,29885174,16.51000,8.82000
