latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-33.22500,-70.92500,SantiagoChile,0,0.00000,0.00000,0.00000,1.00000,0.00020,31.00000,0.00080,135.00000,-10.13900,0.12700,-10.20400,0.11400,-10.20300,0.17600,-10.02200,0.07000,-10.34000,0.10900,-9.83000,0.09300,-9.80300,0.18700,-9.70200,0.22200,-9999.00000,-9999.00000,-11.88500,0.13900,-11.82700,0.19200,-11.90500,0.18100,-11.82800,0.18200,-11.87100,0.14400,-11.84100,0.22900,-11.88700,0.15500,-11.80600,0.22400,-11.77700,0.18800,-11.67600,0.15900,-9.88900,0.18700,-9.85100,0.18100,-9.86500,0.20200,-9.79500,0.15800,-9.87100,0.12600,-9.77900,0.16600,-9.85200,0.15600,-9.77000,0.16800,-9.76100,0.17500,-9.80900,0.17200,-9.69000,0.14400,-9.71300,0.16800,-9.63600,0.20200,-9.57300,0.18500,0,-9999,-9999,-9999,25845910,14.42000,4.45000
-33.22500,-70.87500,SantiagoChile,0,0.00000,0.00000,0.00010,0.00000,0.00050,0.00000,0.00100,0.00000,-10.07800,0.12700,-10.15900,0.11600,-10.15500,0.17300,-9.96900,0.07200,-10.28800,0.10700,-9.76600,0.09000,-9.74100,0.18300,-9.64300,0.21900,-9999.00000,-9999.00000,-12.01100,0.15500,-11.94500,0.19400,-12.00200,0.19800,-11.93500,0.20000,-11.95200,0.13500,-11.89200,0.23200,-11.93500,0.16800,-11.78300,0.23200,-11.76800,0.21000,-11.64800,0.15600,-10.06300,0.25100,-9.97400,0.23700,-9.99600,0.28400,-9.89800,0.21000,-9.97100,0.18500,-9.94900,0.27400,-10.00200,0.24300,-9.87900,0.21200,-9.89500,0.28500,-9.87900,0.24800,-9.75700,0.21700,-9.71600,0.25700,-9.67800,0.26700,-9.64500,0.24400,0,-9999,-9999,-9999,25845910,12.04000,4.09000
-33.22500,-70.82500,SantiagoChile,1,0.01850,3499.00000,0.05560,5580.00000,0.06190,7809.00000,0.06780,10646.00000,-9.78000,0.12400,-9.99300,0.13000,-9.91400,0.14600,-9.73100,0.07900,-10.04000,0.10700,-9.47600,0.08100,-9.46300,0.16300,-9.38800,0.20100,-9999.00000,-9999.00000,-12.07600,0.19900,-11.99200,0.19500,-12.03000,0.21600,-11.94500,0.19100,-11.91000,0.13600,-11.86100,0.23700,-11.86800,0.14700,-11.69800,0.24700,-11.67800,0.22500,-11.54400,0.15100,-10.37700,0.30100,-10.36700,0.30800,-10.21600,0.29800,-10.21500,0.25100,-10.27500,0.28600,-10.19300,0.29200,-10.20800,0.21700,-10.13300,0.22400,-10.10600,0.32400,-10.01800,0.30900,-9.82900,0.27400,-9.77600,0.27100,-9.79700,0.31500,-9.77300,0.29100,0,-9999,-9999,-9999,25845910,9.75000,2.92000
-33.22500,-70.77500,SantiagoChile,1,0.00380,686.00000,0.01330,1950.00000,0.01460,2832.00000,0.02150,4547.00000,-9.72900,0.12500,-9.96600,0.13300,-9.88000,0.13800,-9.70900,0.08000,-10.01000,0.12400,-9.44600,0.08100,-9.44100,0.16000,-9.37100,0.19900,-9999.00000,-9999.00000,-12.03500,0.22200,-11.91600,0.18800,-11.93700,0.22000,-11.83800,0.19300,-11.75800,0.13100,-11.72100,0.22200,-11.69400,0.13800,-11.54000,0.25500,-11.48500,0.21500,-11.36600,0.16000,-10.39100,0.28400,-10.47600,0.27900,-10.28600,0.22400,-10.28200,0.24800,-10.38700,0.25600,-10.21500,0.27200,-10.26200,0.21300,-10.18500,0.23300,-10.14600,0.32900,-10.03000,0.30500,-9.86400,0.26400,-9.73200,0.22800,-9.78200,0.31700,-9.76800,0.29100,0,-9999,-9999,-9999,25845910,11.22000,3.47000
-33.22500,-70.72500,SantiagoChile,1,0.00290,778.00000,0.01100,2073.00000,0.01350,3128.00000,0.02610,6261.00000,-9.42700,0.12300,-9.79400,0.15500,-9.61300,0.11000,-9.48200,0.09100,-9.74500,0.21100,-9.18000,0.08500,-9.19600,0.14500,-9.13700,0.19300,-9999.00000,-9999.00000,-11.93300,0.24300,-11.78800,0.18200,-11.78100,0.20900,-11.69400,0.19200,-11.56900,0.13300,-11.55000,0.21800,-11.48900,0.14500,-11.38300,0.24800,-11.27300,0.21300,-11.16600,0.16400,-10.22900,0.25900,-10.38200,0.26300,-10.19200,0.23100,-10.24000,0.26000,-10.33000,0.24100,-10.15700,0.26100,-10.21600,0.23200,-10.09500,0.28700,-10.01000,0.37600,-9.98100,0.29600,-9.80000,0.26000,-9.68400,0.24700,-9.69000,0.30500,-9.64400,0.33300,0,-9999,-9999,-9999,25845910,10.24000,3.33000
-33.22500,-70.67500,SantiagoChile,1,0.00840,9184.00000,0.02920,15798.00000,0.03530,21175.00000,0.04960,26106.00000,-9.36300,0.11900,-9.74900,0.16200,-9.56100,0.11000,-9.44100,0.09100,-9.68800,0.21500,-9.14400,0.08900,-9.16500,0.14200,-9.10800,0.18600,-9999.00000,-9999.00000,-11.84900,0.23700,-11.70700,0.17900,-11.67700,0.20400,-11.58500,0.19200,-11.43500,0.14000,-11.44800,0.22100,-11.37200,0.17200,-11.31200,0.24700,-11.18800,0.18400,-11.07600,0.17500,-10.01500,0.28900,-10.19200,0.27700,-10.07900,0.28600,-10.10500,0.31300,-10.14200,0.32700,-10.05100,0.32400,-10.03500,0.22700,-9.96300,0.35700,-9.89400,0.42200,-9.86500,0.31900,-9.64700,0.32000,-9.62000,0.30700,-9.61300,0.37000,-9.52600,0.37700,0,-9999,-9999,-9999,25845910,9.47000,3.10000
-33.22500,-70.62500,SantiagoChile,0,0.00060,0.00000,0.00210,0.00000,0.00290,44.00000,0.00620,708.00000,-9.09000,0.10200,-9.56100,0.19000,-9.30600,0.11400,-9.20800,0.09400,-9.40700,0.23500,-8.92700,0.10200,-8.95000,0.13400,-8.90200,0.16100,-9999.00000,-9999.00000,-11.69200,0.22300,-11.56900,0.19500,-11.50300,0.19100,-11.42300,0.19900,-11.27700,0.15100,-11.31100,0.22100,-11.21800,0.18700,-11.20600,0.20400,-11.08000,0.15800,-10.95300,0.18400,-9.84500,0.30100,-9.98900,0.29400,-9.96300,0.30700,-9.93600,0.35600,-9.97100,0.37000,-9.90100,0.34100,-9.88800,0.25800,-9.83400,0.35200,-9.80500,0.43600,-9.82500,0.33900,-9.62700,0.34000,-9.60500,0.29300,-9.61300,0.35700,-9.52900,0.33000,0,-9999,-9999,-9999,25845910,12.87000,4.27000
-33.22500,-70.57500,SantiagoChile,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,4.00000,-9.00800,0.09800,-9.52300,0.19100,-9.23500,0.12400,-9.13200,0.09300,-9.31700,0.22300,-8.88000,0.10600,-8.89700,0.13500,-8.85400,0.14700,-9999.00000,-9999.00000,-11.52400,0.20200,-11.40700,0.18800,-11.32700,0.17400,-11.26500,0.18600,-11.15300,0.16800,-11.19100,0.20600,-11.09600,0.21100,-11.13100,0.17100,-10.99000,0.15800,-10.87900,0.18500,-9.69100,0.35000,-9.84800,0.30700,-9.82100,0.30600,-9.77600,0.37600,-9.82200,0.37700,-9.74000,0.36100,-9.74600,0.29000,-9.68300,0.33000,-9.66500,0.43000,-9.72800,0.34200,-9.54400,0.30500,-9.54600,0.29500,-9.56200,0.34100,-9.49400,0.31400,0,-9999,-9999,-9999,25845910,12.42000,4.57000
-33.22500,-70.52500,SantiagoChile,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.77500,0.08600,-9.40200,0.20000,-9.01400,0.15300,-8.89100,0.09100,-9.05200,0.20200,-8.70700,0.11400,-8.70400,0.13600,-8.67500,0.11500,-9999.00000,-9999.00000,-11.35800,0.21100,-11.25100,0.19500,-11.16700,0.16200,-11.11400,0.16900,-11.05300,0.19200,-11.08500,0.20500,-11.01400,0.22800,-11.05300,0.16900,-10.92600,0.17500,-10.84500,0.19700,-9.50200,0.37200,-9.67300,0.31700,-9.65700,0.30700,-9.56800,0.40500,-9.65400,0.36200,-9.55300,0.37500,-9.58400,0.32100,-9.50800,0.33300,-9.50300,0.44700,-9.55300,0.35100,-9.43900,0.30900,-9.43500,0.31700,-9.43700,0.33500,-9.35100,0.31700,0,-9999,-9999,-9999,25845910,8.87000,3.88000
-33.22500,-70.47500,SantiagoChile,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,264.00000,-8.68200,0.08600,-9.36700,0.19800,-8.92300,0.16400,-8.78400,0.09900,-8.92700,0.17800,-8.64900,0.13000,-8.62200,0.14400,-8.60200,0.10000,-9999.00000,-9999.00000,-11.12900,0.20300,-11.05100,0.19900,-10.99100,0.17300,-10.94300,0.16700,-10.90700,0.21100,-10.96900,0.22400,-10.92500,0.24600,-10.94600,0.21100,-10.83600,0.21600,-10.79800,0.20300,-9.11100,0.39400,-9.25200,0.37500,-9.26500,0.31800,-9.14300,0.41700,-9.28200,0.34800,-9.16400,0.34900,-9.25600,0.35200,-9.16600,0.34300,-9.15200,0.44400,-9.23300,0.35600,-9.18200,0.32900,-9.16500,0.33500,-9.10500,0.35000,-9.04300,0.35100,0,-9999,-9999,-9999,25845910,4.74000,3.00000
-33.22500,-70.42500,SantiagoChile,0,0.00070,492.00000,0.00080,400.00000,0.00160,879.00000,0.00170,1092.00000,-8.49800,0.08700,-9.27900,0.19600,-8.73600,0.18200,-8.56300,0.11200,-8.67800,0.14500,-8.51000,0.15500,-8.44000,0.15800,-8.43500,0.07800,-9999.00000,-9999.00000,-10.83300,0.16800,-10.78300,0.20600,-10.75700,0.20700,-10.72400,0.18500,-10.69000,0.20200,-10.78000,0.24900,-10.75200,0.24300,-10.75900,0.25400,-10.65200,0.25600,-10.68900,0.21400,-8.56200,0.33900,-8.65700,0.40600,-8.64300,0.27800,-8.56000,0.33600,-8.65000,0.34300,-8.54600,0.28200,-8.68400,0.33000,-8.62800,0.33800,-8.59200,0.37700,-8.76400,0.32800,-8.70700,0.34200,-8.70900,0.31500,-8.54700,0.35200,-8.54400,0.39600,0,-9999,-9999,-9999,25845910,6.15000,3.14000
