latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
19.77500,-70.92500,SantiagoDominicanRepublic,0,0.00230,868.00000,0.00420,1518.00000,0.00630,1483.00000,0.01410,2723.00000,-9.91800,0.24400,-10.38900,0.20100,-10.24500,0.25400,-10.09000,0.31900,-10.31000,0.16900,-9.87200,0.24000,-9.82300,0.14900,-9.90800,0.20800,-10.17100,0.14800,-10.22500,0.22400,-10.38900,0.22600,-10.30300,0.24400,-10.44900,0.25100,-10.05800,0.23100,-9.81900,0.14900,-10.03800,0.21600,-10.10800,0.18500,-10.10300,0.30200,-10.08000,0.18800,-8.90800,0.24000,-8.68100,0.48200,-8.89400,0.35900,-8.57500,0.27500,-8.68400,0.27800,-8.99000,0.30200,-9.19800,0.35100,-9.09000,0.45300,-9.62400,0.32300,-8.87900,0.41300,-8.90700,0.33700,-9.20900,0.43700,-9.59600,0.68600,-9.01900,0.32900,0,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.87500,SantiagoDominicanRepublic,1,0.00190,2229.00000,0.00320,3039.00000,0.00520,4649.00000,0.01190,5944.00000,-10.00200,0.24500,-10.44500,0.19700,-10.32700,0.26700,-10.20100,0.35500,-10.42000,0.16800,-9.96900,0.24800,-9.93400,0.15600,-9.99200,0.20100,-10.25100,0.15700,-10.34400,0.23300,-10.49200,0.22500,-10.34300,0.23100,-10.53300,0.25100,-10.20000,0.21000,-9.91100,0.17100,-10.13600,0.22800,-10.20500,0.19600,-10.20300,0.29100,-10.15500,0.19300,-8.98000,0.26900,-8.72000,0.50000,-8.81800,0.32200,-8.55800,0.33100,-8.64900,0.29400,-8.97700,0.30500,-9.09100,0.34500,-9.05600,0.44300,-9.54500,0.33400,-8.80700,0.42800,-8.84500,0.38300,-9.16600,0.49300,-9.60900,0.69900,-8.99100,0.32000,0,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.82500,SantiagoDominicanRepublic,1,0.00340,11527.00000,0.00670,15310.00000,0.00840,12985.00000,0.01160,8010.00000,-10.13000,0.24500,-10.51000,0.18800,-10.42500,0.27500,-10.37300,0.44900,-10.58400,0.16400,-10.10800,0.26300,-10.10400,0.16400,-10.11200,0.18400,-10.50600,0.17800,-10.65100,0.24100,-10.78400,0.23000,-10.59100,0.24400,-10.80200,0.26500,-10.50800,0.20300,-10.19000,0.19800,-10.39800,0.26100,-10.47400,0.21300,-10.48300,0.28200,-10.40500,0.21000,-8.94300,0.30800,-8.68000,0.44800,-8.72300,0.28900,-8.44200,0.31500,-8.53100,0.28200,-8.86000,0.29700,-8.86600,0.38800,-8.91900,0.41000,-9.35200,0.30500,-8.67100,0.40700,-8.67800,0.40100,-9.01000,0.50300,-9.37600,0.67100,-8.83800,0.34500,0,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.77500,SantiagoDominicanRepublic,0,0.00010,0.00000,0.00080,206.00000,0.00150,151.00000,0.00280,266.00000,-10.28100,0.23300,-10.61800,0.20400,-10.59200,0.27000,-10.58600,0.57400,-10.75200,0.15900,-10.28600,0.27800,-10.29500,0.17100,-10.29900,0.18700,-10.82700,0.20400,-11.01000,0.24000,-11.13100,0.26200,-10.89700,0.23000,-11.10700,0.25100,-10.87900,0.21700,-10.52200,0.18500,-10.73000,0.25400,-10.84200,0.21500,-10.82600,0.27200,-10.72500,0.21900,-8.80900,0.31000,-8.58000,0.38200,-8.62500,0.25500,-8.34200,0.27500,-8.42200,0.25500,-8.72500,0.28700,-8.64300,0.33200,-8.78200,0.37000,-9.20700,0.24700,-8.54600,0.35300,-8.52100,0.38900,-8.88100,0.44900,-9.11500,0.57500,-8.66800,0.32000,0,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.72500,SantiagoDominicanRepublic,1,0.02130,14622.00000,0.03710,26728.00000,0.07300,34489.00000,0.09250,36190.00000,-10.43100,0.22200,-10.73100,0.21900,-10.75700,0.26600,-10.79500,0.69700,-10.91400,0.15600,-10.46200,0.29000,-10.48300,0.17500,-10.48100,0.18800,-11.31400,0.23100,-11.52500,0.25900,-11.63500,0.33800,-11.40000,0.23300,-11.59700,0.23000,-11.44400,0.22500,-11.03200,0.19000,-11.24900,0.26700,-11.39400,0.22000,-11.33200,0.27300,-11.27300,0.23500,-8.78500,0.29800,-8.60200,0.37500,-8.69400,0.22500,-8.39500,0.30500,-8.43800,0.25400,-8.78500,0.27900,-8.61500,0.25500,-8.79900,0.34000,-9.27700,0.24700,-8.58800,0.34400,-8.56900,0.37900,-8.89500,0.46000,-9.07600,0.57300,-8.70300,0.31300,0,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.67500,SantiagoDominicanRepublic,2,0.09410,40209.00000,0.13350,77838.00000,0.19610,87888.00000,0.22510,92785.00000,-10.44800,0.22200,-10.74800,0.22000,-10.77900,0.26800,-10.81700,0.70300,-10.93200,0.15600,-10.48200,0.29100,-10.50300,0.17600,-10.49900,0.18700,-11.79300,0.27700,-12.06500,0.25400,-12.11500,0.39000,-11.88700,0.22600,-12.06000,0.24600,-11.95700,0.24100,-11.54400,0.20100,-11.75100,0.26500,-11.91500,0.27200,-11.83300,0.26400,-11.83200,0.25800,-9.25300,0.42200,-9.15700,0.47900,-9.16900,0.33100,-8.85600,0.46300,-8.82700,0.39200,-9.26600,0.46000,-9.10100,0.41600,-9.19200,0.40600,-9.61800,0.26600,-9.12700,0.35900,-8.96800,0.43700,-9.18300,0.47000,-9.38800,0.66300,-9.06500,0.40000,1,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.62500,SantiagoDominicanRepublic,1,0.00540,1474.00000,0.01170,4621.00000,0.02300,5659.00000,0.03160,6338.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-12.05300,0.29100,-12.35800,0.26700,-12.35900,0.38200,-12.19700,0.24700,-12.34500,0.22900,-12.22300,0.27600,-11.84000,0.19000,-12.00400,0.27300,-12.22500,0.29500,-12.11200,0.25100,-12.13700,0.25300,-10.37900,0.52100,-10.41500,0.54400,-10.45500,0.42300,-10.16600,0.49800,-10.23500,0.43800,-10.45400,0.52500,-10.35600,0.48400,-10.31200,0.50600,-10.81100,0.44000,-10.32500,0.46100,-10.32500,0.64300,-10.37000,0.67400,-10.39100,0.77100,-10.28100,0.58400,63,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.57500,SantiagoDominicanRepublic,0,0.00300,3285.00000,0.00660,5261.00000,0.01170,5047.00000,0.01470,4451.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,65,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.52500,SantiagoDominicanRepublic,1,0.00370,7063.00000,0.01480,13948.00000,0.02780,12147.00000,0.04090,13647.00000,-11.26500,0.27100,-11.49500,0.39300,-11.90800,0.43600,-11.97500,1.02300,-11.69300,0.46100,-11.53600,0.38100,-11.60100,0.19000,-11.63400,0.34500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,53,-9999,-9999,-9999,29002396,-9999,-9999
19.77500,-70.47500,SantiagoDominicanRepublic,1,0.00150,71.00000,0.00530,943.00000,0.01220,3678.00000,0.01900,6736.00000,-11.26500,0.27100,-11.49500,0.39300,-11.90800,0.43600,-11.97500,1.02300,-11.69300,0.46100,-11.53600,0.38100,-11.60100,0.19000,-11.63400,0.34500,-13.29700,0.26000,-13.59900,0.23500,-13.72200,0.43900,-13.66800,0.46000,-13.65100,0.26800,-13.49200,0.27400,-13.34800,0.26500,-13.37600,0.31100,-13.69000,0.41500,-13.34100,0.28200,-13.48800,0.32500,-9.83200,0.65100,-9.76700,0.48600,-9.72300,0.59600,-9.50400,0.51400,-9.48700,0.54800,-9.77600,0.55900,-9.53500,0.54700,-9.69300,0.54800,-10.08200,0.45500,-9.73600,0.52100,-9.51600,0.56100,-9.57700,0.62700,-9.83500,0.64900,-9.58000,0.64300,11,-9999,-9999,-9999,29002396,-9999,-9999
