latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-2.27500,-44.52500,SaoLuis,0,0.00000,276.00000,0.00000,347.00000,0.00000,278.00000,0.00000,286.00000,-9.77600,0.17200,-9999.00000,-9999.00000,-9.46400,0.31600,-9.60800,0.15800,-9.71900,0.37200,-9.53600,0.17400,-9.55200,0.24500,-9.56600,0.22500,-9999.00000,-9999.00000,-9.65900,0.24900,-9.47500,0.28900,-9.60900,0.24700,-9.74500,0.34900,-9.71000,0.38200,-9.85200,0.24600,-9.67000,0.30600,-9.82600,0.38300,-9.63500,0.25300,-9.67500,0.25200,-8.63300,0.41400,-8.52500,0.28600,-8.43700,0.29200,-8.58900,0.28900,-8.44500,0.21900,-8.61900,0.25700,-9.13400,1.13000,-8.48700,0.26300,-8.76800,0.30900,-8.54700,0.23600,-8.40500,0.21100,-8.35900,0.26200,-8.17100,0.22300,-8.30200,0.17300,0,-9999,-9999,-9999,30749072,35.75000,12.17000
-2.27500,-44.47500,SaoLuis,0,0.00000,24.00000,0.00000,30.00000,0.00000,22.00000,0.00000,17.00000,-10.42800,0.21800,-9999.00000,-9999.00000,-10.04500,0.34400,-10.23400,0.22800,-10.29700,0.41300,-10.14800,0.22400,-10.13400,0.27300,-10.22700,0.30300,-9999.00000,-9999.00000,-10.58900,0.29900,-10.41300,0.28800,-10.53600,0.27400,-10.66900,0.35000,-10.65000,0.37500,-10.76500,0.25500,-10.57900,0.31400,-10.74800,0.35500,-10.55600,0.25600,-10.60600,0.24200,-8.67000,0.40800,-8.58300,0.29000,-8.48500,0.29700,-8.63200,0.31600,-8.51200,0.26300,-8.64500,0.26300,-9.15700,1.12400,-8.58700,0.25200,-8.81600,0.31400,-8.58200,0.24400,-8.45600,0.22000,-8.40500,0.26300,-8.24600,0.21800,-8.35700,0.19700,0,-9999,-9999,-9999,30749072,32.35000,11.70000
-2.27500,-44.42500,SaoLuis,0,0.00000,52.00000,0.00000,66.00000,0.00000,0.00000,0.00000,0.00000,-11.16400,0.41700,-9999.00000,-9999.00000,-10.70600,0.38100,-10.87500,0.31500,-10.92300,0.47300,-10.77200,0.36700,-10.74300,0.31300,-10.90100,0.41500,-9999.00000,-9999.00000,-11.96800,0.31900,-11.82700,0.29100,-11.92900,0.32800,-12.04200,0.37200,-11.99300,0.36000,-12.10700,0.25100,-11.91300,0.30200,-12.11800,0.32900,-11.89700,0.29100,-11.95100,0.29000,-8.89000,0.43100,-8.82000,0.33200,-8.73300,0.38900,-8.88700,0.38400,-8.77900,0.38500,-8.83000,0.33500,-9.35200,1.21500,-8.90100,0.36800,-9.11100,0.40000,-8.75100,0.25300,-8.69600,0.28800,-8.67900,0.31100,-8.50700,0.27200,-8.71500,0.32100,0,-9999,-9999,-9999,30749072,39.31000,11.74000
-2.27500,-44.37500,SaoLuis,0,0.00000,18.00000,0.00000,22.00000,0.00000,0.00000,0.00000,0.00000,-11.57400,0.52800,-9999.00000,-9999.00000,-11.07600,0.40100,-11.23300,0.36300,-11.27200,0.50600,-11.12100,0.44800,-11.08300,0.33600,-11.27800,0.47700,-9999.00000,-9999.00000,-13.97600,0.37700,-13.86100,0.36600,-13.91100,0.40100,-13.98600,0.40200,-13.84900,0.30800,-13.97700,0.29800,-13.80900,0.32600,-14.02000,0.30400,-13.83000,0.35400,-13.80900,0.34400,-10.75300,0.71700,-10.83500,0.58300,-10.59400,0.45000,-10.70200,0.57500,-10.72500,0.49000,-10.77400,0.49200,-11.16400,1.00800,-10.70100,0.53400,-11.05200,0.62000,-10.58800,0.42200,-10.68100,0.52900,-10.64100,0.47500,-10.37300,0.49800,-10.63600,0.48300,98,-9999,-9999,-9999,30749072,27.49000,7.59000
-2.27500,-44.32500,SaoLuis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-15.84000,0.49500,-15.71000,0.36100,-15.76900,0.50700,-15.70900,0.51100,-15.60800,0.35500,-15.70400,0.41300,-15.56700,0.42500,-15.75900,0.37500,-15.60500,0.44800,-15.57500,0.36100,-13.62300,1.08700,-14.12300,1.17500,-13.55000,0.88000,-13.42300,1.08900,-13.59100,0.82800,-13.61500,1.08500,-13.74400,0.89400,-13.64200,0.98000,-13.78000,1.13000,-13.55300,1.00300,-13.72400,1.04000,-13.71900,0.93700,-13.65800,0.99700,-13.72100,0.85100,100,-9999,-9999,-9999,30749072,20.47000,9.19000
-2.27500,-44.27500,SaoLuis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30749072,-9999.00000,-9999.00000
-2.27500,-44.22500,SaoLuis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30749072,-9999.00000,-9999.00000
-2.27500,-44.17500,SaoLuis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30749072,-9999.00000,-9999.00000
-2.27500,-44.12500,SaoLuis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30749072,-9999.00000,-9999.00000
-2.27500,-44.07500,SaoLuis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30749072,-9999.00000,-9999.00000
