latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
43.32500,141.07500,Sapporo,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,22528080,-9999.00000,-9999.00000
43.32500,141.12500,Sapporo,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,22528080,-9999.00000,-9999.00000
43.32500,141.17500,Sapporo,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,22528080,-9999.00000,-9999.00000
43.32500,141.22500,Sapporo,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,22528080,-9999.00000,-9999.00000
43.32500,141.27500,Sapporo,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,22528080,-9999.00000,-9999.00000
43.32500,141.32500,Sapporo,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,22528080,-9999.00000,-9999.00000
43.32500,141.37500,Sapporo,0,0.00330,0.00000,0.00360,0.00000,0.00370,0.00000,0.00370,0.00000,-9.26700,0.27200,-8.98300,0.36100,-9.18200,0.50400,-10.04000,1.83300,-8.76600,0.42500,-8.79100,0.25800,-8.75000,0.17100,-8.50400,0.34800,-12.21000,0.34500,-12.07900,0.46800,-12.20300,0.37700,-12.21400,0.38500,-12.15500,0.54400,-12.10300,0.48100,-12.10300,0.38600,-12.07800,0.34700,-12.10400,0.38100,-12.03900,0.47400,-11.86400,0.47900,-11.74300,0.49600,-11.49800,0.37600,-11.31600,0.50000,-11.36100,0.36600,-11.49500,0.43700,-11.72100,0.51500,-11.42500,0.52100,-11.54800,0.43300,-11.80100,0.42400,-11.66500,0.56000,-11.41900,0.41400,-11.40900,0.72200,-11.54600,0.49800,-11.36600,0.61900,94,-9999,-9999,-9999,22528080,-9999.00000,-9999.00000
43.32500,141.42500,Sapporo,1,0.00490,752.00000,0.00570,505.00000,0.00630,519.00000,0.00650,389.00000,-9.42200,0.29800,-9.14800,0.32600,-9.32500,0.47500,-10.20400,1.80400,-8.92000,0.40300,-8.93500,0.23800,-8.93700,0.17400,-8.66700,0.34500,-11.77200,0.34700,-11.66400,0.42600,-11.79200,0.34400,-11.77200,0.37600,-11.74000,0.52900,-11.67600,0.41000,-11.65000,0.35700,-11.65100,0.31800,-11.68600,0.38100,-11.62800,0.45600,-11.50200,0.42800,-10.64400,0.43400,-10.48300,0.37500,-10.36000,0.43700,-10.29300,0.33100,-10.38400,0.41400,-10.62400,0.46900,-10.45900,0.46200,-10.53600,0.37300,-10.70500,0.41000,-10.57400,0.46700,-10.41800,0.40600,-10.36800,0.66100,-10.54500,0.46000,-10.39700,0.48400,29,-9999,-9999,-9999,22528080,22.20000,6.59000
43.32500,141.47500,Sapporo,0,0.00070,123.00000,0.00110,81.00000,0.00140,91.00000,0.00150,72.00000,-9.44600,0.30900,-9.14400,0.28800,-9.31700,0.41700,-10.14600,1.64300,-8.90000,0.37000,-8.89500,0.20100,-8.95600,0.16800,-8.65200,0.33700,-11.43600,0.35300,-11.39700,0.33300,-11.56200,0.30800,-11.48800,0.35800,-11.50800,0.51200,-11.41700,0.32800,-11.39600,0.32300,-11.40900,0.30500,-11.43700,0.37400,-11.42600,0.42400,-11.40100,0.35600,-9.44900,0.38500,-9.35900,0.36700,-9.27100,0.35500,-9.11200,0.31500,-9.15900,0.41500,-9.37400,0.40600,-9.37100,0.38000,-9.42500,0.34100,-9.48400,0.39100,-9.34600,0.36300,-9.26200,0.36800,-9.15600,0.52400,-9.39800,0.46100,-9.24500,0.34800,0,-9999,-9999,-9999,22528080,56.53000,7.15000
43.32500,141.52500,Sapporo,0,0.00030,34.00000,0.00060,48.00000,0.00070,69.00000,0.00090,122.00000,-9.12200,0.26700,-8.72000,0.27700,-8.93800,0.34200,-9.58600,1.29200,-8.46200,0.34000,-8.43100,0.15500,-8.53400,0.14500,-8.20400,0.32200,-11.01400,0.32400,-10.98800,0.31700,-11.16100,0.31700,-11.11700,0.31900,-11.16400,0.48500,-11.01100,0.36800,-11.00200,0.34300,-10.99600,0.31900,-11.00500,0.35300,-11.04800,0.40000,-11.01700,0.35000,-9.06700,0.41100,-8.94100,0.42600,-8.82600,0.37100,-8.66900,0.29100,-8.70500,0.46200,-8.91500,0.40900,-8.92700,0.35400,-8.98900,0.37200,-8.99100,0.41500,-8.84300,0.36600,-8.81900,0.33700,-8.66600,0.45800,-8.84800,0.44400,-8.76500,0.36900,0,-9999,-9999,-9999,22528080,66.17000,6.66000
