latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
47.82500,-122.57500,Seattle,1,0.00260,1158.00000,0.01570,1645.00000,0.02260,1841.00000,0.02630,1845.00000,-10.51700,0.28600,-10.57000,0.47700,-10.65900,0.36900,-10.61700,0.72300,-10.56700,0.29200,-10.52700,0.15600,-10.37500,0.21400,-10.51700,0.12000,-13.89400,0.23400,-13.84100,0.30400,-13.75400,0.28700,-13.81300,0.27300,-13.89500,0.22100,-13.71700,0.28300,-13.78400,0.21600,-13.77700,0.25600,-13.66300,0.28500,-13.68800,0.26100,-13.76800,0.21600,-10.72100,0.32800,-10.70500,0.24500,-10.72900,0.28200,-10.68600,0.24600,-10.71200,0.25600,-10.73600,0.19400,-10.57300,0.23200,-10.58300,0.24900,-10.67600,0.24100,-10.57500,0.23900,-10.64700,0.21300,-10.54300,0.38300,-10.60500,0.29600,-10.62500,0.29600,6,0.00780,2.72810,0.44550,20813460,46.54000,7.06000
47.82500,-122.52500,Seattle,1,0.00740,1952.00000,0.02070,2503.00000,0.02860,2784.00000,0.03350,3082.00000,-10.47000,0.28500,-10.51700,0.46300,-10.60800,0.38300,-10.55900,0.68100,-10.50400,0.29200,-10.45900,0.15400,-10.31300,0.20700,-10.46000,0.12400,-13.78300,0.20500,-13.68900,0.34600,-13.55000,0.35500,-13.58300,0.27600,-13.65700,0.27100,-13.47400,0.32200,-13.52800,0.26100,-13.52200,0.32100,-13.41500,0.32900,-13.41700,0.29900,-13.50500,0.26600,-11.21500,0.29000,-11.20900,0.25400,-11.20900,0.28500,-11.19100,0.27800,-11.19700,0.24900,-11.24100,0.18600,-11.09100,0.24800,-11.04700,0.26900,-11.16600,0.26100,-11.08000,0.21800,-11.14400,0.21900,-11.01600,0.39400,-11.08700,0.29700,-11.09600,0.32000,2,0.00650,3.81150,0.37710,20813460,56.78000,6.91000
47.82500,-122.47500,Seattle,0,0.00630,669.00000,0.01040,775.00000,0.01240,854.00000,0.01390,943.00000,-10.47000,0.28500,-10.51700,0.46300,-10.60800,0.38300,-10.55900,0.68100,-10.50400,0.29200,-10.45900,0.15400,-10.31300,0.20700,-10.46000,0.12400,-13.68100,0.19700,-13.56600,0.35400,-13.41300,0.37500,-13.44300,0.28200,-13.50900,0.28800,-13.32000,0.32800,-13.37900,0.27500,-13.36700,0.33300,-13.25400,0.34800,-13.25600,0.31100,-13.34500,0.28200,-11.15200,0.27200,-11.13000,0.24600,-11.13100,0.26900,-11.11200,0.26700,-11.11100,0.22400,-11.15600,0.18400,-11.00400,0.23900,-10.96900,0.24400,-11.07600,0.25300,-10.99900,0.19700,-11.03700,0.19900,-10.97800,0.38400,-10.98500,0.28700,-10.97400,0.30500,81,0.00120,0.54980,0.07890,20813460,16.34000,8.23000
47.82500,-122.42500,Seattle,0,0.00200,0.00000,0.00280,0.00000,0.00290,0.00000,0.00300,0.00000,-10.23500,0.27100,-10.19900,0.31700,-10.33600,0.43300,-10.15000,0.57800,-10.12000,0.24000,-10.06000,0.20300,-9.93800,0.20600,-10.16300,0.23700,-13.33400,0.18500,-13.16400,0.35800,-12.99700,0.42800,-13.00000,0.30600,-13.06700,0.32300,-12.85200,0.34500,-12.94200,0.29900,-12.90800,0.35700,-12.73700,0.38000,-12.76500,0.34800,-12.86600,0.32400,-11.13100,0.28400,-11.12500,0.25300,-11.07500,0.27700,-11.03000,0.28800,-11.05200,0.21700,-11.12400,0.22200,-10.96500,0.29100,-10.93100,0.23000,-11.07800,0.27100,-11.03600,0.25300,-10.92200,0.17700,-10.95100,0.33900,-10.85100,0.28900,-10.82700,0.30200,100,0.00000,0.00000,0.00000,20813460,-9999.00000,-9999.00000
47.82500,-122.37500,Seattle,2,0.26340,8162.00000,0.33130,10921.00000,0.33730,13260.00000,0.34190,16613.00000,-10.23500,0.27100,-10.19900,0.31700,-10.33600,0.43300,-10.15000,0.57800,-10.12000,0.24000,-10.06000,0.20300,-9.93800,0.20600,-10.16300,0.23700,-12.74200,0.14600,-12.54100,0.37000,-12.37200,0.48000,-12.37900,0.29600,-12.42400,0.32900,-12.22800,0.35600,-12.28500,0.29800,-12.24200,0.36400,-12.03300,0.39200,-12.09200,0.35700,-12.16400,0.36300,-10.80300,0.28200,-10.80600,0.27000,-10.73700,0.27800,-10.71200,0.28400,-10.74300,0.20800,-10.80700,0.23500,-10.63100,0.31800,-10.60800,0.22500,-10.73100,0.28000,-10.70200,0.26000,-10.53500,0.16600,-10.56300,0.37400,-10.42400,0.31600,-10.37200,0.31400,15,0.03620,4.03070,3.32390,20813460,28.11000,8.10000
47.82500,-122.32500,Seattle,3,0.67180,23072.00000,0.78090,30568.00000,0.78820,37122.00000,0.79420,46805.00000,-10.21100,0.27100,-10.14000,0.33500,-10.39900,0.42900,-10.09500,0.48700,-10.02800,0.19900,-9.99000,0.20900,-9.91100,0.22700,-10.13100,0.27100,-12.12700,0.13700,-11.92400,0.33700,-11.77700,0.47200,-11.76100,0.29600,-11.80700,0.30800,-11.62200,0.33400,-11.67800,0.28200,-11.60300,0.36600,-11.39500,0.37100,-11.43500,0.34300,-11.52200,0.36300,-9.58300,0.32400,-9.55400,0.29900,-9.55600,0.31900,-9.46200,0.39000,-9.53900,0.35000,-9.58800,0.35400,-9.37300,0.36900,-9.46800,0.27600,-9.40300,0.40900,-9.38300,0.35900,-9.28900,0.30700,-9.15400,0.50400,-9.25300,0.36900,-9.18700,0.39300,0,0.08380,8.42760,8.14560,20813460,27.61000,6.79000
47.82500,-122.27500,Seattle,3,0.56620,19461.00000,0.71650,26134.00000,0.73890,31808.00000,0.76610,40155.00000,-10.14300,0.26800,-10.08200,0.31800,-10.31100,0.42100,-10.03000,0.45900,-9.95700,0.19800,-9.91900,0.21100,-9.84100,0.22700,-10.06100,0.27800,-11.88000,0.13900,-11.66800,0.33000,-11.52700,0.46000,-11.50300,0.28800,-11.55300,0.29300,-11.38000,0.32300,-11.41800,0.27000,-11.34700,0.35500,-11.15400,0.34900,-11.17100,0.33800,-11.25200,0.35700,-9.16200,0.28900,-9.14300,0.24900,-9.17600,0.26200,-9.08800,0.31600,-9.12100,0.27300,-9.15600,0.27500,-8.97600,0.31100,-9.04500,0.24100,-9.01000,0.33200,-8.95900,0.26400,-8.89500,0.23100,-8.82100,0.38600,-8.85800,0.30800,-8.78600,0.32500,0,0.09430,8.80630,8.80260,20813460,23.89000,6.63000
47.82500,-122.22500,Seattle,3,0.20990,18956.00000,0.35970,25216.00000,0.42230,30591.00000,0.49080,38519.00000,-10.07500,0.26500,-10.02400,0.30200,-10.22400,0.41200,-9.96400,0.43100,-9.88600,0.19800,-9.84800,0.21200,-9.77000,0.22700,-9.99200,0.28500,-11.45500,0.14700,-11.24400,0.31100,-11.11300,0.43600,-11.08200,0.27300,-11.13300,0.26200,-10.99100,0.29800,-10.99600,0.24300,-10.93300,0.32900,-10.77600,0.30600,-10.74600,0.32600,-10.82000,0.34800,-8.75600,0.25200,-8.74600,0.17900,-8.81400,0.17800,-8.69700,0.25800,-8.70700,0.15700,-8.74100,0.14100,-8.59500,0.23700,-8.62900,0.17500,-8.63400,0.19500,-8.54500,0.12300,-8.54800,0.14300,-8.47000,0.26800,-8.42300,0.22100,-8.34100,0.21800,0,0.07510,8.00710,6.23890,20813460,30.21000,7.27000
47.82500,-122.17500,Seattle,2,0.11930,10040.00000,0.27820,13798.00000,0.34410,17251.00000,0.39180,21564.00000,-9.69900,0.25900,-9.66300,0.29500,-9.77200,0.39100,-9.60500,0.27500,-9.45300,0.16300,-9.45700,0.21900,-9.41000,0.21700,-9.63500,0.33600,-11.09100,0.14900,-10.92200,0.26900,-10.80300,0.37900,-10.78000,0.26400,-10.83100,0.20400,-10.71900,0.26100,-10.70500,0.21200,-10.64600,0.30200,-10.56300,0.24500,-10.47500,0.29100,-10.55200,0.31300,-8.70500,0.24800,-8.66900,0.20000,-8.74300,0.16600,-8.62700,0.24200,-8.62200,0.14500,-8.67500,0.13400,-8.54000,0.23300,-8.54200,0.15100,-8.57600,0.18200,-8.48300,0.12000,-8.49400,0.13600,-8.43300,0.26200,-8.33900,0.20400,-8.29200,0.21000,0,0.04830,7.88520,3.62710,20813460,35.19000,7.11000
47.82500,-122.12500,Seattle,2,0.04200,3871.00000,0.11610,4901.00000,0.14800,5914.00000,0.16130,7326.00000,-9.69900,0.25900,-9.66300,0.29500,-9.77200,0.39100,-9.60500,0.27500,-9.45300,0.16300,-9.45700,0.21900,-9.41000,0.21700,-9.63500,0.33600,-10.97800,0.13200,-10.83100,0.23200,-10.72900,0.31700,-10.68400,0.26200,-10.77100,0.14900,-10.66500,0.22700,-10.63500,0.19400,-10.60300,0.29000,-10.56700,0.22400,-10.45600,0.25400,-10.53100,0.29800,-8.69700,0.24800,-8.65800,0.20900,-8.72900,0.16600,-8.61400,0.25200,-8.59600,0.15600,-8.65800,0.13700,-8.52900,0.22500,-8.53100,0.15300,-8.58900,0.18400,-8.49700,0.12000,-8.51300,0.13700,-8.46200,0.26600,-8.33600,0.20700,-8.32500,0.20400,0,0.03570,7.61450,2.60570,20813460,35.39000,7.49000
