latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
38.52500,140.77500,Sendai,0,0.00080,81.00000,0.00080,88.00000,0.00400,345.00000,0.00450,334.00000,-8.20500,0.36300,-8.07800,0.28500,-8.13000,0.52800,-8.10000,0.26800,-7.90200,0.22200,-7.67200,0.22800,-7.69600,0.18700,-7.84100,0.18500,-10.29900,0.38100,-10.38300,0.31400,-10.29000,0.36800,-10.28800,0.37600,-10.17900,0.32100,-10.28100,0.30600,-10.03200,0.32200,-10.06700,0.31600,-10.06800,0.34000,-10.29500,0.39700,-10.24200,0.38500,-7.95700,0.26300,-7.98800,0.31800,-8.04800,0.37100,-7.95300,0.25200,-8.03200,0.31700,-8.06200,0.35500,-7.85100,0.32200,-8.02300,0.32100,-7.98400,0.40500,-7.97200,0.25900,-7.79600,0.32300,-7.83500,0.33600,-7.90800,0.25300,-7.85700,0.27800,0,-9999,-9999,-9999,24200124,49.65000,6.14000
38.52500,140.82500,Sendai,1,0.00890,2446.00000,0.00890,2664.00000,0.01520,2891.00000,0.02010,3156.00000,-8.29700,0.33100,-8.15100,0.28000,-8.19700,0.49700,-8.17100,0.25500,-7.99300,0.22500,-7.74100,0.23100,-7.77600,0.19000,-7.92300,0.18600,-10.14700,0.45000,-10.20700,0.33000,-10.14400,0.36000,-10.13000,0.38300,-10.02600,0.34000,-10.11600,0.32500,-9.87200,0.32900,-9.85600,0.33400,-9.86400,0.34700,-10.08200,0.40900,-10.01600,0.37900,-7.95300,0.25700,-7.97600,0.32400,-8.03000,0.38400,-7.93500,0.28400,-8.04500,0.33800,-8.05700,0.37800,-7.82700,0.31200,-8.01000,0.32500,-7.94000,0.40800,-7.91700,0.30500,-7.75300,0.31100,-7.77000,0.36200,-7.82600,0.26800,-7.79500,0.31300,0,-9999,-9999,-9999,24200124,19.53000,5.20000
38.52500,140.87500,Sendai,1,0.04240,5150.00000,0.04240,5608.00000,0.05660,5778.00000,0.06770,5790.00000,-8.32000,0.31700,-8.15000,0.28600,-8.18600,0.50300,-8.15200,0.26700,-7.98200,0.22500,-7.71400,0.24800,-7.74900,0.20700,-7.90400,0.19500,-9.97600,0.49800,-10.02100,0.37200,-9.97500,0.38000,-9.96800,0.39700,-9.85200,0.35400,-9.94400,0.35100,-9.69500,0.36100,-9.65000,0.35500,-9.65800,0.37000,-9.85200,0.41100,-9.78900,0.36300,-7.93800,0.25000,-7.95800,0.32900,-7.98600,0.42500,-7.90400,0.32300,-8.03500,0.35300,-8.04200,0.38900,-7.79200,0.29600,-7.99200,0.32100,-7.90800,0.41100,-7.87800,0.32300,-7.70700,0.30100,-7.71900,0.38800,-7.74700,0.27700,-7.73800,0.33800,0,-9999,-9999,-9999,24200124,18.05000,5.30000
38.52500,140.92500,Sendai,1,0.05350,8973.00000,0.05350,9770.00000,0.06570,9940.00000,0.07770,10444.00000,-8.32500,0.31500,-8.15000,0.28800,-8.18400,0.50600,-8.14800,0.27100,-7.97900,0.22500,-7.70800,0.25200,-7.74300,0.21200,-7.89900,0.19800,-9.89300,0.54700,-9.92500,0.42600,-9.92600,0.41300,-9.90600,0.39800,-9.79600,0.36500,-9.86300,0.38600,-9.63500,0.39100,-9.56200,0.37200,-9.57000,0.37200,-9.73100,0.43200,-9.69000,0.36300,-7.91000,0.23800,-7.93400,0.34400,-7.94200,0.44200,-7.87100,0.37000,-8.01900,0.36900,-8.02000,0.39200,-7.75000,0.30000,-7.97900,0.31100,-7.88500,0.42000,-7.85200,0.34200,-7.67800,0.30000,-7.70400,0.39100,-7.72500,0.27700,-7.71900,0.35100,0,-9999,-9999,-9999,24200124,17.36000,4.86000
38.52500,140.97500,Sendai,1,0.05690,5307.00000,0.05690,5779.00000,0.07120,6025.00000,0.08330,6191.00000,-8.40200,0.30200,-8.23200,0.30400,-8.23900,0.52000,-8.21000,0.28500,-8.04100,0.22200,-7.77200,0.25100,-7.81100,0.22800,-7.96900,0.21000,-9.83000,0.58600,-9.86500,0.47100,-9.90400,0.44600,-9.87900,0.40400,-9.76600,0.37300,-9.81000,0.42600,-9.60300,0.42600,-9.51100,0.38600,-9.54300,0.38000,-9.65500,0.43200,-9.62400,0.35400,-7.92600,0.22400,-7.95100,0.36700,-7.96300,0.45300,-7.88200,0.42000,-8.04600,0.39400,-8.03300,0.39000,-7.77400,0.31800,-8.00200,0.31200,-7.90300,0.43000,-7.86900,0.37500,-7.69200,0.29800,-7.73700,0.38300,-7.77100,0.28800,-7.75400,0.37500,0,-9999,-9999,-9999,24200124,24.05000,5.05000
38.52500,141.02500,Sendai,1,0.07370,5277.00000,0.07370,5746.00000,0.08500,6088.00000,0.09240,5952.00000,-8.48700,0.28900,-8.29600,0.29900,-8.27100,0.49000,-8.25600,0.28700,-8.11200,0.21800,-7.84500,0.25200,-7.89500,0.23400,-8.05100,0.21400,-9.83300,0.61800,-9.89300,0.49800,-9.96400,0.47300,-9.91100,0.42100,-9.79200,0.37400,-9.82500,0.44300,-9.63100,0.44500,-9.54800,0.40000,-9.59600,0.40800,-9.66700,0.43800,-9.64400,0.35400,-7.99000,0.21700,-8.01800,0.38000,-8.05500,0.46800,-7.94200,0.44100,-8.11000,0.42400,-8.08900,0.37800,-7.84600,0.32900,-8.06500,0.30600,-7.98000,0.42200,-7.93200,0.40200,-7.76000,0.30000,-7.81600,0.36900,-7.83700,0.28100,-7.83800,0.39200,0,-9999,-9999,-9999,24200124,24.67000,5.06000
38.52500,141.07500,Sendai,1,0.07060,11487.00000,0.07060,12504.00000,0.08300,13247.00000,0.10010,13031.00000,-8.69600,0.27600,-8.46100,0.29100,-8.41600,0.46400,-8.39800,0.29200,-8.29900,0.21500,-8.03800,0.24100,-8.10600,0.23300,-8.26800,0.21500,-9.92800,0.65200,-10.01500,0.50200,-10.11100,0.48100,-10.03100,0.43600,-9.91800,0.36600,-9.93400,0.45300,-9.75200,0.44900,-9.69700,0.41400,-9.73900,0.42500,-9.78600,0.46200,-9.78300,0.35400,-8.06100,0.21400,-8.06600,0.39000,-8.16000,0.46300,-7.98800,0.46000,-8.17600,0.43000,-8.14700,0.35800,-7.92100,0.31700,-8.11600,0.30000,-8.04600,0.41500,-7.98300,0.41900,-7.81800,0.30700,-7.87600,0.36000,-7.88900,0.25800,-7.90700,0.37200,0,-9999,-9999,-9999,24200124,10.85000,4.00000
38.52500,141.12500,Sendai,1,0.12360,14682.00000,0.12360,15910.00000,0.14060,15759.00000,0.15770,14958.00000,-8.86800,0.26900,-8.60600,0.29700,-8.56100,0.47600,-8.52800,0.30200,-8.44600,0.20900,-8.19500,0.22100,-8.27400,0.23000,-8.44600,0.21700,-10.02800,0.65800,-10.10800,0.48400,-10.22300,0.45900,-10.12700,0.43000,-10.00400,0.36000,-10.01300,0.44700,-9.84400,0.42500,-9.81800,0.41300,-9.85400,0.41400,-9.88300,0.44700,-9.87700,0.36300,-8.14100,0.21800,-8.12000,0.39700,-8.25500,0.43100,-8.04100,0.46400,-8.24100,0.42300,-8.19800,0.34300,-7.98000,0.28200,-8.15600,0.29700,-8.09100,0.41100,-8.03600,0.42700,-7.86200,0.31300,-7.92300,0.36900,-7.93200,0.24300,-7.95500,0.34200,0,-9999,-9999,-9999,24200124,9.70000,3.83000
38.52500,141.17500,Sendai,1,0.02230,3371.00000,0.02250,3295.00000,0.02730,3673.00000,0.03230,3755.00000,-9.05200,0.26500,-8.78200,0.30800,-8.74900,0.50100,-8.69200,0.33200,-8.63000,0.22400,-8.38400,0.22800,-8.47000,0.23900,-8.63400,0.22000,-10.15500,0.64800,-10.24300,0.47100,-10.34900,0.41000,-10.25600,0.40600,-10.12000,0.33400,-10.12800,0.43900,-9.97700,0.39900,-9.97800,0.40600,-9.99900,0.39700,-10.02400,0.41400,-10.00700,0.37000,-8.24400,0.22100,-8.24200,0.39900,-8.34700,0.38000,-8.15500,0.44100,-8.30400,0.41100,-8.30000,0.33400,-8.08300,0.25700,-8.29200,0.29800,-8.22500,0.40900,-8.13800,0.41000,-7.96300,0.30300,-8.02000,0.38400,-8.07900,0.23900,-8.05700,0.33400,0,-9999,-9999,-9999,24200124,22.53000,5.29000
38.52500,141.22500,Sendai,1,0.04190,5163.00000,0.05300,6172.00000,0.05980,5986.00000,0.06760,5666.00000,-9.46600,0.25700,-9.17700,0.33200,-9.17400,0.55700,-9.05900,0.39900,-9.04300,0.25800,-8.80900,0.24300,-8.91100,0.25900,-9.05900,0.22900,-10.26000,0.60200,-10.35700,0.45000,-10.45200,0.35600,-10.36000,0.35400,-10.23600,0.30400,-10.22600,0.40400,-10.09500,0.35100,-10.08700,0.36300,-10.10200,0.36600,-10.15000,0.38300,-10.13500,0.35100,-8.38300,0.21700,-8.38900,0.42900,-8.48400,0.35300,-8.33100,0.41400,-8.40000,0.42500,-8.47200,0.35600,-8.25500,0.23700,-8.46500,0.31100,-8.41600,0.40000,-8.25500,0.38300,-8.13500,0.30100,-8.14200,0.40500,-8.28400,0.25100,-8.23900,0.31300,0,-9999,-9999,-9999,24200124,13.67000,4.37000
38.52500,141.27500,Sendai,1,0.02100,1364.00000,0.02720,1975.00000,0.03620,2626.00000,0.04310,2733.00000,-9.61800,0.25900,-9.31400,0.34300,-9.30500,0.55000,-9.17700,0.41600,-9.17500,0.25400,-8.94900,0.24500,-9.06200,0.26800,-9.20800,0.22100,-10.43400,0.52500,-10.50600,0.41500,-10.61900,0.32200,-10.52200,0.30500,-10.40000,0.27200,-10.40500,0.37000,-10.28200,0.31000,-10.25500,0.32000,-10.26700,0.32200,-10.33300,0.35700,-10.31300,0.29300,-8.50000,0.21600,-8.46600,0.41900,-8.57500,0.34800,-8.41200,0.39100,-8.48600,0.41500,-8.54400,0.36300,-8.32800,0.22500,-8.51500,0.31200,-8.47300,0.37900,-8.31600,0.37100,-8.20400,0.29200,-8.21100,0.40700,-8.35100,0.25600,-8.31800,0.28400,0,-9999,-9999,-9999,24200124,16.57000,4.90000
38.47500,140.77500,Sendai,0,0.00000,0.00000,0.00000,0.00000,0.00020,89.00000,0.00020,77.00000,-8.12300,0.39000,-8.00500,0.29300,-8.06100,0.56000,-8.02400,0.28300,-7.81000,0.21900,-7.59600,0.23100,-7.60900,0.19000,-7.75400,0.18700,-10.00600,0.37800,-10.06700,0.31100,-9.91800,0.37700,-9.98400,0.38300,-9.80700,0.33200,-9.93400,0.28600,-9.68600,0.33600,-9.69500,0.33800,-9.70000,0.38200,-9.92800,0.36100,-9.89500,0.37300,-7.89800,0.26500,-7.94300,0.31200,-7.97500,0.39900,-7.89800,0.22700,-7.95200,0.28300,-7.98500,0.34500,-7.79400,0.33200,-7.95400,0.31900,-7.91100,0.39700,-7.89000,0.23800,-7.74700,0.32500,-7.79100,0.31500,-7.77600,0.27700,-7.78300,0.28400,0,-9999,-9999,-9999,24216650,61.30000,5.74000
38.47500,140.82500,Sendai,0,0.00710,651.00000,0.00710,709.00000,0.01150,652.00000,0.01420,636.00000,-8.15000,0.37200,-8.00800,0.30500,-8.08900,0.58100,-8.02200,0.28300,-7.80500,0.22300,-7.57000,0.24100,-7.58500,0.21000,-7.74100,0.19100,-9.77100,0.43500,-9.78900,0.31600,-9.68000,0.36000,-9.73300,0.38900,-9.55200,0.35200,-9.67800,0.30000,-9.44200,0.35000,-9.40100,0.34600,-9.39900,0.38500,-9.60000,0.36300,-9.55400,0.36000,-7.94300,0.26300,-7.96200,0.31600,-7.99500,0.41100,-7.92600,0.26000,-8.00300,0.30800,-8.02500,0.37600,-7.80400,0.30800,-7.97000,0.32500,-7.90200,0.40100,-7.87900,0.27000,-7.71700,0.31400,-7.74000,0.35900,-7.71300,0.29600,-7.74000,0.32300,0,-9999,-9999,-9999,24216650,43.77000,6.69000
38.47500,140.87500,Sendai,1,0.05740,7044.00000,0.05740,7669.00000,0.08260,6181.00000,0.10000,5663.00000,-8.17100,0.35800,-8.01100,0.31400,-8.11000,0.59700,-8.01900,0.28400,-7.80200,0.22600,-7.55100,0.24900,-7.56700,0.22500,-7.73200,0.19500,-9.52800,0.46500,-9.52800,0.33200,-9.45000,0.36700,-9.48800,0.39300,-9.29100,0.36700,-9.42800,0.31600,-9.20000,0.36200,-9.10700,0.35300,-9.12600,0.38200,-9.28100,0.35500,-9.23400,0.34600,-7.96800,0.25600,-7.98100,0.31900,-8.00000,0.42800,-7.94300,0.28800,-8.02600,0.31800,-8.05100,0.38600,-7.79700,0.29000,-7.97500,0.32500,-7.89300,0.40400,-7.87200,0.29600,-7.70100,0.30900,-7.69300,0.39300,-7.66500,0.31700,-7.72000,0.33900,0,-9999,-9999,-9999,24216650,21.41000,5.71000
38.47500,140.92500,Sendai,1,0.00740,903.00000,0.00740,983.00000,0.03910,3656.00000,0.06650,3957.00000,-8.29100,0.32800,-8.13400,0.31600,-8.19400,0.56700,-8.12800,0.29700,-7.93400,0.23000,-7.67200,0.25300,-7.69900,0.23200,-7.86400,0.20300,-9.41000,0.49500,-9.40300,0.37500,-9.36300,0.40000,-9.38100,0.39400,-9.19100,0.38200,-9.32300,0.34400,-9.08900,0.37000,-8.98700,0.35700,-9.00000,0.37800,-9.12300,0.36900,-9.08800,0.34100,-8.00000,0.23900,-8.02700,0.33300,-8.03200,0.44300,-7.96700,0.33000,-8.06700,0.33700,-8.07600,0.39100,-7.80300,0.27600,-8.02800,0.30900,-7.93000,0.41000,-7.90900,0.32500,-7.71600,0.31200,-7.72500,0.40100,-7.69500,0.30400,-7.74400,0.36500,0,-9999,-9999,-9999,24216650,34.57000,6.79000
