latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.72500,115.42500,Shangqiu,0,0.00000,0.00000,0.00000,0.00000,0.00010,1129.00000,0.00060,3897.00000,-9.01200,0.80800,-8.64300,0.71100,-8.59700,0.74800,-9.12900,0.74500,-9.31700,0.65900,-8.57900,0.73800,-8.62900,0.36700,-8.10000,0.23100,-9.92400,0.32900,-9.76500,0.28600,-9.84100,0.61800,-9.94500,0.48700,-9.57000,0.48700,-9.46600,0.46400,-9.34300,0.65500,-9.59700,0.67200,-9.37400,0.90600,-9.44600,0.72700,-9.56500,0.46100,-8.61700,0.54000,-8.63800,0.36000,-8.85400,0.32800,-8.85500,0.36700,-9.05700,0.47800,-8.97400,0.33900,-9.48000,0.77900,-9.17200,0.34700,-9.08400,0.49000,-8.98000,0.66800,-8.55600,0.39000,-8.67100,0.72300,-8.93000,0.52800,-8.41500,0.69900,0,0.01590,3.98750,0.88630,25402166,9.08000,3.10000
34.72500,115.47500,Shangqiu,1,0.00010,739.00000,0.00090,19543.00000,0.00160,23839.00000,0.00400,21897.00000,-8.99400,0.81100,-8.63300,0.70700,-8.59600,0.74800,-9.13500,0.75400,-9.32400,0.65200,-8.57800,0.74000,-8.62500,0.36400,-8.09900,0.23400,-9.95200,0.31700,-9.79300,0.30300,-9.84400,0.61200,-9.94300,0.49600,-9.56500,0.48800,-9.47500,0.46300,-9.31000,0.66100,-9.53000,0.63800,-9.34100,0.87900,-9.42800,0.71100,-9.57100,0.43600,-8.51400,0.44000,-8.53000,0.36800,-8.76800,0.33800,-8.79100,0.36300,-9.00800,0.49000,-8.91800,0.35000,-9.47100,0.76700,-9.12900,0.33500,-9.04200,0.47400,-8.86800,0.65000,-8.51500,0.39600,-8.63600,0.71400,-8.86400,0.55400,-8.30800,0.67900,0,0.01450,4.08530,0.75530,25402166,8.46000,3.08000
34.72500,115.52500,Shangqiu,1,0.00030,35294.00000,0.00200,37170.00000,0.00250,30696.00000,0.00350,24012.00000,-8.92800,0.82800,-8.60900,0.68100,-8.62800,0.75200,-9.17900,0.76200,-9.37100,0.59400,-8.59600,0.74400,-8.64900,0.34100,-8.13500,0.23700,-9.99400,0.29900,-9.85400,0.32300,-9.84900,0.61200,-9.94000,0.49900,-9.55400,0.49300,-9.48300,0.46500,-9.27000,0.66400,-9.46500,0.61000,-9.31100,0.83000,-9.41000,0.69300,-9.56000,0.41900,-8.44300,0.41100,-8.41800,0.34800,-8.70500,0.35700,-8.70500,0.36600,-8.94900,0.48800,-8.84400,0.35500,-9.44800,0.76500,-9.10000,0.33700,-9.00000,0.47700,-8.76700,0.65200,-8.46600,0.39100,-8.57000,0.71500,-8.81200,0.57800,-8.22200,0.66900,0,0.01520,4.42170,0.75030,25402166,6.38000,2.84000
34.72500,115.57500,Shangqiu,1,0.00080,30577.00000,0.00090,36252.00000,0.00090,36922.00000,0.00120,28206.00000,-8.91800,0.83100,-8.60600,0.67700,-8.63400,0.75300,-9.18600,0.76200,-9.37900,0.58500,-8.60100,0.74500,-8.65500,0.33800,-8.14200,0.23700,-10.04900,0.29400,-9.89700,0.32900,-9.85600,0.60600,-9.94700,0.50000,-9.53300,0.48900,-9.49800,0.48000,-9.23800,0.64400,-9.43000,0.60800,-9.30000,0.77000,-9.40200,0.68000,-9.55700,0.40400,-8.38100,0.36900,-8.33300,0.33600,-8.65900,0.37700,-8.64100,0.34800,-8.86800,0.50200,-8.77400,0.34600,-9.38600,0.77400,-9.06800,0.34600,-8.95600,0.49100,-8.70100,0.65800,-8.40300,0.36100,-8.48800,0.70200,-8.78200,0.61300,-8.20000,0.66100,0,0.02190,4.90390,1.32300,25402166,6.54000,2.82000
34.72500,115.62500,Shangqiu,0,0.00200,23754.00000,0.00270,24892.00000,0.00280,26728.00000,0.00320,23863.00000,-8.88700,0.85400,-8.62400,0.65800,-8.69700,0.77200,-9.23100,0.73500,-9.44900,0.53900,-8.65300,0.75800,-8.70700,0.33200,-8.21300,0.22900,-10.09800,0.31600,-9.94600,0.34100,-9.85200,0.58700,-9.94100,0.49900,-9.53800,0.48200,-9.50300,0.49100,-9.23300,0.61700,-9.44100,0.61000,-9.28600,0.71600,-9.41200,0.66900,-9.54500,0.41000,-8.37100,0.35900,-8.27300,0.33100,-8.65400,0.38400,-8.60100,0.32900,-8.80400,0.52400,-8.72400,0.34100,-9.32500,0.75500,-9.05200,0.36300,-8.93500,0.49500,-8.72200,0.65700,-8.37900,0.33900,-8.50600,0.66800,-8.82300,0.63700,-8.26900,0.67100,0,0.01740,4.64620,0.90800,25402166,7.29000,2.97000
34.72500,115.67500,Shangqiu,0,0.00060,632.00000,0.00100,729.00000,0.00100,673.00000,0.00120,3520.00000,-8.88400,0.85800,-8.63100,0.65600,-8.70900,0.77500,-9.23900,0.73000,-9.46100,0.53400,-8.66400,0.76100,-8.71700,0.33200,-8.22600,0.22900,-10.14700,0.35400,-9.99400,0.35400,-9.85900,0.55400,-9.95600,0.48000,-9.55800,0.46700,-9.52100,0.51600,-9.26500,0.57600,-9.47300,0.62700,-9.29400,0.64000,-9.45400,0.65900,-9.53300,0.43200,-8.37800,0.36400,-8.24300,0.33900,-8.66400,0.38300,-8.59800,0.31800,-8.77200,0.53400,-8.70900,0.34200,-9.29900,0.73900,-9.07600,0.36400,-8.94600,0.48500,-8.77300,0.64200,-8.40500,0.32700,-8.59100,0.68900,-8.90300,0.64000,-8.36100,0.69300,0,0.01780,4.69870,0.92040,25402166,6.34000,2.89000
34.72500,115.72500,Shangqiu,0,0.00010,50.00000,0.00020,4644.00000,0.00020,3655.00000,0.00050,2491.00000,-8.87800,0.87900,-8.69400,0.64700,-8.77800,0.79500,-9.28300,0.69500,-9.53200,0.51400,-8.73800,0.77500,-8.78700,0.33700,-8.31000,0.24000,-10.18700,0.38100,-10.03000,0.36500,-9.88300,0.51700,-9.97400,0.46400,-9.58800,0.46900,-9.52500,0.51100,-9.29500,0.55800,-9.51100,0.63200,-9.33200,0.58200,-9.49000,0.65300,-9.53500,0.43700,-8.38900,0.37300,-8.22800,0.35000,-8.67700,0.38000,-8.61100,0.32400,-8.75000,0.54100,-8.71300,0.34200,-9.31600,0.73600,-9.11100,0.36400,-8.97600,0.46800,-8.82200,0.62800,-8.43600,0.32700,-8.63600,0.69400,-8.96200,0.64900,-8.44300,0.70600,0,0.01540,4.28160,0.69970,25402166,7.61000,3.07000
34.72500,115.77500,Shangqiu,0,0.00010,0.00000,0.00020,0.00000,0.00030,0.00000,0.00040,894.00000,-8.87900,0.88200,-8.70700,0.64800,-8.78800,0.79900,-9.28900,0.69000,-9.54200,0.51300,-8.75100,0.77900,-8.80000,0.33600,-8.32400,0.24200,-10.21500,0.37900,-10.06400,0.37800,-9.94100,0.50000,-9.98700,0.45300,-9.61300,0.45200,-9.52400,0.50600,-9.34100,0.53400,-9.54600,0.63500,-9.37500,0.55700,-9.52400,0.64600,-9.53500,0.45300,-8.40500,0.38500,-8.23000,0.35700,-8.67500,0.37400,-8.62600,0.32000,-8.72500,0.55500,-8.72000,0.33800,-9.33400,0.73500,-9.16400,0.37100,-9.00400,0.45000,-8.86000,0.61900,-8.46000,0.32900,-8.70100,0.69100,-9.00200,0.64100,-8.51100,0.74000,0,0.01610,4.56000,0.84320,25402166,7.95000,3.14000
34.72500,115.82500,Shangqiu,1,0.00350,44581.00000,0.00670,34862.00000,0.00890,33758.00000,0.00990,28895.00000,-8.88900,0.89500,-8.78900,0.65600,-8.84700,0.82700,-9.32200,0.66400,-9.59300,0.51300,-8.83300,0.80400,-8.88300,0.32600,-8.40400,0.25700,-10.23100,0.36800,-10.10200,0.37300,-9.99800,0.48900,-10.00100,0.45900,-9.62400,0.43900,-9.50500,0.48900,-9.36400,0.53800,-9.57200,0.62700,-9.40200,0.53400,-9.55400,0.65100,-9.51800,0.44000,-8.41600,0.38900,-8.24000,0.37000,-8.66300,0.37400,-8.62800,0.30200,-8.70000,0.56100,-8.72600,0.32600,-9.33400,0.73900,-9.19600,0.37500,-9.02400,0.44400,-8.87800,0.61300,-8.47800,0.33300,-8.76100,0.68000,-9.04400,0.63600,-8.54200,0.76900,0,0.01760,4.57790,0.98210,25402166,7.00000,2.98000
34.72500,115.87500,Shangqiu,0,0.00010,0.00000,0.00280,5906.00000,0.00380,9166.00000,0.00570,7104.00000,-8.88200,0.89200,-8.79400,0.65900,-8.85200,0.83100,-9.31700,0.66100,-9.59500,0.51300,-8.84600,0.81200,-8.89100,0.32400,-8.41300,0.26200,-10.24800,0.33200,-10.14100,0.34000,-10.05500,0.49400,-10.00800,0.47000,-9.61300,0.43500,-9.47300,0.45700,-9.36000,0.53000,-9.57400,0.62700,-9.40900,0.50800,-9.55100,0.66200,-9.49800,0.44600,-8.41000,0.38400,-8.23600,0.37900,-8.62900,0.38700,-8.61800,0.29400,-8.66400,0.55900,-8.72700,0.32300,-9.29800,0.74300,-9.19800,0.37900,-9.03300,0.44200,-8.85000,0.59700,-8.47100,0.32800,-8.75500,0.68600,-9.03300,0.63400,-8.52100,0.78300,0,0.01770,5.08250,1.04750,25402166,6.59000,2.93000
