latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
42.07500,123.17500,Shenyeng,1,0.00190,962.00000,0.01480,2598.00000,0.01680,3148.00000,0.02140,3128.00000,-9.15100,0.25800,-8.21900,0.31000,-8.53200,0.34400,-9.37400,0.50500,-9.21500,0.54600,-8.60600,0.23900,-9.49700,0.45000,-9.84800,0.38900,-11.43600,0.55000,-12.06600,0.57200,-11.46200,0.48900,-11.66200,0.69100,-10.73200,0.47500,-10.82300,0.65600,-10.93000,0.72400,-11.45000,0.43300,-11.48600,0.49100,-11.22900,0.85500,-11.42200,0.80500,-10.23900,0.63500,-10.14400,0.73800,-10.64800,0.56100,-9.83000,0.36500,-9.48400,0.49000,-10.05600,0.48100,-9.78600,0.51300,-10.75900,0.42800,-10.67500,0.48100,-9.85600,0.53000,-10.01800,0.45400,-10.33000,0.59500,-9.98900,0.63400,-9.89300,0.86900,0,0.00910,3.69130,0.32080,22979528,2.69000,1.78000
42.07500,123.22500,Shenyeng,1,0.00420,7249.00000,0.01980,8044.00000,0.02160,8800.00000,0.02580,8623.00000,-9.14600,0.25600,-8.22200,0.31000,-8.53300,0.34500,-9.36700,0.50500,-9.21700,0.54500,-8.60600,0.24000,-9.49200,0.44900,-9.84300,0.38700,-11.43900,0.53000,-12.06900,0.53800,-11.46900,0.46200,-11.63600,0.64300,-10.73700,0.45400,-10.86800,0.61100,-10.98700,0.67700,-11.44000,0.40600,-11.46100,0.46300,-11.22900,0.82300,-11.47600,0.78600,-10.28600,0.62500,-10.16400,0.73600,-10.67900,0.57400,-9.86000,0.37200,-9.58200,0.50300,-10.12700,0.50300,-9.86000,0.52400,-10.81500,0.43200,-10.67100,0.50300,-9.89600,0.55000,-10.04300,0.45700,-10.33200,0.59200,-10.02500,0.61900,-9.89500,0.90400,0,0.01080,3.47290,0.46740,22979528,2.44000,1.75000
42.07500,123.27500,Shenyeng,1,0.00530,1357.00000,0.01760,1670.00000,0.01840,1868.00000,0.02840,1841.00000,-9.07700,0.22300,-8.27000,0.31500,-8.55400,0.35900,-9.25400,0.50900,-9.24200,0.52500,-8.60900,0.25700,-9.42100,0.43600,-9.76800,0.34600,-11.38100,0.52600,-11.99200,0.50100,-11.39900,0.43700,-11.55200,0.59300,-10.68800,0.41600,-10.86300,0.56300,-10.99100,0.63300,-11.36000,0.39300,-11.36400,0.45400,-11.15600,0.79100,-11.43400,0.75600,-10.31900,0.60900,-10.15700,0.73200,-10.70600,0.58000,-9.87100,0.37800,-9.74300,0.54300,-10.19400,0.53400,-9.97300,0.54400,-10.86400,0.48500,-10.70100,0.50600,-9.95200,0.57300,-10.10100,0.50600,-10.33600,0.61500,-10.06900,0.59400,-9.87200,0.95800,0,0.00970,3.48990,0.38300,22979528,7.01000,3.52000
42.07500,123.32500,Shenyeng,1,0.01610,5012.00000,0.03600,7138.00000,0.03740,8407.00000,0.05140,10354.00000,-9.06100,0.21500,-8.28100,0.31600,-8.55900,0.36200,-9.22900,0.51000,-9.24700,0.52000,-8.60900,0.26100,-9.40500,0.43300,-9.75000,0.33600,-11.24500,0.53600,-11.85100,0.50100,-11.29000,0.40900,-11.41400,0.56800,-10.60500,0.38300,-10.78100,0.52300,-10.93000,0.58500,-11.20800,0.39300,-11.22000,0.47000,-11.03100,0.75400,-11.35900,0.74600,-10.31100,0.60100,-10.08800,0.71200,-10.68400,0.59600,-9.82400,0.40600,-9.90600,0.57000,-10.18800,0.55700,-10.01700,0.54600,-10.84900,0.49700,-10.73400,0.53700,-9.96900,0.58700,-10.12400,0.53900,-10.30300,0.62700,-10.05500,0.56500,-9.81300,0.99700,0,0.01070,4.10300,0.58290,22979528,14.58000,5.00000
42.07500,123.37500,Shenyeng,1,0.00940,4127.00000,0.02070,5989.00000,0.02210,6882.00000,0.03030,7561.00000,-9.00800,0.19900,-8.30500,0.31600,-8.57900,0.36800,-9.12200,0.53100,-9.24400,0.50700,-8.57000,0.25700,-9.34500,0.41400,-9.65200,0.31600,-11.09800,0.53300,-11.67900,0.51400,-11.13000,0.39800,-11.27600,0.55000,-10.50700,0.36500,-10.66900,0.49200,-10.83500,0.55200,-11.03800,0.40300,-11.06000,0.48400,-10.88400,0.71700,-11.24100,0.73600,-10.25300,0.57800,-9.94500,0.66700,-10.58700,0.61400,-9.68500,0.43600,-9.94600,0.57600,-10.08700,0.58500,-9.95900,0.53400,-10.75200,0.48600,-10.68000,0.53600,-9.90700,0.60300,-10.07900,0.56500,-10.20100,0.60100,-9.93500,0.55400,-9.63700,1.01400,0,0.01100,4.22980,0.59320,22979528,13.88000,5.16000
42.07500,123.42500,Shenyeng,1,0.00290,1671.00000,0.01120,1952.00000,0.01210,1839.00000,0.02140,2028.00000,-8.98600,0.19000,-8.32000,0.31500,-8.59700,0.37100,-9.07000,0.54200,-9.24600,0.50100,-8.55500,0.25400,-9.32100,0.40500,-9.61300,0.30900,-10.96700,0.54200,-11.52800,0.53700,-10.98100,0.40500,-11.15300,0.54600,-10.42800,0.36900,-10.55400,0.46200,-10.75200,0.52500,-10.90100,0.41800,-10.93400,0.49600,-10.75900,0.69500,-11.11700,0.70600,-10.13500,0.57500,-9.68100,0.59200,-10.35000,0.61300,-9.36200,0.48400,-9.88100,0.58900,-9.81700,0.62000,-9.68800,0.52500,-10.46400,0.46500,-10.42600,0.55300,-9.69300,0.62300,-9.91000,0.62900,-9.98500,0.59100,-9.58300,0.54800,-9.28500,0.98700,0,0.00900,3.86420,0.42080,22979528,7.62000,3.82000
42.07500,123.47500,Shenyeng,1,0.01910,15062.00000,0.04990,18198.00000,0.05370,20417.00000,0.06290,24222.00000,-8.98000,0.18600,-8.34700,0.31500,-8.63200,0.36900,-9.04100,0.52700,-9.24900,0.49500,-8.54300,0.24200,-9.31200,0.39900,-9.59300,0.31700,-10.87600,0.54600,-11.40900,0.55600,-10.87400,0.42200,-11.04400,0.54900,-10.37500,0.37100,-10.43900,0.45500,-10.65300,0.51400,-10.78800,0.42300,-10.82700,0.49700,-10.63600,0.67000,-10.98500,0.66300,-9.72000,0.58800,-9.32600,0.50000,-9.95400,0.55100,-8.96100,0.44000,-9.55500,0.57600,-9.31800,0.58400,-9.23800,0.46000,-9.97300,0.41700,-10.00100,0.51200,-9.24900,0.58800,-9.47000,0.60900,-9.54400,0.56000,-8.96400,0.56600,-8.80100,0.86100,0,0.01800,4.59770,1.28340,22979528,7.34000,3.49000
42.07500,123.52500,Shenyeng,2,0.03540,41764.00000,0.08710,51755.00000,0.09700,59161.00000,0.11790,67907.00000,-8.97600,0.18000,-8.38200,0.31500,-8.67500,0.36500,-9.01500,0.51300,-9.25300,0.48500,-8.53800,0.23100,-9.30900,0.39300,-9.57300,0.32600,-10.83400,0.54900,-11.33500,0.56500,-10.81500,0.43800,-10.99300,0.56000,-10.36500,0.37900,-10.38000,0.46500,-10.58600,0.52300,-10.73700,0.42600,-10.75400,0.48000,-10.56100,0.64700,-10.88500,0.61400,-9.30900,0.59000,-9.10700,0.44800,-9.66400,0.49800,-8.69700,0.36900,-9.24300,0.55400,-8.90900,0.51500,-8.92700,0.39800,-9.61200,0.40800,-9.67700,0.46900,-8.85700,0.53500,-9.07600,0.56400,-9.17800,0.53500,-8.53900,0.56000,-8.46800,0.75300,0,0.02850,5.84500,2.47830,22979528,5.05000,2.93000
42.07500,123.57500,Shenyeng,1,0.00570,1633.00000,0.03420,2039.00000,0.03620,2116.00000,0.05620,2887.00000,-8.99600,0.18100,-8.41500,0.31300,-8.70900,0.36200,-9.03800,0.50100,-9.26300,0.48200,-8.55800,0.22600,-9.32900,0.39400,-9.58900,0.33900,-10.83100,0.56200,-11.30800,0.56900,-10.80900,0.45500,-10.99800,0.58300,-10.38900,0.39500,-10.38600,0.46400,-10.56100,0.53600,-10.75100,0.42600,-10.70300,0.45200,-10.55000,0.62800,-10.82000,0.55800,-9.12200,0.56200,-9.04500,0.42000,-9.55200,0.46500,-8.63300,0.35400,-9.08400,0.54400,-8.74400,0.47500,-8.75400,0.35300,-9.46800,0.39000,-9.58100,0.47200,-8.69300,0.49400,-8.94200,0.53600,-9.03100,0.51500,-8.37400,0.56200,-8.38200,0.70200,0,0.01070,3.29610,0.56010,22979528,3.17000,2.63000
42.07500,123.62500,Shenyeng,1,0.00590,2952.00000,0.03400,5255.00000,0.03870,5505.00000,0.05140,4216.00000,-9.00800,0.18600,-8.48000,0.30600,-8.75200,0.35600,-9.05400,0.47700,-9.26000,0.47200,-8.57100,0.21700,-9.32600,0.38900,-9.55400,0.35100,-10.85900,0.57300,-11.31100,0.56900,-10.85200,0.47400,-11.01200,0.60000,-10.44400,0.40900,-10.43300,0.45800,-10.55500,0.54200,-10.79100,0.43000,-10.67000,0.43000,-10.57700,0.61500,-10.79100,0.51100,-9.07900,0.52900,-9.07700,0.42700,-9.56200,0.46000,-8.63400,0.34200,-9.07400,0.54600,-8.73300,0.45600,-8.74600,0.35500,-9.43700,0.38500,-9.52300,0.48000,-8.62900,0.51400,-8.92100,0.52300,-8.97600,0.50000,-8.37600,0.57700,-8.37500,0.73000,0,0.01410,3.53860,0.81590,22979528,8.21000,3.44000
