latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
22.82500,113.87500,Shenzhen,2,0.00830,15763.00000,0.06070,16704.00000,0.20310,53504.00000,0.36430,130279.00000,-8.97800,0.43800,-8.43700,0.27100,-8.41400,0.43700,-8.54100,0.46400,-7.59800,0.53200,-7.91500,0.50700,-7.29200,0.32300,-7.46200,0.40200,-9.04300,0.69000,-8.63200,0.80600,-7.84400,0.94400,-7.50700,0.83200,-7.47100,0.79700,-6.93800,0.73500,-6.42900,0.85300,-6.41400,0.81400,-6.39700,0.88200,-5.89000,0.84600,-5.88800,0.69500,-5.74600,0.57200,-5.43300,0.70900,-5.32200,0.61000,-5.09600,0.69900,-5.27300,0.68500,-5.13700,0.65900,-4.59200,0.70000,-4.82500,0.61200,-4.75000,0.58100,-4.35800,0.70000,-4.01100,0.72500,-3.95000,0.80100,-3.78100,0.66800,-3.72200,0.75500,0,0.07290,7.80140,10.98120,28420222,18.91000,6.05000
22.82500,113.92500,Shenzhen,1,0.00290,2381.00000,0.01900,5150.00000,0.04630,13570.00000,0.11470,36698.00000,-8.81200,0.43800,-8.18700,0.21500,-8.30000,0.40100,-8.27900,0.43700,-7.34100,0.48200,-7.74000,0.50900,-7.12300,0.30800,-7.28800,0.38500,-8.96600,0.66100,-8.55800,0.79300,-7.79600,0.93700,-7.46900,0.80400,-7.43500,0.76200,-6.92800,0.68700,-6.40900,0.85200,-6.45300,0.78600,-6.41900,0.89300,-5.93300,0.86600,-5.91300,0.68500,-6.00700,0.54700,-5.70000,0.70700,-5.59600,0.58000,-5.40800,0.63200,-5.64500,0.64200,-5.43300,0.63900,-4.88200,0.69200,-5.16000,0.59800,-5.04100,0.56800,-4.70100,0.68700,-4.32300,0.72500,-4.22400,0.75600,-4.07000,0.65300,-3.99800,0.73800,0,0.02310,3.82240,3.37830,28420222,22.18000,7.19000
22.82500,113.97500,Shenzhen,2,0.00400,29519.00000,0.04880,33331.00000,0.13390,42153.00000,0.20040,62100.00000,-8.73600,0.43900,-8.08400,0.19700,-8.25100,0.39300,-8.17900,0.43500,-7.24700,0.46100,-7.67300,0.50800,-7.06100,0.30600,-7.22500,0.38200,-8.87600,0.62900,-8.49300,0.78700,-7.77600,0.92400,-7.47800,0.77400,-7.45400,0.74000,-6.95500,0.65700,-6.45000,0.82400,-6.51800,0.75300,-6.48100,0.91700,-6.03600,0.89200,-5.96900,0.66900,-6.12500,0.53500,-5.84700,0.69900,-5.76200,0.55200,-5.56200,0.55100,-5.82400,0.61100,-5.56800,0.63900,-5.05500,0.64300,-5.33900,0.60400,-5.22900,0.53600,-4.93700,0.67500,-4.54700,0.74200,-4.40400,0.74500,-4.27700,0.63200,-4.21300,0.67000,0,0.06710,8.19510,9.84070,28420222,23.73000,7.18000
22.82500,114.02500,Shenzhen,1,0.00160,14256.00000,0.04270,23100.00000,0.10640,38379.00000,0.13060,42587.00000,-8.50100,0.44200,-7.81500,0.17000,-8.11400,0.40500,-7.94800,0.47500,-7.05000,0.40800,-7.52200,0.49500,-6.93000,0.32500,-7.10400,0.39000,-8.84800,0.59300,-8.47700,0.78000,-7.79500,0.91700,-7.53500,0.75200,-7.49200,0.75000,-7.00900,0.64000,-6.55100,0.80000,-6.60900,0.73000,-6.58200,0.93500,-6.17000,0.92200,-6.06600,0.66300,-6.10800,0.53900,-5.84800,0.70500,-5.77200,0.56400,-5.52900,0.53000,-5.83900,0.60000,-5.55500,0.65000,-5.08800,0.63000,-5.37200,0.61400,-5.26500,0.52400,-5.02000,0.67900,-4.61000,0.73400,-4.43900,0.74800,-4.37200,0.64100,-4.30500,0.61900,0,0.03570,6.52520,5.58640,28420222,35.89000,8.69000
22.82500,114.07500,Shenzhen,3,0.00600,138483.00000,0.17770,148641.00000,0.28740,142766.00000,0.34640,154174.00000,-8.45200,0.44000,-7.77400,0.16700,-8.09300,0.41300,-7.92100,0.49200,-7.05400,0.39400,-7.52700,0.49600,-6.95100,0.33800,-7.12100,0.39700,-8.85600,0.56200,-8.53400,0.75500,-7.86000,0.87400,-7.63300,0.72400,-7.58900,0.74200,-7.13000,0.62800,-6.70400,0.76700,-6.73100,0.73900,-6.72100,0.93800,-6.35200,0.92900,-6.22500,0.66100,-6.00800,0.58700,-5.74100,0.72700,-5.66500,0.60400,-5.39500,0.54100,-5.73700,0.60200,-5.44300,0.66500,-4.97700,0.65800,-5.29200,0.63300,-5.15700,0.56500,-4.97200,0.72100,-4.50600,0.73300,-4.37000,0.70900,-4.34200,0.65800,-4.30400,0.58100,0,0.14620,12.65530,23.80240,28420222,14.17000,5.24000
22.82500,114.12500,Shenzhen,3,0.00870,107460.00000,0.28190,123164.00000,0.44010,140233.00000,0.50440,158565.00000,-8.35800,0.43700,-7.69700,0.16200,-8.05500,0.42500,-7.87100,0.52100,-7.06800,0.36700,-7.54300,0.49700,-7.00000,0.36200,-7.16200,0.41100,-8.89300,0.52500,-8.63700,0.71800,-7.98100,0.84100,-7.79700,0.69800,-7.73200,0.70900,-7.27300,0.63500,-6.86600,0.71800,-6.87200,0.75100,-6.86600,0.89200,-6.54700,0.90900,-6.40700,0.67500,-5.90000,0.64200,-5.59700,0.76000,-5.54500,0.62200,-5.29800,0.54400,-5.66400,0.60000,-5.36600,0.63600,-4.83000,0.67000,-5.20400,0.60400,-5.03200,0.57000,-4.87900,0.73700,-4.34900,0.70700,-4.29600,0.64300,-4.28900,0.66500,-4.28600,0.55900,0,0.12970,11.82170,19.84400,28420222,12.79000,5.07000
22.82500,114.17500,Shenzhen,3,0.00340,90427.00000,0.16570,157762.00000,0.33880,187802.00000,0.38030,204671.00000,-8.38200,0.42900,-7.75400,0.14600,-8.08100,0.41000,-7.95000,0.54100,-7.19000,0.35600,-7.66300,0.50800,-7.13300,0.35500,-7.29200,0.41400,-8.95800,0.48000,-8.77600,0.67800,-8.13000,0.81100,-7.96600,0.67500,-7.89000,0.67300,-7.46200,0.63900,-7.05400,0.65800,-7.04400,0.73700,-6.98900,0.84100,-6.73800,0.87600,-6.59200,0.69500,-5.98400,0.60600,-5.68500,0.77800,-5.67700,0.56200,-5.46300,0.52400,-5.84000,0.57600,-5.50800,0.61000,-4.96400,0.65700,-5.33800,0.57200,-5.17800,0.55800,-5.04600,0.63600,-4.50000,0.71400,-4.43400,0.65700,-4.50200,0.64900,-4.51400,0.51400,0,0.14830,10.82730,18.13900,28420222,9.17000,4.56000
22.82500,114.22500,Shenzhen,2,0.00160,1453.00000,0.04100,10785.00000,0.10360,19240.00000,0.15960,34676.00000,-8.40600,0.42300,-7.80900,0.13300,-8.10500,0.39600,-8.02100,0.55300,-7.30000,0.34600,-7.77000,0.51800,-7.25200,0.34600,-7.40900,0.41700,-9.05000,0.44200,-8.95500,0.63900,-8.32800,0.78300,-8.18600,0.64200,-8.07700,0.62700,-7.69000,0.63400,-7.28300,0.60500,-7.24800,0.72200,-7.13000,0.78800,-6.92500,0.84300,-6.80700,0.68700,-6.34900,0.55400,-6.10600,0.71300,-6.00900,0.49700,-5.92400,0.51900,-6.19400,0.49800,-5.87300,0.61500,-5.35800,0.63000,-5.68500,0.47300,-5.56200,0.54800,-5.40400,0.53000,-4.90300,0.64600,-4.82000,0.71900,-4.86900,0.60400,-4.89400,0.48800,0,0.03420,5.29860,5.53920,28420222,25.49000,7.40000
22.82500,114.27500,Shenzhen,1,0.00050,3719.00000,0.01290,5696.00000,0.03830,10810.00000,0.08330,22319.00000,-8.54800,0.42500,-8.02100,0.10700,-8.20600,0.39200,-8.26000,0.54800,-7.57800,0.34000,-8.04100,0.52500,-7.53300,0.29900,-7.72000,0.40600,-9.17100,0.38300,-9.15600,0.58400,-8.57900,0.75000,-8.45900,0.60100,-8.30800,0.58200,-7.96000,0.61600,-7.53500,0.56400,-7.47700,0.68400,-7.33200,0.72300,-7.14300,0.78600,-7.05700,0.67100,-6.65600,0.60500,-6.36600,0.67600,-6.26500,0.48900,-6.23700,0.46100,-6.41700,0.48200,-6.09100,0.61600,-5.59000,0.61600,-5.89500,0.39800,-5.79600,0.55100,-5.55700,0.50600,-5.17700,0.63500,-5.02600,0.76700,-5.01700,0.60000,-5.10500,0.52100,0,0.03310,6.07310,5.18720,28420222,24.13000,7.53000
22.82500,114.32500,Shenzhen,2,0.00180,3254.00000,0.08800,16052.00000,0.15520,25834.00000,0.22560,39068.00000,-8.62600,0.42500,-8.13700,0.09900,-8.26300,0.39100,-8.37900,0.53500,-7.71800,0.33600,-8.17600,0.52500,-7.67800,0.27600,-7.87600,0.40000,-9.35800,0.31900,-9.39900,0.51800,-8.87200,0.73200,-8.77400,0.55900,-8.60500,0.54500,-8.27000,0.60300,-7.85000,0.51900,-7.76400,0.62500,-7.62000,0.67100,-7.41000,0.70900,-7.33300,0.64500,-6.73300,0.68000,-6.33100,0.71500,-6.29600,0.54800,-6.25300,0.42200,-6.39500,0.53000,-6.07400,0.60900,-5.47800,0.60900,-5.82400,0.42600,-5.70700,0.63700,-5.37200,0.56500,-5.11000,0.70400,-4.84400,0.79800,-4.77300,0.67600,-4.89700,0.58100,0,0.06310,7.40830,7.88170,28420222,17.12000,6.21000
