latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
38.32500,114.22500,Shijianzhuang,2,0.00220,4076.00000,0.04870,9760.00000,0.05950,9397.00000,0.11310,11348.00000,-9.69400,0.36900,-9.24100,0.69300,-8.91100,0.55600,-8.96800,0.35600,-9.82000,0.34700,-9.72300,0.42000,-9.42700,0.52800,-9.33500,0.42200,-10.76300,0.38000,-10.77500,0.37200,-10.87900,0.61000,-10.51200,0.54100,-10.55600,0.54600,-10.57300,0.39400,-10.45400,0.61400,-10.22900,0.58400,-10.11600,0.37700,-10.01900,0.35000,-10.05000,0.44900,-8.91100,0.40100,-8.54500,0.33000,-8.61200,0.59500,-8.73200,0.44900,-8.57300,0.43600,-8.39000,0.35900,-8.28100,0.55100,-8.97900,0.49400,-8.51100,0.60600,-8.47400,0.61900,-8.69700,0.50200,-8.18000,0.65900,-8.48900,0.36900,-7.90400,0.46400,4,0.02060,4.41890,1.30500,24266122,5.20000,2.60000
38.32500,114.27500,Shijianzhuang,1,0.00030,2663.00000,0.02580,6498.00000,0.03340,7772.00000,0.07540,10259.00000,-9.67700,0.36900,-9.27500,0.70700,-8.91700,0.57500,-8.97700,0.35900,-9.79500,0.37900,-9.71500,0.41900,-9.45300,0.52500,-9.34500,0.42000,-10.63400,0.38600,-10.65100,0.36100,-10.70800,0.65300,-10.38400,0.58300,-10.44500,0.57700,-10.48100,0.43600,-10.35800,0.63200,-10.13700,0.64800,-10.05800,0.40800,-9.97200,0.34400,-9.97300,0.48800,-8.96100,0.41500,-8.60700,0.32500,-8.64300,0.59500,-8.73800,0.39500,-8.68100,0.43300,-8.48300,0.37400,-8.34600,0.57400,-9.08400,0.49400,-8.60700,0.61000,-8.54400,0.66500,-8.70700,0.52400,-8.22700,0.69300,-8.52000,0.36600,-7.97400,0.47100,0,0.01630,3.92840,1.02610,24266122,4.20000,2.33000
38.32500,114.32500,Shijianzhuang,2,0.00130,11473.00000,0.04010,17020.00000,0.05750,19038.00000,0.15690,23732.00000,-9.66700,0.36900,-9.30100,0.71900,-8.92300,0.59100,-8.98700,0.36200,-9.78200,0.40400,-9.71100,0.41900,-9.47700,0.52400,-9.35800,0.41900,-10.50500,0.40400,-10.52500,0.35500,-10.54200,0.69000,-10.27200,0.62600,-10.33700,0.59600,-10.38300,0.48200,-10.25600,0.66200,-10.05700,0.69500,-10.00300,0.43800,-9.92300,0.33700,-9.89000,0.52900,-9.01200,0.42400,-8.67600,0.32400,-8.67100,0.56500,-8.73000,0.35000,-8.77500,0.44800,-8.56900,0.38500,-8.40200,0.59300,-9.15200,0.47800,-8.67800,0.61600,-8.57900,0.71300,-8.69500,0.53400,-8.26300,0.71500,-8.52600,0.37600,-8.01100,0.47900,0,0.02460,5.29330,1.59900,24266122,4.69000,2.47000
38.32500,114.37500,Shijianzhuang,2,0.03650,37346.00000,0.14780,45022.00000,0.29790,50680.00000,0.40330,52305.00000,-9.65000,0.38400,-9.34200,0.73300,-8.93600,0.60400,-9.02200,0.36400,-9.77500,0.43600,-9.70500,0.42500,-9.49400,0.51300,-9.37400,0.42300,-10.38000,0.42200,-10.40600,0.37300,-10.39000,0.72600,-10.17200,0.67400,-10.23200,0.61400,-10.29000,0.51300,-10.16400,0.71800,-9.99200,0.73700,-9.95300,0.48200,-9.87600,0.34400,-9.81600,0.57100,-9.06600,0.43200,-8.74900,0.32400,-8.70200,0.53600,-8.73400,0.33900,-8.84800,0.47000,-8.63500,0.39500,-8.45100,0.60800,-9.18200,0.45500,-8.73100,0.60700,-8.59500,0.74400,-8.67400,0.53700,-8.28100,0.74500,-8.50500,0.38900,-8.03700,0.49100,0,0.07130,8.25360,7.54640,24266122,5.79000,2.38000
38.32500,114.42500,Shijianzhuang,2,0.00140,8005.00000,0.08170,15682.00000,0.12400,18349.00000,0.16530,20542.00000,-9.63500,0.39700,-9.37700,0.74700,-8.94600,0.61700,-9.05400,0.36600,-9.76900,0.46500,-9.70000,0.43000,-9.51200,0.50300,-9.39000,0.42700,-10.25800,0.44200,-10.28600,0.39500,-10.25700,0.76200,-10.10500,0.72400,-10.13600,0.63500,-10.21000,0.54400,-10.08400,0.79300,-9.94600,0.76600,-9.91500,0.53200,-9.83600,0.36300,-9.75100,0.62600,-9.13700,0.44900,-8.83200,0.32200,-8.73800,0.53100,-8.76900,0.35200,-8.92000,0.50700,-8.71000,0.39900,-8.51500,0.62600,-9.21700,0.43300,-8.81200,0.59700,-8.62200,0.76400,-8.66700,0.53600,-8.31400,0.78500,-8.49600,0.40400,-8.08300,0.51000,0,0.02520,5.26770,1.69000,24266122,6.27000,2.46000
38.32500,114.47500,Shijianzhuang,1,0.00100,5634.00000,0.04900,12104.00000,0.06640,12611.00000,0.08380,15197.00000,-9.61000,0.42900,-9.42100,0.75900,-8.96700,0.63000,-9.11600,0.36900,-9.78000,0.49700,-9.70200,0.44300,-9.51900,0.49800,-9.40700,0.44200,-10.15500,0.48200,-10.18300,0.43100,-10.15900,0.80100,-10.06800,0.76600,-10.07500,0.65100,-10.14300,0.56800,-10.02800,0.87200,-9.92300,0.77500,-9.88600,0.58200,-9.80900,0.39800,-9.69100,0.68900,-9.20000,0.46200,-8.90100,0.31600,-8.78100,0.53900,-8.81700,0.37900,-8.99200,0.52700,-8.78200,0.39900,-8.57500,0.62500,-9.24300,0.42300,-8.86500,0.61500,-8.64600,0.78100,-8.67100,0.53000,-8.36600,0.83900,-8.48400,0.42800,-8.11700,0.52800,0,0.01590,3.93760,0.88050,24266122,4.63000,2.29000
38.32500,114.52500,Shijianzhuang,1,0.00600,138.00000,0.05460,7208.00000,0.07320,9051.00000,0.07990,10762.00000,-9.57900,0.46400,-9.46500,0.77100,-8.98600,0.64300,-9.18100,0.37100,-9.78900,0.53200,-9.70200,0.45700,-9.52300,0.49200,-9.42200,0.45800,-10.08300,0.53200,-10.11700,0.47900,-10.10000,0.83900,-10.06200,0.78900,-10.04700,0.66700,-10.10100,0.58600,-10.00300,0.93900,-9.94600,0.77400,-9.87700,0.63200,-9.80200,0.44400,-9.65600,0.74400,-9.23600,0.46400,-8.94300,0.30700,-8.81400,0.55000,-8.84400,0.40200,-9.03700,0.53000,-8.81600,0.40900,-8.59500,0.61700,-9.24200,0.41800,-8.85700,0.64200,-8.63400,0.79700,-8.64900,0.51900,-8.37500,0.89000,-8.42700,0.46300,-8.09900,0.53400,0,0.01270,3.72500,0.62950,24266122,4.70000,2.22000
38.32500,114.57500,Shijianzhuang,2,0.00360,12518.00000,0.06070,21946.00000,0.08110,24088.00000,0.08630,26439.00000,-9.55000,0.49700,-9.50000,0.77800,-9.01000,0.65800,-9.22200,0.38800,-9.80900,0.55300,-9.70300,0.47200,-9.52900,0.49700,-9.43700,0.47400,-10.04400,0.58200,-10.08800,0.52200,-10.06600,0.86200,-10.08900,0.81400,-10.04700,0.68400,-10.09300,0.60900,-10.01000,0.98200,-10.00700,0.77200,-9.89800,0.66300,-9.82500,0.48900,-9.65900,0.79500,-9.24900,0.47000,-8.95700,0.30200,-8.83100,0.55900,-8.84700,0.41500,-9.05000,0.54600,-8.81300,0.43000,-8.55100,0.63500,-9.19000,0.40500,-8.79800,0.65500,-8.57000,0.81400,-8.57300,0.51700,-8.29900,0.94300,-8.27300,0.51500,-8.00800,0.54800,0,0.02540,4.06240,1.63810,24266122,5.86000,2.35000
38.32500,114.62500,Shijianzhuang,2,0.01000,11094.00000,0.06650,14342.00000,0.08740,15317.00000,0.11910,18568.00000,-9.50700,0.54000,-9.54100,0.78500,-9.03800,0.67600,-9.27100,0.40900,-9.83000,0.58000,-9.70100,0.49100,-9.52800,0.50100,-9.45100,0.49500,-10.03500,0.64600,-10.08700,0.56600,-10.05200,0.88300,-10.13000,0.85200,-10.07000,0.71000,-10.12400,0.63500,-10.03900,1.00700,-10.07900,0.77800,-9.94500,0.66900,-9.88300,0.53300,-9.67500,0.83900,-9.24100,0.48900,-8.95500,0.30200,-8.82200,0.56700,-8.83700,0.41400,-9.03500,0.56800,-8.78100,0.46000,-8.47300,0.65700,-9.09200,0.38000,-8.67500,0.64800,-8.46000,0.82500,-8.45200,0.51600,-8.14300,0.96700,-8.07000,0.53200,-7.84000,0.54800,0,0.02070,4.71870,1.21570,24266122,6.66000,2.58000
38.32500,114.67500,Shijianzhuang,3,0.05610,48705.00000,0.18850,55538.00000,0.27100,54679.00000,0.29580,55111.00000,-9.46900,0.56000,-9.55900,0.78200,-9.06300,0.68900,-9.28900,0.43600,-9.84200,0.59000,-9.69300,0.50300,-9.52800,0.50800,-9.45700,0.50400,-10.04700,0.72000,-10.09900,0.59200,-10.05400,0.92100,-10.17000,0.88500,-10.09700,0.74400,-10.18500,0.66100,-10.08300,1.01800,-10.16800,0.78400,-10.03000,0.68100,-9.96300,0.57500,-9.69700,0.85300,-9.23200,0.51600,-8.96000,0.30500,-8.80200,0.56300,-8.82800,0.40900,-9.01000,0.58700,-8.74500,0.50000,-8.43300,0.65700,-9.01100,0.36600,-8.56300,0.63400,-8.36400,0.81900,-8.34800,0.50100,-8.00400,0.94700,-7.96200,0.50200,-7.70600,0.53200,0,0.07640,8.25290,7.70670,24266122,5.78000,2.34000
