latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
1.52500,103.62500,Singapore,2,0.20160,21456.00000,0.20160,41565.00000,0.30860,71954.00000,0.37760,92395.00000,-7.38800,0.23000,-7.20200,0.17100,-6.97700,0.13800,-7.09700,0.18000,-7.07400,0.12900,-6.75400,0.09000,-7.15400,0.20300,-6.90100,0.13100,-8.10100,0.19500,-7.94600,0.20600,-7.86700,0.16800,-7.90600,0.24500,-7.89900,0.25000,-7.80000,0.24700,-7.74900,0.19700,-7.83300,0.17100,-7.69400,0.21300,-7.73200,0.29100,-7.79600,0.19700,-6.65100,0.39600,-6.73500,0.26300,-6.81800,0.22600,-6.66200,0.23400,-6.67200,0.19400,-6.59700,0.24900,-6.52500,0.24500,-6.45200,0.22900,-6.43200,0.22300,-6.38600,0.26100,-6.15200,0.39200,-6.21700,0.33200,-6.30300,0.35100,-6.02100,0.33000,0,-9999,-9999,-9999,30762070,15.98000,9.61000
1.52500,103.67500,Singapore,3,0.34480,42461.00000,0.34480,82256.00000,0.47180,107431.00000,0.50950,136926.00000,-7.14700,0.19900,-6.98000,0.15800,-6.68200,0.11700,-6.80700,0.17300,-6.78200,0.11400,-6.44400,0.09300,-6.90300,0.25500,-6.62200,0.13300,-7.92400,0.19500,-7.82800,0.22900,-7.76100,0.14600,-7.76400,0.25100,-7.72700,0.24500,-7.66200,0.21300,-7.57800,0.20900,-7.67000,0.18400,-7.51500,0.22500,-7.51700,0.29900,-7.51300,0.18500,-6.41500,0.48700,-6.41700,0.32400,-6.53100,0.25500,-6.41700,0.27100,-6.37500,0.22400,-6.24400,0.28400,-6.18800,0.27900,-6.05500,0.23600,-6.05500,0.23600,-5.97700,0.30500,-5.75700,0.41100,-5.80000,0.36900,-5.83600,0.35100,-5.63000,0.36200,0,-9999,-9999,-9999,30762070,6.91000,6.62000
1.52500,103.72500,Singapore,3,0.46710,35278.00000,0.46710,68297.00000,0.52320,88218.00000,0.56990,145122.00000,-7.10100,0.20500,-6.93300,0.16500,-6.63000,0.13000,-6.74600,0.16900,-6.71800,0.10900,-6.37900,0.09400,-6.83300,0.26400,-6.57100,0.16100,-7.81000,0.18000,-7.75800,0.23900,-7.70000,0.14500,-7.69300,0.27900,-7.59100,0.23800,-7.57700,0.20000,-7.46400,0.22800,-7.55300,0.21900,-7.40300,0.24400,-7.31200,0.28200,-7.27900,0.17800,-6.12200,0.49500,-6.09800,0.34700,-6.20000,0.28400,-6.05900,0.28800,-6.01800,0.26800,-5.89700,0.28200,-5.80300,0.33000,-5.73700,0.24500,-5.70100,0.27900,-5.58600,0.28100,-5.39100,0.31900,-5.40400,0.37400,-5.45100,0.30500,-5.25700,0.38900,0,-9999,-9999,-9999,30762070,8.05000,7.62000
1.52500,103.77500,Singapore,3,0.49600,43657.00000,0.49600,84520.00000,0.57170,104303.00000,0.60020,153833.00000,-7.07400,0.24100,-6.88700,0.19800,-6.60700,0.18400,-6.69000,0.15900,-6.64900,0.09900,-6.31500,0.09600,-6.73100,0.27300,-6.54100,0.25600,-7.82500,0.16600,-7.77200,0.20900,-7.71800,0.14200,-7.74300,0.28500,-7.56500,0.25400,-7.59000,0.19900,-7.48100,0.23300,-7.53200,0.23300,-7.40500,0.27600,-7.24100,0.23900,-7.20600,0.15900,-5.79500,0.44700,-5.81000,0.32000,-5.93700,0.33200,-5.78200,0.30800,-5.75900,0.34200,-5.60300,0.34900,-5.56300,0.35200,-5.51900,0.30200,-5.45200,0.31100,-5.26800,0.30100,-5.14900,0.33200,-5.11900,0.40600,-5.22400,0.33400,-4.95000,0.37900,0,-9999,-9999,-9999,30762070,5.80000,7.55000
1.52500,103.82500,Singapore,3,0.28650,20938.00000,0.28650,40537.00000,0.40930,58892.00000,0.42790,92493.00000,-7.20100,0.28400,-6.97400,0.20300,-6.75500,0.27100,-6.77400,0.15500,-6.72800,0.09700,-6.41200,0.08900,-6.77500,0.27200,-6.64900,0.31500,-7.93300,0.17100,-7.87200,0.19600,-7.82000,0.14400,-7.86400,0.27100,-7.65700,0.25700,-7.69700,0.22900,-7.61000,0.22800,-7.63100,0.21300,-7.53300,0.28900,-7.30700,0.24600,-7.29300,0.17700,-6.06100,0.44000,-5.96000,0.37800,-6.12000,0.35400,-5.90200,0.36300,-5.95500,0.35000,-5.72600,0.43300,-5.75800,0.42200,-5.77200,0.34000,-5.67400,0.35800,-5.50500,0.30000,-5.35500,0.36900,-5.31800,0.42600,-5.48500,0.41000,-5.20200,0.37300,0,-9999,-9999,-9999,30762070,14.78000,9.88000
1.52500,103.87500,Singapore,2,0.13340,6033.00000,0.13340,11679.00000,0.22410,23307.00000,0.24180,38711.00000,-7.28700,0.31400,-7.03300,0.20700,-6.85600,0.33000,-6.83200,0.15300,-6.78100,0.09600,-6.47800,0.08300,-6.80500,0.27100,-6.72200,0.35500,-8.07200,0.17600,-8.03300,0.18800,-7.99000,0.14900,-8.06700,0.25300,-7.84300,0.26600,-7.88900,0.22800,-7.85000,0.22900,-7.83000,0.20400,-7.76400,0.29800,-7.51500,0.26700,-7.49300,0.22700,-6.70000,0.50000,-6.55900,0.46900,-6.67000,0.39000,-6.48800,0.42400,-6.65200,0.36600,-6.38500,0.40600,-6.42700,0.46600,-6.50300,0.41300,-6.43200,0.41900,-6.25500,0.35200,-6.07700,0.37300,-6.01300,0.52200,-6.25300,0.44400,-5.96500,0.39100,0,-9999,-9999,-9999,30762070,21.45000,11.78000
1.52500,103.92500,Singapore,2,0.03330,1913.00000,0.03330,3703.00000,0.09820,12674.00000,0.12380,25539.00000,-7.73600,0.35700,-7.40000,0.17300,-7.32800,0.50200,-7.18200,0.14400,-7.13100,0.11300,-6.84800,0.09400,-7.13900,0.28700,-7.08500,0.40300,-8.21500,0.18800,-8.21900,0.18600,-8.17900,0.16800,-8.32100,0.24100,-8.09000,0.27900,-8.14200,0.22800,-8.15700,0.23800,-8.09500,0.23200,-8.05200,0.28700,-7.83000,0.28600,-7.76500,0.27400,-7.43500,0.50000,-7.45200,0.39600,-7.20800,0.35400,-7.16400,0.43000,-7.41000,0.39000,-7.29100,0.37400,-7.07400,0.45500,-7.25200,0.43300,-7.27100,0.47300,-7.13100,0.32100,-6.84300,0.38800,-6.82500,0.69900,-7.17800,0.48100,-6.76600,0.52100,0,-9999,-9999,-9999,30762070,15.77000,10.42000
1.52500,103.97500,Singapore,1,0.00530,237.00000,0.00530,458.00000,0.01160,421.00000,0.02180,2004.00000,-7.99600,0.39000,-7.64500,0.23400,-7.58500,0.57000,-7.40000,0.14700,-7.36200,0.13000,-7.08200,0.10500,-7.36700,0.30300,-7.32200,0.46300,-8.32800,0.18100,-8.37200,0.19500,-8.34400,0.21400,-8.53500,0.21700,-8.33000,0.27800,-8.41200,0.23300,-8.48900,0.26800,-8.38800,0.25400,-8.38300,0.24200,-8.20100,0.26500,-8.05600,0.30700,-7.89200,0.34200,-7.82400,0.30700,-7.50500,0.25600,-7.54300,0.33700,-7.79800,0.27100,-7.76700,0.29800,-7.56400,0.28500,-7.68500,0.31800,-7.78700,0.29200,-7.66600,0.25800,-7.40700,0.31100,-7.38700,0.63500,-7.71700,0.48000,-7.37500,0.50500,0,-9999,-9999,-9999,30762070,29.80000,13.19000
1.52500,104.02500,Singapore,1,0.00270,478.00000,0.00270,564.00000,0.00580,1792.00000,0.00820,1602.00000,-8.51400,0.45500,-8.13500,0.36700,-8.09300,0.70000,-7.83600,0.15600,-7.82500,0.16500,-7.54800,0.12800,-7.82500,0.33500,-7.79500,0.58800,-8.40200,0.17200,-8.46500,0.20200,-8.41800,0.24800,-8.64900,0.18300,-8.48700,0.21500,-8.64200,0.23300,-8.76700,0.31700,-8.61700,0.29100,-8.60000,0.21400,-8.51200,0.25000,-8.31200,0.25300,-8.11500,0.21800,-8.08200,0.31300,-7.66500,0.20200,-7.78800,0.26900,-8.07100,0.21400,-8.04000,0.25800,-7.85700,0.22600,-7.93500,0.21100,-8.07100,0.19700,-7.90200,0.21300,-7.66300,0.24600,-7.65800,0.54000,-8.01500,0.38500,-7.68100,0.40400,63,-9999,-9999,-9999,30762070,29.79000,13.78000
1.52500,104.07500,Singapore,0,0.00090,457.00000,0.00090,491.00000,0.00200,813.00000,0.00250,737.00000,-9.26300,0.49300,-8.81100,0.54400,-8.81900,0.80300,-8.50800,0.21100,-8.55400,0.20900,-8.29000,0.17000,-8.54900,0.35100,-8.51700,0.68100,-8.49600,0.15600,-8.53500,0.21500,-8.48200,0.24000,-8.75800,0.18600,-8.59400,0.18200,-8.82100,0.22100,-8.96900,0.32800,-8.81100,0.29700,-8.73700,0.20000,-8.77400,0.27500,-8.53800,0.20300,-8.21600,0.19800,-8.28400,0.31500,-7.83200,0.23100,-7.92800,0.27500,-8.23000,0.21500,-8.15600,0.24400,-8.01900,0.22100,-8.09000,0.18100,-8.28400,0.20800,-8.06700,0.20800,-7.85200,0.22700,-7.82800,0.39200,-8.20100,0.40100,-7.86400,0.34100,8,-9999,-9999,-9999,30762070,30.58000,14.83000
1.52500,104.12500,Singapore,0,0.00000,118.00000,0.00000,127.00000,0.00000,73.00000,0.00020,151.00000,-9.67300,0.50900,-9.18000,0.63000,-9.22500,0.85700,-8.88400,0.24300,-8.95700,0.23400,-8.70400,0.19100,-8.94900,0.35900,-8.91600,0.72400,-8.75400,0.13800,-8.74700,0.24000,-8.67300,0.27000,-8.97700,0.19300,-8.82900,0.16400,-9.12800,0.19600,-9.24400,0.28500,-9.13100,0.27400,-8.98900,0.22400,-9.07700,0.30200,-8.88500,0.15500,-8.23900,0.20000,-8.34600,0.31000,-8.07000,0.24100,-8.04400,0.20600,-8.21400,0.19600,-8.14300,0.21900,-8.03700,0.23000,-8.14100,0.17500,-8.32500,0.21600,-8.13600,0.25800,-7.96000,0.20800,-7.84900,0.32200,-8.23600,0.46400,-7.98000,0.32000,0,-9999,-9999,-9999,30762070,27.65000,13.97000
1.47500,103.62500,Singapore,3,0.11120,9237.00000,0.11120,17882.00000,0.22760,40197.00000,0.39730,84844.00000,-7.64600,0.20600,-7.43400,0.21300,-7.17600,0.13500,-7.31800,0.21100,-7.31700,0.14100,-6.90400,0.09600,-7.59700,0.38700,-7.08900,0.19800,-7.75700,0.20000,-7.58400,0.20500,-7.48300,0.17100,-7.52100,0.25800,-7.49200,0.25500,-7.39200,0.25300,-7.23900,0.20500,-7.29200,0.17000,-7.13200,0.21700,-7.17200,0.29300,-7.13700,0.19500,-6.69700,0.45700,-6.83100,0.32500,-6.87900,0.27400,-6.71400,0.29600,-6.68500,0.23200,-6.65100,0.28700,-6.52200,0.23800,-6.41000,0.24000,-6.38700,0.25600,-6.36900,0.27400,-6.10900,0.44900,-6.14700,0.34900,-6.24100,0.36500,-5.91200,0.35100,0,-9999,-9999,-9999,30762754,7.65000,6.58000
1.47500,103.67500,Singapore,2,0.18980,28130.00000,0.18980,54459.00000,0.27230,70252.00000,0.36940,100053.00000,-7.32600,0.18600,-7.12900,0.18400,-6.78500,0.11600,-6.90600,0.20200,-6.89300,0.11700,-6.47100,0.08800,-7.23300,0.43400,-6.71600,0.27000,-7.49700,0.19100,-7.35200,0.23000,-7.28500,0.15400,-7.25900,0.26500,-7.22500,0.27600,-7.14500,0.21300,-6.95900,0.20900,-7.02400,0.18400,-6.84000,0.22900,-6.82900,0.28400,-6.76100,0.18100,-6.34300,0.53500,-6.38700,0.37400,-6.50900,0.28700,-6.33600,0.34500,-6.25900,0.26700,-6.18900,0.29100,-6.07700,0.27600,-5.95300,0.25100,-5.97600,0.26100,-5.90400,0.32100,-5.66900,0.38200,-5.69500,0.39400,-5.73100,0.34400,-5.47500,0.38300,1,-9999,-9999,-9999,30762754,15.83000,9.26000
1.47500,103.72500,Singapore,2,0.31550,15390.00000,0.31550,29794.00000,0.33780,44053.00000,0.36450,73977.00000,-7.26300,0.19400,-7.05800,0.18500,-6.70800,0.11800,-6.81400,0.19600,-6.79600,0.11000,-6.37600,0.08800,-7.11900,0.43200,-6.63500,0.31400,-7.31500,0.19100,-7.19200,0.25800,-7.14200,0.14900,-7.08700,0.27600,-7.01200,0.30500,-6.94500,0.19300,-6.76500,0.22000,-6.81200,0.20100,-6.64300,0.24400,-6.53200,0.23900,-6.46600,0.18300,-5.67500,0.51300,-5.73100,0.34300,-5.87000,0.32200,-5.70100,0.30400,-5.66100,0.34000,-5.54900,0.34400,-5.47800,0.34300,-5.41800,0.29500,-5.34900,0.31800,-5.14200,0.32500,-5.06800,0.33600,-5.00800,0.42700,-5.06400,0.39000,-4.78300,0.37600,8,-9999,-9999,-9999,30762754,6.60000,8.49000
1.47500,103.77500,Singapore,3,0.47110,34777.00000,0.47110,66430.00000,0.48790,90987.00000,0.50050,158948.00000,-7.21600,0.23500,-6.97700,0.20200,-6.65300,0.13200,-6.71800,0.18200,-6.68800,0.10000,-6.28000,0.09500,-6.92200,0.39700,-6.55800,0.42400,-7.27800,0.20000,-7.14800,0.25100,-7.11700,0.14900,-7.06800,0.29000,-6.91800,0.30600,-6.87700,0.21700,-6.73100,0.22300,-6.73200,0.21800,-6.57800,0.26300,-6.38600,0.21400,-6.33100,0.17900,-5.37900,0.51300,-5.34100,0.35500,-5.45600,0.32300,-5.26700,0.33700,-5.26400,0.35700,-5.11000,0.38000,-5.04600,0.38400,-4.99400,0.29200,-4.94600,0.34900,-4.69900,0.32000,-4.61400,0.32200,-4.54800,0.42400,-4.58000,0.43000,-4.33500,0.34700,2,-9999,-9999,-9999,30762754,5.54000,7.60000
1.47500,103.82500,Singapore,3,0.29460,10487.00000,0.29460,25889.00000,0.34790,58038.00000,0.37610,169500.00000,-7.36300,0.27200,-7.07800,0.20700,-6.82000,0.21100,-6.81000,0.17900,-6.78200,0.10100,-6.39000,0.09300,-6.94800,0.37500,-6.65900,0.44200,-7.42100,0.20000,-7.29700,0.23800,-7.26400,0.15300,-7.22800,0.28000,-7.03100,0.30400,-7.01300,0.24800,-6.89700,0.22500,-6.86900,0.23400,-6.73900,0.29400,-6.48200,0.21000,-6.44200,0.17800,-5.13900,0.43100,-5.01400,0.37600,-5.10400,0.34100,-4.88600,0.34400,-4.91200,0.36700,-4.78500,0.39300,-4.66700,0.41300,-4.62400,0.31300,-4.58800,0.35000,-4.35600,0.30200,-4.21300,0.30800,-4.13200,0.41600,-4.29100,0.33200,-3.95900,0.30500,12,-9999,-9999,-9999,30762754,6.28000,7.79000
