latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
42.92500,23.07500,Sofia,0,0.00000,0.00000,0.00000,54.00000,0.00000,60.00000,0.00000,52.00000,-11.03800,0.23500,-10.44000,0.31100,-10.30400,0.10900,-10.75700,0.34000,-10.59900,0.33200,-10.71800,0.28400,-10.43400,0.31000,-10.80700,0.21000,-12.82500,0.31500,-13.27700,0.34800,-12.56000,0.35300,-12.44000,0.34600,-12.70000,0.33800,-12.78000,0.37700,-12.30800,0.28600,-12.59300,0.29900,-12.75800,0.33500,-12.73500,0.33500,-12.67500,0.29300,-10.87300,0.32200,-10.82500,0.40500,-10.74900,0.38200,-10.72400,0.29600,-10.99800,0.31000,-10.92000,0.24200,-10.79500,0.31400,-9.95100,0.47900,-10.55100,0.33700,-10.73400,0.39100,-10.69600,0.40100,-10.41400,0.61600,-10.71000,0.38300,-10.40900,0.42400,0,0.00160,0.82960,0.08470,22673746,8.37000,4.58000
42.92500,23.12500,Sofia,0,0.00000,0.00000,0.00030,7.00000,0.00050,20.00000,0.00060,37.00000,-10.86600,0.23000,-10.31300,0.29300,-10.16800,0.09700,-10.60900,0.32500,-10.44500,0.32000,-10.56800,0.28600,-10.28700,0.29400,-10.66500,0.23400,-12.71300,0.31900,-13.15200,0.33100,-12.45200,0.33100,-12.32900,0.35300,-12.58500,0.34700,-12.63300,0.36700,-12.19500,0.27800,-12.48800,0.28500,-12.61800,0.31900,-12.58900,0.34700,-12.54700,0.30200,-10.76800,0.32200,-10.72400,0.39400,-10.65600,0.37800,-10.61300,0.29700,-10.86600,0.30400,-10.79600,0.25100,-10.67200,0.32400,-9.89800,0.49400,-10.45000,0.34300,-10.62600,0.35600,-10.58400,0.38600,-10.32200,0.60600,-10.56300,0.37300,-10.31600,0.39700,0,0.00080,0.24440,0.04530,22673746,12.08000,5.15000
42.92500,23.17500,Sofia,0,0.00100,48.00000,0.00110,33.00000,0.00110,26.00000,0.00120,45.00000,-10.77000,0.22800,-10.24300,0.28400,-10.09100,0.09000,-10.52600,0.31700,-10.35900,0.31400,-10.48400,0.28800,-10.20300,0.28400,-10.58400,0.24800,-12.56400,0.31800,-12.97700,0.31100,-12.32300,0.30000,-12.19500,0.35700,-12.44000,0.36500,-12.46000,0.34700,-12.05700,0.27100,-12.35400,0.27600,-12.44000,0.30400,-12.42600,0.36100,-12.39300,0.31700,-10.51200,0.33200,-10.51500,0.36200,-10.42600,0.38000,-10.37200,0.28400,-10.59800,0.30700,-10.55500,0.25100,-10.44100,0.34400,-9.75900,0.50800,-10.20700,0.32000,-10.38300,0.33000,-10.32900,0.39200,-10.11300,0.57500,-10.30400,0.35700,-10.10300,0.35500,0,0.00150,1.75880,0.06360,22673746,23.79000,6.49000
42.92500,23.22500,Sofia,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.65000,0.22500,-10.15100,0.27700,-10.00100,0.09000,-10.32900,0.41600,-10.25200,0.30500,-10.34600,0.28000,-10.10400,0.28500,-10.48000,0.25800,-12.39100,0.31200,-12.77200,0.29200,-12.17300,0.27600,-12.04700,0.35700,-12.27800,0.37600,-12.27000,0.33500,-11.89500,0.26900,-12.19900,0.26900,-12.24600,0.28400,-12.25100,0.38200,-12.21100,0.33600,-10.12000,0.32400,-10.19400,0.33200,-10.05600,0.35200,-10.03600,0.27400,-10.22400,0.30900,-10.19200,0.26000,-10.10000,0.31300,-9.51600,0.47700,-9.83100,0.28200,-10.00500,0.29800,-9.99200,0.38800,-9.83100,0.57100,-9.98500,0.33200,-9.80600,0.33300,0,0.00080,0.78060,0.04400,22673746,32.72000,6.74000
42.92500,23.27500,Sofia,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.50100,0.22100,-10.03700,0.26900,-9.89100,0.09100,-10.08500,0.53700,-10.11800,0.29400,-10.17300,0.26800,-9.98100,0.28500,-10.35000,0.26900,-12.20900,0.30500,-12.55400,0.27600,-12.00800,0.26300,-11.88500,0.35800,-12.12000,0.37700,-12.07400,0.33900,-11.72200,0.28000,-12.04000,0.26200,-12.05500,0.26700,-12.07400,0.40200,-12.01700,0.34300,-9.73900,0.29100,-9.86300,0.31300,-9.70100,0.31500,-9.72700,0.27100,-9.87100,0.28900,-9.83400,0.26500,-9.76600,0.24800,-9.26500,0.41700,-9.51600,0.26300,-9.65800,0.26700,-9.68300,0.35300,-9.57200,0.56900,-9.72300,0.29800,-9.51200,0.31300,0,0.00010,0.09190,0.00290,22673746,50.08000,7.19000
42.92500,23.32500,Sofia,0,0.00070,0.00000,0.00110,0.00000,0.00110,0.00000,0.00110,0.00000,-10.45400,0.21100,-9.99700,0.26800,-9.85800,0.09600,-10.07200,0.43700,-10.07300,0.29200,-10.10800,0.26100,-9.94100,0.28600,-10.30400,0.26800,-12.05100,0.30000,-12.35600,0.26000,-11.86400,0.25700,-11.74500,0.36700,-11.99000,0.37800,-11.91300,0.34800,-11.57400,0.30900,-11.90200,0.25900,-11.89600,0.27200,-11.93400,0.41100,-11.86200,0.32700,-9.50700,0.26700,-9.65800,0.29600,-9.52000,0.32200,-9.53500,0.26500,-9.64900,0.26100,-9.61800,0.22700,-9.56600,0.22500,-9.12500,0.38400,-9.40500,0.26000,-9.49500,0.26400,-9.48000,0.32600,-9.40400,0.51800,-9.58400,0.26500,-9.30000,0.26000,0,0.00020,0.11450,0.01430,22673746,53.49000,7.45000
42.92500,23.37500,Sofia,0,0.00180,607.00000,0.00260,550.00000,0.00270,537.00000,0.00270,498.00000,-10.31600,0.18300,-9.87700,0.26400,-9.76500,0.11000,-10.03300,0.14600,-9.94400,0.28800,-9.92200,0.23700,-9.82900,0.29300,-10.17500,0.26200,-11.94300,0.30100,-12.19500,0.24600,-11.77500,0.25200,-11.65600,0.36500,-11.90700,0.36400,-11.79800,0.35700,-11.45400,0.35800,-11.80300,0.26000,-11.77800,0.28500,-11.85500,0.41400,-11.76200,0.30900,-9.38400,0.25800,-9.57500,0.29400,-9.43200,0.32100,-9.43400,0.27200,-9.52800,0.24400,-9.48500,0.18800,-9.42900,0.21600,-9.06000,0.35900,-9.35100,0.25900,-9.40900,0.26000,-9.40800,0.32300,-9.33300,0.49600,-9.51900,0.23800,-9.20800,0.24700,0,0.00260,1.72340,0.14050,22673746,41.50000,7.74000
42.92500,23.42500,Sofia,0,0.00040,0.00000,0.00080,0.00000,0.00090,0.00000,0.00090,0.00000,-10.30900,0.18200,-9.87200,0.26400,-9.76000,0.11300,-10.02700,0.14300,-9.93500,0.28900,-9.91100,0.23500,-9.82100,0.29100,-10.16600,0.26200,-11.86100,0.30400,-12.08200,0.24000,-11.72300,0.24300,-11.60200,0.35900,-11.85300,0.34000,-11.74500,0.35200,-11.37000,0.38900,-11.72100,0.25700,-11.68800,0.30900,-11.80000,0.41300,-11.69400,0.29800,-9.32700,0.25300,-9.50700,0.29200,-9.37700,0.32100,-9.38900,0.27000,-9.48600,0.24700,-9.43700,0.18900,-9.36700,0.21600,-9.02800,0.34700,-9.32700,0.26100,-9.36500,0.25900,-9.37400,0.32600,-9.29600,0.49300,-9.49200,0.23400,-9.14700,0.23300,0,0.00000,0.00630,0.00020,22673746,48.56000,7.92000
42.92500,23.47500,Sofia,0,0.00000,154.00000,0.00000,163.00000,0.00000,142.00000,0.00000,72.00000,-10.23100,0.16800,-9.78800,0.26200,-9.71600,0.15200,-9.95200,0.12200,-9.84200,0.30500,-9.80000,0.20800,-9.74800,0.28900,-10.06900,0.25200,-11.81800,0.30000,-12.01300,0.23500,-11.71500,0.23500,-11.57100,0.37700,-11.83200,0.32700,-11.72100,0.35000,-11.31200,0.41600,-11.68800,0.26500,-11.64000,0.33200,-11.77900,0.42100,-11.67800,0.29300,-9.29800,0.24900,-9.47000,0.31300,-9.34500,0.31600,-9.37200,0.26800,-9.46600,0.26100,-9.40200,0.20000,-9.34500,0.23800,-9.01200,0.34600,-9.34000,0.26300,-9.33300,0.27100,-9.35500,0.32900,-9.26900,0.49700,-9.48800,0.23500,-9.12300,0.23200,0,0.00000,0.00000,0.00000,22673746,47.64000,7.49000
42.92500,23.52500,Sofia,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.23000,0.16900,-9.78800,0.26200,-9.71400,0.15200,-9.95000,0.12100,-9.83900,0.30500,-9.79700,0.20800,-9.74600,0.28700,-10.06600,0.25200,-11.81800,0.31800,-12.01800,0.24000,-11.74000,0.24800,-11.58900,0.37200,-11.85300,0.31600,-11.73800,0.38000,-11.30100,0.44100,-11.70400,0.29300,-11.62400,0.34000,-11.80100,0.41200,-11.70400,0.32800,-9.28200,0.24700,-9.43800,0.32700,-9.31900,0.31400,-9.35800,0.25600,-9.45200,0.28000,-9.38400,0.21000,-9.35700,0.26900,-8.99100,0.35400,-9.35400,0.27000,-9.32300,0.26700,-9.34200,0.33100,-9.23200,0.51100,-9.49700,0.24200,-9.10200,0.23500,0,0.00010,0.23210,0.00740,22673746,47.83000,7.61000
