latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.32500,74.57500,Srinagar,0,0.00000,68.00000,0.00010,92.00000,0.00010,117.00000,0.00010,224.00000,-8.91300,0.55600,-8.85800,0.24800,-8.60200,0.66500,-8.93500,0.35900,-8.81700,0.27100,-8.75100,0.32200,-8.81500,0.57400,-8.84700,0.23800,-11.79400,0.23100,-11.40100,0.28400,-11.28700,0.28100,-11.10600,0.29800,-11.13000,0.26000,-11.29500,0.30600,-10.97800,0.25000,-10.98500,0.27300,-11.03500,0.27700,-11.11400,0.37700,-11.02800,0.24100,-8.13700,0.42700,-8.20700,0.42500,-8.27200,0.23700,-8.02000,0.29900,-8.28300,0.23100,-8.00300,0.23300,-7.99600,0.33900,-7.94800,0.30900,-7.88700,0.26200,-7.85000,0.36900,-7.73400,0.27200,-7.73700,0.38300,-7.83100,0.34400,-7.88900,0.26600,12,-9999,-9999,-9999,25522224,16.13000,7.08000
34.32500,74.62500,Srinagar,1,0.00040,3512.00000,0.00150,2275.00000,0.00150,2990.00000,0.00160,4700.00000,-8.72000,0.51500,-8.65400,0.24300,-8.43000,0.64200,-8.62600,0.46600,-8.62100,0.24800,-8.61000,0.28500,-8.59000,0.52900,-8.64200,0.24200,-11.61100,0.20800,-11.30600,0.29200,-11.22400,0.25800,-11.07300,0.30300,-11.06100,0.26500,-11.21900,0.29900,-10.94900,0.24000,-10.94000,0.26000,-11.01300,0.26800,-11.06300,0.36800,-11.00200,0.23200,-8.14600,0.42100,-8.22100,0.38800,-8.28600,0.23600,-8.02300,0.29100,-8.27000,0.23900,-8.02100,0.23300,-8.00800,0.31900,-7.96500,0.28300,-7.91800,0.26000,-7.89400,0.35300,-7.78000,0.25400,-7.76700,0.38200,-7.87400,0.34400,-7.92600,0.25100,0,-9999,-9999,-9999,25522224,15.96000,6.24000
34.32500,74.67500,Srinagar,0,0.00210,6718.00000,0.00710,4794.00000,0.00790,6824.00000,0.00810,9425.00000,-8.65200,0.50100,-8.57100,0.23500,-8.36800,0.63200,-8.56400,0.46700,-8.55300,0.23400,-8.55500,0.27400,-8.51300,0.51200,-8.57500,0.24300,-11.41100,0.20200,-11.20300,0.29600,-11.13800,0.24000,-11.05300,0.31200,-11.00400,0.26700,-11.12600,0.28300,-10.92900,0.25100,-10.88100,0.25800,-10.98500,0.26800,-11.00300,0.35900,-10.98300,0.20900,-8.16700,0.40400,-8.24600,0.34900,-8.29700,0.23900,-8.00900,0.29100,-8.23400,0.25000,-8.03400,0.22900,-8.03000,0.30900,-7.96500,0.30100,-7.94500,0.26700,-7.94500,0.32500,-7.83500,0.23700,-7.79600,0.40100,-7.90100,0.35200,-7.94600,0.25600,0,-9999,-9999,-9999,25522224,18.93000,6.91000
34.32500,74.72500,Srinagar,0,0.00020,0.00000,0.00080,0.00000,0.00090,0.00000,0.00090,0.00000,-8.39100,0.45300,-8.28900,0.21500,-8.15200,0.60900,-8.35800,0.43700,-8.30000,0.19400,-8.36300,0.21300,-8.21800,0.46400,-8.30100,0.23500,-11.22400,0.21900,-11.08000,0.29900,-11.05600,0.23700,-11.02300,0.31300,-10.95200,0.24900,-11.05800,0.26500,-10.91000,0.26900,-10.80900,0.25300,-10.92900,0.26500,-10.93600,0.33600,-10.97600,0.19800,-8.17400,0.39000,-8.24200,0.34300,-8.31100,0.24200,-7.98800,0.29800,-8.20900,0.25700,-8.04500,0.22800,-8.05800,0.29900,-7.97300,0.32300,-7.95600,0.28500,-8.00800,0.30400,-7.87600,0.23600,-7.84200,0.40700,-7.93500,0.36000,-7.97200,0.28400,0,-9999,-9999,-9999,25522224,37.65000,8.18000
34.32500,74.77500,Srinagar,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.37000,0.44800,-8.26700,0.21300,-8.13400,0.60900,-8.33800,0.43600,-8.27900,0.19100,-8.34500,0.21300,-8.19400,0.46000,-8.27900,0.23400,-11.04400,0.27800,-10.94200,0.30100,-10.97400,0.25400,-10.99000,0.32600,-10.91200,0.23800,-10.98100,0.27000,-10.91000,0.29600,-10.77100,0.27300,-10.86800,0.25200,-10.85400,0.33700,-10.97600,0.18900,-8.12000,0.39700,-8.17500,0.35900,-8.30900,0.24300,-7.93500,0.30100,-8.15900,0.27500,-8.00700,0.24500,-8.04800,0.29000,-7.97000,0.34300,-7.94100,0.30200,-8.03400,0.29900,-7.87600,0.25100,-7.86800,0.41000,-7.95900,0.36100,-7.99900,0.33800,0,-9999,-9999,-9999,25522224,22.17000,6.96000
34.32500,74.82500,Srinagar,0,0.00000,0.00000,0.00010,0.00000,0.00010,75.00000,0.00010,115.00000,-8.04500,0.38900,-7.95900,0.19100,-7.86500,0.59800,-8.05100,0.42900,-7.96700,0.15500,-8.09200,0.19800,-7.83000,0.40900,-7.93200,0.20100,-10.89900,0.34900,-10.81600,0.31000,-10.87600,0.27200,-10.93200,0.33100,-10.86000,0.24800,-10.90400,0.30000,-10.88800,0.33500,-10.73700,0.31200,-10.79600,0.23800,-10.77300,0.36500,-10.99200,0.17900,-8.07200,0.38300,-8.08600,0.37100,-8.28800,0.24000,-7.85500,0.33500,-8.08300,0.27800,-7.96000,0.26700,-8.00400,0.27700,-7.95000,0.35600,-7.91800,0.32200,-8.02300,0.29200,-7.86700,0.25900,-7.86800,0.39900,-7.95200,0.35600,-8.00000,0.36800,0,-9999,-9999,-9999,25522224,25.99000,7.53000
34.32500,74.87500,Srinagar,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.04300,0.39000,-7.95000,0.18900,-7.86500,0.58800,-8.05400,0.42000,-7.96400,0.15500,-8.08300,0.20400,-7.83500,0.40000,-7.93900,0.19800,-10.76600,0.41400,-10.68200,0.33700,-10.76800,0.30900,-10.85600,0.32400,-10.80800,0.26100,-10.84300,0.33300,-10.85800,0.33700,-10.68800,0.35500,-10.69700,0.24700,-10.68200,0.39700,-10.99900,0.20400,-8.00300,0.38000,-8.01600,0.36900,-8.26700,0.25500,-7.82200,0.33500,-8.01200,0.28000,-7.93200,0.27100,-7.98000,0.27600,-7.92700,0.36900,-7.89500,0.33100,-7.99900,0.29700,-7.86700,0.27600,-7.85800,0.40000,-7.93700,0.33800,-8.00400,0.38100,0,-9999,-9999,-9999,25522224,28.64000,8.04000
34.32500,74.92500,Srinagar,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.69300,0.33600,-7.65200,0.16700,-7.56600,0.62300,-7.79600,0.37600,-7.63600,0.13700,-7.79400,0.24100,-7.46100,0.36800,-7.55400,0.17000,-10.64400,0.45900,-10.54700,0.35800,-10.64600,0.36300,-10.74100,0.30400,-10.70900,0.28300,-10.74300,0.34600,-10.79500,0.34600,-10.60600,0.41300,-10.58100,0.24000,-10.57800,0.42800,-10.98700,0.25100,-7.90800,0.34000,-7.93100,0.34700,-8.25300,0.26900,-7.79200,0.33200,-7.96000,0.29600,-7.88900,0.30000,-7.95000,0.28000,-7.92700,0.36600,-7.88900,0.34100,-7.96500,0.30800,-7.85800,0.28400,-7.82400,0.41900,-7.93900,0.33100,-8.01200,0.39200,0,-9999,-9999,-9999,25522224,31.26000,8.14000
34.32500,74.97500,Srinagar,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.68300,0.33600,-7.63900,0.16600,-7.56200,0.61400,-7.79800,0.36400,-7.62800,0.13500,-7.78100,0.24200,-7.46100,0.35700,-7.55300,0.16600,-10.51600,0.44700,-10.39000,0.39700,-10.49500,0.39900,-10.57600,0.30800,-10.57000,0.30700,-10.58100,0.33700,-10.71200,0.35800,-10.49100,0.45500,-10.42300,0.25600,-10.42000,0.46300,-10.92400,0.29500,-7.83700,0.30500,-7.88500,0.34600,-8.24500,0.27700,-7.78500,0.32700,-7.89000,0.30600,-7.87400,0.31200,-7.93300,0.28300,-7.94800,0.36300,-7.88300,0.35300,-7.93600,0.31200,-7.84600,0.28100,-7.79200,0.43400,-7.94800,0.32700,-8.02400,0.39500,0,-9999,-9999,-9999,25522224,44.98000,8.45000
34.32500,75.02500,Srinagar,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.37900,0.28400,-7.39100,0.18400,-7.26700,0.67300,-7.59600,0.31400,-7.35100,0.16300,-7.50500,0.30600,-7.12000,0.32100,-7.14000,0.12300,-10.36400,0.42600,-10.23000,0.41400,-10.34600,0.42100,-10.42200,0.32200,-10.40600,0.31600,-10.41700,0.30100,-10.57300,0.35900,-10.33200,0.48900,-10.29000,0.27900,-10.28400,0.46700,-10.81100,0.31900,-7.73900,0.27300,-7.83900,0.34800,-8.20200,0.29600,-7.78100,0.33200,-7.76400,0.29200,-7.82600,0.33200,-7.89900,0.28200,-7.95400,0.36500,-7.85300,0.36200,-7.86700,0.32600,-7.82000,0.27700,-7.75100,0.46100,-7.93800,0.33800,-8.02300,0.40100,0,-9999,-9999,-9999,25522224,7.58000,4.13000
