latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
38.87500,-90.47500,StLouis,1,0.00970,211.00000,0.01530,322.00000,0.01650,425.00000,0.01920,588.00000,-8.52600,0.91800,-9.04900,0.71100,-9.32100,0.12800,-9.48100,0.37200,-9.37100,0.19100,-8.97600,0.11500,-9.28400,0.31100,-8.84300,0.29800,-10.66200,0.45000,-10.34700,0.42000,-10.35000,0.34800,-10.39700,0.28500,-10.31500,0.30000,-10.34500,0.41500,-10.35100,0.30000,-10.40100,0.31600,-10.41000,0.43700,-10.29100,0.34200,-10.10100,0.32200,-9.73700,0.54000,-9.14800,0.67200,-9.18600,0.44800,-9.09600,0.40200,-9.68400,0.39500,-9.87800,0.58100,-9.58000,0.34200,-9.00600,0.62400,-9.16600,0.40500,-8.77500,0.58100,-9.67600,0.48200,-9.22000,0.52200,-9.42800,0.52300,-9.24900,0.35300,0,0.00470,4.48420,0.18770,24083904,3.07000,3.15000
38.87500,-90.42500,StLouis,1,0.00310,129.00000,0.00660,204.00000,0.00750,263.00000,0.00940,344.00000,-8.44300,0.78400,-9.01000,0.69800,-9.17600,0.14600,-9.30900,0.36100,-9.20400,0.18800,-8.84900,0.11200,-9.12200,0.30400,-8.67100,0.29000,-10.53700,0.43200,-10.24900,0.40200,-10.25200,0.32900,-10.29900,0.30100,-10.22300,0.29300,-10.23400,0.40700,-10.26700,0.29700,-10.31800,0.31000,-10.33700,0.45500,-10.17700,0.32900,-10.02000,0.31400,-9.72800,0.54500,-9.05000,0.63700,-9.18600,0.45100,-9.08000,0.38000,-9.65600,0.38100,-9.84700,0.56500,-9.53700,0.33700,-8.99500,0.62400,-9.14700,0.41400,-8.76600,0.57500,-9.67900,0.47700,-9.19300,0.51000,-9.43200,0.51200,-9.29500,0.36800,0,0.00350,2.86280,0.13810,24083904,5.38000,3.83000
38.87500,-90.37500,StLouis,1,0.00180,41.00000,0.00390,63.00000,0.00480,82.00000,0.00620,123.00000,-8.41300,0.73000,-8.99700,0.69200,-9.12000,0.15300,-9.24300,0.35700,-9.14000,0.18800,-8.80100,0.11000,-9.06100,0.30100,-8.60400,0.28800,-10.42000,0.42700,-10.13900,0.38800,-10.16500,0.34000,-10.21700,0.31100,-10.15000,0.29100,-10.12800,0.41000,-10.18600,0.29000,-10.24700,0.30700,-10.27500,0.46500,-10.08900,0.31200,-9.96400,0.30300,-9.70700,0.53200,-9.01200,0.56100,-9.21600,0.40500,-9.05800,0.34900,-9.64000,0.34300,-9.79300,0.52200,-9.49000,0.31200,-8.97700,0.60000,-9.15400,0.37600,-8.74500,0.52900,-9.63100,0.45700,-9.15600,0.52600,-9.41100,0.45200,-9.28700,0.37800,0,0.00160,1.72200,0.05210,24083904,1.48000,3.09000
38.87500,-90.32500,StLouis,1,0.00640,1721.00000,0.01060,1687.00000,0.01220,1751.00000,0.01240,1629.00000,-8.36800,0.69300,-8.94800,0.69500,-9.05500,0.18200,-9.15800,0.34800,-9.05900,0.20600,-8.74100,0.11500,-9.00000,0.30800,-8.50700,0.27900,-10.33100,0.41700,-10.03600,0.37000,-10.09700,0.33900,-10.15700,0.30900,-10.09500,0.28400,-10.04300,0.41100,-10.11500,0.29900,-10.18400,0.28400,-10.22600,0.44300,-10.01400,0.28500,-9.90700,0.30400,-9.58700,0.47200,-8.97800,0.47300,-9.19100,0.37300,-9.00300,0.32700,-9.59600,0.33400,-9.68600,0.49200,-9.42200,0.28200,-8.92000,0.54400,-9.12100,0.34200,-8.68900,0.47900,-9.53500,0.44700,-9.06000,0.54500,-9.34300,0.40500,-9.22000,0.37500,0,0.00370,1.89220,0.22240,24083904,26.19000,7.09000
38.87500,-90.27500,StLouis,1,0.00740,505.00000,0.01290,715.00000,0.01380,726.00000,0.01490,753.00000,-8.34700,0.67400,-8.92400,0.69600,-9.02400,0.19600,-9.11600,0.34400,-9.02000,0.21500,-8.71200,0.11800,-8.97100,0.31100,-8.45900,0.27400,-10.27800,0.40700,-9.95100,0.35900,-10.04000,0.33400,-10.11900,0.29800,-10.07400,0.27100,-9.97500,0.41200,-10.04300,0.29800,-10.15200,0.27000,-10.19700,0.42600,-9.98100,0.27000,-9.84800,0.30700,-9.34200,0.39000,-8.86900,0.41100,-8.96700,0.33500,-8.83600,0.29600,-9.36900,0.31100,-9.47800,0.45300,-9.23700,0.29200,-8.72200,0.45400,-8.95900,0.34100,-8.52500,0.43500,-9.29500,0.40400,-8.83800,0.58200,-9.19500,0.37300,-9.01100,0.39000,0,0.00220,2.29270,0.10470,24083904,15.63000,6.00000
38.87500,-90.22500,StLouis,1,0.03530,277.00000,0.04780,316.00000,0.04880,385.00000,0.04940,484.00000,-8.35400,0.68000,-8.96200,0.71800,-9.03900,0.22300,-9.12800,0.33600,-9.02500,0.25100,-8.71600,0.13200,-9.00100,0.32000,-8.43900,0.27400,-10.23000,0.41800,-9.86600,0.34700,-9.99400,0.32900,-10.08200,0.27800,-10.04900,0.26600,-9.91400,0.42000,-9.95600,0.29500,-10.13000,0.25000,-10.17500,0.40500,-9.96000,0.24600,-9.78800,0.29000,-9.05300,0.33200,-8.65700,0.39300,-8.64700,0.29200,-8.56300,0.27000,-9.01800,0.29100,-9.12800,0.40300,-8.93200,0.28000,-8.44300,0.35900,-8.66600,0.34400,-8.26900,0.38800,-8.89400,0.35900,-8.45100,0.59200,-8.95600,0.35600,-8.66000,0.35700,0,0.00350,2.95540,0.26180,24083904,6.80000,4.57000
38.87500,-90.17500,StLouis,1,0.19360,6702.00000,0.22500,7434.00000,0.22700,7942.00000,0.22990,8334.00000,-8.36000,0.68400,-8.98800,0.73200,-9.05000,0.24000,-9.13700,0.33100,-9.03000,0.27500,-8.71900,0.14200,-9.02200,0.32600,-8.42700,0.27500,-10.22500,0.45200,-9.82100,0.34300,-9.99600,0.33300,-10.09000,0.26700,-10.05600,0.27100,-9.91600,0.42400,-9.91800,0.28500,-10.15600,0.24400,-10.21800,0.39600,-9.97600,0.22900,-9.76100,0.27600,-8.87300,0.32800,-8.46800,0.39000,-8.41700,0.29800,-8.32600,0.27600,-8.78400,0.28500,-8.85300,0.38500,-8.67800,0.23600,-8.25200,0.31100,-8.40000,0.31900,-8.06000,0.35300,-8.58300,0.33600,-8.13900,0.55300,-8.59400,0.36800,-8.35000,0.32300,1,0.03320,5.63060,3.45130,24083904,7.76000,4.91000
38.87500,-90.12500,StLouis,1,0.47020,11646.00000,0.51650,12907.00000,0.51760,13826.00000,0.52260,14503.00000,-8.40300,0.70500,-9.00100,0.58100,-9.12300,0.25900,-9.21900,0.33000,-9.10300,0.31900,-8.77200,0.16100,-9.11400,0.33400,-8.46200,0.28900,-10.27300,0.47800,-9.84600,0.34600,-10.03700,0.34200,-10.14900,0.26300,-10.08800,0.27000,-9.98100,0.43400,-9.94000,0.27400,-10.24400,0.26600,-10.32900,0.40700,-10.03100,0.23600,-9.79200,0.27000,-8.83300,0.34900,-8.37200,0.38700,-8.29700,0.32800,-8.18500,0.29700,-8.69600,0.31100,-8.75200,0.39400,-8.55300,0.21400,-8.16100,0.31300,-8.26000,0.29500,-7.95100,0.35300,-8.45000,0.34300,-8.00300,0.55300,-8.33500,0.39800,-8.21900,0.31500,0,0.05940,6.68670,4.81200,24083904,12.34000,5.27000
38.87500,-90.07500,StLouis,2,0.31120,14153.00000,0.39190,15711.00000,0.40640,16791.00000,0.42660,17645.00000,-8.43700,0.72200,-9.01200,0.45900,-9.18100,0.27500,-9.28500,0.32900,-9.16100,0.35400,-8.81400,0.17600,-9.18900,0.34100,-8.49100,0.30100,-10.34800,0.50100,-9.91600,0.35800,-10.10100,0.36100,-10.22700,0.26200,-10.14800,0.26200,-10.07600,0.46100,-10.01600,0.28100,-10.38700,0.28600,-10.47700,0.43100,-10.09900,0.26000,-9.87700,0.26300,-8.94600,0.37200,-8.38300,0.39200,-8.29300,0.36800,-8.14000,0.33300,-8.74200,0.36700,-8.81600,0.43800,-8.56800,0.23800,-8.18700,0.35400,-8.25200,0.29700,-7.95500,0.39700,-8.48000,0.37700,-8.03400,0.57800,-8.28100,0.44000,-8.28900,0.31500,0,0.05720,6.20840,3.28320,24083904,10.11000,4.53000
38.87500,-90.02500,StLouis,1,0.02480,2499.00000,0.04080,2784.00000,0.04490,2997.00000,0.04960,3083.00000,-8.46000,0.76700,-9.00700,0.97800,-9.28300,0.28600,-9.40700,0.33600,-9.26800,0.39300,-8.89000,0.19500,-9.31600,0.34900,-8.55000,0.31500,-10.43600,0.53300,-10.00200,0.38400,-10.17900,0.38900,-10.31200,0.28100,-10.22200,0.27200,-10.19200,0.49200,-10.13400,0.29600,-10.56100,0.30900,-10.64900,0.48600,-10.15800,0.27900,-9.97800,0.25100,-9.31600,0.44700,-8.53600,0.40100,-8.47600,0.42300,-8.25200,0.42000,-9.00400,0.44400,-9.09200,0.54500,-8.78500,0.31300,-8.40100,0.45800,-8.43100,0.32300,-8.10500,0.48800,-8.71000,0.47300,-8.25500,0.61900,-8.36700,0.46700,-8.51300,0.34100,0,0.01190,3.79570,0.66800,24083904,5.34000,3.77000
