latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
59.62500,17.82500,Stockholm,1,0.09750,8951.00000,0.14380,10297.00000,0.15600,11271.00000,0.18070,13518.00000,-10.05400,0.39500,-9.88800,0.36200,-10.21300,0.18100,-10.45000,0.33500,-10.13600,0.28700,-9.79800,0.25900,-10.14100,0.40000,-10.14500,0.28400,-12.71700,0.37300,-12.57700,0.36000,-12.29100,0.26200,-12.44700,0.29700,-12.40600,0.20700,-12.23000,0.25400,-12.26000,0.23600,-12.24200,0.32900,-12.30700,0.21700,-12.23300,0.29600,-12.22200,0.22200,-9.87000,0.33000,-9.81200,0.29900,-9.70300,0.20900,-9.67700,0.26700,-9.70100,0.27000,-9.55000,0.28300,-9.74000,0.26500,-9.54500,0.24300,-9.46800,0.34000,-9.72900,0.25800,-9.58000,0.22300,-9.47300,0.31300,-9.44200,0.34500,-9.32800,0.29000,10,0.02860,4.68470,1.91580,15716663,24.45000,7.11000
59.62500,17.87500,Stockholm,1,0.15220,4813.00000,0.19800,4866.00000,0.22610,5116.00000,0.25640,6190.00000,-10.04500,0.39400,-9.88000,0.36000,-10.20300,0.17900,-10.43800,0.33400,-10.12600,0.28900,-9.78800,0.25900,-10.12900,0.40000,-10.13400,0.28200,-12.58200,0.38700,-12.40000,0.36800,-12.10900,0.26100,-12.29600,0.31900,-12.25200,0.20800,-12.09200,0.26500,-12.12900,0.25400,-12.10200,0.32600,-12.16900,0.24700,-12.06700,0.31400,-12.07500,0.21700,-9.79500,0.32400,-9.74300,0.30200,-9.62800,0.21500,-9.57500,0.28100,-9.63600,0.28700,-9.45200,0.29400,-9.65600,0.25500,-9.46600,0.24600,-9.36800,0.33000,-9.62600,0.23700,-9.46800,0.22500,-9.39500,0.33600,-9.32500,0.32800,-9.22700,0.29500,0,0.03800,7.62580,3.13870,15716663,27.45000,7.01000
59.62500,17.92500,Stockholm,1,0.04500,2196.00000,0.10070,4144.00000,0.16380,5387.00000,0.19150,6589.00000,-9.97200,0.39100,-9.78300,0.34300,-10.09800,0.19200,-10.34000,0.36800,-10.04000,0.27700,-9.71500,0.25700,-10.04400,0.36700,-10.04200,0.27300,-12.54900,0.38500,-12.36800,0.37000,-12.06500,0.25800,-12.27200,0.32900,-12.21800,0.20800,-12.07300,0.27000,-12.10500,0.25800,-12.08100,0.32900,-12.15400,0.25700,-12.03900,0.31600,-12.04500,0.21500,-9.79100,0.32700,-9.73800,0.30300,-9.62600,0.21500,-9.56700,0.28400,-9.63400,0.28800,-9.44200,0.30200,-9.65600,0.26000,-9.46500,0.24500,-9.36700,0.32500,-9.61900,0.23200,-9.47300,0.24100,-9.41500,0.35500,-9.32700,0.33000,-9.24500,0.30400,2,0.02000,6.62410,1.77340,15716663,35.80000,6.69000
59.62500,17.97500,Stockholm,1,0.00310,64.00000,0.03540,175.00000,0.06820,381.00000,0.07320,539.00000,-9.89300,0.38700,-9.67600,0.32400,-9.98200,0.20700,-10.23100,0.40800,-9.94200,0.26000,-9.63300,0.25600,-9.95100,0.32900,-9.94100,0.26200,-12.51300,0.38100,-12.33200,0.37300,-12.01400,0.25500,-12.24900,0.34000,-12.18200,0.20800,-12.05400,0.27400,-12.07700,0.26500,-12.05800,0.33400,-12.14100,0.26700,-12.00900,0.31800,-12.01300,0.21400,-9.78600,0.33100,-9.73200,0.30600,-9.62200,0.21600,-9.56000,0.28800,-9.63300,0.29000,-9.43200,0.31200,-9.66000,0.26600,-9.46900,0.24300,-9.37100,0.32000,-9.61600,0.22900,-9.48600,0.26300,-9.45400,0.37900,-9.34500,0.33500,-9.28100,0.31500,2,0.00490,3.56200,0.35910,15716663,43.51000,6.05000
59.62500,18.02500,Stockholm,1,0.00010,10.00000,0.00060,87.00000,0.00110,90.00000,0.00190,167.00000,-9.88800,0.38700,-9.67000,0.32300,-9.97500,0.20600,-10.22300,0.40900,-9.93300,0.25900,-9.62700,0.25600,-9.94400,0.32900,-9.93400,0.26100,-12.56600,0.38400,-12.39100,0.40800,-12.07600,0.26100,-12.32400,0.34400,-12.26600,0.22200,-12.15300,0.28500,-12.19200,0.30000,-12.15900,0.32900,-12.24700,0.25900,-12.11500,0.31100,-12.13000,0.21800,-9.81200,0.34000,-9.76100,0.30900,-9.66100,0.21300,-9.59600,0.29100,-9.68100,0.29400,-9.47500,0.33000,-9.73000,0.28200,-9.55600,0.23000,-9.48900,0.30500,-9.70900,0.24900,-9.59800,0.26400,-9.60700,0.40500,-9.52500,0.34200,-9.43000,0.30300,0,0.00190,2.38500,0.10100,15716663,43.88000,5.86000
59.62500,18.07500,Stockholm,1,0.00010,0.00000,0.00070,12.00000,0.00090,11.00000,0.00160,37.00000,-9.89800,0.39100,-9.66400,0.31500,-9.97000,0.21300,-10.23400,0.41600,-9.94000,0.26400,-9.64200,0.25500,-9.94800,0.31900,-9.93900,0.26300,-12.57600,0.38600,-12.40500,0.41500,-12.09500,0.26500,-12.34700,0.34600,-12.28500,0.22500,-12.17300,0.28600,-12.21500,0.30300,-12.18200,0.32800,-12.27200,0.25900,-12.13800,0.31200,-12.15500,0.22100,-9.82000,0.34000,-9.77100,0.30500,-9.67300,0.21300,-9.60600,0.29100,-9.69400,0.28700,-9.49300,0.33300,-9.75200,0.27600,-9.60300,0.23100,-9.53400,0.29800,-9.73400,0.25100,-9.64200,0.25100,-9.64800,0.39900,-9.56400,0.34600,-9.48600,0.30200,0,0.00150,2.06780,0.07280,15716663,37.26000,6.23000
59.62500,18.12500,Stockholm,0,0.00000,0.00000,0.00060,1.00000,0.00070,1.00000,0.00090,37.00000,-9.93500,0.40700,-9.64500,0.28600,-9.95200,0.23800,-10.27500,0.44000,-9.96400,0.28500,-9.69400,0.25200,-9.96400,0.28300,-9.95600,0.27000,-12.67200,0.39900,-12.51700,0.45000,-12.21900,0.28100,-12.49100,0.35200,-12.41400,0.23900,-12.30400,0.29000,-12.36000,0.31500,-12.32900,0.32200,-12.42900,0.25700,-12.29100,0.31200,-12.31000,0.22900,-9.85800,0.34000,-9.81500,0.28700,-9.72200,0.21600,-9.65300,0.29000,-9.75300,0.25700,-9.57600,0.34100,-9.85300,0.25000,-9.81200,0.23400,-9.74100,0.26900,-9.85900,0.26700,-9.83500,0.18700,-9.83100,0.37200,-9.75600,0.36400,-9.74300,0.29300,1,0.00100,1.70380,0.05370,15716663,37.98000,6.36000
59.62500,18.17500,Stockholm,1,0.00030,0.00000,0.00210,105.00000,0.00310,160.00000,0.00620,427.00000,-9.93500,0.40700,-9.64500,0.28600,-9.95200,0.23800,-10.27500,0.44000,-9.96400,0.28500,-9.69400,0.25200,-9.96400,0.28300,-9.95600,0.27000,-12.77300,0.39800,-12.63900,0.47300,-12.35500,0.29100,-12.63500,0.36600,-12.55700,0.24600,-12.45400,0.29100,-12.51800,0.32400,-12.47000,0.31100,-12.59200,0.27100,-12.46100,0.30700,-12.46900,0.22900,-9.88600,0.32600,-9.83800,0.28500,-9.75200,0.21900,-9.68700,0.29000,-9.78600,0.23600,-9.63300,0.28400,-9.88600,0.24000,-9.85900,0.22100,-9.76700,0.27400,-9.88800,0.27500,-9.86900,0.18600,-9.89600,0.35800,-9.80800,0.35800,-9.78300,0.28200,1,0.00230,3.21100,0.11160,15716663,40.36000,6.34000
59.62500,18.22500,Stockholm,1,0.00140,171.00000,0.00290,205.00000,0.00490,224.00000,0.00790,381.00000,-9.93500,0.40700,-9.64500,0.28600,-9.95200,0.23800,-10.27500,0.44000,-9.96400,0.28500,-9.69400,0.25200,-9.96400,0.28300,-9.95600,0.27000,-12.80900,0.39800,-12.68200,0.48000,-12.40400,0.29400,-12.68700,0.37200,-12.60900,0.24900,-12.50700,0.29100,-12.57500,0.32700,-12.52000,0.30700,-12.65100,0.27500,-12.52300,0.30400,-12.52600,0.22900,-9.89500,0.32100,-9.84600,0.28400,-9.76300,0.22000,-9.69900,0.29100,-9.79700,0.22800,-9.65400,0.26300,-9.89700,0.23700,-9.87700,0.21500,-9.77500,0.27500,-9.89900,0.27900,-9.88200,0.18500,-9.92100,0.35000,-9.82800,0.35600,-9.79800,0.27700,0,0.00230,2.78020,0.10960,15716663,43.17000,6.19000
59.62500,18.27500,Stockholm,1,0.00090,118.00000,0.00540,199.00000,0.00980,148.00000,0.01170,174.00000,-10.19400,0.43300,-9.79800,0.25200,-10.13100,0.28700,-10.51900,0.46300,-10.15700,0.36200,-9.94800,0.24100,-10.16000,0.27300,-10.19700,0.28500,-12.97100,0.36800,-12.87300,0.49900,-12.59300,0.31400,-12.89100,0.38800,-12.80200,0.26700,-12.72500,0.29000,-12.78500,0.33800,-12.72700,0.28900,-12.86400,0.29800,-12.76200,0.30400,-12.74800,0.23300,-9.90100,0.29800,-9.85800,0.28500,-9.77200,0.22300,-9.72300,0.28900,-9.80500,0.20200,-9.67000,0.25300,-9.91100,0.22800,-9.89100,0.22100,-9.78700,0.27700,-9.89600,0.27900,-9.88800,0.17900,-9.92200,0.34000,-9.83600,0.35200,-9.81300,0.27500,4,0.00110,1.03420,0.05740,15716663,45.41000,5.99000
