latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
30.77500,105.27500,Suining,0,0.00010,2664.00000,0.00040,0.00000,0.00050,0.00000,0.00060,0.00000,-7.96900,0.32900,-8.42000,0.70700,-8.25800,0.26400,-8.44800,0.24500,-8.64500,0.29500,-7.96600,0.22800,-8.17500,0.21900,-8.22200,0.25800,-10.20800,0.27300,-10.18900,0.22500,-10.49300,0.59200,-10.46600,0.30600,-10.21800,0.35200,-10.35900,0.19000,-10.24900,0.31500,-10.74000,0.46300,-10.15200,0.30700,-10.23000,0.27900,-10.26500,0.34300,-8.14600,0.40800,-8.25800,0.45600,-8.09700,0.37700,-8.14200,0.44700,-8.40700,0.39400,-7.93500,0.39100,-8.11200,0.34100,-8.19300,0.35000,-8.26100,0.41100,-8.33700,0.40800,-8.42200,0.41800,-8.10600,0.36800,-7.81300,0.50300,-7.74400,0.29100,0,0.00360,1.65400,0.12970,26532288,25.34000,6.90000
30.77500,105.32500,Suining,0,0.00060,31527.00000,0.00330,34275.00000,0.00390,33405.00000,0.00540,30097.00000,-7.98100,0.32400,-8.43000,0.70800,-8.26300,0.26600,-8.44600,0.25500,-8.65300,0.29500,-7.95800,0.21800,-8.18300,0.22000,-8.21400,0.25300,-10.23500,0.28100,-10.22200,0.22100,-10.52600,0.60500,-10.44100,0.30600,-10.27000,0.35700,-10.33700,0.18000,-10.25200,0.29900,-10.71200,0.44100,-10.16400,0.31900,-10.23500,0.27800,-10.24100,0.31600,-8.13100,0.41300,-8.23800,0.46600,-8.08800,0.37900,-8.11200,0.45200,-8.40000,0.40400,-7.87800,0.36400,-8.02500,0.36400,-8.09800,0.38400,-8.17100,0.41400,-8.24100,0.41000,-8.28800,0.44800,-8.02000,0.38300,-7.68800,0.54000,-7.64400,0.31700,0,0.00320,1.07460,0.17710,26532288,25.93000,6.95000
30.77500,105.37500,Suining,0,0.00170,0.00000,0.00320,2714.00000,0.00600,2441.00000,0.00830,2926.00000,-8.01100,0.31200,-8.45500,0.71100,-8.27400,0.27200,-8.44200,0.27900,-8.67200,0.29600,-7.93700,0.19100,-8.20300,0.22200,-8.19200,0.24000,-10.27000,0.29100,-10.25700,0.22400,-10.56400,0.62300,-10.42500,0.29800,-10.32400,0.36100,-10.32500,0.18600,-10.25900,0.29500,-10.70400,0.41500,-10.19300,0.32200,-10.24300,0.28000,-10.24000,0.31300,-8.12000,0.40700,-8.23600,0.46200,-8.09000,0.37100,-8.09600,0.44700,-8.40200,0.41100,-7.84800,0.35700,-7.98100,0.37800,-8.03500,0.40900,-8.09200,0.42500,-8.18100,0.41800,-8.20200,0.42700,-7.94900,0.37800,-7.62300,0.56600,-7.57300,0.31800,0,0.00720,2.93220,0.41750,26532288,25.62000,6.81000
30.77500,105.42500,Suining,1,0.00920,37802.00000,0.01900,37314.00000,0.03270,42906.00000,0.04840,37865.00000,-8.02800,0.29900,-8.46800,0.71100,-8.27800,0.27000,-8.44300,0.27100,-8.69300,0.29900,-7.92600,0.17300,-8.22000,0.22800,-8.19300,0.22800,-10.31300,0.31200,-10.28000,0.23400,-10.60400,0.63400,-10.41100,0.29800,-10.37200,0.36800,-10.32500,0.21000,-10.26400,0.28900,-10.72500,0.40000,-10.22100,0.31300,-10.25800,0.28700,-10.25900,0.31200,-8.12100,0.39400,-8.25700,0.45200,-8.11400,0.35800,-8.11300,0.43000,-8.43300,0.41400,-7.85200,0.35000,-7.99400,0.37800,-8.03900,0.41700,-8.08500,0.41400,-8.20200,0.41700,-8.20600,0.40100,-7.96200,0.38300,-7.66600,0.56900,-7.60300,0.30000,0,0.00850,3.76240,0.49620,26532288,21.14000,6.61000
30.77500,105.47500,Suining,1,0.00490,38689.00000,0.01040,31663.00000,0.01760,23854.00000,0.02730,22596.00000,-8.05000,0.28300,-8.48400,0.71000,-8.28200,0.26800,-8.44300,0.26000,-8.72200,0.30300,-7.90900,0.14700,-8.24200,0.23500,-8.19400,0.21200,-10.34900,0.34000,-10.29200,0.23400,-10.65000,0.64300,-10.40800,0.30400,-10.40000,0.37900,-10.34500,0.24100,-10.27500,0.29200,-10.76900,0.38800,-10.24600,0.31000,-10.26500,0.29300,-10.28500,0.30900,-8.13800,0.38500,-8.29200,0.44300,-8.16000,0.34400,-8.16300,0.40500,-8.49000,0.41300,-7.89800,0.34600,-8.04700,0.36700,-8.12100,0.42800,-8.13000,0.40900,-8.28000,0.39600,-8.26700,0.38400,-8.05900,0.36800,-7.77600,0.54200,-7.70300,0.27400,0,0.00320,1.17950,0.21290,26532288,26.15000,7.11000
30.77500,105.52500,Suining,0,0.00010,60.00000,0.00100,0.00000,0.00110,0.00000,0.00120,0.00000,-8.06300,0.26800,-8.50600,0.70900,-8.27900,0.26200,-8.47200,0.26500,-8.75500,0.30800,-7.90000,0.12900,-8.26300,0.24800,-8.21100,0.20200,-10.38500,0.36400,-10.30200,0.24800,-10.68600,0.65000,-10.41900,0.30600,-10.42300,0.38300,-10.38700,0.27100,-10.29200,0.30900,-10.82900,0.38900,-10.26500,0.31100,-10.27200,0.30800,-10.30700,0.30500,-8.15900,0.38500,-8.32000,0.42900,-8.21500,0.31500,-8.21700,0.39000,-8.53900,0.40200,-7.96300,0.34600,-8.12700,0.33700,-8.23900,0.46200,-8.21600,0.38800,-8.35900,0.36600,-8.35200,0.37200,-8.16300,0.35300,-7.90600,0.49400,-7.82500,0.26600,0,0.00120,0.62480,0.03000,26532288,25.92000,7.04000
30.77500,105.57500,Suining,0,0.00000,21992.00000,0.00020,22269.00000,0.00020,21704.00000,0.00030,19146.00000,-8.07400,0.25700,-8.52300,0.70800,-8.27600,0.25700,-8.49400,0.26900,-8.78000,0.31200,-7.89300,0.11400,-8.27900,0.25800,-8.22400,0.19300,-10.41700,0.37700,-10.30100,0.28300,-10.70100,0.63300,-10.43300,0.30800,-10.43600,0.38700,-10.44000,0.30700,-10.30500,0.33500,-10.91000,0.40500,-10.28300,0.31700,-10.29000,0.32000,-10.33700,0.29900,-8.17900,0.39100,-8.33100,0.41200,-8.26200,0.29000,-8.24600,0.39000,-8.56800,0.39800,-8.01200,0.34100,-8.20200,0.32200,-8.29900,0.47900,-8.29200,0.37200,-8.39600,0.34800,-8.40900,0.36700,-8.22100,0.36300,-7.96900,0.47200,-7.90100,0.27000,0,0.00240,1.01720,0.10200,26532288,27.45000,7.23000
30.77500,105.62500,Suining,0,0.00000,3994.00000,0.00000,796.00000,0.00000,776.00000,0.00010,2031.00000,-8.08500,0.24400,-8.56000,0.71500,-8.26800,0.25600,-8.53300,0.29400,-8.82000,0.32100,-7.89500,0.12200,-8.30900,0.27200,-8.25400,0.19100,-10.43700,0.39900,-10.29400,0.32800,-10.70000,0.60700,-10.45200,0.29400,-10.43500,0.37800,-10.49800,0.35000,-10.31600,0.37200,-11.00900,0.42700,-10.30700,0.32000,-10.31400,0.33000,-10.37900,0.28500,-8.19500,0.40500,-8.32600,0.39400,-8.29300,0.28600,-8.25500,0.39500,-8.58800,0.40100,-8.03600,0.34200,-8.24200,0.32800,-8.30500,0.47600,-8.32100,0.37800,-8.40900,0.34800,-8.42400,0.36600,-8.24300,0.36500,-7.95700,0.47200,-7.89700,0.27400,0,0.00080,0.34900,0.04010,26532288,27.12000,7.26000
30.77500,105.67500,Suining,1,0.00420,9279.00000,0.01260,32465.00000,0.01570,35057.00000,0.02830,29850.00000,-8.08900,0.23900,-8.57500,0.71800,-8.26500,0.25500,-8.54900,0.30500,-8.83600,0.32400,-7.89600,0.12600,-8.32100,0.27800,-8.26600,0.19000,-10.45400,0.40100,-10.30800,0.35300,-10.68300,0.57900,-10.47300,0.27500,-10.43500,0.36200,-10.53900,0.38300,-10.32300,0.40900,-11.10100,0.44800,-10.32500,0.32700,-10.33500,0.34300,-10.42200,0.26500,-8.21100,0.42200,-8.32800,0.38900,-8.32000,0.28800,-8.25800,0.39100,-8.61000,0.40900,-8.05600,0.34400,-8.27000,0.33900,-8.28800,0.46500,-8.33500,0.38400,-8.42500,0.34500,-8.43700,0.35100,-8.25200,0.36200,-7.94900,0.47000,-7.87100,0.28500,0,0.01480,3.07920,1.32500,26532288,22.20000,6.93000
30.77500,105.72500,Suining,1,0.01400,94698.00000,0.04230,107212.00000,0.05290,103785.00000,0.09550,86729.00000,-8.10600,0.23100,-8.62100,0.75100,-8.25600,0.25800,-8.60300,0.34300,-8.87300,0.33500,-7.92300,0.12600,-8.36400,0.28700,-8.30200,0.18500,-10.47300,0.38200,-10.32800,0.35400,-10.64700,0.54600,-10.50900,0.26300,-10.45100,0.33800,-10.57200,0.40600,-10.33400,0.42600,-11.17400,0.45600,-10.35800,0.33800,-10.34800,0.35400,-10.45400,0.26200,-8.23600,0.43700,-8.34700,0.39200,-8.34800,0.27700,-8.26300,0.37600,-8.64900,0.41400,-8.10000,0.34100,-8.30900,0.34900,-8.30200,0.46300,-8.38200,0.39200,-8.45100,0.33200,-8.47100,0.32800,-8.27800,0.36500,-7.98600,0.47100,-7.91600,0.30100,0,0.02510,4.58150,2.13300,26532288,23.27000,7.05000
