latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-6.97500,112.52500,Surabaya,1,0.00010,2576.00000,0.02810,22549.00000,0.03190,22060.00000,0.06180,25455.00000,-11.26700,0.29200,-10.93800,0.47400,-10.82700,0.33600,-10.92700,0.23700,-11.06200,0.36100,-11.23100,0.29300,-10.98600,0.31700,-11.01900,0.38000,-9999.00000,-9999.00000,-13.72300,0.35700,-13.63300,0.27200,-13.71100,0.23600,-13.71400,0.31300,-13.74000,0.32000,-13.71900,0.28700,-13.63800,0.26700,-13.86300,0.31200,-13.80800,0.27000,-13.63300,0.24600,-10.44900,0.30600,-10.38800,0.32700,-10.17400,0.28700,-10.23200,0.31100,-10.24700,0.27900,-10.04800,0.24700,-10.04200,0.24800,-10.07600,0.29300,-10.03700,0.25700,-10.18000,0.28600,-9.98500,0.29900,-9.89100,0.28200,-9.87600,0.25700,-9.85700,0.36400,0,-9999,-9999,-9999,30550968,14.41000,4.90000
-6.97500,112.57500,Surabaya,1,0.00010,167.00000,0.01610,14460.00000,0.02040,15652.00000,0.02570,11227.00000,-11.29500,0.29300,-10.96500,0.47800,-10.84800,0.33900,-10.95100,0.23700,-11.08500,0.36300,-11.26100,0.29700,-11.01300,0.32100,-11.04300,0.37900,-9999.00000,-9999.00000,-14.42900,0.37600,-14.33700,0.33700,-14.46300,0.28500,-14.51500,0.35800,-14.46200,0.31900,-14.51100,0.27200,-14.40200,0.33600,-14.59500,0.38300,-14.51000,0.29200,-14.37300,0.25700,-11.59400,0.44400,-11.53600,0.41000,-11.23200,0.39200,-11.42400,0.41900,-11.18200,0.37700,-11.25800,0.38800,-11.14200,0.39000,-11.23000,0.42600,-11.21200,0.39800,-11.24200,0.43200,-11.00500,0.42300,-10.93400,0.36700,-10.89800,0.38300,-10.88100,0.50500,26,-9999,-9999,-9999,30550968,9.27000,5.51000
-6.97500,112.62500,Surabaya,0,0.00000,0.00000,0.00080,0.00000,0.00080,0.00000,0.00090,0.00000,-10.52900,0.23600,-10.33100,0.47400,-10.27600,0.30400,-10.54200,0.25900,-10.45700,0.29900,-10.35900,0.30400,-10.16800,0.23000,-10.34400,0.49700,-9999.00000,-9999.00000,-15.21000,0.35200,-15.12700,0.43500,-15.28600,0.37300,-15.32300,0.39600,-15.27400,0.29900,-15.40000,0.31100,-15.24200,0.41900,-15.40500,0.44100,-15.26400,0.32600,-15.22600,0.31000,-13.61300,0.59900,-13.54700,0.61300,-13.23200,0.60000,-13.53900,0.59800,-13.26200,0.52500,-13.24500,0.61600,-13.17300,0.62100,-13.38700,0.58400,-13.20900,0.50900,-13.37400,0.48200,-12.98500,0.56000,-13.04400,0.46900,-12.95000,0.47300,-12.97400,0.62700,100,-9999,-9999,-9999,30550968,4.95000,5.22000
-6.97500,112.67500,Surabaya,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.52900,0.23600,-10.33100,0.47400,-10.27600,0.30400,-10.54200,0.25900,-10.45700,0.29900,-10.35900,0.30400,-10.16800,0.23000,-10.34400,0.49700,-9999.00000,-9999.00000,-15.51300,0.34300,-15.43600,0.47200,-15.59700,0.40600,-15.62400,0.40600,-15.58900,0.28900,-15.74200,0.33300,-15.56200,0.45400,-15.71400,0.46000,-15.55000,0.34100,-15.55200,0.33200,-14.40700,0.63400,-14.32600,0.69300,-14.03600,0.68900,-14.35000,0.66900,-14.12100,0.57300,-13.98600,0.68800,-13.95000,0.70000,-14.21000,0.62700,-13.94800,0.52600,-14.20700,0.46100,-13.76200,0.59400,-13.88800,0.49900,-13.74700,0.48300,-13.79900,0.64700,100,-9999,-9999,-9999,30550968,-9999.00000,-9999.00000
-6.97500,112.72500,Surabaya,0,0.00010,0.00000,0.00030,0.00000,0.00040,0.00000,0.00060,0.00000,-10.41000,0.22300,-10.28700,0.45300,-10.18400,0.28700,-10.45300,0.26500,-10.32800,0.30500,-10.21000,0.29000,-10.00800,0.19500,-10.21400,0.53700,-9999.00000,-9999.00000,-13.34100,0.24900,-13.22700,0.29800,-13.29200,0.31400,-13.28200,0.30100,-13.29800,0.17600,-13.35500,0.35000,-13.09800,0.34400,-13.33000,0.28700,-13.26300,0.30900,-13.23300,0.29300,-12.36700,0.64900,-11.80400,0.48200,-11.62000,0.44300,-12.01800,0.56800,-11.74500,0.57600,-11.71300,0.50400,-11.57400,0.66900,-11.54200,0.49500,-11.75500,0.59800,-11.91600,0.48900,-11.62400,0.53200,-11.47400,0.54100,-11.54800,0.49500,-11.45700,0.67000,100,-9999,-9999,-9999,30550968,-9999.00000,8.22000
-6.97500,112.77500,Surabaya,0,0.00090,32512.00000,0.00550,13396.00000,0.00710,12821.00000,0.00820,7709.00000,-10.25100,0.20600,-10.22800,0.42500,-10.06100,0.26600,-10.33600,0.27200,-10.15600,0.31200,-10.01300,0.27200,-9.79600,0.15000,-10.04200,0.59000,-9999.00000,-9999.00000,-13.23600,0.28300,-13.11300,0.31400,-13.22100,0.31500,-13.15000,0.28900,-13.21900,0.21200,-13.24000,0.35700,-12.98500,0.32500,-13.29700,0.29700,-13.12100,0.31400,-13.17900,0.32900,-11.55500,0.58100,-10.98600,0.44300,-10.90100,0.42800,-11.19200,0.50800,-11.03900,0.49400,-10.93800,0.45100,-10.82800,0.56500,-10.85000,0.45600,-11.01200,0.52600,-11.13900,0.44300,-10.89600,0.47700,-10.71800,0.50600,-10.76900,0.45700,-10.74000,0.58000,88,-9999,-9999,-9999,30550968,5.10000,6.21000
-6.97500,112.82500,Surabaya,1,0.00020,10675.00000,0.00480,8159.00000,0.00690,11637.00000,0.00760,7785.00000,-10.46900,0.21900,-10.58200,0.36000,-10.23100,0.24800,-10.45200,0.32300,-10.30600,0.37300,-10.26400,0.25000,-9.96800,0.18300,-10.21000,0.59100,-9999.00000,-9999.00000,-12.60600,0.28800,-12.51500,0.28200,-12.56300,0.29700,-12.47100,0.25900,-12.55700,0.23300,-12.56100,0.34900,-12.34400,0.27700,-12.67500,0.28700,-12.46000,0.30300,-12.58100,0.32300,-9.87800,0.43600,-9.33900,0.33700,-9.38100,0.39200,-9.51400,0.43900,-9.46600,0.41700,-9.37600,0.37200,-9.29900,0.41300,-9.35600,0.36600,-9.47400,0.41900,-9.54800,0.35300,-9.30400,0.34400,-9.19200,0.38800,-9.20800,0.34200,-9.25900,0.49100,8,-9999,-9999,-9999,30550968,14.76000,5.25000
-6.97500,112.87500,Surabaya,0,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,0.00030,0.00000,-10.43900,0.21600,-10.57200,0.33200,-10.20200,0.24700,-10.39700,0.32800,-10.27900,0.37200,-10.24800,0.24000,-9.94400,0.18600,-10.18900,0.60200,-9999.00000,-9999.00000,-11.61000,0.24900,-11.56000,0.26600,-11.50200,0.27800,-11.45400,0.24900,-11.49700,0.25800,-11.49700,0.31700,-11.33800,0.28200,-11.65700,0.26300,-11.45500,0.29200,-11.57100,0.30500,-8.68100,0.28300,-8.33100,0.26000,-8.37700,0.30100,-8.32100,0.31400,-8.37600,0.29300,-8.32200,0.24500,-8.25000,0.25700,-8.34600,0.32200,-8.39700,0.26200,-8.49300,0.26700,-8.17100,0.24100,-8.15600,0.24500,-8.15500,0.23100,-8.17400,0.30000,0,-9999,-9999,-9999,30550968,16.36000,5.05000
-6.97500,112.92500,Surabaya,0,0.00000,0.00000,0.00000,0.00000,0.00000,124.00000,0.00010,178.00000,-10.09900,0.19100,-10.24100,0.24700,-9.91400,0.25000,-10.02600,0.31500,-10.00800,0.32200,-9.94900,0.20500,-9.66100,0.16900,-9.93900,0.65800,-9999.00000,-9999.00000,-10.81600,0.20800,-10.81200,0.24500,-10.63000,0.24800,-10.67700,0.27200,-10.68100,0.25800,-10.64600,0.28700,-10.56400,0.29100,-10.80200,0.24400,-10.65300,0.30600,-10.76900,0.27500,-8.40100,0.25800,-8.09800,0.21200,-8.11700,0.21900,-8.09100,0.24700,-8.10700,0.22000,-8.07900,0.18900,-8.03000,0.17600,-8.14200,0.28600,-8.15300,0.20900,-8.22100,0.19700,-7.91700,0.17800,-7.93200,0.18000,-7.95100,0.19300,-7.92000,0.26000,0,-9999,-9999,-9999,30550968,19.43000,5.53000
-6.97500,112.97500,Surabaya,0,0.00000,0.00000,0.00000,422.00000,0.00010,381.00000,0.00010,356.00000,-9.92900,0.18100,-9.99500,0.21100,-9.74600,0.25300,-9.80900,0.30500,-9.89500,0.27700,-9.81300,0.20000,-9.54300,0.15900,-9.84700,0.69100,-9999.00000,-9999.00000,-10.38300,0.17200,-10.40700,0.24500,-10.18000,0.24500,-10.29100,0.26600,-10.27800,0.27100,-10.21300,0.28500,-10.14600,0.29800,-10.34800,0.27400,-10.25100,0.30000,-10.37500,0.32100,-8.29500,0.25300,-7.99800,0.18900,-8.06200,0.21300,-7.98500,0.21100,-8.00900,0.20500,-8.00200,0.19100,-7.93600,0.15900,-8.06500,0.29100,-8.06400,0.19900,-8.10000,0.17900,-7.85300,0.19300,-7.85500,0.15800,-7.87800,0.16200,-7.81900,0.26600,0,-9999,-9999,-9999,30550968,18.46000,5.35000
