latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.42500,72.57500,Surat,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-12.53200,0.44400,-11.94600,0.81000,-12.30600,0.63000,-12.98000,0.75500,-12.24500,0.72500,-12.52700,0.74900,-12.08200,0.43700,-12.63100,1.34900,-17.05700,0.65300,-17.66600,1.34900,-17.75000,0.92300,-17.56800,1.07800,-17.74700,0.82400,-17.86900,0.97600,-17.49500,1.04500,-17.20500,1.01500,-17.62300,1.11200,-17.77600,1.03400,-17.32000,0.92200,-14.69500,1.05000,-14.35400,0.78500,-14.48400,0.84500,-14.53100,1.14600,-14.39500,0.76600,-14.54800,0.90900,-14.00600,0.76000,-14.36500,0.78300,-14.33000,0.92200,-14.07500,0.90200,-14.38300,1.01400,-14.21100,1.03200,-14.35300,1.09900,-14.34600,1.14500,100,-9999,-9999,-9999,28697424,-9999.00000,0.14000
21.42500,72.62500,Surat,0,0.00010,0.00000,0.00020,0.00000,0.00070,89.00000,0.00140,319.00000,-12.34200,0.42200,-11.74800,0.78700,-12.11600,0.61300,-12.73700,0.74600,-12.03000,0.69300,-12.30100,0.72600,-11.87800,0.43000,-12.41800,1.29700,-15.52600,0.45400,-16.10200,0.99000,-16.03000,0.67600,-15.98900,0.72900,-16.04200,0.57800,-16.11700,0.68700,-15.74400,0.74300,-15.53300,0.68600,-15.79700,0.72000,-15.94000,0.69800,-15.73800,0.75400,-13.05000,0.69300,-12.92700,0.56400,-12.90500,0.60300,-12.88600,0.65600,-12.70300,0.64200,-12.75100,0.52900,-12.61000,0.69200,-12.80700,0.60000,-12.75000,0.67800,-12.50000,0.59500,-12.70400,0.73300,-12.54800,0.90000,-12.56300,0.80000,-12.41100,0.84800,84,-9999,-9999,-9999,28697424,1.30000,0.45000
21.42500,72.67500,Surat,1,0.00050,436.00000,0.00150,464.00000,0.00440,785.00000,0.01150,1893.00000,-11.38000,0.31100,-10.75500,0.66700,-11.15400,0.52700,-11.51500,0.70200,-10.94700,0.53000,-11.16200,0.61400,-10.85000,0.39600,-11.34900,1.03600,-13.88000,0.40800,-14.38000,0.66400,-14.20100,0.52100,-14.22500,0.49700,-14.18400,0.45900,-14.18600,0.52200,-13.91500,0.52600,-13.73500,0.50900,-13.90900,0.49600,-14.00600,0.43100,-14.00900,0.58900,-10.95300,0.36000,-10.78000,0.41600,-11.03800,0.45600,-10.69700,0.48100,-10.59300,0.62600,-10.90800,0.51600,-10.46000,0.55700,-10.82400,0.61000,-11.00200,0.54300,-10.53400,0.46300,-10.65500,0.50100,-10.45400,0.76500,-10.39800,0.62300,-10.28700,0.77200,13,-9999,-9999,-9999,28697424,5.10000,1.80000
21.42500,72.72500,Surat,1,0.00020,30.00000,0.00150,920.00000,0.00480,3109.00000,0.01750,5044.00000,-10.89500,0.32300,-10.29000,0.62400,-10.68400,0.52000,-11.02500,0.66400,-10.46200,0.45800,-10.63100,0.57400,-10.40600,0.37700,-10.82400,0.79800,-12.67200,0.37200,-13.05200,0.48600,-12.83000,0.44900,-12.91200,0.40600,-12.77700,0.41100,-12.76000,0.46500,-12.59200,0.46800,-12.41000,0.41600,-12.54300,0.42700,-12.64200,0.33100,-12.76200,0.49000,-9.83400,0.40700,-9.64500,0.39400,-10.08100,0.48100,-9.52500,0.41300,-9.47700,0.60200,-9.95900,0.56900,-9.36100,0.47900,-9.81400,0.60200,-10.09600,0.55000,-9.52500,0.40600,-9.61500,0.53900,-9.38200,0.79400,-9.28700,0.69300,-9.16800,0.74500,0,-9999,-9999,-9999,28697424,6.86000,1.86000
21.42500,72.77500,Surat,1,0.00030,1161.00000,0.00120,1684.00000,0.00430,1679.00000,0.01220,2145.00000,-10.28300,0.33800,-9.70400,0.57000,-10.09100,0.51000,-10.40800,0.61700,-9.85200,0.36600,-9.96100,0.52400,-9.84700,0.35400,-10.16200,0.49700,-11.83900,0.32500,-12.07400,0.41900,-11.84200,0.47700,-11.93500,0.41000,-11.74700,0.42700,-11.75300,0.43600,-11.63900,0.45700,-11.46800,0.38600,-11.56200,0.41700,-11.68700,0.30200,-11.84700,0.48800,-9.24000,0.42500,-9.05000,0.40500,-9.45800,0.48800,-8.93800,0.35600,-8.89300,0.62800,-9.35900,0.57100,-8.75600,0.41300,-9.23200,0.62100,-9.53600,0.60400,-8.95000,0.40500,-9.02200,0.51700,-8.75200,0.73800,-8.70100,0.75100,-8.55300,0.70000,0,-9999,-9999,-9999,28697424,7.14000,1.86000
21.42500,72.82500,Surat,1,0.00010,1600.00000,0.00070,2065.00000,0.00200,1698.00000,0.00870,3682.00000,-9.72900,0.35200,-9.15600,0.53600,-9.61400,0.50700,-9.87800,0.55100,-9.35700,0.32000,-9.36700,0.47600,-9.44700,0.34200,-9.65700,0.38000,-11.30800,0.32800,-11.47500,0.39300,-11.25400,0.53800,-11.29100,0.41500,-11.06900,0.44200,-11.13400,0.39200,-11.04300,0.47800,-10.87800,0.38700,-10.98400,0.40700,-11.05300,0.29400,-11.23400,0.51300,-8.81300,0.40400,-8.67500,0.39900,-9.06800,0.50100,-8.52700,0.36000,-8.51700,0.68200,-8.89200,0.52400,-8.30500,0.38100,-8.86000,0.62700,-9.13000,0.58300,-8.53700,0.41900,-8.52500,0.49600,-8.32900,0.76600,-8.21200,0.77600,-8.12100,0.71200,0,-9999,-9999,-9999,28697424,7.57000,1.88000
21.42500,72.87500,Surat,1,0.00020,2303.00000,0.00180,3581.00000,0.01060,9482.00000,0.01580,5119.00000,-9.48400,0.35800,-8.90900,0.51900,-9.39400,0.50400,-9.63900,0.52900,-9.13700,0.29800,-9.10200,0.44500,-9.26300,0.33800,-9.42800,0.34800,-11.01500,0.33200,-11.16200,0.38600,-10.96600,0.58900,-10.96500,0.42000,-10.71300,0.45500,-10.81500,0.37100,-10.74800,0.48200,-10.58600,0.38000,-10.69600,0.41300,-10.73100,0.31200,-10.88900,0.50900,-8.54400,0.33600,-8.40500,0.40200,-8.83100,0.50600,-8.26200,0.33900,-8.26100,0.73300,-8.54400,0.42500,-7.97600,0.43600,-8.52500,0.66800,-8.80600,0.58900,-8.21300,0.51500,-8.14200,0.60000,-8.02300,0.87600,-7.79900,0.74300,-7.75400,0.72200,0,-9999,-9999,-9999,28697424,8.04000,1.95000
21.42500,72.92500,Surat,1,0.00030,2832.00000,0.00580,7340.00000,0.01520,12321.00000,0.03160,10490.00000,-9.03100,0.34100,-8.50000,0.48900,-9.07800,0.51800,-9.27500,0.45900,-8.78600,0.30800,-8.68700,0.44400,-9.02500,0.34700,-9.12200,0.49500,-10.94200,0.33000,-11.09500,0.36500,-10.87400,0.62300,-10.84900,0.43000,-10.61700,0.46000,-10.72800,0.34900,-10.65800,0.48300,-10.50700,0.33500,-10.61400,0.39300,-10.63200,0.33000,-10.76000,0.48900,-8.43300,0.28300,-8.30100,0.38700,-8.71600,0.51300,-8.14300,0.32700,-8.11500,0.72500,-8.33400,0.41000,-7.77100,0.44700,-8.37300,0.70600,-8.61200,0.60800,-8.03200,0.52000,-7.95700,0.65800,-7.85100,0.96000,-7.55900,0.71700,-7.53200,0.77400,0,-9999,-9999,-9999,28697424,7.89000,1.83000
21.42500,72.97500,Surat,1,0.00010,0.00000,0.00190,1306.00000,0.00520,2376.00000,0.01840,8649.00000,-8.98700,0.33500,-8.45800,0.48300,-9.04500,0.51800,-9.24000,0.45700,-8.75800,0.30700,-8.65900,0.43600,-9.00300,0.35300,-9.09800,0.51100,-11.03200,0.35500,-11.18000,0.36600,-10.93300,0.59500,-10.90100,0.44200,-10.70200,0.43400,-10.82400,0.33700,-10.72700,0.45800,-10.60400,0.29500,-10.70100,0.39100,-10.67700,0.32900,-10.78400,0.46400,-8.45000,0.27700,-8.33300,0.35000,-8.76200,0.52600,-8.15000,0.31900,-8.11500,0.68400,-8.30600,0.38200,-7.76900,0.43400,-8.38400,0.70500,-8.63600,0.62900,-8.04500,0.50300,-7.95600,0.64400,-7.86700,0.92600,-7.58100,0.67700,-7.55100,0.75600,0,-9999,-9999,-9999,28697424,8.15000,1.79000
21.42500,73.02500,Surat,0,0.00000,197.00000,0.00010,214.00000,0.00080,253.00000,0.00340,2485.00000,-8.82700,0.30500,-8.34400,0.46200,-9.02400,0.53200,-9.18900,0.42200,-8.71600,0.32300,-8.65200,0.44900,-9.04300,0.38500,-9.12100,0.54400,-11.11300,0.35200,-11.32000,0.36700,-11.05600,0.54100,-11.04400,0.41500,-10.85100,0.42000,-10.96400,0.33000,-10.83300,0.41700,-10.76300,0.24100,-10.85800,0.38300,-10.78800,0.33100,-10.92900,0.43800,-8.60500,0.32200,-8.50100,0.34200,-8.92100,0.54000,-8.22600,0.32800,-8.20900,0.66100,-8.36900,0.37400,-7.85800,0.38700,-8.49500,0.71800,-8.80900,0.63700,-8.19300,0.50700,-8.12800,0.62100,-8.02000,0.77400,-7.80700,0.55800,-7.72900,0.70600,0,-9999,-9999,-9999,28697424,8.58000,1.88000
