latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
37.52500,126.77500,Suwon,3,0.22840,191303.00000,0.42130,263826.00000,0.56650,353039.00000,0.60260,388477.00000,-7.28000,0.23000,-7.41200,0.22100,-6.88300,0.32700,-7.29100,0.31800,-6.66600,0.32300,-6.24600,0.34600,-6.35900,0.12700,-5.95300,0.41000,-6.77900,0.38700,-6.43500,0.47600,-6.28300,0.33800,-5.80600,0.43900,-5.37600,0.47100,-5.26700,0.52800,-5.04300,0.29300,-4.75200,0.37900,-4.40400,0.40800,-4.49200,0.40700,-4.50300,0.21300,-2.87200,0.48100,-2.98200,0.47200,-2.91600,0.42800,-2.69600,0.52200,-2.63100,0.64300,-2.57700,0.41000,-2.46300,0.37700,-2.47300,0.41300,-2.62100,0.33100,-2.48200,0.29900,-2.09600,0.37000,-2.10900,0.48700,-1.91100,0.40400,-1.43400,0.44500,0,-9999.00000,-9999.00000,-9999.00000,24527114,7.88000,2.89000
37.52500,126.82500,Suwon,3,0.37720,243736.00000,0.63000,417685.00000,0.64510,474309.00000,0.66130,528923.00000,-7.18200,0.23000,-7.26800,0.21800,-6.76500,0.33900,-7.18000,0.31800,-6.54500,0.31500,-6.12100,0.35300,-6.24200,0.12100,-5.84000,0.40500,-6.51100,0.40300,-6.14300,0.47200,-6.04000,0.34100,-5.55300,0.44600,-5.12800,0.45700,-4.99100,0.55200,-4.76600,0.28300,-4.50500,0.37700,-4.15800,0.39000,-4.24900,0.41000,-4.26700,0.19800,-2.59400,0.47400,-2.68600,0.44200,-2.61700,0.37800,-2.39900,0.47800,-2.35800,0.58500,-2.31400,0.39400,-2.19300,0.36900,-2.21700,0.37600,-2.34700,0.31500,-2.21100,0.27100,-1.87200,0.34900,-1.84400,0.42700,-1.66500,0.35100,-1.26600,0.41700,0,-9999.00000,-9999.00000,-9999.00000,24527114,12.99000,4.23000
37.52500,126.87500,Suwon,3,0.62880,512141.00000,0.79690,624116.00000,0.79900,657365.00000,0.80450,647629.00000,-6.94000,0.23800,-6.94200,0.21000,-6.46200,0.36300,-6.89400,0.31700,-6.24600,0.29900,-5.82200,0.37900,-5.96300,0.11500,-5.54700,0.39800,-6.35000,0.41000,-5.98500,0.47200,-5.91500,0.35100,-5.41700,0.44800,-5.00700,0.44200,-4.84700,0.57300,-4.63200,0.28100,-4.38600,0.37100,-4.03400,0.38900,-4.11200,0.40900,-4.14600,0.19400,-2.13600,0.34600,-2.19200,0.42800,-2.10200,0.36900,-1.93600,0.38500,-1.88500,0.41900,-1.83500,0.30700,-1.78800,0.30700,-1.81200,0.36500,-1.91900,0.27000,-1.81300,0.23200,-1.50100,0.28100,-1.44700,0.38800,-1.38600,0.29200,-1.03700,0.37500,0,-9999.00000,-9999.00000,-9999.00000,24527114,8.56000,3.15000
37.52500,126.92500,Suwon,3,0.57830,338294.00000,0.65360,380577.00000,0.65510,388311.00000,0.65840,368896.00000,-6.90500,0.24000,-6.89100,0.20800,-6.41500,0.36700,-6.85000,0.31500,-6.20200,0.29600,-5.77800,0.38300,-5.92300,0.11400,-5.50500,0.39700,-6.25800,0.41800,-5.92500,0.48100,-5.88000,0.36600,-5.36400,0.44200,-4.97100,0.43600,-4.78800,0.57800,-4.58900,0.28200,-4.35400,0.37400,-4.00300,0.38700,-4.07400,0.40800,-4.10300,0.19100,-1.91800,0.32200,-1.97600,0.40600,-1.89100,0.34900,-1.72700,0.36300,-1.67600,0.38300,-1.63500,0.26900,-1.57300,0.28000,-1.59400,0.33900,-1.71100,0.24100,-1.60200,0.20500,-1.31300,0.25600,-1.27000,0.37800,-1.22000,0.26100,-0.89100,0.34900,0,-9999.00000,-9999.00000,-9999.00000,24527114,6.73000,3.26000
37.52500,126.97500,Suwon,3,0.60860,234038.00000,0.67250,266246.00000,0.67810,261345.00000,0.68440,235690.00000,-6.89300,0.24900,-6.80300,0.19300,-6.34400,0.37600,-6.78400,0.28900,-6.17800,0.28200,-5.74800,0.39600,-5.91800,0.11700,-5.48300,0.38800,-6.25000,0.43300,-5.95600,0.48400,-5.92000,0.38200,-5.39700,0.44100,-5.01400,0.41800,-4.81400,0.58100,-4.63700,0.27700,-4.41100,0.38100,-4.05600,0.38900,-4.11600,0.40700,-4.14700,0.18200,-1.89300,0.31800,-1.93200,0.40500,-1.83800,0.34600,-1.67000,0.35900,-1.61600,0.37600,-1.59300,0.25700,-1.51900,0.27600,-1.53100,0.33900,-1.66600,0.23300,-1.54800,0.18500,-1.25900,0.24700,-1.22600,0.38000,-1.18500,0.25600,-0.86000,0.34500,0,-9999.00000,-9999.00000,-9999.00000,24527114,8.30000,3.36000
37.52500,127.02500,Suwon,3,0.66070,392041.00000,0.69040,400849.00000,0.69240,395299.00000,0.69520,358131.00000,-6.89000,0.25100,-6.78200,0.18900,-6.32700,0.37800,-6.76800,0.28300,-6.17200,0.27900,-5.74100,0.39900,-5.91700,0.11800,-5.47800,0.38600,-6.35200,0.45400,-6.11200,0.48000,-6.08000,0.39300,-5.55500,0.43800,-5.17900,0.40500,-4.97800,0.58900,-4.80500,0.28100,-4.60600,0.40900,-4.23000,0.39300,-4.28500,0.41400,-4.31300,0.19500,-2.05600,0.32400,-2.07600,0.43200,-1.97600,0.36900,-1.80000,0.36300,-1.74400,0.39900,-1.73300,0.28100,-1.66600,0.28900,-1.66300,0.36800,-1.81200,0.25300,-1.68300,0.20300,-1.38200,0.25900,-1.36000,0.40900,-1.32300,0.27600,-0.98100,0.36700,0,-9999.00000,-9999.00000,-9999.00000,24527114,8.22000,3.66000
37.52500,127.07500,Suwon,3,0.67320,442685.00000,0.70240,488078.00000,0.70630,480873.00000,0.71210,428461.00000,-7.09200,0.25600,-6.90600,0.18000,-6.50100,0.38100,-6.95100,0.24500,-6.39400,0.26700,-5.95700,0.40000,-6.16300,0.12000,-5.71500,0.36500,-6.63800,0.46700,-6.44600,0.48500,-6.38900,0.41200,-5.89100,0.43900,-5.52100,0.40900,-5.32500,0.60800,-5.16500,0.28900,-4.99000,0.44700,-4.58500,0.41400,-4.63500,0.41800,-4.67100,0.22000,-2.52700,0.40900,-2.59400,0.44300,-2.51200,0.32900,-2.20400,0.41100,-2.16100,0.50500,-2.19300,0.28700,-2.05800,0.35000,-2.06600,0.39100,-2.22300,0.24700,-2.08500,0.24500,-1.74900,0.29200,-1.79900,0.46600,-1.65200,0.30800,-1.29300,0.41300,1,-9999.00000,-9999.00000,-9999.00000,24527114,5.95000,3.05000
37.52500,127.12500,Suwon,3,0.53920,578813.00000,0.61460,654645.00000,0.62580,659711.00000,0.63020,628794.00000,-7.19100,0.25700,-6.97100,0.17700,-6.59100,0.38500,-7.04300,0.22900,-6.50400,0.25900,-6.06900,0.39900,-6.28900,0.12100,-5.84200,0.35900,-7.07200,0.48100,-6.93400,0.48300,-6.85200,0.43000,-6.37100,0.45300,-6.01900,0.43400,-5.82800,0.62600,-5.68700,0.29900,-5.52900,0.49500,-5.11200,0.43600,-5.16000,0.43100,-5.19800,0.25300,-2.84600,0.43000,-2.94400,0.46500,-2.89400,0.32100,-2.45300,0.42100,-2.43500,0.56100,-2.45600,0.28100,-2.31800,0.40800,-2.33900,0.41000,-2.48900,0.26600,-2.37200,0.25600,-2.01900,0.32700,-2.17000,0.46800,-1.90600,0.34500,-1.51700,0.43500,0,-9999.00000,-9999.00000,-9999.00000,24527114,9.29000,4.12000
37.52500,127.17500,Suwon,3,0.23180,77331.00000,0.34680,145415.00000,0.38410,179498.00000,0.39690,189235.00000,-7.50200,0.26700,-7.22700,0.18300,-6.90300,0.38300,-7.35200,0.20500,-6.85300,0.26000,-6.42600,0.38000,-6.66000,0.12000,-6.23600,0.34700,-7.68700,0.50000,-7.61300,0.47400,-7.48600,0.44600,-7.06400,0.48600,-6.70700,0.45300,-6.54400,0.64300,-6.40800,0.31700,-6.28500,0.53100,-5.86700,0.45900,-5.92500,0.42500,-5.95500,0.29000,-3.75700,0.50500,-3.87500,0.47300,-3.75400,0.37200,-3.40800,0.51800,-3.43700,0.59100,-3.41700,0.37000,-3.30700,0.44900,-3.21900,0.44200,-3.32900,0.36800,-3.22200,0.28000,-2.76400,0.40800,-2.83100,0.48100,-2.44600,0.40900,-2.12000,0.55500,0,-9999.00000,-9999.00000,-9999.00000,24527114,19.90000,5.47000
37.52500,127.22500,Suwon,2,0.07830,22261.00000,0.17050,51359.00000,0.19200,66003.00000,0.20260,81954.00000,-7.67300,0.27500,-7.36900,0.18700,-7.07600,0.38400,-7.52100,0.19500,-7.04600,0.26000,-6.62800,0.36900,-6.86700,0.11800,-6.46300,0.34200,-8.41600,0.50800,-8.43000,0.44200,-8.26800,0.44400,-7.89500,0.50500,-7.57600,0.46300,-7.45400,0.62600,-7.31700,0.34900,-7.24800,0.52300,-6.83100,0.47400,-6.89500,0.40900,-6.93200,0.33400,-5.40300,0.50000,-5.58600,0.49400,-5.45900,0.45400,-5.22400,0.54600,-5.21600,0.67100,-5.18300,0.49800,-5.08100,0.53600,-4.99200,0.48900,-4.98800,0.48500,-4.86500,0.32300,-4.43600,0.47900,-4.40500,0.61200,-4.12000,0.48300,-3.65500,0.69800,0,-9999.00000,-9999.00000,-9999.00000,24527114,26.68000,5.43000
