latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
31.57500,120.32500,Suzhou,3,0.05830,169687.00000,0.64790,304395.00000,0.75600,385283.00000,0.85080,509032.00000,-9.61500,0.55800,-10.00600,0.33800,-9.83000,0.66300,-10.14800,1.83000,-9.56200,0.50300,-9.46900,0.58100,-9.06400,0.48300,-9.25200,0.33500,-10.88300,0.55600,-10.72800,0.51900,-10.28500,0.56400,-9.97000,0.45000,-9.53800,0.53800,-8.99800,0.48200,-8.59000,0.47500,-8.11600,0.52900,-7.60100,0.63000,-7.44300,0.33800,-6.91400,0.58500,-5.28600,0.54900,-4.72900,0.65200,-4.34300,0.84500,-4.23200,0.50700,-3.70500,0.72300,-3.59300,0.87400,-3.61200,0.64000,-3.03600,0.57500,-3.02500,0.60300,-2.98600,0.86400,-2.97900,0.58400,-2.67800,0.73900,-2.35400,0.61500,-2.27500,0.88100,0,0.21940,22.84920,50.40730,26313454,9.14000,3.43000
31.57500,120.37500,Suzhou,3,0.01240,36351.00000,0.23020,83171.00000,0.38480,129642.00000,0.66370,188606.00000,-9.60700,0.56800,-10.00000,0.35400,-9.80600,0.66600,-10.15000,1.73700,-9.54400,0.51200,-9.45400,0.58900,-9.07200,0.47500,-9.24400,0.34400,-11.02400,0.53100,-10.87600,0.56900,-10.40600,0.59400,-10.15900,0.48500,-9.68500,0.56000,-9.13200,0.48600,-8.75000,0.47500,-8.25800,0.53300,-7.75000,0.66700,-7.59600,0.34400,-7.03400,0.62400,-5.45500,0.58400,-4.88000,0.65100,-4.54000,0.86200,-4.36300,0.51000,-3.84200,0.72300,-3.73300,0.87900,-3.75800,0.64600,-3.18100,0.59100,-3.16600,0.61900,-3.12600,0.87400,-3.10500,0.60600,-2.77700,0.76700,-2.46400,0.62800,-2.40100,0.87600,0,0.16830,18.90310,32.27180,26313454,10.10000,3.55000
31.57500,120.42500,Suzhou,3,0.00400,23072.00000,0.09010,29297.00000,0.16800,43201.00000,0.50620,78261.00000,-9.62700,0.57900,-10.01600,0.36700,-9.81200,0.66700,-10.16100,1.63200,-9.54700,0.51200,-9.46700,0.59300,-9.09000,0.48500,-9.27000,0.34600,-11.26200,0.50600,-11.14700,0.62600,-10.66800,0.65000,-10.47400,0.54500,-9.96100,0.60300,-9.45500,0.48900,-9.07400,0.48900,-8.59300,0.55900,-8.06500,0.73600,-7.92000,0.33700,-7.32800,0.68600,-5.89700,0.60700,-5.37800,0.67000,-5.01900,0.86900,-4.85700,0.50200,-4.38500,0.73000,-4.32100,0.92000,-4.35400,0.66300,-3.76000,0.63200,-3.83400,0.66800,-3.71100,0.91300,-3.64200,0.64700,-3.27700,0.84000,-3.03300,0.70900,-2.92400,0.90500,0,0.12990,13.91840,19.60720,26313454,9.98000,3.49000
31.57500,120.47500,Suzhou,2,0.00030,326.00000,0.04380,8801.00000,0.07370,11955.00000,0.20810,24404.00000,-9.65300,0.59300,-10.03700,0.38500,-9.82000,0.66700,-10.17600,1.49200,-9.55200,0.51200,-9.48300,0.60000,-9.11300,0.49800,-9.30600,0.34900,-11.57300,0.49000,-11.49300,0.70900,-11.01800,0.71100,-10.84900,0.61000,-10.33100,0.64700,-9.89700,0.50700,-9.52100,0.52200,-9.05100,0.59100,-8.49600,0.79900,-8.36500,0.34200,-7.74700,0.76500,-6.81000,0.65400,-6.39800,0.71400,-6.08600,0.86300,-5.98800,0.53900,-5.50300,0.78700,-5.47300,0.96100,-5.51700,0.78100,-4.91300,0.68300,-5.06300,0.72300,-4.78900,0.98800,-4.76200,0.72900,-4.33500,0.88700,-4.10400,0.85100,-3.97800,1.05100,0,0.06330,10.83360,9.62810,26313454,14.44000,4.38000
31.57500,120.52500,Suzhou,2,0.00060,3946.00000,0.03490,12486.00000,0.05580,13748.00000,0.11040,15502.00000,-9.70900,0.59800,-10.09300,0.40500,-9.86500,0.66900,-10.23700,1.39100,-9.59400,0.51000,-9.53900,0.61100,-9.18100,0.51700,-9.38900,0.35200,-11.90200,0.48600,-11.85300,0.79000,-11.40800,0.77200,-11.22900,0.67800,-10.71300,0.67900,-10.35500,0.53200,-10.00800,0.55400,-9.54900,0.61900,-8.95500,0.85500,-8.85300,0.38200,-8.26000,0.83400,-7.66700,0.69300,-7.33100,0.67300,-7.05200,0.84600,-6.87800,0.58500,-6.38000,0.82100,-6.38100,0.85400,-6.48500,0.80700,-5.85500,0.69200,-5.96700,0.69900,-5.68600,1.02100,-5.75800,0.73500,-5.27900,0.88600,-5.09500,0.88500,-4.98600,1.13400,1,0.02850,6.99320,3.13180,26313454,15.70000,4.80000
31.57500,120.57500,Suzhou,2,0.00310,1531.00000,0.05340,21981.00000,0.07740,27965.00000,0.15990,38561.00000,-9.75600,0.60200,-10.13900,0.42500,-9.90200,0.66900,-10.28200,1.28000,-9.63100,0.50700,-9.58800,0.62200,-9.24400,0.53400,-9.46600,0.35400,-12.24900,0.48700,-12.21600,0.84700,-11.80100,0.79800,-11.56000,0.73100,-11.04500,0.69100,-10.77800,0.54300,-10.44600,0.56800,-10.01900,0.60700,-9.37500,0.88100,-9.30000,0.42400,-8.76100,0.86100,-7.98100,0.66800,-7.69800,0.60400,-7.34500,0.83200,-7.14700,0.56400,-6.65800,0.80000,-6.68700,0.76900,-6.81700,0.71000,-6.15300,0.65500,-6.24000,0.65200,-6.00100,0.96500,-6.11300,0.68000,-5.68600,0.84700,-5.54600,0.79700,-5.38200,1.08000,0,0.03420,5.94810,4.77360,26313454,15.10000,4.73000
31.57500,120.62500,Suzhou,2,0.00540,7774.00000,0.04680,14512.00000,0.07730,18434.00000,0.15510,30422.00000,-9.82300,0.60000,-10.21200,0.44400,-9.98600,0.67600,-10.47400,1.50700,-9.71900,0.52300,-9.67800,0.62000,-9.36800,0.53700,-9.60100,0.34500,-12.53800,0.48600,-12.49800,0.87800,-12.09900,0.79800,-11.78100,0.75600,-11.27600,0.65500,-11.10300,0.56100,-10.74000,0.58000,-10.36900,0.55200,-9.70700,0.88300,-9.64300,0.46100,-9.12700,0.85400,-8.07100,0.64100,-7.77600,0.60300,-7.43500,0.81900,-7.25600,0.53900,-6.73900,0.80100,-6.78200,0.75800,-6.90800,0.69000,-6.23500,0.65400,-6.30700,0.64700,-6.10000,0.93600,-6.17400,0.68800,-5.79300,0.82400,-5.67000,0.73800,-5.46000,1.05600,0,0.02270,5.90240,2.25240,26313454,15.13000,4.64000
31.57500,120.67500,Suzhou,2,0.00990,12406.00000,0.05420,15819.00000,0.09660,18830.00000,0.19530,19229.00000,-9.87300,0.59600,-10.26200,0.45300,-10.04700,0.67700,-10.74400,2.04300,-9.78500,0.53300,-9.74900,0.61400,-9.46300,0.53900,-9.70200,0.33800,-12.73300,0.49200,-12.67500,0.87300,-12.29100,0.79700,-11.92700,0.73900,-11.44500,0.60000,-11.30400,0.55900,-10.92900,0.59000,-10.56100,0.52500,-9.91700,0.86100,-9.88800,0.48700,-9.37200,0.85300,-8.09200,0.62300,-7.81100,0.61000,-7.42100,0.81200,-7.24300,0.52400,-6.74300,0.79500,-6.81700,0.72100,-6.91800,0.66700,-6.26200,0.66400,-6.28600,0.66100,-6.10800,0.89800,-6.11700,0.68200,-5.83400,0.81900,-5.68900,0.72500,-5.46700,1.03200,1,0.03960,7.49380,4.97930,26313454,16.16000,4.69000
31.57500,120.72500,Suzhou,1,0.00970,2801.00000,0.04330,6758.00000,0.07950,9692.00000,0.16410,13825.00000,-9.95900,0.59800,-10.37800,0.45800,-10.18900,0.68600,-11.16800,2.88400,-9.90100,0.56200,-9.87400,0.60400,-9.63700,0.52100,-9.88400,0.32800,-12.83700,0.48400,-12.73900,0.82700,-12.37900,0.77300,-11.97100,0.68900,-11.52100,0.54200,-11.36400,0.54100,-10.96300,0.57300,-10.59800,0.49500,-9.96900,0.81400,-9.96600,0.48400,-9.45400,0.80400,-8.05100,0.61500,-7.78600,0.64500,-7.31600,0.79200,-7.15600,0.53900,-6.67900,0.81500,-6.77100,0.64400,-6.82000,0.66700,-6.16400,0.66700,-6.14500,0.67000,-5.96300,0.84600,-5.84600,0.64600,-5.73100,0.82900,-5.52200,0.67300,-5.28600,0.97000,27,0.05160,6.70480,6.84180,26313454,12.93000,4.19000
31.57500,120.77500,Suzhou,2,0.01040,8067.00000,0.04380,11844.00000,0.10310,17229.00000,0.26430,25938.00000,-10.00200,0.59300,-10.43100,0.45400,-10.26300,0.68400,-11.32200,3.14600,-9.96000,0.57500,-9.94100,0.59200,-9.73300,0.51000,-9.98300,0.32500,-12.83100,0.45000,-12.68800,0.77300,-12.34700,0.73000,-11.92900,0.65100,-11.50300,0.50700,-11.33200,0.54100,-10.90000,0.55300,-10.55600,0.46400,-9.93800,0.76900,-9.95000,0.46000,-9.44000,0.76000,-8.04000,0.62900,-7.88700,0.68100,-7.26800,0.76800,-7.12900,0.57700,-6.67500,0.82000,-6.79200,0.60000,-6.76800,0.65400,-6.12600,0.65900,-6.07000,0.68400,-5.90200,0.84600,-5.69500,0.62100,-5.60600,0.79500,-5.40900,0.62700,-5.15800,0.92000,10,0.07470,8.61570,10.43400,26313454,12.49000,4.30000
