latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-33.67500,150.92500,Sydney,2,0.06750,12324.00000,0.14390,15439.00000,0.28250,17396.00000,0.38140,22398.00000,-8.37100,0.18000,-8.13200,0.16900,-8.09600,0.24900,-8.21700,0.23400,-8.43100,0.31500,-8.36200,0.15700,-7.93800,0.16000,-8.01800,0.31000,-9999.00000,-9999.00000,-9.94300,0.30300,-9.81300,0.33400,-9.77900,0.27800,-10.09800,0.33000,-9.81900,0.30800,-9.65000,0.27100,-9.63600,0.23300,-9.58500,0.28700,-9.30400,0.26800,-9.35500,0.36800,-8.21300,0.55300,-7.83900,0.41500,-8.05300,0.49300,-7.90800,0.47000,-8.01100,0.43400,-7.53000,0.45300,-7.64300,0.38800,-7.74700,0.49300,-7.60300,0.36200,-7.51300,0.39200,-7.35000,0.48500,-7.47400,0.42700,-7.07600,0.41800,-6.76100,0.54400,0,-9999,-9999,-9999,25714644,20.88000,5.10000
-33.67500,150.97500,Sydney,1,0.05080,5618.00000,0.13530,7153.00000,0.17930,7806.00000,0.22640,9838.00000,-8.13500,0.17600,-7.99100,0.16800,-7.89300,0.23500,-8.02500,0.20400,-8.28900,0.31800,-8.10900,0.14700,-7.72600,0.16600,-7.82900,0.27700,-9999.00000,-9999.00000,-9.64300,0.26600,-9.55800,0.35000,-9.52200,0.24900,-9.78100,0.30200,-9.54500,0.31700,-9.39200,0.24400,-9.37100,0.23700,-9.29300,0.28400,-9.04800,0.28800,-9.10500,0.34900,-8.01600,0.52000,-7.77000,0.41600,-7.87500,0.47300,-7.80200,0.44200,-7.86300,0.36800,-7.44600,0.44300,-7.59700,0.40300,-7.63300,0.45000,-7.55900,0.38800,-7.45600,0.40600,-7.31000,0.49900,-7.44100,0.39800,-7.10500,0.38500,-6.87600,0.54800,0,-9999,-9999,-9999,25714644,35.13000,5.65000
-33.67500,151.02500,Sydney,1,0.04470,4375.00000,0.13200,5170.00000,0.17030,5806.00000,0.20470,7286.00000,-8.12800,0.18200,-8.01700,0.16600,-7.89100,0.23300,-8.02400,0.19700,-8.30100,0.31500,-8.09300,0.14100,-7.72800,0.17300,-7.82300,0.26800,-9999.00000,-9999.00000,-9.48800,0.24900,-9.43600,0.33700,-9.40900,0.22400,-9.60600,0.27300,-9.41400,0.29500,-9.27900,0.22100,-9.27600,0.23900,-9.17400,0.27900,-8.95100,0.30600,-8.98900,0.31900,-7.88000,0.53900,-7.80300,0.46600,-7.85900,0.46200,-7.76700,0.47100,-7.83500,0.39500,-7.56000,0.42900,-7.64500,0.41900,-7.65900,0.46400,-7.57700,0.37700,-7.60400,0.41000,-7.37700,0.47100,-7.53600,0.39300,-7.31000,0.42100,-7.11100,0.50000,0,-9999,-9999,-9999,25714644,35.77000,5.67000
-33.67500,151.07500,Sydney,1,0.08500,7264.00000,0.15040,9057.00000,0.16030,10141.00000,0.17660,12935.00000,-8.15900,0.21000,-8.15700,0.16100,-7.94300,0.22600,-8.08100,0.17900,-8.40500,0.30900,-8.09900,0.12700,-7.79500,0.20000,-7.86400,0.23500,-9999.00000,-9999.00000,-9.42900,0.24300,-9.41000,0.31500,-9.38100,0.20600,-9.54500,0.25700,-9.38900,0.26800,-9.25500,0.21800,-9.25500,0.23200,-9.15500,0.27100,-8.95800,0.31300,-8.97800,0.28100,-7.81500,0.50600,-7.80900,0.46700,-7.86200,0.40700,-7.78900,0.47800,-7.81900,0.42700,-7.61500,0.42100,-7.65700,0.40400,-7.63200,0.46900,-7.63900,0.33400,-7.66200,0.37700,-7.42500,0.44500,-7.60000,0.38900,-7.41400,0.43000,-7.17700,0.41900,0,-9999,-9999,-9999,25714644,53.78000,4.72000
-33.67500,151.12500,Sydney,2,0.14260,15877.00000,0.24220,19650.00000,0.25110,21997.00000,0.26820,27588.00000,-8.30500,0.21000,-8.29000,0.15600,-8.06300,0.24200,-8.21800,0.18000,-8.54300,0.28700,-8.22700,0.13200,-7.94400,0.21100,-7.99300,0.22300,-9999.00000,-9999.00000,-9.61700,0.22300,-9.63900,0.29700,-9.59900,0.18400,-9.73600,0.26600,-9.60700,0.24900,-9.47400,0.20000,-9.48200,0.22400,-9.37300,0.25800,-9.21000,0.29600,-9.21500,0.24500,-7.91500,0.46100,-7.93900,0.44300,-7.95500,0.37000,-7.92300,0.44200,-7.91300,0.41300,-7.74200,0.40400,-7.78600,0.37700,-7.77000,0.41100,-7.76000,0.32100,-7.78100,0.38100,-7.56900,0.45200,-7.71800,0.37000,-7.53300,0.42200,-7.33300,0.39800,0,-9999,-9999,-9999,25714644,44.29000,4.89000
-33.67500,151.17500,Sydney,1,0.03190,1042.00000,0.07810,1256.00000,0.08740,1411.00000,0.10400,1809.00000,-8.68500,0.21300,-8.63400,0.14800,-8.38200,0.28300,-8.57700,0.18500,-8.90200,0.24100,-8.56600,0.14700,-8.32900,0.23700,-8.33200,0.19400,-9999.00000,-9999.00000,-10.01900,0.23300,-10.08100,0.28900,-10.02500,0.17600,-10.15000,0.25400,-10.04000,0.25500,-9.89100,0.18000,-9.92900,0.22200,-9.81900,0.26500,-9.66500,0.30900,-9.66400,0.23400,-8.30700,0.45400,-8.35700,0.41000,-8.39600,0.38000,-8.32000,0.40400,-8.28800,0.39400,-8.17000,0.36700,-8.18600,0.38000,-8.22300,0.41400,-8.18100,0.34100,-8.19500,0.41100,-8.01300,0.46600,-8.21000,0.37100,-7.97900,0.38000,-7.78700,0.40200,0,-9999,-9999,-9999,25714644,54.31000,4.73000
-33.67500,151.22500,Sydney,1,0.04200,1987.00000,0.07890,2495.00000,0.08580,2792.00000,0.09580,3470.00000,-9.08300,0.19500,-8.99200,0.14800,-8.74600,0.32300,-8.93900,0.19000,-9.23200,0.21800,-8.94100,0.18500,-8.72600,0.25600,-8.69200,0.18500,-9999.00000,-9999.00000,-10.80000,0.25100,-10.89200,0.28700,-10.85000,0.23000,-11.00100,0.25200,-10.86300,0.28600,-10.67700,0.19500,-10.74500,0.23400,-10.66900,0.27100,-10.51700,0.34900,-10.50000,0.25600,-8.89500,0.47300,-8.90300,0.43700,-8.91700,0.33500,-8.85500,0.38800,-8.80300,0.37100,-8.70200,0.35300,-8.69200,0.42500,-8.71600,0.42300,-8.72800,0.31900,-8.71000,0.45300,-8.53800,0.48700,-8.74600,0.38800,-8.51900,0.40900,-8.34900,0.45400,0,-9999,-9999,-9999,25714644,44.66000,5.42000
-33.67500,151.27500,Sydney,2,0.17350,12157.00000,0.26940,14954.00000,0.28800,16722.00000,0.31440,21133.00000,-9.76600,0.17000,-9.60800,0.15000,-9.37400,0.39000,-9.56400,0.19900,-9.80200,0.18400,-9.58500,0.24800,-9.40400,0.28600,-9.31000,0.17100,-9999.00000,-9999.00000,-11.97100,0.31800,-12.11100,0.33800,-12.07500,0.32200,-12.25300,0.26000,-12.05800,0.35700,-11.85600,0.24600,-11.94000,0.26700,-11.93300,0.30600,-11.75500,0.42500,-11.69600,0.30400,-9.64900,0.56000,-9.58800,0.46800,-9.61100,0.37800,-9.52400,0.48500,-9.54400,0.42500,-9.35900,0.40200,-9.35600,0.48100,-9.35200,0.45100,-9.39000,0.39400,-9.39700,0.55500,-9.26300,0.51000,-9.42400,0.44300,-9.20800,0.46400,-9.03100,0.55400,0,-9999,-9999,-9999,25714644,38.44000,5.39000
-33.67500,151.32500,Sydney,1,0.15770,13282.00000,0.21700,16162.00000,0.22530,18007.00000,0.23710,22587.00000,-9.75600,0.17200,-9.59700,0.14800,-9.36100,0.38900,-9.55000,0.19800,-9.79000,0.18200,-9.56800,0.24900,-9.39100,0.28600,-9.29600,0.17100,-9999.00000,-9999.00000,-13.61500,0.45500,-13.80500,0.48600,-13.75700,0.45100,-13.99800,0.36400,-13.78600,0.45400,-13.50500,0.38300,-13.63700,0.30700,-13.68300,0.42800,-13.45600,0.54400,-13.37400,0.42300,-11.02100,0.72000,-10.81800,0.58300,-10.79600,0.47400,-10.72500,0.59200,-10.74200,0.55100,-10.63100,0.50500,-10.56800,0.59600,-10.60100,0.52300,-10.60300,0.47300,-10.61300,0.74200,-10.48000,0.56200,-10.60700,0.53900,-10.38900,0.66900,-10.28400,0.66000,43,-9999,-9999,-9999,25714644,11.27000,5.48000
-33.67500,151.37500,Sydney,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-14.66200,0.58700,-14.86600,0.59800,-14.79100,0.55500,-15.11600,0.45300,-14.91100,0.51200,-14.54300,0.49700,-14.73100,0.34100,-14.77200,0.52500,-14.51800,0.60800,-14.44300,0.53400,-12.06100,0.80700,-11.74200,0.69800,-11.65600,0.50300,-11.63800,0.60100,-11.56400,0.59700,-11.63300,0.60900,-11.49500,0.68400,-11.57000,0.57300,-11.50900,0.50800,-11.52700,0.87600,-11.33800,0.58900,-11.42700,0.64100,-11.20600,0.86900,-11.22200,0.71400,100,-9999,-9999,-9999,25714644,-9999.00000,-9999.00000
