latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
36.42500,116.87500,Taian,1,0.00020,6190.00000,0.00140,13598.00000,0.00400,20147.00000,0.00530,20023.00000,-8.75800,0.47700,-8.89800,0.44600,-8.55800,0.49400,-8.80000,0.36400,-8.92900,0.27500,-8.65500,0.41200,-8.62600,0.23400,-8.72000,0.29400,-10.68100,0.37300,-10.64200,0.39100,-10.71400,0.40900,-10.92100,0.31400,-10.41400,0.38800,-10.47600,0.48700,-10.46200,0.35600,-10.63000,0.41400,-10.46800,0.39000,-10.36700,0.33900,-10.21800,0.36700,-8.77500,0.44200,-8.62400,0.38400,-8.64500,0.38600,-8.59000,0.47100,-8.60200,0.43300,-8.72600,0.40100,-8.67000,0.51800,-8.59100,0.30200,-8.68700,0.47200,-8.34400,0.56800,-8.41000,0.49700,-8.37600,0.50600,-8.26300,0.64800,-8.00300,0.48300,0,0.01600,3.34950,1.07990,24878062,7.50000,3.32000
36.42500,116.92500,Taian,1,0.00120,10244.00000,0.00530,17042.00000,0.00750,14007.00000,0.00970,17198.00000,-8.75700,0.47100,-8.89300,0.44200,-8.55000,0.49100,-8.79400,0.35100,-8.91300,0.27400,-8.64400,0.40500,-8.60800,0.23200,-8.71600,0.30700,-10.74100,0.33900,-10.67000,0.35600,-10.74900,0.37100,-10.93000,0.32100,-10.43900,0.35600,-10.44200,0.47300,-10.46600,0.33600,-10.61000,0.42100,-10.47600,0.37800,-10.32600,0.32500,-10.19800,0.37200,-8.72400,0.40900,-8.58500,0.36200,-8.61000,0.37000,-8.54100,0.46400,-8.53500,0.41200,-8.65100,0.39600,-8.60900,0.47500,-8.53600,0.30000,-8.54500,0.45500,-8.24800,0.51800,-8.30800,0.45600,-8.30900,0.50400,-8.19600,0.64400,-7.98000,0.47300,0,0.01710,3.87300,1.30000,24878062,8.04000,3.19000
36.42500,116.97500,Taian,0,0.00010,258.00000,0.00010,151.00000,0.00010,90.00000,0.00020,32.00000,-8.75800,0.43500,-8.87500,0.43200,-8.51200,0.47400,-8.76900,0.29600,-8.84900,0.26800,-8.61300,0.36900,-8.53900,0.21600,-8.72600,0.36100,-10.78300,0.30700,-10.68100,0.30900,-10.78600,0.32300,-10.93100,0.29700,-10.45900,0.35300,-10.40400,0.45200,-10.48200,0.33400,-10.57100,0.43100,-10.47700,0.38300,-10.31500,0.29800,-10.19700,0.39200,-8.68300,0.38700,-8.55200,0.33700,-8.59600,0.34800,-8.49200,0.44800,-8.50000,0.40500,-8.59900,0.38200,-8.56800,0.45700,-8.51300,0.29700,-8.49800,0.43200,-8.21400,0.48800,-8.28100,0.44800,-8.29900,0.48700,-8.18800,0.62600,-8.00300,0.46900,0,0.00760,2.70690,0.45660,24878062,8.92000,3.66000
36.42500,117.02500,Taian,0,0.00000,1781.00000,0.00010,430.00000,0.00020,541.00000,0.00050,465.00000,-8.76200,0.43100,-8.87500,0.43100,-8.51200,0.47200,-8.77600,0.29100,-8.84500,0.27000,-8.61700,0.36700,-8.54000,0.21300,-8.73700,0.37100,-10.82000,0.27700,-10.70700,0.28500,-10.82200,0.28600,-10.95700,0.28600,-10.51400,0.37700,-10.41800,0.43100,-10.52300,0.32200,-10.54600,0.44300,-10.51900,0.37300,-10.34700,0.28600,-10.23800,0.38700,-8.64300,0.36700,-8.52900,0.33000,-8.58300,0.32700,-8.45700,0.43100,-8.46300,0.39100,-8.53700,0.36100,-8.52900,0.45200,-8.48000,0.29100,-8.48700,0.42200,-8.19200,0.46900,-8.25800,0.44600,-8.29100,0.47100,-8.18100,0.60200,-8.01200,0.47400,0,0.01200,2.91330,0.88610,24878062,15.05000,4.48000
36.42500,117.07500,Taian,0,0.00010,0.00000,0.00020,0.00000,0.00090,6376.00000,0.00140,4491.00000,-8.78800,0.41000,-8.87600,0.42700,-8.51600,0.46100,-8.81400,0.26300,-8.82500,0.27900,-8.64100,0.35600,-8.54500,0.20000,-8.79200,0.42200,-10.84000,0.26900,-10.74700,0.26100,-10.86100,0.25400,-10.98800,0.27400,-10.55100,0.39400,-10.45000,0.40500,-10.60200,0.29000,-10.57400,0.44400,-10.59700,0.36500,-10.42300,0.26500,-10.33200,0.38200,-8.61400,0.35100,-8.50700,0.33500,-8.56600,0.32000,-8.43900,0.42100,-8.42300,0.36700,-8.47900,0.35000,-8.48800,0.44700,-8.46200,0.28800,-8.48500,0.41100,-8.18000,0.44600,-8.24000,0.44500,-8.25900,0.47900,-8.17000,0.57300,-8.01800,0.46700,0,0.01170,4.02690,0.77640,24878062,12.11000,4.24000
36.42500,117.12500,Taian,0,0.00010,27544.00000,0.00060,40850.00000,0.00100,47115.00000,0.00130,57072.00000,-8.79800,0.40800,-8.88000,0.42900,-8.52500,0.46000,-8.82700,0.26500,-8.83000,0.28300,-8.65200,0.35800,-8.55700,0.19900,-8.80600,0.42700,-10.86000,0.26400,-10.79500,0.24500,-10.90100,0.25300,-11.02300,0.28300,-10.60200,0.40400,-10.51400,0.39700,-10.68500,0.27500,-10.64300,0.44200,-10.67400,0.34500,-10.50900,0.25900,-10.44100,0.38100,-8.60200,0.33900,-8.49500,0.33800,-8.55500,0.31900,-8.43000,0.41500,-8.39600,0.34400,-8.44400,0.35300,-8.47000,0.44200,-8.46600,0.28800,-8.50000,0.40800,-8.19000,0.43900,-8.24100,0.44200,-8.25200,0.47400,-8.18600,0.54800,-8.04200,0.46100,0,0.02020,4.51180,1.42640,24878062,11.40000,4.20000
36.42500,117.17500,Taian,0,0.00000,76.00000,0.00010,0.00000,0.00030,1244.00000,0.00040,437.00000,-8.85400,0.39500,-8.90600,0.44100,-8.57700,0.45000,-8.90300,0.27800,-8.85900,0.30700,-8.72000,0.37100,-8.62700,0.18800,-8.89300,0.46100,-10.87300,0.29200,-10.85200,0.24400,-10.93900,0.27600,-11.06600,0.29500,-10.67000,0.40000,-10.59400,0.37900,-10.78400,0.26300,-10.72700,0.43400,-10.75900,0.32500,-10.62800,0.26800,-10.56600,0.36500,-8.60600,0.33000,-8.50200,0.33200,-8.55300,0.31500,-8.43100,0.41500,-8.37800,0.32700,-8.44000,0.35900,-8.47400,0.44000,-8.51400,0.30500,-8.53700,0.41000,-8.22100,0.43500,-8.26100,0.44300,-8.28000,0.46800,-8.22700,0.54100,-8.09700,0.44400,0,0.01310,3.88990,0.84150,24878062,11.58000,3.98000
36.42500,117.22500,Taian,0,0.00000,1261.00000,0.00000,0.00000,0.00000,2324.00000,0.00000,2064.00000,-8.86400,0.39600,-8.91400,0.44400,-8.59000,0.45100,-8.91700,0.27800,-8.86900,0.31100,-8.73300,0.37400,-8.64100,0.18900,-8.90400,0.46100,-10.89100,0.33600,-10.88100,0.25400,-10.95500,0.30700,-11.10200,0.30900,-10.74600,0.38400,-10.69100,0.39100,-10.87300,0.24400,-10.81800,0.42600,-10.80500,0.31100,-10.71000,0.27300,-10.69300,0.35300,-8.61500,0.32600,-8.52700,0.32700,-8.56200,0.30400,-8.44600,0.42400,-8.38400,0.31500,-8.45600,0.36000,-8.49000,0.44500,-8.58900,0.32100,-8.61700,0.42100,-8.26900,0.43200,-8.31400,0.45400,-8.32400,0.45400,-8.30400,0.52700,-8.16400,0.45200,0,0.00410,2.80590,0.21040,24878062,23.07000,5.74000
36.42500,117.27500,Taian,0,0.00000,28746.00000,0.00000,4488.00000,0.00000,2914.00000,0.00000,4698.00000,-8.92900,0.40200,-8.96600,0.46700,-8.67800,0.45400,-9.01300,0.27500,-8.93600,0.33300,-8.82000,0.39800,-8.72900,0.19100,-8.97500,0.46300,-10.90800,0.36800,-10.90700,0.27600,-10.95300,0.33600,-11.11000,0.34200,-10.79000,0.34600,-10.76900,0.41100,-10.91500,0.24100,-10.84200,0.40400,-10.80400,0.30000,-10.75900,0.27800,-10.78000,0.35700,-8.63600,0.32900,-8.57000,0.33100,-8.58000,0.29800,-8.48600,0.43800,-8.40900,0.31100,-8.48900,0.35900,-8.52400,0.45400,-8.65900,0.32900,-8.69700,0.42300,-8.32700,0.42400,-8.38800,0.48100,-8.37300,0.44300,-8.37000,0.54400,-8.20800,0.45700,0,0.00750,3.45560,0.44610,24878062,14.22000,4.66000
36.42500,117.32500,Taian,0,0.00000,28395.00000,0.00010,4488.00000,0.00010,2914.00000,0.00010,4698.00000,-8.93700,0.40700,-8.97300,0.46900,-8.68600,0.45600,-9.02700,0.26900,-8.94900,0.33400,-8.82900,0.40400,-8.73600,0.19700,-8.98000,0.46600,-10.92700,0.41900,-10.92200,0.30500,-10.95700,0.38700,-11.10000,0.39500,-10.82600,0.30200,-10.81900,0.44600,-10.93100,0.25700,-10.83700,0.41200,-10.78100,0.31600,-10.76200,0.30300,-10.81500,0.35400,-8.68200,0.34300,-8.62600,0.33100,-8.62500,0.31300,-8.53600,0.44400,-8.43100,0.30400,-8.52800,0.36600,-8.58200,0.46800,-8.73000,0.30200,-8.78300,0.44600,-8.37500,0.43000,-8.45800,0.48900,-8.42700,0.45800,-8.42600,0.55500,-8.25100,0.46300,0,0.00350,1.73730,0.20040,24878062,11.28000,4.19000
