latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
25.27500,121.32500,Taipei,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,27894818,-9999.00000,-9999.00000
25.27500,121.37500,Taipei,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,27894818,-9999.00000,-9999.00000
25.27500,121.42500,Taipei,0,0.00100,0.00000,0.00160,0.00000,0.00160,0.00000,0.00240,0.00000,-11.09100,0.57300,-10.63800,0.88100,-10.91000,1.25400,-11.09100,2.66900,-10.15800,0.56800,-9.62800,0.58700,-9.49000,0.59200,-9.54100,0.46900,-12.80800,0.38700,-12.58500,0.69100,-12.34500,0.91800,-12.37700,0.60600,-12.63400,0.43000,-12.16700,0.80900,-12.12800,0.62900,-12.03200,0.67500,-11.90300,0.58000,-12.04000,0.62600,-11.79900,0.60100,-10.52200,0.81300,-10.56700,0.84200,-10.82500,0.62900,-10.59300,0.61200,-10.83500,0.74000,-10.38700,0.69000,-10.27500,0.72500,-10.31000,0.69200,-10.10800,0.73900,-10.18400,0.72100,-10.29500,0.52600,-10.25500,0.91600,-9.32000,1.40300,-9.81300,0.96400,100,-9999.00000,-9999.00000,-9999.00000,27894818,-9999.00000,-9999.00000
25.27500,121.47500,Taipei,0,0.00650,5939.00000,0.02320,4850.00000,0.02320,5557.00000,0.03050,6606.00000,-11.09100,0.57300,-10.63800,0.88100,-10.91000,1.25400,-11.09100,2.66900,-10.15800,0.56800,-9.62800,0.58700,-9.49000,0.59200,-9.54100,0.46900,-13.27200,0.36900,-13.06400,0.65100,-12.94500,0.84600,-12.96400,0.65400,-13.15600,0.58300,-12.77000,0.82200,-12.84400,0.66100,-12.67500,0.62800,-12.58800,0.62500,-12.76700,0.65300,-12.63200,0.59000,-10.39800,0.76100,-10.51900,0.75900,-10.70800,0.52800,-10.55600,0.67500,-10.81500,0.66400,-10.40800,0.59100,-10.23100,0.67200,-10.37300,0.62300,-10.22600,0.74400,-10.14800,0.66700,-10.43400,0.54500,-10.35500,0.83200,-9.72900,1.11000,-10.10500,0.85400,82,-9999.00000,-9999.00000,-9999.00000,27894818,16.32000,5.56000
25.27500,121.52500,Taipei,1,0.00190,7948.00000,0.00850,7437.00000,0.01340,9570.00000,0.02390,9606.00000,-10.84300,0.53900,-10.41400,0.82300,-10.74800,1.35500,-10.83700,2.41100,-9.91500,0.52500,-9.50400,0.54400,-9.29800,0.55900,-9.37200,0.45300,-13.15400,0.35000,-12.99500,0.61400,-12.91000,0.78100,-12.90800,0.64300,-13.08300,0.52000,-12.75800,0.76300,-12.86100,0.66200,-12.65300,0.59100,-12.54800,0.60900,-12.70900,0.64900,-12.64900,0.53900,-9.75500,0.62000,-9.85400,0.69600,-10.09500,0.45600,-9.92400,0.59500,-10.13200,0.56700,-9.78300,0.53600,-9.74600,0.59500,-9.73000,0.52800,-9.69300,0.63900,-9.59300,0.56800,-9.88600,0.52400,-9.70900,0.82200,-9.28300,0.96900,-9.57900,0.73200,16,-9999.00000,-9999.00000,-9999.00000,27894818,27.91000,6.94000
25.27500,121.57500,Taipei,1,0.00080,2907.00000,0.00340,2792.00000,0.00860,3462.00000,0.01990,4135.00000,-10.60700,0.50600,-10.19800,0.76900,-10.59300,1.45300,-10.59300,2.16300,-9.68200,0.48400,-9.38500,0.50200,-9.11400,0.52700,-9.20900,0.43800,-12.57500,0.31400,-12.51500,0.59000,-12.41800,0.68500,-12.41500,0.61300,-12.58300,0.41500,-12.29300,0.63500,-12.43300,0.63300,-12.18900,0.50200,-12.08200,0.57700,-12.15500,0.61300,-12.14200,0.49600,-9.01700,0.48100,-9.06200,0.65100,-9.35500,0.38400,-9.17500,0.49200,-9.30700,0.45600,-9.01800,0.47600,-9.13200,0.51000,-8.93100,0.43700,-8.97200,0.51800,-8.90200,0.50500,-9.16500,0.49300,-8.89700,0.80100,-8.62700,0.87500,-8.87100,0.62800,0,-9999.00000,-9999.00000,-9999.00000,27894818,41.29000,7.82000
25.27500,121.62500,Taipei,1,0.00140,1023.00000,0.00630,2296.00000,0.00920,1797.00000,0.01780,2225.00000,-10.60700,0.50600,-10.19800,0.76900,-10.59300,1.45300,-10.59300,2.16300,-9.68200,0.48400,-9.38500,0.50200,-9.11400,0.52700,-9.20900,0.43800,-12.23200,0.31100,-12.33000,0.60500,-12.21200,0.62200,-12.17900,0.63800,-12.43700,0.43500,-12.18800,0.58900,-12.34200,0.65600,-12.01600,0.50600,-11.98800,0.60800,-11.96400,0.63400,-12.01000,0.52400,-9.65900,0.60000,-9.69900,0.92700,-9.84000,0.55900,-9.75800,0.66800,-10.05300,0.59700,-9.57200,0.55900,-9.80400,0.68200,-9.51500,0.67900,-9.46200,0.66000,-9.49400,0.71200,-9.81100,0.68600,-9.59200,1.05200,-9.25100,1.01000,-9.42700,0.79200,89,-9999.00000,-9999.00000,-9999.00000,27894818,31.79000,6.88000
25.27500,121.67500,Taipei,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-12.13600,0.31300,-12.29100,0.60800,-12.16800,0.60600,-12.11100,0.64900,-12.41500,0.44800,-12.18600,0.58500,-12.33300,0.66800,-11.97600,0.52400,-11.97900,0.62200,-11.92400,0.64700,-12.00200,0.53200,-9.96600,0.65600,-10.00500,1.05400,-10.07400,0.64100,-10.03500,0.75200,-10.40900,0.66700,-9.83900,0.60200,-10.12600,0.76500,-9.79600,0.79500,-9.70600,0.73100,-9.78300,0.80100,-10.11800,0.77900,-9.92600,1.17500,-9.54900,1.07300,-9.69300,0.86700,100,-9999.00000,-9999.00000,-9999.00000,27894818,-9999.00000,-9999.00000
25.27500,121.72500,Taipei,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,27894818,-9999.00000,-9999.00000
25.27500,121.77500,Taipei,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,27894818,-9999.00000,-9999.00000
