latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
38.12500,112.27500,Taiyuan,1,0.00000,36.00000,0.00000,62.00000,0.00000,81.00000,0.00000,111.00000,-9.33100,0.90100,-9.85600,1.01600,-8.84900,0.84500,-8.92400,0.66800,-10.37800,0.71600,-10.00300,0.68400,-10.14700,0.55000,-9.16800,0.73000,-12.14700,0.36000,-11.55600,0.56600,-11.84000,0.39900,-11.73500,0.34900,-11.80200,0.49900,-11.73700,0.53500,-11.81100,0.38000,-11.92600,0.39700,-11.74400,0.50400,-11.84000,0.27600,-11.71500,0.47100,-9.42100,0.74400,-9.48300,0.52700,-9.17400,0.61000,-9.38400,0.54800,-9.19600,0.36700,-9.30200,0.61100,-9.29900,0.62800,-9.34300,0.35500,-9.62500,0.41600,-9.13900,0.57500,-9.11800,0.54100,-8.90200,0.48700,-9.35900,0.63400,-8.95500,0.59000,0,0.00000,0.00000,0.00000,24331822,15.14000,4.82000
38.12500,112.32500,Taiyuan,0,0.00000,6.00000,0.00000,9.00000,0.00000,12.00000,0.00000,17.00000,-9.34400,0.82200,-9.82800,0.96200,-8.81700,0.76100,-8.83500,0.59000,-10.37000,0.60900,-9.95200,0.61700,-10.14900,0.49600,-9.17100,0.64000,-12.09300,0.33500,-11.47900,0.55400,-11.75400,0.38900,-11.66100,0.35400,-11.69500,0.47100,-11.59100,0.55000,-11.68500,0.36900,-11.82800,0.38500,-11.62600,0.52300,-11.68500,0.31100,-11.56400,0.46400,-9.36800,0.72200,-9.40200,0.49800,-9.10700,0.56300,-9.33200,0.52800,-9.19000,0.35200,-9.24100,0.60100,-9.22700,0.60600,-9.30800,0.34600,-9.57700,0.40100,-9.03200,0.55500,-9.06800,0.53300,-8.83500,0.49200,-9.27900,0.63200,-8.88900,0.57600,0,0.00000,0.00000,0.00000,24331822,24.01000,6.26000
38.12500,112.37500,Taiyuan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-9.34500,0.81800,-9.82600,0.95900,-8.81500,0.75600,-8.83000,0.58600,-10.37000,0.60300,-9.94900,0.61300,-10.14900,0.49400,-9.17100,0.63500,-12.02300,0.32300,-11.36100,0.53000,-11.66800,0.39200,-11.55000,0.37200,-11.54500,0.44800,-11.40100,0.53600,-11.50800,0.36900,-11.68500,0.39800,-11.43900,0.50300,-11.45800,0.33100,-11.33300,0.45400,-9.32800,0.70300,-9.34300,0.49300,-9.06000,0.54500,-9.30000,0.53700,-9.19500,0.34100,-9.19500,0.58800,-9.17400,0.59100,-9.28600,0.34100,-9.53900,0.39100,-8.96500,0.55300,-9.05700,0.51600,-8.78700,0.50700,-9.22800,0.62400,-8.82300,0.55100,0,0.00010,0.10250,0.00430,24331822,36.98000,7.03000
38.12500,112.42500,Taiyuan,0,0.00000,2488.00000,0.00040,995.00000,0.00040,1249.00000,0.00090,1848.00000,-9.37600,0.75700,-9.81100,0.93500,-8.79100,0.71000,-8.75300,0.53400,-10.37000,0.51600,-9.90800,0.56300,-10.14500,0.47400,-9.17500,0.53600,-11.96500,0.31700,-11.24400,0.50900,-11.61000,0.38600,-11.41700,0.39500,-11.36500,0.42600,-11.19500,0.53000,-11.33000,0.38200,-11.52600,0.44000,-11.22700,0.51900,-11.23300,0.34200,-11.07600,0.41100,-9.34900,0.71400,-9.31500,0.51000,-9.05800,0.56700,-9.29500,0.57500,-9.22300,0.35400,-9.19800,0.58900,-9.17000,0.59700,-9.30500,0.34700,-9.54800,0.41200,-8.92700,0.53500,-9.10600,0.50400,-8.75800,0.54900,-9.21900,0.61400,-8.81500,0.54800,0,0.00170,0.75990,0.15960,24331822,33.26000,6.55000
38.12500,112.47500,Taiyuan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,122.00000,-9.38200,0.75200,-9.81100,0.93600,-8.79100,0.70700,-8.74900,0.53100,-10.37200,0.51200,-9.90800,0.55900,-10.14700,0.47400,-9.17800,0.52600,-11.93800,0.33800,-11.18500,0.51300,-11.61900,0.42100,-11.34400,0.42200,-11.25800,0.41900,-11.06400,0.53200,-11.23900,0.38600,-11.45500,0.48700,-11.08000,0.51800,-11.08100,0.34200,-10.90700,0.40400,-9.40700,0.74700,-9.33200,0.53800,-9.07100,0.59800,-9.34600,0.64800,-9.28500,0.40200,-9.23100,0.60500,-9.24900,0.64400,-9.39400,0.37700,-9.60900,0.46500,-8.95900,0.51600,-9.21500,0.48800,-8.77200,0.56000,-9.23900,0.63000,-8.84700,0.55900,0,0.00000,0.00000,0.00000,24331822,36.28000,6.52000
38.12500,112.52500,Taiyuan,0,0.00000,242.00000,0.00000,64.00000,0.00000,80.00000,0.00010,5.00000,-9.42800,0.72500,-9.82100,0.93700,-8.81200,0.69000,-8.71000,0.51300,-10.39900,0.46000,-9.89900,0.54300,-10.14700,0.50800,-9.23500,0.47400,-11.92900,0.35600,-11.16600,0.52600,-11.65400,0.47500,-11.29300,0.44200,-11.18000,0.41700,-10.96000,0.52600,-11.18700,0.39000,-11.39700,0.53300,-10.95500,0.52000,-10.93700,0.33400,-10.77800,0.39700,-9.49200,0.82000,-9.37900,0.56300,-9.09700,0.66200,-9.40000,0.73900,-9.31600,0.43700,-9.27100,0.61600,-9.32700,0.67900,-9.44600,0.42300,-9.65200,0.51000,-9.00200,0.50500,-9.28200,0.48100,-8.80900,0.56100,-9.27600,0.66300,-8.85200,0.57600,0,0.00340,0.86510,0.23340,24331822,7.44000,2.45000
38.12500,112.57500,Taiyuan,0,0.00000,0.00000,0.00000,275.00000,0.00000,344.00000,0.00090,1648.00000,-9.44000,0.72300,-9.82400,0.94300,-8.81900,0.69000,-8.70900,0.51200,-10.40600,0.45600,-9.90500,0.54000,-10.15300,0.51500,-9.24700,0.46500,-11.93800,0.38400,-11.20400,0.55900,-11.73900,0.53300,-11.31300,0.45400,-11.19200,0.43300,-10.95700,0.54000,-11.22200,0.39900,-11.43100,0.58700,-10.93700,0.51500,-10.89800,0.32500,-10.76300,0.40600,-9.54500,0.87400,-9.41900,0.61200,-9.11600,0.73900,-9.46700,0.83400,-9.30900,0.46500,-9.28700,0.59200,-9.36800,0.71500,-9.47000,0.46700,-9.66500,0.55700,-9.00700,0.51300,-9.31700,0.50200,-8.77300,0.59300,-9.26000,0.69800,-8.77000,0.60800,0,0.00410,1.00870,0.31160,24331822,10.01000,3.08000
38.12500,112.62500,Taiyuan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-9.44500,0.71700,-9.85800,0.94800,-8.87000,0.70000,-8.71200,0.52000,-10.44400,0.45000,-9.90900,0.54800,-10.13700,0.57500,-9.34400,0.42900,-11.97800,0.40400,-11.27900,0.59300,-11.86400,0.57100,-11.37100,0.46600,-11.27100,0.43400,-11.04200,0.53400,-11.35300,0.41900,-11.56100,0.60100,-11.05000,0.51800,-10.98900,0.33300,-10.86700,0.42000,-9.58200,0.90700,-9.39500,0.65100,-9.13600,0.81400,-9.50000,0.91400,-9.26200,0.49400,-9.26000,0.54800,-9.37500,0.74500,-9.43000,0.50300,-9.58000,0.64500,-8.98400,0.54400,-9.30700,0.52900,-8.71400,0.62300,-9.14200,0.80900,-8.52400,0.66000,0,0.00140,0.79460,0.05820,24331822,11.51000,3.35000
38.12500,112.67500,Taiyuan,0,0.00000,0.00000,0.00090,1028.00000,0.00340,1749.00000,0.00580,1607.00000,-9.45000,0.71600,-9.86600,0.95300,-8.88500,0.70400,-8.71700,0.52300,-10.45300,0.45000,-9.91500,0.54800,-10.13800,0.58800,-9.36500,0.42100,-11.97600,0.40600,-11.36700,0.61700,-11.95600,0.61800,-11.42500,0.47100,-11.36400,0.44700,-11.13400,0.53600,-11.47500,0.42800,-11.63800,0.60000,-11.16200,0.50500,-11.09400,0.35900,-10.99700,0.45800,-9.59300,0.90800,-9.39800,0.65100,-9.16700,0.81700,-9.50500,0.92500,-9.21200,0.48300,-9.28200,0.54600,-9.37000,0.75500,-9.40400,0.54000,-9.49500,0.66500,-8.99400,0.54600,-9.29500,0.55200,-8.68800,0.65400,-9.04700,0.77800,-8.37700,0.66400,0,0.00570,2.27430,0.37620,24331822,6.34000,2.22000
38.12500,112.72500,Taiyuan,1,0.00000,63.00000,0.00120,2476.00000,0.00390,6368.00000,0.01780,9798.00000,-9.40600,0.72600,-9.89400,0.95400,-8.94700,0.72900,-8.75200,0.54200,-10.50300,0.46700,-9.93000,0.55600,-10.08400,0.62600,-9.48400,0.39300,-11.96100,0.39600,-11.45800,0.62700,-12.01800,0.61800,-11.47900,0.46500,-11.46200,0.44800,-11.25400,0.55100,-11.61000,0.45000,-11.68900,0.57300,-11.29000,0.49700,-11.24400,0.35900,-11.17300,0.49800,-9.63100,0.86800,-9.48200,0.59900,-9.25200,0.78600,-9.55400,0.87200,-9.22400,0.47000,-9.36400,0.56800,-9.39400,0.71600,-9.44900,0.52200,-9.52200,0.63500,-9.12100,0.56600,-9.36500,0.54900,-8.79400,0.65200,-9.10100,0.75700,-8.43700,0.64300,0,0.01760,4.45610,1.30090,24331822,3.53000,1.46000
