latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
28.17500,-82.72500,Tampa,2,0.28480,11051.00000,0.49690,14710.00000,0.51850,18340.00000,0.54680,25154.00000,-12.27700,0.38000,-11.07500,0.39200,-11.61300,0.42000,-12.92200,2.32700,-11.47100,0.25200,-11.32500,0.44300,-11.36900,0.28400,-11.32200,0.33100,-12.29700,0.21200,-12.00300,0.29300,-12.02500,0.25700,-11.94600,0.30800,-11.97100,0.29600,-11.88000,0.38500,-11.87200,0.25200,-11.88200,0.27300,-11.92400,0.34400,-11.85200,0.31000,-11.80500,0.30700,-10.08300,0.29700,-9.84400,0.39300,-9.74600,0.28400,-9.79200,0.34000,-9.90000,0.40300,-9.72000,0.37900,-9.64600,0.30600,-9.80400,0.32800,-9.57200,0.34200,-9.61700,0.40000,-9.45500,0.32100,-9.42200,0.54800,-9.50000,0.41100,-9.52400,0.46500,0,0.09660,4.29190,4.23290,27207560,18.04000,6.14000
28.17500,-82.67500,Tampa,1,0.01940,4007.00000,0.19020,6832.00000,0.30970,9092.00000,0.35710,13612.00000,-11.79400,0.32400,-10.68800,0.33200,-11.16200,0.36100,-12.46100,2.19000,-11.04700,0.24300,-10.90200,0.36000,-10.95400,0.24300,-10.89900,0.28300,-11.43700,0.18200,-11.14900,0.21600,-11.16400,0.21700,-11.05700,0.29400,-11.04700,0.23500,-11.04400,0.31700,-11.03100,0.26200,-10.98900,0.24700,-11.04000,0.30700,-10.93600,0.29500,-10.92000,0.27400,-9.87100,0.20800,-9.55800,0.31500,-9.43600,0.19300,-9.50000,0.24400,-9.60300,0.28400,-9.35800,0.23900,-9.29600,0.25000,-9.53700,0.23000,-9.32700,0.27100,-9.35200,0.30700,-9.15700,0.27900,-9.08800,0.46000,-9.20500,0.30000,-9.20900,0.36300,0,0.04810,3.60640,2.39210,27207560,27.12000,7.29000
28.17500,-82.62500,Tampa,1,0.00790,2008.00000,0.05270,3314.00000,0.17520,4893.00000,0.23760,7592.00000,-11.10400,0.23800,-10.14000,0.24600,-10.52100,0.27900,-11.80300,2.01400,-10.43900,0.22500,-10.29500,0.24400,-10.36100,0.18400,-10.29400,0.21700,-10.95500,0.20200,-10.72200,0.20300,-10.73000,0.20000,-10.60700,0.29000,-10.54000,0.22600,-10.61200,0.29200,-10.61800,0.25900,-10.54500,0.26500,-10.57600,0.30400,-10.46500,0.28900,-10.50000,0.24300,-9.82600,0.20000,-9.52200,0.31000,-9.37200,0.20500,-9.43000,0.22600,-9.53100,0.23900,-9.27800,0.23400,-9.23000,0.23400,-9.47600,0.23800,-9.26400,0.25100,-9.27100,0.26800,-9.05400,0.24100,-8.99200,0.40500,-9.11900,0.26500,-9.15300,0.33200,0,0.03130,3.30950,1.93170,27207560,22.87000,7.11000
28.17500,-82.57500,Tampa,1,0.00760,3158.00000,0.07780,4791.00000,0.12980,6092.00000,0.21080,8611.00000,-10.59200,0.19300,-9.79600,0.22700,-10.10900,0.24200,-11.36000,1.95500,-10.05800,0.20600,-9.89900,0.20000,-9.94900,0.14600,-9.87600,0.18100,-10.71100,0.24500,-10.50900,0.20300,-10.52800,0.19700,-10.38600,0.28700,-10.29300,0.24800,-10.39200,0.27400,-10.40600,0.25700,-10.34400,0.26800,-10.36100,0.31800,-10.24000,0.30000,-10.32100,0.24000,-9.79200,0.22100,-9.50500,0.31400,-9.32900,0.20600,-9.38500,0.22100,-9.49800,0.23300,-9.22100,0.23900,-9.20300,0.23100,-9.42200,0.23700,-9.23900,0.24400,-9.23100,0.25500,-9.00400,0.23600,-8.94600,0.37100,-9.07300,0.24900,-9.12900,0.30800,0,0.03820,3.43520,1.86980,27207560,26.53000,7.54000
28.17500,-82.52500,Tampa,2,0.00610,4788.00000,0.08730,7565.00000,0.17770,10240.00000,0.27440,12597.00000,-10.23900,0.16200,-9.56000,0.21400,-9.82500,0.21700,-11.05500,1.91400,-9.79600,0.19200,-9.62600,0.16900,-9.66600,0.12000,-9.58800,0.15700,-10.60800,0.27700,-10.43800,0.22200,-10.44200,0.21900,-10.28800,0.27500,-10.19400,0.26300,-10.31000,0.26200,-10.32000,0.25700,-10.28100,0.28000,-10.30400,0.30800,-10.16400,0.30100,-10.26700,0.26700,-9.73600,0.22300,-9.45500,0.30800,-9.27500,0.20500,-9.32000,0.22100,-9.44100,0.24600,-9.13300,0.25300,-9.14000,0.24500,-9.32300,0.22800,-9.17200,0.22800,-9.14300,0.25200,-8.90800,0.24300,-8.88400,0.36600,-9.00700,0.24500,-9.03700,0.29300,0,0.04400,3.56340,2.74050,27207560,23.58000,6.85000
28.17500,-82.47500,Tampa,2,0.02120,3267.00000,0.16600,6173.00000,0.25310,7867.00000,0.33930,10474.00000,-9.87900,0.17600,-9.33800,0.20900,-9.57300,0.21800,-10.78400,1.86800,-9.58500,0.18900,-9.41900,0.15200,-9.46000,0.09000,-9.33200,0.11300,-10.59600,0.26700,-10.48100,0.24400,-10.42100,0.26000,-10.25800,0.25900,-10.17500,0.25500,-10.30900,0.23000,-10.28700,0.25000,-10.30400,0.32000,-10.31000,0.29300,-10.17300,0.31300,-10.27400,0.27800,-9.60900,0.23200,-9.36400,0.29200,-9.16600,0.22600,-9.21400,0.22800,-9.30700,0.26300,-9.00800,0.24500,-9.00000,0.25600,-9.18700,0.24500,-9.02700,0.25300,-9.01800,0.23200,-8.77900,0.24100,-8.76400,0.36900,-8.88200,0.22200,-8.88200,0.27700,0,0.05110,4.05530,3.07460,27207560,23.88000,7.56000
28.17500,-82.42500,Tampa,2,0.02030,4078.00000,0.10820,6711.00000,0.19070,9612.00000,0.31670,14785.00000,-9.76000,0.18200,-9.26500,0.20800,-9.49000,0.21900,-10.69500,1.84800,-9.51600,0.18900,-9.35200,0.14700,-9.39500,0.08000,-9.25000,0.09800,-10.63800,0.23700,-10.53400,0.26000,-10.43300,0.29500,-10.29100,0.25500,-10.18500,0.23400,-10.34700,0.22400,-10.27600,0.22700,-10.37200,0.33500,-10.36200,0.27000,-10.22200,0.30600,-10.30500,0.28200,-9.42800,0.25700,-9.29600,0.28200,-9.07300,0.23900,-9.14400,0.21000,-9.17400,0.26400,-8.88300,0.22500,-8.86300,0.23700,-9.04900,0.24700,-8.89300,0.26900,-8.88100,0.21400,-8.67700,0.22200,-8.64200,0.39800,-8.76500,0.19200,-8.71600,0.27600,0,0.05480,3.77580,3.08480,27207560,26.45000,7.20000
28.17500,-82.37500,Tampa,2,0.00350,5363.00000,0.04770,7619.00000,0.14730,10324.00000,0.34200,14923.00000,-9.57800,0.23500,-9.19100,0.23500,-9.39200,0.23900,-10.58300,1.67600,-9.45800,0.20600,-9.32300,0.15100,-9.39300,0.07600,-9.22200,0.07900,-10.68100,0.20900,-10.58400,0.27900,-10.46400,0.28800,-10.34500,0.25900,-10.23600,0.22400,-10.40100,0.22000,-10.29200,0.21500,-10.44900,0.32900,-10.42200,0.25300,-10.29400,0.28700,-10.33700,0.26600,-9.31700,0.25400,-9.31000,0.26400,-9.04300,0.23900,-9.16600,0.19200,-9.15000,0.24000,-8.84300,0.23200,-8.80600,0.23700,-9.00700,0.24200,-8.88800,0.27800,-8.82600,0.20600,-8.66200,0.21100,-8.59800,0.43700,-8.72200,0.19600,-8.67200,0.30900,0,0.05160,3.92340,3.99050,27207560,29.68000,7.33000
28.17500,-82.32500,Tampa,2,0.00800,7686.00000,0.06290,11125.00000,0.21610,14476.00000,0.41470,22087.00000,-9.56700,0.23800,-9.19300,0.24400,-9.39000,0.24300,-10.55900,1.60200,-9.46000,0.21600,-9.33900,0.15500,-9.41300,0.07700,-9.24600,0.07800,-10.74800,0.18200,-10.62800,0.26100,-10.50200,0.28200,-10.39200,0.25400,-10.31000,0.21500,-10.46100,0.21300,-10.33800,0.18400,-10.55100,0.31600,-10.47200,0.24400,-10.37400,0.27900,-10.38200,0.24000,-9.40400,0.27000,-9.44200,0.26400,-9.12900,0.21200,-9.33200,0.19500,-9.26100,0.24600,-8.89600,0.24300,-8.86200,0.23500,-9.10100,0.22900,-8.99800,0.30500,-8.92300,0.23300,-8.76900,0.20900,-8.67500,0.42000,-8.80500,0.22500,-8.74400,0.28200,0,0.05020,3.53200,3.00410,27207560,23.29000,7.11000
28.17500,-82.27500,Tampa,1,0.00060,2066.00000,0.01540,2702.00000,0.05110,3808.00000,0.18140,5825.00000,-9.59200,0.23200,-9.24100,0.27100,-9.42500,0.25700,-10.49800,1.33800,-9.50100,0.25300,-9.42700,0.17000,-9.51300,0.08500,-9.37200,0.08200,-10.83800,0.16600,-10.69900,0.23400,-10.56200,0.27000,-10.47800,0.24600,-10.41200,0.21000,-10.52500,0.18500,-10.43000,0.17900,-10.65900,0.29800,-10.56500,0.24400,-10.47500,0.28600,-10.43900,0.19700,-9.57500,0.25100,-9.58200,0.24400,-9.26700,0.20000,-9.56900,0.19600,-9.43500,0.27200,-8.99300,0.24500,-9.01000,0.21800,-9.24700,0.20800,-9.18900,0.34200,-9.12500,0.25100,-8.97200,0.24600,-8.79600,0.42000,-8.97700,0.26800,-8.93300,0.26900,0,0.01240,2.36260,0.65160,27207560,23.62000,7.48000
