latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.87500,117.92500,Tangshan,2,0.00980,20635.00000,0.13180,21555.00000,0.16250,24051.00000,0.22110,25253.00000,-8.64800,0.52900,-8.82500,0.63900,-8.62600,0.57200,-9.17200,0.84700,-9.35700,0.43400,-8.92500,0.55600,-9.26000,0.32800,-9.18000,0.67300,-10.11400,0.36000,-10.20700,0.76900,-10.01900,0.60500,-10.20800,0.61500,-9.93700,0.36900,-9.77500,0.46800,-9.73100,0.47800,-9.53800,0.44400,-9.41600,0.35000,-9.55500,0.33300,-9.50200,0.35100,-8.43600,0.31700,-8.16800,0.35700,-8.37200,0.37600,-8.28300,0.52300,-8.17000,0.44200,-8.09300,0.47300,-7.80900,0.44500,-8.19900,0.31200,-8.24200,0.51600,-7.88500,0.48300,-7.84600,0.47600,-7.30800,0.71200,-7.38500,0.49300,-7.47600,0.52400,0,0.03670,5.60380,2.77850,23746838,4.77000,2.58000
39.87500,117.97500,Tangshan,2,0.00090,1303.00000,0.08940,11343.00000,0.12130,14417.00000,0.16980,15705.00000,-8.61500,0.51400,-8.80500,0.62800,-8.60500,0.57400,-9.28600,0.79000,-9.35700,0.44100,-8.86500,0.56400,-9.23700,0.30900,-9.13500,0.69500,-10.09800,0.38600,-10.18900,0.76800,-10.01500,0.62000,-10.20100,0.62900,-9.93700,0.39400,-9.76200,0.49400,-9.70600,0.50900,-9.52100,0.45300,-9.35300,0.34100,-9.49800,0.34200,-9.43600,0.34900,-8.39800,0.32200,-8.11100,0.36400,-8.32800,0.39000,-8.15000,0.53700,-8.02200,0.54100,-7.98000,0.44400,-7.73600,0.45900,-8.09300,0.32400,-8.11400,0.56600,-7.77000,0.50800,-7.69500,0.58200,-7.07500,0.75100,-7.16000,0.51300,-7.26700,0.55400,0,0.02630,5.55490,2.01070,23746838,4.38000,2.40000
39.87500,118.02500,Tangshan,2,0.00620,3871.00000,0.10040,8533.00000,0.12460,9436.00000,0.21520,11240.00000,-8.60400,0.50900,-8.79900,0.62500,-8.59800,0.57500,-9.32200,0.77200,-9.35700,0.44300,-8.84600,0.56600,-9.23000,0.30300,-9.12100,0.70200,-10.11600,0.41100,-10.18300,0.76500,-10.00800,0.63100,-10.19100,0.62100,-9.95100,0.43600,-9.73200,0.51300,-9.67000,0.52400,-9.49400,0.45200,-9.30200,0.32700,-9.42500,0.34900,-9.36700,0.34500,-8.27700,0.34300,-7.99700,0.36800,-8.23000,0.39400,-7.95000,0.53200,-7.82200,0.55500,-7.77100,0.46300,-7.53300,0.45400,-7.84700,0.34200,-7.84800,0.60400,-7.51800,0.52800,-7.42000,0.61900,-6.77900,0.78700,-6.85400,0.53900,-6.93000,0.56300,0,0.04740,6.08270,3.96050,23746838,4.46000,2.31000
39.87500,118.07500,Tangshan,1,0.02120,8235.00000,0.10390,6122.00000,0.13310,7013.00000,0.23450,8094.00000,-8.61000,0.49600,-8.80900,0.62600,-8.60000,0.57100,-9.44100,0.92700,-9.35900,0.44700,-8.81600,0.56500,-9.22800,0.28800,-9.10300,0.71800,-10.15600,0.44700,-10.21100,0.75100,-10.00500,0.63500,-10.20800,0.60300,-9.98100,0.48500,-9.71300,0.50200,-9.64400,0.54400,-9.47600,0.44500,-9.27100,0.31600,-9.34700,0.37600,-9.30100,0.33900,-8.09600,0.38800,-7.82800,0.39300,-8.07300,0.40000,-7.67200,0.51600,-7.56900,0.53300,-7.43800,0.52100,-7.23900,0.45900,-7.50400,0.36300,-7.49700,0.58700,-7.16000,0.54500,-7.02500,0.60100,-6.43300,0.80500,-6.49400,0.55700,-6.52500,0.55200,0,0.02930,4.88120,2.27930,23746838,4.96000,2.54000
39.87500,118.12500,Tangshan,2,0.03700,8794.00000,0.12210,13308.00000,0.15150,14047.00000,0.26250,16066.00000,-8.61900,0.48700,-8.82200,0.62500,-8.61300,0.56500,-9.50400,0.99600,-9.36600,0.44700,-8.81000,0.56300,-9.23600,0.27900,-9.10300,0.71900,-10.19800,0.48600,-10.26300,0.72200,-10.00600,0.63200,-10.24100,0.58400,-10.01200,0.54600,-9.71100,0.48500,-9.63100,0.55900,-9.45700,0.43300,-9.23600,0.31300,-9.26600,0.41100,-9.24600,0.36000,-7.96600,0.40300,-7.66900,0.43100,-7.89300,0.39500,-7.42000,0.49200,-7.29300,0.50700,-7.08400,0.50500,-6.96100,0.43100,-7.20300,0.37900,-7.22300,0.60300,-6.90500,0.53500,-6.74200,0.57800,-6.22600,0.77500,-6.24800,0.58100,-6.27600,0.55600,0,0.04200,5.52970,3.78880,23746838,4.66000,2.56000
39.87500,118.17500,Tangshan,2,0.03750,33495.00000,0.15530,57582.00000,0.19680,59531.00000,0.34120,70756.00000,-8.67100,0.48100,-8.86700,0.62900,-8.65300,0.56400,-9.50500,0.85900,-9.37400,0.44800,-8.82700,0.57700,-9.26000,0.27800,-9.12900,0.71400,-10.28600,0.50400,-10.36500,0.67100,-10.04700,0.61900,-10.32300,0.56300,-10.10000,0.61500,-9.77500,0.46900,-9.67700,0.56000,-9.50200,0.42100,-9.27900,0.31400,-9.25000,0.43900,-9.27400,0.38100,-8.04900,0.39500,-7.70400,0.45300,-7.91800,0.37800,-7.46300,0.48400,-7.30500,0.52900,-7.07400,0.44600,-6.98900,0.40400,-7.25300,0.38100,-7.34200,0.64500,-7.03000,0.53900,-6.83900,0.58200,-6.45300,0.71400,-6.40600,0.61000,-6.46700,0.58700,0,0.07640,7.01330,7.05680,23746838,5.69000,2.93000
39.87500,118.22500,Tangshan,1,0.02840,8179.00000,0.08970,10549.00000,0.11740,12768.00000,0.18680,13684.00000,-8.71100,0.47600,-8.90400,0.63200,-8.68900,0.56300,-9.50900,0.74800,-9.38300,0.44900,-8.84400,0.58600,-9.28200,0.27600,-9.15400,0.71100,-10.39000,0.51800,-10.46700,0.63700,-10.10600,0.60000,-10.42000,0.53200,-10.21400,0.67600,-9.84800,0.44600,-9.73700,0.54900,-9.55400,0.40800,-9.33000,0.31300,-9.26700,0.45900,-9.31700,0.38900,-8.25200,0.37600,-7.90900,0.43100,-8.14700,0.35700,-7.78200,0.52100,-7.62800,0.51500,-7.46900,0.40300,-7.38600,0.41100,-7.66900,0.41200,-7.79100,0.66700,-7.43000,0.56300,-7.21800,0.54300,-6.95600,0.68400,-6.87500,0.58800,-7.00200,0.61600,0,0.02700,4.94000,2.30400,23746838,6.05000,3.11000
39.87500,118.27500,Tangshan,1,0.00900,1751.00000,0.03060,3935.00000,0.03430,3955.00000,0.04420,3727.00000,-8.77800,0.47900,-8.96200,0.63900,-8.73400,0.56800,-9.53000,0.66200,-9.39400,0.45900,-8.87700,0.61400,-9.31000,0.28500,-9.19600,0.70500,-10.50600,0.53400,-10.56800,0.60700,-10.18900,0.57900,-10.53000,0.50500,-10.33700,0.72500,-9.92700,0.42900,-9.82200,0.53700,-9.61500,0.38800,-9.38700,0.31500,-9.32100,0.46800,-9.38000,0.38700,-8.43300,0.36000,-8.14100,0.40700,-8.40700,0.31600,-8.05500,0.50900,-7.90800,0.47900,-7.82400,0.37500,-7.72000,0.39900,-8.07800,0.40200,-8.14600,0.64900,-7.77700,0.56300,-7.57300,0.49500,-7.33700,0.68400,-7.31500,0.55200,-7.45400,0.58100,0,0.01150,3.05990,0.68530,23746838,6.95000,3.58000
39.87500,118.32500,Tangshan,1,0.02170,8350.00000,0.07550,12236.00000,0.08140,12545.00000,0.10520,12501.00000,-8.85000,0.48100,-9.02500,0.64700,-8.78200,0.57400,-9.55600,0.56900,-9.40400,0.47100,-8.91300,0.64600,-9.34000,0.29500,-9.24100,0.70200,-10.61700,0.55000,-10.66500,0.57800,-10.28800,0.54300,-10.63600,0.48600,-10.45300,0.75900,-10.00600,0.43000,-9.90300,0.53200,-9.67100,0.36600,-9.43500,0.32700,-9.37900,0.47300,-9.43000,0.37400,-8.55100,0.35100,-8.30600,0.36700,-8.57100,0.28100,-8.16800,0.46200,-8.03100,0.46300,-7.94800,0.36400,-7.82000,0.38300,-8.26100,0.36500,-8.29800,0.62500,-7.93800,0.52800,-7.75000,0.49200,-7.47600,0.67500,-7.52800,0.55900,-7.66400,0.51100,0,0.02120,4.24810,1.59990,23746838,4.50000,3.00000
39.87500,118.37500,Tangshan,2,0.04100,9125.00000,0.11880,13265.00000,0.13700,14195.00000,0.19640,15670.00000,-8.90500,0.48200,-9.07500,0.65400,-8.81800,0.58100,-9.57400,0.52400,-9.40700,0.47700,-8.94600,0.67300,-9.36300,0.31000,-9.27400,0.70000,-10.71500,0.55600,-10.73800,0.56400,-10.39400,0.50000,-10.72900,0.47600,-10.55300,0.78400,-10.07000,0.44300,-9.95000,0.52200,-9.69000,0.36100,-9.46200,0.34900,-9.41400,0.47600,-9.43600,0.35600,-8.62700,0.34600,-8.39900,0.31800,-8.62900,0.28700,-8.20800,0.45500,-8.08200,0.44700,-7.96400,0.35800,-7.83400,0.37400,-8.28500,0.36100,-8.35400,0.63900,-8.00400,0.51400,-7.81500,0.50500,-7.50800,0.64700,-7.54600,0.58200,-7.73000,0.47200,0,0.02440,4.93040,1.86210,23746838,5.24000,3.29000
