latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.57500,69.02500,Tashkent,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-13.04300,0.37100,-13.51200,0.30100,-13.65200,0.21300,-13.82300,0.13400,-14.02000,0.15600,-13.47800,0.95600,-14.26400,0.47100,-14.00400,0.39100,-15.47100,0.28700,-15.38600,0.27300,-15.70300,0.31000,-14.57000,0.28400,-14.94700,0.52900,-15.70100,0.29400,-15.09700,0.38000,-15.36300,0.40000,-15.15100,0.25800,-15.94600,0.20100,-15.18500,0.46800,-14.83500,0.25000,-15.34300,0.22400,-14.62400,0.36200,-14.36900,0.30400,-14.95400,0.20400,-14.50400,0.19300,-14.83900,0.21100,-14.49900,0.29700,-14.62300,0.27700,-14.63400,0.24200,-13.40400,0.29700,-13.93300,0.47600,-14.01600,0.34500,-13.73200,0.67400,0,-9999,-9999,-9999,23156992,1.00000,0.36000
41.57500,69.07500,Tashkent,0,0.00030,290.00000,0.00100,906.00000,0.00120,1080.00000,0.00180,2083.00000,-12.31700,0.25400,-12.72000,0.28700,-12.92100,0.19800,-12.97000,0.10200,-13.14200,0.16600,-12.60200,0.67700,-13.28400,0.53400,-13.01200,0.37700,-14.97600,0.26500,-14.94500,0.28300,-15.19900,0.29300,-14.23500,0.28600,-14.54200,0.46900,-15.21500,0.31800,-14.75900,0.32800,-14.95100,0.40100,-14.81300,0.27700,-15.42400,0.20300,-14.67900,0.43000,-14.76000,0.27100,-15.23600,0.25800,-14.42400,0.37500,-14.20100,0.39000,-14.92800,0.21300,-14.34400,0.21100,-14.65200,0.22900,-14.34200,0.30200,-14.48600,0.29800,-14.43500,0.29300,-13.51800,0.29500,-13.82200,0.52400,-13.94100,0.43600,-13.75000,0.68200,0,-9999,-9999,-9999,23156992,1.00000,0.38000
41.57500,69.12500,Tashkent,0,0.00040,72.00000,0.00150,342.00000,0.00180,467.00000,0.00250,700.00000,-12.31700,0.25400,-12.72000,0.28700,-12.92100,0.19800,-12.97000,0.10200,-13.14200,0.16600,-12.60200,0.67700,-13.28400,0.53400,-13.01200,0.37700,-14.59600,0.27200,-14.58200,0.29300,-14.82000,0.27200,-13.96600,0.28700,-14.20500,0.45300,-14.82900,0.35600,-14.45200,0.32200,-14.66000,0.42700,-14.53300,0.27600,-15.02900,0.23100,-14.32600,0.40500,-14.75400,0.26900,-15.21300,0.30300,-14.29000,0.38900,-14.13400,0.40000,-14.97100,0.22600,-14.56800,0.22300,-14.74100,0.24700,-14.48000,0.27900,-14.50200,0.33200,-14.42300,0.34300,-13.71700,0.25800,-14.02400,0.45000,-14.15900,0.37700,-14.10700,0.67800,0,-9999,-9999,-9999,23156992,1.00000,0.45000
41.57500,69.17500,Tashkent,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.89400,0.22100,-12.28000,0.31600,-12.51300,0.20600,-12.47200,0.12000,-12.56400,0.15300,-12.14300,0.59700,-12.60300,0.65600,-12.36800,0.32800,-14.11600,0.27900,-14.06500,0.32800,-14.30800,0.26200,-13.59500,0.27600,-13.71600,0.40800,-14.29500,0.36200,-14.01500,0.29800,-14.23100,0.40600,-14.11400,0.27300,-14.46100,0.24400,-13.83600,0.37000,-14.29300,0.36100,-14.82300,0.33900,-13.71500,0.35400,-13.74400,0.45900,-14.59100,0.27600,-14.26200,0.24900,-14.42200,0.25000,-14.12500,0.32400,-14.01700,0.32700,-14.00400,0.38300,-13.40400,0.31400,-13.66300,0.44500,-13.76100,0.35900,-13.81100,0.62700,0,-9999,-9999,-9999,23156992,1.00000,0.47000
41.57500,69.22500,Tashkent,0,0.00000,0.00000,0.00000,0.00000,0.00010,19.00000,0.00010,39.00000,-11.63200,0.20900,-11.98900,0.29900,-12.22300,0.19800,-12.16800,0.11900,-12.24100,0.14700,-11.88900,0.56700,-12.30800,0.70900,-12.06100,0.29800,-13.70000,0.30900,-13.64100,0.34000,-13.87600,0.29400,-13.26800,0.26400,-13.31100,0.38200,-13.81700,0.36100,-13.61800,0.30400,-13.85300,0.39700,-13.72900,0.26300,-14.00800,0.27400,-13.44200,0.36500,-13.41700,0.37700,-13.77200,0.35800,-12.80300,0.35700,-12.94600,0.52600,-13.61000,0.31900,-13.47100,0.36000,-13.44000,0.32200,-13.12400,0.41700,-12.91500,0.33300,-12.88900,0.38000,-12.53200,0.31000,-12.87200,0.39100,-12.79200,0.41100,-12.94200,0.58000,0,-9999,-9999,-9999,23156992,1.02000,0.45000
41.57500,69.27500,Tashkent,0,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,12.00000,-11.40300,0.21700,-11.72300,0.26600,-11.98300,0.20400,-11.89200,0.12700,-11.91900,0.15500,-11.66800,0.53000,-11.97200,0.77200,-11.72800,0.26000,-13.41800,0.32200,-13.36400,0.32500,-13.59200,0.29400,-13.05200,0.25800,-13.04700,0.36500,-13.51000,0.35200,-13.35100,0.30200,-13.57100,0.37800,-13.44600,0.26200,-13.70700,0.28700,-13.17000,0.35200,-12.72600,0.36300,-13.02100,0.34100,-12.19000,0.34700,-12.30500,0.47800,-12.81400,0.31400,-12.65100,0.35200,-12.66200,0.31700,-12.39800,0.39500,-12.14400,0.33100,-12.13300,0.39800,-11.92000,0.28100,-12.21500,0.36400,-12.09200,0.38000,-12.15900,0.55700,0,-9999,-9999,-9999,23156992,1.76000,0.82000
41.57500,69.32500,Tashkent,1,0.01310,5612.00000,0.01610,6429.00000,0.01780,7119.00000,0.02160,11298.00000,-11.22400,0.23600,-11.51100,0.23100,-11.81200,0.21900,-11.66900,0.14300,-11.63900,0.17300,-11.51100,0.49100,-11.64800,0.82500,-11.41700,0.20900,-13.02900,0.34600,-12.98800,0.30100,-13.20700,0.29400,-12.75700,0.24700,-12.69400,0.34200,-13.10100,0.33800,-12.97500,0.29600,-13.18600,0.34900,-13.05100,0.26300,-13.29100,0.29500,-12.80700,0.33000,-11.86600,0.32500,-12.09800,0.27700,-11.36600,0.31300,-11.44700,0.39500,-11.84700,0.26800,-11.59800,0.31000,-11.70400,0.25600,-11.50200,0.32700,-11.23300,0.31200,-11.20200,0.39400,-11.13100,0.23000,-11.33300,0.31800,-11.17400,0.31400,-11.10200,0.51200,0,-9999,-9999,-9999,23156992,2.00000,0.93000
41.57500,69.37500,Tashkent,1,0.01430,4130.00000,0.02080,5845.00000,0.02290,6270.00000,0.02800,8981.00000,-11.17700,0.23300,-11.46100,0.22900,-11.76000,0.21700,-11.61500,0.14300,-11.58200,0.17200,-11.46800,0.48600,-11.59800,0.83200,-11.36400,0.20100,-12.87600,0.34400,-12.78700,0.29600,-13.00100,0.27300,-12.62300,0.23700,-12.53000,0.34000,-12.89400,0.32800,-12.79300,0.29700,-13.00200,0.34800,-12.87500,0.28900,-13.08800,0.31600,-12.65600,0.32600,-11.61500,0.26300,-11.85000,0.24000,-11.10600,0.26100,-11.17800,0.35500,-11.63300,0.25200,-11.35000,0.26200,-11.44400,0.24700,-11.27700,0.25600,-11.07700,0.29500,-10.95400,0.35600,-10.98100,0.23900,-11.18600,0.29600,-11.00400,0.30100,-10.92800,0.48800,0,-9999,-9999,-9999,23156992,1.10000,0.57000
41.57500,69.42500,Tashkent,0,0.00000,0.00000,0.00090,388.00000,0.00120,555.00000,0.00150,837.00000,-11.23000,0.31500,-11.47800,0.16800,-11.77600,0.24200,-11.64400,0.18200,-11.54900,0.22400,-11.51100,0.50700,-11.21700,0.36100,-11.27400,0.21300,-12.74100,0.33400,-12.64200,0.29100,-12.83300,0.26800,-12.52400,0.24600,-12.40500,0.32000,-12.73300,0.32800,-12.64300,0.28500,-12.83100,0.34100,-12.70300,0.29300,-12.94900,0.32200,-12.54000,0.32400,-11.67100,0.24500,-11.86800,0.27400,-11.20100,0.29000,-11.29900,0.34100,-11.76300,0.22000,-11.45700,0.24000,-11.52200,0.23300,-11.35100,0.20600,-11.25800,0.27000,-11.07100,0.30200,-11.13500,0.22500,-11.29000,0.30200,-11.13000,0.30500,-11.10300,0.44900,0,-9999,-9999,-9999,23156992,1.65000,0.80000
41.57500,69.47500,Tashkent,0,0.00000,0.00000,0.00000,0.00000,0.00010,56.00000,0.00020,222.00000,-11.04200,0.30200,-11.29100,0.16800,-11.56600,0.23600,-11.44300,0.18400,-11.33800,0.22300,-11.34400,0.49600,-11.01500,0.36900,-11.08100,0.19900,-12.68200,0.33300,-12.58800,0.29100,-12.77200,0.26200,-12.51300,0.23900,-12.36400,0.29800,-12.66700,0.33100,-12.60700,0.27500,-12.77800,0.31300,-12.63900,0.29400,-12.86800,0.31600,-12.50600,0.31400,-11.79100,0.20500,-11.97300,0.22400,-11.32800,0.26700,-11.42400,0.32900,-11.88500,0.18500,-11.59600,0.22600,-11.65500,0.20100,-11.49400,0.20400,-11.46600,0.23400,-11.26800,0.26300,-11.31200,0.21400,-11.48100,0.28300,-11.28400,0.27200,-11.30500,0.37400,0,-9999,-9999,-9999,23156992,1.95000,0.88000
