latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.97500,44.52500,Tbilisi,1,0.00960,2711.00000,0.01850,3016.00000,0.02590,3412.00000,0.03080,2905.00000,-9.60300,0.22000,-9.52000,0.21800,-9.66800,0.26200,-9.83200,0.30500,-9.58000,0.30400,-9.78400,0.35300,-9.57100,0.19700,-9.89800,0.36300,-11.95800,0.34000,-12.47600,0.39600,-12.19300,0.29100,-11.49700,0.22800,-11.99600,0.25200,-11.95600,0.32500,-11.69300,0.25200,-12.12000,0.27900,-11.82500,0.34200,-12.21800,0.34400,-11.81500,0.27800,-9.98400,0.42200,-10.29300,0.48800,-9.82200,0.41300,-10.32400,0.36400,-10.14000,0.34000,-10.25400,0.38700,-10.04900,0.41000,-9.91700,0.40300,-10.35400,0.28200,-10.00100,0.53800,-10.28700,0.37300,-10.27100,0.45000,-10.23300,0.34400,-10.40600,0.28500,0,-9999,-9999,-9999,23015164,5.96000,2.96000
41.97500,44.57500,Tbilisi,0,0.01110,692.00000,0.01530,647.00000,0.01710,536.00000,0.01860,454.00000,-9.57800,0.22600,-9.48900,0.21500,-9.63900,0.25900,-9.79300,0.30300,-9.55100,0.30600,-9.75500,0.35500,-9.53400,0.19000,-9.85900,0.35400,-11.83700,0.32400,-12.36200,0.35100,-12.08400,0.30100,-11.41000,0.23600,-11.92500,0.23800,-11.86800,0.31100,-11.61200,0.22900,-11.99600,0.28700,-11.74900,0.35000,-12.09400,0.32800,-11.70200,0.29000,-9.89000,0.42100,-10.18100,0.49600,-9.73600,0.39600,-10.13800,0.38100,-10.00600,0.31700,-10.08500,0.39500,-9.93100,0.42400,-9.76100,0.34400,-10.16100,0.25900,-9.85200,0.53900,-10.21100,0.36400,-10.11300,0.42900,-10.02000,0.36300,-10.27500,0.30100,0,-9999,-9999,-9999,23015164,10.45000,3.69000
41.97500,44.62500,Tbilisi,1,0.00500,1476.00000,0.00700,1410.00000,0.00760,1231.00000,0.00790,910.00000,-9.45200,0.20500,-9.35500,0.19800,-9.51000,0.23100,-9.63500,0.29500,-9.40100,0.29600,-9.63800,0.34500,-9.40200,0.16700,-9.72800,0.31500,-11.73400,0.31400,-12.24400,0.31600,-11.97600,0.30300,-11.32800,0.24200,-11.84300,0.22100,-11.77400,0.29700,-11.53600,0.21500,-11.89100,0.29500,-11.68500,0.35800,-11.97600,0.31500,-11.59400,0.27600,-9.76600,0.41800,-10.01800,0.46000,-9.63200,0.35800,-9.99500,0.38800,-9.85200,0.30300,-9.93800,0.39400,-9.81500,0.42800,-9.60800,0.32600,-9.96300,0.24100,-9.73600,0.54300,-10.09600,0.37000,-9.94100,0.42000,-9.82500,0.33700,-10.12900,0.32900,0,-9999,-9999,-9999,23015164,12.30000,4.17000
41.97500,44.67500,Tbilisi,0,0.00690,909.00000,0.01040,1134.00000,0.01100,986.00000,0.01150,708.00000,-9.40300,0.20500,-9.29600,0.19200,-9.45500,0.22200,-9.56700,0.29200,-9.34600,0.29800,-9.58700,0.34600,-9.34300,0.15600,-9.66900,0.29900,-11.65000,0.28700,-12.12900,0.28700,-11.86300,0.29700,-11.27000,0.24600,-11.75700,0.21900,-11.68000,0.28000,-11.47200,0.20900,-11.78900,0.29700,-11.62400,0.36400,-11.87100,0.29800,-11.50200,0.25800,-9.62500,0.41800,-9.83900,0.39400,-9.50600,0.32000,-9.80200,0.35300,-9.67100,0.29700,-9.73300,0.37400,-9.64800,0.41000,-9.47000,0.31900,-9.76900,0.25400,-9.56500,0.53000,-9.92000,0.32000,-9.75900,0.39400,-9.66000,0.32100,-9.91200,0.30900,0,-9999,-9999,-9999,23015164,16.48000,4.94000
41.97500,44.72500,Tbilisi,0,0.00550,1188.00000,0.00880,1309.00000,0.00950,1128.00000,0.01020,1139.00000,-9.29100,0.19400,-9.17500,0.18200,-9.34400,0.20600,-9.41100,0.27000,-9.22500,0.29000,-9.48000,0.34300,-9.22600,0.14300,-9.54900,0.26300,-11.56600,0.26700,-12.02500,0.26500,-11.76000,0.27800,-11.24700,0.25100,-11.67800,0.22400,-11.60800,0.25800,-11.42600,0.19900,-11.69400,0.29500,-11.58500,0.36100,-11.78700,0.27800,-11.43800,0.24300,-9.46500,0.39800,-9.66700,0.34700,-9.33200,0.29200,-9.56000,0.27800,-9.50200,0.26800,-9.49700,0.33000,-9.48000,0.35800,-9.33400,0.29700,-9.56500,0.27400,-9.36800,0.49000,-9.70100,0.28600,-9.52700,0.37300,-9.49600,0.31000,-9.70700,0.28100,0,-9999,-9999,-9999,23015164,38.77000,6.65000
41.97500,44.77500,Tbilisi,1,0.01090,1244.00000,0.01730,1276.00000,0.01840,1177.00000,0.02010,967.00000,-9.23200,0.18200,-9.11400,0.17600,-9.28900,0.19600,-9.33100,0.25700,-9.16000,0.28200,-9.42600,0.33900,-9.17000,0.13800,-9.49200,0.24400,-11.50000,0.25100,-11.93000,0.25700,-11.65300,0.25800,-11.24800,0.25000,-11.60900,0.22100,-11.54600,0.24300,-11.37600,0.19000,-11.62700,0.29300,-11.55500,0.36800,-11.71800,0.25700,-11.38200,0.22500,-9.34000,0.36200,-9.55700,0.32100,-9.18400,0.25000,-9.39900,0.22300,-9.38400,0.24500,-9.36800,0.30400,-9.35500,0.31900,-9.23000,0.27300,-9.42400,0.24900,-9.18500,0.40400,-9.55400,0.27500,-9.31700,0.37800,-9.40700,0.30200,-9.56300,0.24700,0,-9999,-9999,-9999,23015164,25.36000,5.41000
41.97500,44.82500,Tbilisi,0,0.00030,0.00000,0.00040,0.00000,0.00040,5.00000,0.00040,10.00000,-9.16900,0.17100,-9.04700,0.17000,-9.23600,0.19000,-9.24900,0.24400,-9.08700,0.27500,-9.36900,0.33200,-9.11300,0.13500,-9.42300,0.22700,-11.45300,0.21800,-11.84100,0.26300,-11.54600,0.24000,-11.26600,0.24300,-11.54900,0.22900,-11.50100,0.23900,-11.32800,0.19400,-11.59300,0.29900,-11.52000,0.38100,-11.66800,0.23300,-11.35300,0.20800,-9.23500,0.33400,-9.47200,0.29800,-9.08000,0.22400,-9.30600,0.20700,-9.27200,0.22200,-9.26300,0.28500,-9.26500,0.29700,-9.12300,0.25000,-9.32100,0.21700,-9.02900,0.33100,-9.40900,0.27000,-9.14400,0.36300,-9.35000,0.29800,-9.38200,0.24000,0,-9999,-9999,-9999,23015164,49.27000,7.25000
41.97500,44.87500,Tbilisi,0,0.00000,0.00000,0.00000,15.00000,0.00020,78.00000,0.00020,128.00000,-9.09400,0.15700,-8.96600,0.16200,-9.17300,0.18300,-9.15100,0.22900,-8.99900,0.26800,-9.30100,0.32300,-9.04500,0.13100,-9.34000,0.20700,-11.40900,0.18800,-11.75800,0.27200,-11.44600,0.23300,-11.29200,0.23600,-11.50300,0.24100,-11.47300,0.24700,-11.28800,0.20100,-11.57400,0.30900,-11.47600,0.38500,-11.64000,0.21700,-11.34000,0.20300,-9.12300,0.32000,-9.37800,0.27200,-8.99100,0.22500,-9.23300,0.20700,-9.15300,0.20400,-9.15900,0.28300,-9.17000,0.29200,-9.01600,0.23100,-9.21800,0.20800,-8.90500,0.32000,-9.25700,0.26400,-9.00100,0.32600,-9.27500,0.27700,-9.21200,0.24900,0,-9999,-9999,-9999,23015164,33.82000,6.17000
41.97500,44.92500,Tbilisi,0,0.00000,0.00000,0.00020,45.00000,0.00040,97.00000,0.00050,65.00000,-9.06400,0.15300,-8.92800,0.16200,-9.15100,0.18200,-9.11600,0.23600,-8.96000,0.26400,-9.27800,0.31700,-9.02800,0.13200,-9.30600,0.20400,-11.35800,0.17500,-11.68000,0.28300,-11.37100,0.23500,-11.31700,0.23000,-11.46700,0.25500,-11.44900,0.26000,-11.24600,0.21000,-11.55200,0.32600,-11.43100,0.37800,-11.62700,0.20700,-11.32000,0.20100,-9.00200,0.30700,-9.26900,0.24200,-8.89400,0.22000,-9.13800,0.21700,-9.03300,0.19900,-9.05200,0.28600,-9.05400,0.27700,-8.91900,0.22000,-9.11000,0.20800,-8.78500,0.32400,-9.10500,0.24500,-8.87600,0.29600,-9.18000,0.24500,-9.09000,0.23500,0,-9999,-9999,-9999,23015164,9.27000,4.25000
41.97500,44.97500,Tbilisi,0,0.00010,27.00000,0.00030,129.00000,0.00040,203.00000,0.00050,243.00000,-8.98600,0.14700,-8.82300,0.16200,-9.09200,0.18000,-9.01900,0.24800,-8.86000,0.25700,-9.21400,0.30200,-8.97500,0.13400,-9.21600,0.19600,-11.30800,0.17300,-11.60200,0.29400,-11.32600,0.23200,-11.32900,0.23600,-11.42800,0.28200,-11.42700,0.25500,-11.19900,0.22000,-11.52300,0.34300,-11.39300,0.37300,-11.62400,0.19400,-11.30600,0.20900,-8.86600,0.30200,-9.16100,0.23000,-8.78800,0.21600,-9.01400,0.24000,-8.91800,0.19800,-8.91700,0.29100,-8.93600,0.24900,-8.80400,0.20000,-8.99500,0.19900,-8.67800,0.32400,-8.95400,0.23200,-8.74200,0.27600,-9.05700,0.24200,-8.93300,0.21400,0,-9999,-9999,-9999,23015164,13.83000,4.59000
41.97500,45.02500,Tbilisi,0,0.00000,0.00000,0.00020,70.00000,0.00040,132.00000,0.00040,324.00000,-8.95200,0.15200,-8.77100,0.16400,-9.05800,0.18300,-8.97400,0.24200,-8.82400,0.25900,-9.17700,0.30200,-8.93500,0.13000,-9.17300,0.19900,-11.27000,0.20500,-11.54300,0.30700,-11.29700,0.24300,-11.30400,0.26000,-11.38400,0.29200,-11.41500,0.24500,-11.16300,0.24100,-11.51300,0.34500,-11.35000,0.36500,-11.60000,0.19200,-11.28400,0.22900,-8.70300,0.30300,-9.02800,0.22900,-8.65800,0.21700,-8.88200,0.23100,-8.77300,0.19100,-8.78800,0.29700,-8.79500,0.22000,-8.66500,0.18000,-8.83300,0.19800,-8.55200,0.31400,-8.84900,0.21800,-8.63400,0.26900,-8.94100,0.24400,-8.77700,0.19700,7,-9999,-9999,-9999,23015164,31.33000,6.43000
41.92500,44.52500,Tbilisi,1,0.01130,1924.00000,0.02320,2258.00000,0.03490,2703.00000,0.04750,2540.00000,-9.60900,0.21100,-9.53000,0.21700,-9.67900,0.26100,-9.84600,0.30300,-9.58300,0.29900,-9.79400,0.34700,-9.58500,0.20000,-9.91600,0.36500,-11.99600,0.31500,-12.45900,0.39800,-12.18700,0.28100,-11.47700,0.21100,-11.99600,0.24600,-11.93900,0.31600,-11.66800,0.25600,-12.10200,0.29200,-11.80700,0.33400,-12.20300,0.34200,-11.79800,0.29700,-10.15000,0.45400,-10.45500,0.49000,-9.95200,0.43100,-10.46500,0.38900,-10.28000,0.33300,-10.41400,0.43700,-10.25500,0.41600,-10.08900,0.41500,-10.53300,0.32000,-10.15900,0.59400,-10.48300,0.37500,-10.45100,0.47100,-10.43000,0.40000,-10.57000,0.30100,0,-9999,-9999,-9999,23032956,7.52000,2.95000
41.92500,44.57500,Tbilisi,1,0.06130,5295.00000,0.08050,5445.00000,0.08780,4947.00000,0.10150,4223.00000,-9.56800,0.20400,-9.49000,0.21100,-9.63900,0.25200,-9.79700,0.30300,-9.53500,0.29600,-9.75800,0.34500,-9.54400,0.19300,-9.87500,0.35300,-11.86200,0.31400,-12.32000,0.37000,-12.07300,0.29600,-11.36900,0.21000,-11.89000,0.23800,-11.83200,0.29400,-11.56900,0.25000,-11.94700,0.28900,-11.70400,0.34000,-12.05900,0.32800,-11.65800,0.28200,-10.01300,0.41400,-10.31400,0.48700,-9.85400,0.41200,-10.31200,0.36500,-10.13500,0.32100,-10.21900,0.39100,-10.06400,0.41900,-9.88500,0.36900,-10.34300,0.26700,-9.96300,0.57600,-10.30900,0.34300,-10.22200,0.45900,-10.15800,0.37700,-10.37400,0.29300,0,-9999,-9999,-9999,23032956,7.80000,3.32000
41.92500,44.62500,Tbilisi,0,0.00700,391.00000,0.00900,329.00000,0.00940,268.00000,0.01040,233.00000,-9.46300,0.17500,-9.38900,0.19600,-9.54000,0.22600,-9.67100,0.29500,-9.40600,0.28000,-9.66900,0.32900,-9.44400,0.17700,-9.77500,0.32100,-11.72600,0.31100,-12.17500,0.31000,-11.92600,0.31300,-11.26100,0.22600,-11.77300,0.22300,-11.71300,0.27000,-11.46300,0.23900,-11.79300,0.29500,-11.60800,0.35100,-11.90000,0.30300,-11.51700,0.26200,-9.88400,0.41200,-10.14600,0.47900,-9.73100,0.38500,-10.10200,0.38000,-9.96300,0.31500,-10.02000,0.39900,-9.89800,0.42800,-9.72200,0.33000,-10.11200,0.24500,-9.79000,0.58400,-10.18300,0.35100,-10.02200,0.44300,-9.91000,0.37500,-10.19500,0.31500,0,-9999,-9999,-9999,23032956,6.50000,3.17000
41.92500,44.67500,Tbilisi,0,0.00670,752.00000,0.01000,1042.00000,0.01060,884.00000,0.01240,807.00000,-9.45200,0.17200,-9.37900,0.19600,-9.53000,0.22300,-9.65700,0.29100,-9.39400,0.27800,-9.66100,0.32800,-9.43400,0.17600,-9.76400,0.31700,-11.61900,0.29500,-12.05300,0.27200,-11.79900,0.31500,-11.18500,0.24600,-11.67300,0.20500,-11.61800,0.26000,-11.39200,0.22800,-11.68100,0.30100,-11.54300,0.37300,-11.77300,0.28500,-11.41200,0.24300,-9.71700,0.40800,-9.93600,0.42100,-9.59900,0.34300,-9.92000,0.37800,-9.75600,0.30700,-9.82800,0.39300,-9.72300,0.44100,-9.54700,0.30600,-9.87100,0.24100,-9.61600,0.58400,-10.01100,0.33800,-9.83200,0.42100,-9.68600,0.33200,-9.95800,0.33900,0,-9999,-9999,-9999,23032956,6.87000,3.21000
41.92500,44.72500,Tbilisi,1,0.01680,1524.00000,0.02550,1929.00000,0.02860,1765.00000,0.03630,2002.00000,-9.35900,0.15200,-9.29000,0.18900,-9.44500,0.19700,-9.52700,0.26100,-9.28800,0.26100,-9.58400,0.31600,-9.34500,0.16800,-9.66500,0.28100,-11.53200,0.28600,-11.95000,0.24200,-11.68100,0.30400,-11.14300,0.26200,-11.59000,0.20100,-11.54400,0.24400,-11.33400,0.21500,-11.60200,0.30600,-11.50600,0.38100,-11.66400,0.26100,-11.33800,0.22300,-9.54600,0.39900,-9.74800,0.35500,-9.42300,0.31100,-9.67500,0.32200,-9.53300,0.28700,-9.57200,0.34500,-9.53000,0.37500,-9.40800,0.30600,-9.66800,0.27300,-9.39300,0.50300,-9.76400,0.26600,-9.58700,0.34800,-9.46600,0.30800,-9.70300,0.28600,0,-9999,-9999,-9999,23032956,5.69000,2.87000
41.92500,44.77500,Tbilisi,1,0.00900,1153.00000,0.01630,1439.00000,0.01810,1287.00000,0.02020,1094.00000,-9.34100,0.14800,-9.27300,0.18800,-9.42800,0.19200,-9.50300,0.25600,-9.26800,0.25700,-9.56900,0.31300,-9.32800,0.16700,-9.64500,0.27400,-11.45800,0.26400,-11.85800,0.24900,-11.57600,0.27600,-11.13700,0.26500,-11.52700,0.19700,-11.49900,0.23500,-11.29400,0.20500,-11.55000,0.29600,-11.47100,0.38200,-11.60400,0.24100,-11.29200,0.21200,-9.38800,0.36600,-9.58000,0.32200,-9.23600,0.27900,-9.43800,0.23400,-9.37500,0.25200,-9.39100,0.31200,-9.38900,0.34000,-9.28700,0.28000,-9.47500,0.24900,-9.19400,0.43800,-9.57400,0.25100,-9.36100,0.35700,-9.37300,0.31700,-9.54900,0.24100,0,-9999,-9999,-9999,23032956,6.09000,3.17000
