latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.37500,116.97500,Tianjin,2,0.00330,5950.00000,0.02940,12684.00000,0.04690,13794.00000,0.18090,12535.00000,-8.96300,0.52200,-8.70400,0.53400,-8.48100,0.56600,-9.12200,0.97900,-9.45400,0.35500,-9.13300,0.40800,-9.35200,0.38500,-9.30000,0.77500,-10.80600,0.36400,-10.76900,0.68400,-10.12900,0.52100,-10.12200,0.48200,-9.95700,0.53700,-9.50500,0.33800,-9.47200,0.42600,-9.55500,0.52100,-9.50900,0.36700,-9.48800,0.31200,-9.57000,0.60600,-8.05400,0.44200,-7.77700,0.39200,-7.93000,0.53500,-7.75500,0.55100,-7.39900,0.49600,-6.92000,0.59100,-6.92000,0.37000,-7.18600,0.51300,-6.90400,0.73900,-6.47300,0.66200,-6.61200,0.49800,-6.41900,0.57600,-6.28600,0.77100,-6.06000,0.57400,0,0.02750,6.55330,2.40850,23916296,6.17000,2.66000
39.37500,117.02500,Tianjin,3,0.05580,2248.00000,0.15160,8913.00000,0.26730,19460.00000,0.53760,34157.00000,-8.93800,0.51000,-8.71300,0.51600,-8.50200,0.55600,-9.13900,0.95800,-9.41600,0.33600,-9.10400,0.36400,-9.32900,0.40800,-9.28300,0.75100,-10.83200,0.35000,-10.86900,0.64300,-10.20200,0.52400,-10.19600,0.45800,-10.02200,0.58100,-9.56900,0.34300,-9.53400,0.43500,-9.55000,0.54000,-9.52900,0.40200,-9.44400,0.32500,-9.51500,0.62500,-7.96500,0.42700,-7.68600,0.38400,-7.86400,0.52500,-7.65600,0.57000,-7.27600,0.52700,-6.83200,0.62200,-6.79400,0.37500,-7.02800,0.48500,-6.73400,0.74200,-6.29400,0.63400,-6.46900,0.47500,-6.20900,0.55300,-6.09000,0.76300,-5.86700,0.58600,0,0.12140,11.77520,15.28020,23916296,6.31000,2.59000
39.37500,117.07500,Tianjin,3,0.09530,59440.00000,0.22890,98473.00000,0.33980,129532.00000,0.51420,170813.00000,-8.91600,0.49700,-8.72300,0.49900,-8.52400,0.54500,-9.15800,0.93800,-9.38400,0.31600,-9.08100,0.31900,-9.31300,0.43300,-9.27400,0.73100,-10.90200,0.33900,-11.01300,0.60500,-10.31700,0.52900,-10.31400,0.43900,-10.11300,0.63300,-9.65900,0.35900,-9.62600,0.45600,-9.58500,0.56400,-9.59000,0.43500,-9.42900,0.33700,-9.48800,0.64500,-7.96800,0.43100,-7.66400,0.37900,-7.86700,0.52900,-7.65700,0.58500,-7.24900,0.54500,-6.81900,0.64800,-6.78600,0.38300,-7.01300,0.47600,-6.71300,0.74100,-6.25800,0.63300,-6.45900,0.48100,-6.17600,0.55500,-6.06900,0.75900,-5.85400,0.59500,0,0.12820,10.16280,14.15200,23916296,5.55000,2.37000
39.37500,117.12500,Tianjin,2,0.02100,6958.00000,0.05330,9052.00000,0.06760,12120.00000,0.14820,25795.00000,-8.93500,0.48500,-8.75100,0.49300,-8.57100,0.52800,-9.20700,0.90800,-9.38700,0.30000,-9.09300,0.30600,-9.34000,0.44300,-9.30600,0.71600,-11.03200,0.33000,-11.20500,0.58800,-10.47900,0.52200,-10.48400,0.42400,-10.24700,0.66500,-9.79600,0.37000,-9.75900,0.48200,-9.67700,0.56600,-9.69900,0.45700,-9.46600,0.34500,-9.52700,0.65600,-8.10400,0.46300,-7.79600,0.40400,-8.02700,0.54600,-7.78300,0.63000,-7.38000,0.57400,-7.00100,0.68700,-6.92000,0.38700,-7.16200,0.51500,-6.85800,0.76700,-6.38300,0.61100,-6.59900,0.53600,-6.34100,0.58400,-6.18700,0.74200,-6.00700,0.62800,0,0.03650,7.41990,3.38060,23916296,6.05000,2.55000
39.37500,117.17500,Tianjin,2,0.00810,10744.00000,0.02320,17170.00000,0.03500,21381.00000,0.12020,25934.00000,-8.96000,0.46400,-8.78400,0.48400,-8.63000,0.49800,-9.26900,0.85500,-9.38700,0.27800,-9.10800,0.28400,-9.37200,0.45500,-9.33900,0.69100,-11.21500,0.33400,-11.44500,0.58500,-10.69300,0.51900,-10.70400,0.42800,-10.42500,0.67100,-9.98300,0.36400,-9.95000,0.49700,-9.85400,0.54700,-9.86700,0.45300,-9.57300,0.33100,-9.66200,0.64200,-8.45000,0.49600,-8.10500,0.41400,-8.38900,0.54800,-8.05800,0.65000,-7.73200,0.57800,-7.45800,0.70600,-7.26300,0.43300,-7.54200,0.61400,-7.18900,0.82500,-6.74300,0.58900,-6.99100,0.62100,-6.80100,0.67600,-6.48100,0.78800,-6.40500,0.72400,0,0.04060,7.20100,3.33860,23916296,6.17000,2.60000
39.37500,117.22500,Tianjin,2,0.00280,2666.00000,0.01630,9512.00000,0.03110,11670.00000,0.20460,22865.00000,-8.98600,0.45500,-8.81500,0.48400,-8.67700,0.47800,-9.31200,0.80900,-9.40500,0.26700,-9.13300,0.29100,-9.40900,0.45100,-9.36700,0.67900,-11.47900,0.34700,-11.74600,0.59000,-10.96000,0.50900,-10.99500,0.43200,-10.67100,0.66300,-10.23000,0.34700,-10.22500,0.51100,-10.13500,0.52600,-10.14100,0.43900,-9.81200,0.29700,-9.94600,0.62500,-8.89400,0.47700,-8.45800,0.35000,-8.83600,0.54100,-8.49900,0.63000,-8.28900,0.50200,-8.09500,0.60800,-7.88500,0.46600,-8.06300,0.64600,-7.80000,0.78800,-7.44600,0.58200,-7.64400,0.62400,-7.57100,0.75900,-7.07800,0.82800,-7.11200,0.74600,0,0.04010,7.24570,3.62690,23916296,6.06000,2.53000
39.37500,117.27500,Tianjin,1,0.00750,5618.00000,0.01610,7515.00000,0.02800,10136.00000,0.08360,9045.00000,-9.03900,0.43700,-8.87700,0.48400,-8.77500,0.43500,-9.40000,0.71400,-9.44100,0.24500,-9.18600,0.30500,-9.48500,0.44200,-9.42600,0.65400,-11.78400,0.36300,-12.03000,0.58800,-11.19800,0.47600,-11.27600,0.42800,-10.90700,0.64900,-10.44300,0.34400,-10.47700,0.50500,-10.39500,0.49500,-10.40300,0.41400,-10.03600,0.27000,-10.24000,0.59500,-9.11000,0.42700,-8.63400,0.31100,-9.08800,0.52500,-8.86100,0.65100,-8.68200,0.43200,-8.55700,0.48700,-8.42400,0.36300,-8.59400,0.55100,-8.60100,0.65000,-8.26400,0.51700,-8.34700,0.54500,-8.31400,0.64100,-7.82400,0.66300,-7.84100,0.58600,0,0.01500,3.64630,1.52590,23916296,6.19000,3.10000
39.37500,117.32500,Tianjin,1,0.00160,43.00000,0.00780,1316.00000,0.01340,2159.00000,0.05330,5680.00000,-9.06100,0.43700,-8.90900,0.48400,-8.81900,0.42200,-9.44200,0.68200,-9.46500,0.24000,-9.22100,0.31300,-9.52300,0.43800,-9.45700,0.65000,-12.11400,0.36600,-12.28800,0.57100,-11.41000,0.44800,-11.55300,0.43500,-11.13100,0.64200,-10.64300,0.35300,-10.72100,0.46000,-10.64300,0.44100,-10.68200,0.36600,-10.27100,0.24300,-10.56200,0.53800,-9.14600,0.40300,-8.62900,0.29500,-9.09900,0.48500,-8.93300,0.58100,-8.68300,0.41300,-8.65000,0.43400,-8.65300,0.31100,-8.98300,0.47100,-9.11600,0.56800,-8.73500,0.43000,-8.84200,0.48400,-8.75000,0.53500,-8.38900,0.52000,-8.29700,0.53400,0,0.00960,3.62830,0.52480,23916296,6.57000,2.88000
39.37500,117.37500,Tianjin,1,0.00130,3147.00000,0.00640,4026.00000,0.00880,5124.00000,0.04770,9483.00000,-9.13200,0.43500,-9.01000,0.48200,-8.95600,0.38100,-9.57400,0.58000,-9.54100,0.22300,-9.32800,0.33700,-9.64300,0.42500,-9.55400,0.63900,-12.41700,0.38000,-12.46500,0.54500,-11.56300,0.42400,-11.76700,0.43300,-11.28900,0.63900,-10.78800,0.36000,-10.89600,0.39200,-10.82400,0.39400,-10.89400,0.31800,-10.48000,0.21900,-10.85500,0.49700,-9.05300,0.39500,-8.51700,0.26900,-8.96300,0.48900,-8.83500,0.54500,-8.55800,0.40500,-8.57800,0.41700,-8.66100,0.30000,-9.01100,0.41800,-9.22900,0.53200,-8.82200,0.40100,-8.91400,0.43600,-8.86800,0.52600,-8.58900,0.49500,-8.47500,0.49900,0,0.01240,3.46720,0.72730,23916296,6.40000,2.82000
39.37500,117.42500,Tianjin,1,0.00390,628.00000,0.01030,1330.00000,0.01690,2387.00000,0.03990,5896.00000,-9.14800,0.43600,-9.03800,0.48000,-8.98800,0.37500,-9.56400,0.65500,-9.56400,0.22100,-9.35300,0.33700,-9.67100,0.42200,-9.57400,0.63800,-12.65200,0.41200,-12.54500,0.52400,-11.64800,0.42000,-11.87100,0.42300,-11.35400,0.64300,-10.85800,0.37000,-10.98800,0.33600,-10.91800,0.35100,-11.00600,0.28600,-10.59800,0.21300,-11.06300,0.47800,-8.92600,0.39900,-8.40500,0.25100,-8.80200,0.51200,-8.68400,0.53000,-8.44800,0.41100,-8.48800,0.40600,-8.63800,0.30600,-8.98400,0.40700,-9.24400,0.53300,-8.81300,0.42200,-8.92700,0.41800,-8.91100,0.51400,-8.65700,0.50600,-8.59200,0.47200,0,0.00920,2.04260,0.59130,23916296,6.53000,2.90000
