latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.87500,105.67500,Tianshui,2,0.02910,91908.00000,0.07930,105704.00000,0.10360,106306.00000,0.10770,97846.00000,-8.92700,0.47800,-10.18200,0.57000,-10.01600,1.22400,-9.95200,0.76000,-10.45300,1.08300,-9.53600,1.26200,-9.94000,0.88300,-9.73500,1.54100,-11.85200,0.55100,-11.87500,1.04300,-11.54200,0.99900,-12.10200,0.67000,-10.75600,0.84900,-11.19100,0.66400,-11.07200,0.64800,-11.58300,0.82400,-10.86500,0.59700,-11.13600,0.51900,-11.28900,0.77300,-8.74100,0.79400,-9.21300,0.83300,-9.18100,1.16800,-9.37600,0.81300,-8.52600,1.01200,-8.92200,0.63600,-8.43300,0.67800,-9.41300,1.15000,-9.37700,0.76200,-9.42900,1.00100,-8.99100,0.90300,-8.57900,0.77100,-8.66200,0.85000,-8.24700,0.62500,0,0.04290,5.76990,3.30650,25356822,3.90000,2.04000
34.87500,105.72500,Tianshui,1,0.00000,2490.00000,0.00050,3395.00000,0.00100,4209.00000,0.00400,6442.00000,-8.93200,0.47500,-10.18200,0.56400,-10.01700,1.22700,-9.95400,0.75900,-10.46300,1.09800,-9.49700,1.25900,-9.93700,0.88700,-9.73600,1.54800,-11.84200,0.57400,-11.89800,1.03800,-11.56000,0.98400,-12.16200,0.65000,-10.78400,0.85800,-11.24400,0.65700,-11.11300,0.63700,-11.60800,0.83300,-10.86900,0.58400,-11.19000,0.48600,-11.34900,0.77900,-8.76900,0.80000,-9.30800,0.84600,-9.25900,1.21800,-9.39300,0.85200,-8.57900,1.00500,-9.06600,0.66700,-8.51300,0.68500,-9.51700,1.15400,-9.53300,0.79400,-9.59800,0.99900,-9.11500,0.92300,-8.74600,0.75900,-8.77200,0.84800,-8.38600,0.63200,0,0.00390,1.50270,0.18300,25356822,4.31000,1.89000
34.87500,105.77500,Tianshui,1,0.00000,3131.00000,0.00000,3838.00000,0.00000,1930.00000,0.00010,2036.00000,-8.95400,0.46000,-10.18000,0.52700,-10.01500,1.24800,-9.96900,0.75200,-10.51200,1.18500,-9.26200,1.23500,-9.91700,0.91400,-9.74100,1.58800,-11.83200,0.60500,-11.93200,1.02600,-11.59300,0.99400,-12.20800,0.66900,-10.82500,0.86200,-11.32800,0.66300,-11.16100,0.62300,-11.65900,0.83400,-10.93700,0.57700,-11.26800,0.48500,-11.44300,0.80300,-8.82300,0.79200,-9.40700,0.87500,-9.32900,1.27400,-9.45100,0.90400,-8.69700,1.02500,-9.20000,0.70400,-8.64300,0.66800,-9.68300,1.14600,-9.80600,0.81200,-9.85900,1.03800,-9.33100,0.96800,-8.92100,0.73200,-8.95700,0.82900,-8.68800,0.63400,0,0.00080,0.49220,0.02310,25356822,4.77000,2.12000
34.87500,105.82500,Tianshui,0,0.00000,4380.00000,0.00000,5369.00000,0.00010,24050.00000,0.00010,22232.00000,-8.95300,0.45600,-10.17100,0.52300,-10.01600,1.25100,-9.96300,0.75100,-10.50600,1.19800,-9.25100,1.24100,-9.90300,0.91300,-9.74200,1.58100,-11.81600,0.65700,-11.94200,1.02700,-11.65500,1.01400,-12.26000,0.70300,-10.87500,0.85000,-11.42700,0.69900,-11.22700,0.60200,-11.74000,0.85000,-11.04500,0.57800,-11.36200,0.50100,-11.52700,0.81900,-8.88300,0.78600,-9.50000,0.89800,-9.39900,1.33600,-9.47700,0.92400,-8.79100,1.04500,-9.29000,0.69500,-8.75100,0.66000,-9.82000,1.14800,-9.98000,0.78600,-10.07800,0.96500,-9.49500,0.96400,-9.03700,0.69100,-9.06500,0.77800,-8.89100,0.61200,0,0.00420,1.60290,0.19880,25356822,4.35000,1.95000
34.87500,105.87500,Tianshui,0,0.00000,4443.00000,0.00000,5446.00000,0.00010,35.00000,0.00010,0.00000,-8.94400,0.44100,-10.13000,0.50600,-10.02000,1.26200,-9.94000,0.74800,-10.47500,1.25300,-9.20800,1.26400,-9.84100,0.91200,-9.74200,1.55200,-11.80100,0.69000,-11.92700,1.02100,-11.70500,1.03300,-12.29100,0.75200,-10.92100,0.84300,-11.50100,0.72500,-11.27900,0.59800,-11.80000,0.83800,-11.16000,0.56700,-11.45600,0.52100,-11.58500,0.83500,-8.93600,0.77500,-9.58400,0.91700,-9.45600,1.37700,-9.46200,0.94300,-8.82800,1.04000,-9.32200,0.68200,-8.80100,0.63900,-9.90500,1.12600,-10.04200,0.74700,-10.14800,0.91900,-9.59300,0.91000,-9.08900,0.62200,-9.15600,0.71100,-8.97300,0.57900,0,0.00130,0.70150,0.06010,25356822,9.01000,4.50000
34.87500,105.92500,Tianshui,1,0.00000,5242.00000,0.00000,6425.00000,0.00000,4373.00000,0.00000,3988.00000,-8.93100,0.43600,-10.10600,0.50300,-10.00400,1.25100,-9.92900,0.73000,-10.44100,1.25700,-9.15900,1.24900,-9.80900,0.90100,-9.73200,1.52200,-11.77300,0.71300,-11.90100,0.99900,-11.75200,1.04500,-12.31300,0.78700,-10.93800,0.82700,-11.54600,0.74200,-11.30200,0.58700,-11.85900,0.83300,-11.26500,0.56200,-11.56800,0.55900,-11.62500,0.85200,-8.95500,0.78500,-9.64100,0.92900,-9.50200,1.40100,-9.41100,0.94700,-8.83100,1.03400,-9.32200,0.66400,-8.82400,0.62100,-9.93600,1.10000,-10.06000,0.70100,-10.15900,0.90600,-9.60600,0.87900,-9.10900,0.59000,-9.17200,0.67600,-9.01100,0.56000,0,0.00300,1.45680,0.13590,25356822,6.19000,3.08000
34.87500,105.97500,Tianshui,1,0.00000,4997.00000,0.00000,6125.00000,0.00000,3331.00000,0.00000,3313.00000,-8.89000,0.41800,-10.02900,0.49200,-9.95500,1.21700,-9.89600,0.67300,-10.33300,1.27100,-9.00400,1.20100,-9.70900,0.86600,-9.69600,1.43000,-11.73900,0.72700,-11.86600,0.97800,-11.79500,1.06000,-12.30800,0.79800,-10.94200,0.82700,-11.55500,0.77200,-11.30600,0.56700,-11.88500,0.83200,-11.33900,0.56300,-11.65700,0.58900,-11.64400,0.86900,-8.95900,0.80600,-9.68000,0.93900,-9.50100,1.40500,-9.34500,0.91200,-8.83000,1.04100,-9.28600,0.63900,-8.82000,0.59500,-9.93100,1.06800,-10.02800,0.65900,-10.14100,0.88800,-9.59200,0.84600,-9.11600,0.57600,-9.15300,0.63700,-9.00400,0.54600,0,0.00150,0.66020,0.07490,25356822,8.19000,3.88000
34.87500,106.02500,Tianshui,0,0.00000,4342.00000,0.00000,5322.00000,0.00010,16171.00000,0.00020,16085.00000,-8.86800,0.40400,-9.97700,0.48600,-9.91100,1.18600,-9.87200,0.64600,-10.25700,1.25400,-8.95800,1.18900,-9.65900,0.83800,-9.66200,1.37500,-11.71800,0.72000,-11.80000,0.94800,-11.81500,1.08200,-12.28600,0.79500,-10.93900,0.83500,-11.53000,0.78000,-11.28400,0.56000,-11.89000,0.82500,-11.39700,0.56500,-11.72200,0.60100,-11.64800,0.87200,-8.96800,0.81600,-9.70600,0.93200,-9.46800,1.38900,-9.27000,0.88900,-8.82800,1.03400,-9.23400,0.62300,-8.78000,0.55300,-9.88800,1.02700,-9.96200,0.64100,-10.08800,0.84900,-9.56200,0.81000,-9.13700,0.59000,-9.11900,0.59600,-8.96600,0.52800,0,0.00140,0.69090,0.06960,25356822,6.81000,3.24000
34.87500,106.07500,Tianshui,0,0.00000,4106.00000,0.00000,5033.00000,0.00000,3057.00000,0.00000,1444.00000,-8.81600,0.37000,-9.85400,0.47000,-9.80300,1.11100,-9.81400,0.58100,-10.07400,1.21400,-8.84700,1.15800,-9.53700,0.77000,-9.58000,1.24200,-11.70000,0.69400,-11.74500,0.91000,-11.83100,1.08500,-12.27400,0.77100,-10.92900,0.83100,-11.50800,0.78000,-11.24800,0.56800,-11.84800,0.79400,-11.40400,0.57500,-11.76900,0.58900,-11.65300,0.85800,-8.96100,0.82200,-9.68700,0.92000,-9.43000,1.38500,-9.18800,0.85700,-8.83100,1.00800,-9.17800,0.61300,-8.71900,0.52300,-9.82200,0.99700,-9.87900,0.63200,-9.99400,0.79400,-9.53300,0.78800,-9.15400,0.60000,-9.07700,0.57800,-8.91300,0.51700,0,0.00190,1.31460,0.05870,25356822,6.19000,3.09000
34.87500,106.12500,Tianshui,0,0.00000,2885.00000,0.00000,3536.00000,0.00000,3733.00000,0.00000,0.00000,-8.77800,0.34800,-9.77500,0.46000,-9.73000,1.06800,-9.70300,0.62700,-9.95900,1.15900,-8.81400,1.15100,-9.47000,0.72500,-9.51600,1.16500,-11.67400,0.64700,-11.69200,0.86200,-11.82600,1.06800,-12.23900,0.73100,-10.92900,0.80100,-11.48200,0.75500,-11.18900,0.56600,-11.78500,0.74900,-11.37600,0.58800,-11.77400,0.56200,-11.65200,0.83100,-8.93700,0.82700,-9.65800,0.90900,-9.37800,1.37700,-9.10400,0.82800,-8.82300,0.98300,-9.13100,0.61100,-8.65500,0.49500,-9.72700,0.97800,-9.79600,0.62000,-9.88900,0.74400,-9.48500,0.77400,-9.13700,0.58200,-9.03500,0.56800,-8.84600,0.51700,0,0.00140,0.47310,0.09640,25356822,11.81000,5.41000
