latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
19.57500,-99.92500,Toluca,0,0.00000,135.00000,0.00320,1826.00000,0.00600,3958.00000,0.00690,6373.00000,-8.81400,0.55000,-9.11700,0.36500,-9.04700,0.35600,-9.20300,0.66900,-9.29000,0.42000,-8.85200,0.24500,-9.09300,0.59700,-9.39900,0.38100,-11.43300,0.45900,-11.56100,0.30200,-11.00200,0.34400,-11.18100,0.34700,-11.27400,0.31900,-11.24200,0.30100,-11.45600,0.37400,-11.19300,0.29800,-11.22900,0.37600,-11.36300,0.47400,-11.33400,0.35400,-8.96100,0.39400,-9.13100,0.59200,-9.27000,0.50200,-9.10600,0.49000,-9.06500,0.78700,-9.14600,0.69700,-8.92300,0.48000,-9.23700,0.53300,-9.37200,0.44400,-9.29000,0.36200,-9.07900,0.50400,-8.97000,0.68700,-9.29300,0.72200,-9.03400,0.48600,0,-9999,-9999,-9999,29037756,20.87000,6.26000
19.57500,-99.87500,Toluca,1,0.00080,3484.00000,0.00740,9015.00000,0.01380,11039.00000,0.01620,15231.00000,-8.88200,0.58000,-9.19000,0.37700,-9.09700,0.37500,-9.23400,0.67000,-9.35100,0.43700,-8.90500,0.24100,-9.13200,0.61200,-9.47500,0.38000,-11.32500,0.44100,-11.52900,0.30900,-10.87900,0.31300,-11.07000,0.33300,-11.20100,0.31000,-11.13400,0.27100,-11.37700,0.39900,-11.04700,0.30200,-11.07100,0.37500,-11.26800,0.47400,-11.24200,0.34700,-8.87300,0.41300,-9.06600,0.60500,-9.19500,0.56100,-9.05900,0.50500,-9.06300,0.79300,-9.13900,0.74000,-8.83500,0.50300,-9.17300,0.56800,-9.27600,0.46600,-9.18300,0.34200,-9.03500,0.50000,-8.89700,0.71100,-9.24500,0.76200,-8.97700,0.52800,0,-9999,-9999,-9999,29037756,12.65000,4.82000
19.57500,-99.82500,Toluca,1,0.00070,6019.00000,0.00380,10398.00000,0.00680,14074.00000,0.01110,19820.00000,-8.95700,0.60200,-9.25700,0.38300,-9.12700,0.39000,-9.24400,0.63900,-9.39700,0.43600,-8.95300,0.23300,-9.15900,0.60500,-9.54000,0.36500,-11.21200,0.41900,-11.47100,0.30600,-10.75700,0.29700,-10.95200,0.34800,-11.12900,0.30300,-11.03200,0.25500,-11.28700,0.40700,-10.87400,0.30000,-10.91700,0.36700,-11.16400,0.48200,-11.15900,0.34200,-8.75400,0.46000,-8.98300,0.60900,-9.13900,0.57100,-8.97500,0.57400,-9.04300,0.80600,-9.13500,0.76800,-8.76000,0.51900,-9.08900,0.59400,-9.18200,0.47500,-9.07900,0.35400,-8.96000,0.49100,-8.82300,0.73100,-9.20200,0.80000,-8.94100,0.55800,0,-9999,-9999,-9999,29037756,7.64000,3.95000
19.57500,-99.77500,Toluca,2,0.01160,13462.00000,0.07100,24669.00000,0.09030,31062.00000,0.10250,41847.00000,-8.97400,0.60600,-9.26900,0.38300,-9.13200,0.39300,-9.24500,0.63000,-9.40600,0.43500,-8.96200,0.23200,-9.16400,0.60100,-9.55300,0.36100,-11.10000,0.40000,-11.41800,0.28400,-10.68400,0.30100,-10.85500,0.38100,-11.05200,0.28900,-10.94700,0.25000,-11.22200,0.41000,-10.74500,0.29300,-10.79700,0.35000,-11.07000,0.48900,-11.10400,0.31800,-8.68400,0.48200,-8.90600,0.61200,-9.11500,0.55600,-8.89800,0.63000,-9.01100,0.82900,-9.12100,0.76100,-8.68800,0.53800,-9.01800,0.59300,-9.12300,0.46000,-8.99200,0.35900,-8.91200,0.48500,-8.75000,0.79300,-9.17400,0.83400,-8.93000,0.55700,0,-9999,-9999,-9999,29037756,6.97000,3.49000
19.57500,-99.72500,Toluca,1,0.00130,14520.00000,0.02410,16844.00000,0.03990,21457.00000,0.05710,30107.00000,-8.99100,0.58900,-9.21700,0.34600,-9.09000,0.39300,-9.21400,0.57800,-9.37700,0.40100,-8.94700,0.22500,-9.14500,0.55700,-9.52900,0.33000,-11.04000,0.37600,-11.34900,0.26700,-10.67200,0.33900,-10.81700,0.38600,-11.01200,0.27900,-10.88300,0.24800,-11.17200,0.38300,-10.68300,0.30000,-10.74200,0.35600,-11.00400,0.49500,-11.07100,0.29700,-8.63900,0.47800,-8.85700,0.59000,-9.08200,0.52700,-8.86000,0.63000,-8.95700,0.82700,-9.06900,0.71200,-8.64100,0.55400,-8.93800,0.58500,-9.05500,0.40700,-8.94800,0.35500,-8.87600,0.47100,-8.69600,0.84900,-9.15300,0.82000,-8.89500,0.53200,0,-9999,-9999,-9999,29037756,7.20000,3.70000
19.57500,-99.67500,Toluca,1,0.00140,5798.00000,0.01530,8076.00000,0.02220,11441.00000,0.02700,16640.00000,-8.95000,0.56700,-9.14200,0.31800,-9.01600,0.39000,-9.15600,0.55100,-9.29600,0.37700,-8.87400,0.23000,-9.09600,0.53600,-9.44600,0.31700,-11.05100,0.35300,-11.33100,0.26600,-10.76300,0.35300,-10.84700,0.36700,-11.03400,0.26300,-10.89600,0.24600,-11.18600,0.35000,-10.72800,0.31700,-10.78800,0.36600,-11.03300,0.48200,-11.13300,0.28300,-8.59300,0.44200,-8.78900,0.53400,-8.99000,0.45500,-8.77500,0.58500,-8.86500,0.75800,-8.98200,0.65100,-8.59800,0.49400,-8.86300,0.54100,-8.98400,0.36000,-8.90200,0.34300,-8.81300,0.44000,-8.61900,0.85200,-9.06800,0.74900,-8.82600,0.48800,0,-9999,-9999,-9999,29037756,9.35000,4.12000
19.57500,-99.62500,Toluca,1,0.00150,1038.00000,0.01050,5956.00000,0.01440,8727.00000,0.01680,11740.00000,-8.87600,0.53000,-9.00800,0.27000,-8.88200,0.38400,-9.05200,0.50200,-9.15600,0.33300,-8.74300,0.23700,-9.00900,0.50000,-9.29700,0.29300,-11.14200,0.34200,-11.35900,0.28000,-10.90800,0.37400,-10.95400,0.35100,-11.11500,0.26600,-10.97400,0.26100,-11.26400,0.32500,-10.86200,0.34400,-10.93800,0.36700,-11.13600,0.45700,-11.27100,0.27800,-8.52600,0.38400,-8.67400,0.42200,-8.83600,0.36200,-8.62500,0.48600,-8.70500,0.61000,-8.80800,0.53700,-8.53700,0.42500,-8.75800,0.45800,-8.88100,0.30800,-8.81800,0.32800,-8.71300,0.39900,-8.53100,0.82600,-8.87500,0.63600,-8.73900,0.42400,0,-9999,-9999,-9999,29037756,10.91000,4.59000
19.57500,-99.57500,Toluca,0,0.00000,1364.00000,0.00280,1161.00000,0.00470,1946.00000,0.00530,2455.00000,-8.69200,0.48200,-8.76700,0.23300,-8.61900,0.37900,-8.83700,0.43200,-8.88400,0.29400,-8.49400,0.27000,-8.80800,0.46000,-9.01500,0.28800,-11.26100,0.36300,-11.42800,0.29800,-11.06600,0.38200,-11.08900,0.33800,-11.22800,0.27400,-11.10000,0.30500,-11.37200,0.28300,-11.02900,0.36400,-11.12900,0.37900,-11.25100,0.43200,-11.41700,0.29800,-8.46200,0.34100,-8.56200,0.33500,-8.68100,0.30900,-8.49000,0.40300,-8.56200,0.49100,-8.63400,0.43600,-8.45900,0.34400,-8.67200,0.39300,-8.77900,0.26600,-8.72800,0.31200,-8.57700,0.36200,-8.41600,0.74200,-8.68500,0.53300,-8.59900,0.36700,0,-9999,-9999,-9999,29037756,51.26000,6.99000
19.57500,-99.52500,Toluca,0,0.00000,1066.00000,0.00010,533.00000,0.00030,987.00000,0.00040,931.00000,-8.59700,0.45800,-8.64600,0.21600,-8.48600,0.37700,-8.72800,0.40000,-8.74400,0.27500,-8.36500,0.28500,-8.70400,0.44200,-8.87300,0.28600,-11.33300,0.39300,-11.44900,0.31800,-11.20200,0.37100,-11.18000,0.34700,-11.30100,0.27500,-11.17800,0.31700,-11.41400,0.29900,-11.12700,0.37700,-11.24200,0.40600,-11.32700,0.40500,-11.49500,0.35300,-8.39100,0.32100,-8.43900,0.29900,-8.56700,0.28000,-8.37100,0.36700,-8.43000,0.44700,-8.50800,0.38500,-8.39500,0.29900,-8.56300,0.33400,-8.65600,0.26800,-8.61000,0.28300,-8.43100,0.35300,-8.28500,0.65600,-8.53700,0.49000,-8.46800,0.33400,0,-9999,-9999,-9999,29037756,49.28000,7.35000
19.57500,-99.47500,Toluca,0,0.00000,408.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-8.25400,0.39900,-8.18400,0.19400,-8.03700,0.38700,-8.34100,0.30300,-8.30000,0.27200,-7.95500,0.38000,-8.31500,0.36000,-8.38000,0.27600,-11.25100,0.43600,-11.36000,0.34200,-11.20000,0.38100,-11.10000,0.37500,-11.20500,0.32300,-11.06900,0.35100,-11.25200,0.37700,-11.03600,0.35300,-11.07800,0.43200,-11.19700,0.43000,-11.35900,0.45500,-8.20500,0.32800,-8.24000,0.29600,-8.35200,0.30800,-8.21500,0.32000,-8.17400,0.37900,-8.32900,0.36200,-8.19200,0.28100,-8.37300,0.33800,-8.44200,0.28000,-8.37900,0.28500,-8.21900,0.35100,-8.07100,0.67300,-8.36600,0.45600,-8.25600,0.33700,0,-9999,-9999,-9999,29037756,59.13000,7.23000
