latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
25.82500,-103.67500,Torreon,0,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.46900,0.44700,-11.13600,0.16700,-11.00700,0.17600,-11.53600,0.16300,-11.26100,0.22300,-11.22200,0.23100,-11.60400,0.36800,-11.30800,0.30000,-12.81300,0.22200,-12.69200,0.20700,-12.57000,0.25700,-12.72600,0.25100,-12.71200,0.30800,-12.61100,0.25300,-12.48300,0.28600,-12.54700,0.26800,-12.71300,0.30100,-12.46200,0.36100,-12.43300,0.28800,-11.42300,0.42400,-11.09800,0.54400,-11.12600,0.50100,-11.09100,0.54400,-11.41800,0.28300,-11.42900,0.43500,-11.34600,0.56400,-11.35000,0.37300,-11.41500,0.46400,-10.81200,0.79500,-11.36700,0.39300,-11.00400,0.65200,-11.16200,0.55600,-11.17100,0.51400,0,-9999.00000,-9999.00000,-9999.00000,27769884,1.08000,0.51000
25.82500,-103.62500,Torreon,0,0.00000,0.00000,0.00010,0.00000,0.00020,0.00000,0.00030,0.00000,-10.48200,0.44800,-11.15300,0.16900,-11.02500,0.17600,-11.56100,0.16300,-11.27900,0.22600,-11.23800,0.23300,-11.63100,0.37000,-11.32700,0.30200,-13.47900,0.20600,-13.31100,0.25400,-13.22800,0.29900,-13.36600,0.28300,-13.22300,0.38600,-13.09500,0.30700,-12.99300,0.27600,-13.11300,0.27400,-13.18900,0.33600,-12.96600,0.38700,-12.90200,0.36600,-12.15000,0.50500,-11.66300,0.71200,-11.67700,0.66400,-11.58100,0.60400,-11.97200,0.46800,-12.06200,0.53200,-11.93800,0.65400,-11.84800,0.53100,-11.91100,0.57700,-11.26500,0.83600,-11.87700,0.45200,-11.43400,0.78600,-11.73000,0.67300,-11.73300,0.60300,0,-9999.00000,-9999.00000,-9999.00000,27769884,1.02000,0.47000
25.82500,-103.57500,Torreon,0,0.00000,715.00000,0.00020,1250.00000,0.00020,1065.00000,0.00150,1389.00000,-10.77200,0.44800,-11.48300,0.19800,-11.39500,0.22900,-12.06900,0.18700,-11.64400,0.26700,-11.58200,0.28300,-12.14400,0.32600,-11.70600,0.34900,-14.20900,0.21200,-13.97700,0.33000,-13.98200,0.36400,-14.09200,0.33800,-13.82300,0.49200,-13.63800,0.40500,-13.52600,0.30800,-13.71900,0.31400,-13.69300,0.38000,-13.53000,0.42600,-13.43000,0.43900,-12.85200,0.53900,-12.27700,0.80200,-12.23700,0.79300,-12.15100,0.66100,-12.66000,0.50600,-12.72100,0.59000,-12.54000,0.75300,-12.38600,0.59900,-12.50500,0.63900,-11.71800,0.89200,-12.57400,0.47900,-11.86200,0.94300,-12.21500,0.77300,-12.26200,0.69700,0,-9999.00000,-9999.00000,-9999.00000,27769884,1.27000,0.67000
25.82500,-103.52500,Torreon,0,0.00000,2.00000,0.00010,307.00000,0.00020,518.00000,0.00080,2416.00000,-10.83100,0.44400,-11.54200,0.20600,-11.46100,0.24200,-12.17800,0.20400,-11.71100,0.27700,-11.64600,0.29100,-12.25300,0.31700,-11.78200,0.36200,-14.77200,0.23100,-14.44200,0.39100,-14.54500,0.43300,-14.66300,0.40800,-14.29200,0.59900,-14.02100,0.45500,-13.94700,0.35400,-14.15900,0.36300,-14.06500,0.39200,-13.92700,0.45100,-13.78600,0.52900,-13.22100,0.53600,-12.65700,0.83700,-12.60900,0.80200,-12.58700,0.63200,-13.22400,0.44400,-13.23100,0.59200,-13.02100,0.79600,-12.91600,0.55800,-12.89100,0.62500,-12.02500,0.95200,-12.98000,0.47800,-12.16000,0.95700,-12.63200,0.76700,-12.63800,0.69800,0,-9999.00000,-9999.00000,-9999.00000,27769884,0.99000,0.30000
25.82500,-103.47500,Torreon,0,0.00000,5.00000,0.00000,8.00000,0.00000,0.00000,0.00000,0.00000,-11.01800,0.43100,-11.72800,0.23100,-11.67000,0.28600,-12.52100,0.25600,-11.92500,0.30800,-11.85000,0.31900,-12.59700,0.29000,-12.01900,0.40400,-15.05200,0.25000,-14.62800,0.40500,-14.82700,0.48600,-14.99200,0.45900,-14.54600,0.65200,-14.17500,0.48600,-14.12600,0.39800,-14.33500,0.41000,-14.20200,0.41100,-14.06700,0.47900,-13.92500,0.56300,-13.16400,0.52100,-12.61200,0.80700,-12.59100,0.76900,-12.44700,0.63000,-13.08200,0.45000,-13.13600,0.56900,-12.98100,0.76800,-12.74900,0.56300,-12.79400,0.57700,-11.96200,0.89900,-12.83700,0.48000,-12.13200,0.90300,-12.62400,0.70600,-12.57900,0.70300,0,-9999.00000,-9999.00000,-9999.00000,27769884,0.99000,0.32000
25.82500,-103.42500,Torreon,0,0.00000,5.00000,0.00000,9.00000,0.00000,0.00000,0.00000,0.00000,-11.11800,0.42400,-11.80900,0.24200,-11.74400,0.30800,-12.65500,0.27800,-12.01100,0.32000,-11.94500,0.32400,-12.76000,0.31400,-12.12200,0.42600,-15.05200,0.28200,-14.57500,0.38500,-14.83600,0.50600,-15.05400,0.48200,-14.60000,0.66800,-14.12000,0.49700,-14.07600,0.41200,-14.23000,0.43800,-14.13400,0.42400,-13.98400,0.47900,-13.84800,0.57700,-12.75400,0.53300,-12.26500,0.78000,-12.27300,0.78500,-11.92500,0.64100,-12.58100,0.46600,-12.64900,0.57600,-12.57200,0.70200,-12.23400,0.59200,-12.41000,0.54100,-11.68200,0.87000,-12.34000,0.52700,-11.81900,0.84900,-12.25500,0.76500,-12.21500,0.75100,0,-9999.00000,-9999.00000,-9999.00000,27769884,1.17000,0.41000
25.82500,-103.37500,Torreon,0,0.00000,0.00000,0.00010,628.00000,0.00040,1896.00000,0.00070,2338.00000,-11.21800,0.41600,-11.88900,0.25400,-11.81600,0.33200,-12.79200,0.30100,-12.09600,0.33200,-12.04000,0.32900,-12.92800,0.34300,-12.22400,0.45000,-14.76600,0.28800,-14.24200,0.35500,-14.56900,0.51500,-14.81800,0.47100,-14.39000,0.63300,-13.84500,0.43700,-13.79300,0.39200,-13.86900,0.43900,-13.83100,0.44300,-13.69200,0.45400,-13.53700,0.54800,-12.04300,0.55000,-11.65100,0.64800,-11.58500,0.73400,-11.28100,0.61400,-11.79900,0.43900,-11.93500,0.57900,-11.99500,0.63800,-11.63000,0.59700,-11.91400,0.51300,-11.24000,0.84300,-11.76600,0.48900,-11.20100,0.84400,-11.67100,0.77400,-11.62200,0.75400,0,-9999.00000,-9999.00000,-9999.00000,27769884,1.58000,0.81000
25.82500,-103.32500,Torreon,0,0.00000,762.00000,0.00020,1239.00000,0.00130,2348.00000,0.00170,4069.00000,-11.31800,0.41500,-11.97100,0.25200,-11.86600,0.34000,-12.85100,0.26900,-12.14500,0.34400,-12.12700,0.32900,-13.08000,0.36900,-12.29700,0.45000,-14.36000,0.25100,-13.78200,0.34700,-14.16900,0.48500,-14.43000,0.44900,-14.05400,0.57500,-13.48500,0.37100,-13.42000,0.35400,-13.42700,0.41800,-13.43800,0.44500,-13.31600,0.40400,-13.16200,0.49100,-11.38800,0.48300,-11.17300,0.49800,-11.05800,0.64000,-10.75400,0.60100,-11.19100,0.38600,-11.32600,0.58300,-11.47300,0.55700,-11.17600,0.55900,-11.40500,0.49300,-10.83900,0.77200,-11.24200,0.44400,-10.67700,0.87000,-11.13100,0.66000,-11.03600,0.76000,0,-9999.00000,-9999.00000,-9999.00000,27769884,2.23000,1.05000
25.82500,-103.27500,Torreon,0,0.00000,3511.00000,0.00020,3438.00000,0.00100,4207.00000,0.00120,5431.00000,-11.34200,0.41500,-11.99200,0.25100,-11.87300,0.34300,-12.86100,0.25400,-12.15100,0.34800,-12.14800,0.32800,-13.12500,0.38200,-12.31000,0.45100,-14.02100,0.22200,-13.45100,0.33600,-13.84000,0.41100,-14.11300,0.40400,-13.78200,0.49400,-13.23100,0.35000,-13.13400,0.31500,-13.11400,0.38900,-13.13600,0.44900,-13.04300,0.35600,-12.88800,0.43800,-11.15400,0.43600,-11.03800,0.47500,-10.87700,0.58000,-10.51400,0.57100,-11.00300,0.39200,-11.03000,0.55800,-11.26900,0.50700,-11.04800,0.54200,-11.16400,0.47400,-10.63000,0.73000,-11.01400,0.47500,-10.46500,0.89200,-10.92400,0.58800,-10.85600,0.75700,0,-9999.00000,-9999.00000,-9999.00000,27769884,1.63000,0.87000
25.82500,-103.22500,Torreon,0,0.00000,1312.00000,0.00010,1522.00000,0.00090,4690.00000,0.00110,4270.00000,-11.52800,0.42100,-12.18400,0.23100,-12.00900,0.33700,-12.95800,0.21400,-12.27900,0.34900,-12.31500,0.32300,-13.33700,0.40200,-12.43400,0.44900,-13.79300,0.19100,-13.23300,0.32800,-13.61800,0.33900,-13.90400,0.35300,-13.60200,0.43900,-13.05500,0.31900,-12.98000,0.29400,-12.92100,0.34600,-12.92500,0.45800,-12.92800,0.31800,-12.74100,0.39800,-11.17400,0.43800,-11.07200,0.47200,-10.87600,0.57700,-10.43600,0.51600,-10.98700,0.40100,-10.98700,0.52700,-11.32500,0.50500,-11.14300,0.47400,-11.15900,0.48500,-10.61400,0.71300,-11.00800,0.50400,-10.44700,0.88100,-10.96100,0.58400,-10.98500,0.75100,0,-9999.00000,-9999.00000,-9999.00000,27769884,1.65000,0.88000
