latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
37.07500,9.92500,Tunis,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00010,22.00000,-12.09500,0.36200,-12.08700,0.58600,-11.99400,0.79700,-12.16600,0.57100,-11.78800,0.69100,-11.24800,0.89400,-11.97000,0.22000,-11.74500,0.73700,-13.48300,0.17300,-13.18900,0.55200,-13.39800,0.23000,-13.14400,0.51800,-13.12000,0.39500,-13.03600,0.25300,-13.41700,0.23500,-13.37500,0.19400,-13.37700,0.24100,-13.11800,0.36900,-13.25200,0.36400,-12.48100,0.40900,-11.99600,0.55300,-12.01000,0.71600,-12.21800,0.62700,-12.46100,0.70300,-11.95500,0.53200,-11.87300,1.01500,-12.40700,0.26800,-12.16900,0.46600,-12.44100,0.66800,-12.26800,0.36400,-11.91500,0.77500,-11.68900,0.69100,-12.28600,0.60900,0,-9999.00000,-9999.00000,-9999.00000,24671796,1.05000,0.92000
37.07500,9.97500,Tunis,0,0.00000,0.00000,0.00890,570.00000,0.01230,569.00000,0.01510,1294.00000,-12.46800,0.36600,-12.41800,0.61100,-12.28300,0.85600,-12.51500,0.75600,-12.09200,0.69200,-11.60700,0.92300,-12.21100,0.27900,-12.04200,0.76900,-13.43000,0.18600,-13.18400,0.56700,-13.34700,0.26700,-13.11000,0.52100,-13.05300,0.38600,-12.98500,0.25200,-13.37700,0.23100,-13.29800,0.20700,-13.32800,0.24600,-13.08200,0.37500,-13.21800,0.36000,-12.38600,0.40300,-11.96800,0.54900,-11.92500,0.70800,-12.17100,0.60900,-12.37700,0.64700,-11.89000,0.48600,-11.77000,0.95900,-12.25900,0.24100,-12.05800,0.44800,-12.27500,0.68300,-12.16100,0.34400,-11.82400,0.73000,-11.56500,0.65400,-12.13200,0.57800,0,-9999.00000,-9999.00000,-9999.00000,24671796,1.56000,1.16000
37.07500,10.02500,Tunis,0,0.00000,9.00000,0.00690,2916.00000,0.00940,3453.00000,0.01160,3829.00000,-12.58300,0.38200,-12.53500,0.61900,-12.38700,0.85300,-12.63700,0.79700,-12.19300,0.69800,-11.72500,0.93700,-12.30400,0.29400,-12.16100,0.77800,-13.51400,0.20400,-13.31100,0.56700,-13.44800,0.27900,-13.22400,0.52300,-13.13300,0.37900,-13.06900,0.25200,-13.46300,0.20400,-13.38400,0.21400,-13.41500,0.27300,-13.17300,0.38100,-13.31600,0.35700,-12.32100,0.40000,-11.94300,0.53600,-11.88000,0.71700,-12.11800,0.57300,-12.31900,0.56500,-11.83800,0.44800,-11.69300,0.93400,-12.15600,0.20000,-11.98400,0.43600,-12.17000,0.67200,-12.10800,0.35800,-11.77100,0.69500,-11.49900,0.64500,-12.03800,0.54400,0,-9999.00000,-9999.00000,-9999.00000,24671796,2.01000,1.12000
37.07500,10.07500,Tunis,1,0.00090,46.00000,0.00410,361.00000,0.00460,415.00000,0.00500,581.00000,-13.16300,0.46100,-13.12600,0.65600,-12.90900,0.83700,-13.25000,1.00800,-12.70100,0.72900,-12.31800,1.00300,-12.77400,0.36600,-12.75900,0.82500,-13.84900,0.20400,-13.65700,0.55600,-13.79400,0.24400,-13.57300,0.51200,-13.43400,0.37900,-13.36400,0.26400,-13.74500,0.17500,-13.69400,0.23000,-13.70300,0.30700,-13.50900,0.39500,-13.62600,0.36200,-12.32900,0.40500,-11.98100,0.52800,-11.92000,0.71700,-12.12700,0.55900,-12.34900,0.50900,-11.85200,0.42300,-11.71600,0.92200,-12.15300,0.19700,-12.00400,0.43900,-12.19400,0.67600,-12.11300,0.35100,-11.82500,0.70700,-11.54600,0.66000,-12.06200,0.54500,0,-9999.00000,-9999.00000,-9999.00000,24671796,1.74000,1.10000
37.07500,10.12500,Tunis,1,0.04070,6281.00000,0.07580,8921.00000,0.08070,10218.00000,0.08350,10570.00000,-13.26900,0.48900,-13.24800,0.67400,-13.00800,0.82500,-13.37300,1.03800,-12.79900,0.75200,-12.40800,0.99600,-12.87600,0.39200,-12.87700,0.83800,-14.43100,0.17400,-14.25900,0.54700,-14.38400,0.23400,-14.18600,0.50900,-14.01500,0.43900,-13.92900,0.30200,-14.23700,0.19100,-14.29000,0.26800,-14.26100,0.37000,-14.10800,0.44900,-14.18600,0.38700,-12.64700,0.45000,-12.33700,0.56300,-12.24100,0.77700,-12.44900,0.56200,-12.65100,0.46600,-12.15100,0.44400,-12.05400,0.91600,-12.43500,0.25400,-12.28900,0.47800,-12.51000,0.73600,-12.39500,0.36800,-12.26900,0.75600,-11.88800,0.70000,-12.37900,0.55500,0,-9999.00000,-9999.00000,-9999.00000,24671796,1.82000,1.33000
37.07500,10.17500,Tunis,0,0.00810,929.00000,0.00910,744.00000,0.01320,1450.00000,0.01360,1669.00000,-14.07100,0.67300,-14.15000,0.80800,-13.73900,0.76700,-14.30200,1.28300,-13.57200,0.93800,-13.12200,0.98600,-13.65900,0.54700,-13.80100,0.92300,-15.59000,0.22800,-15.31600,0.61500,-15.39400,0.28700,-15.29400,0.55300,-15.14400,0.55100,-15.01200,0.38900,-15.25900,0.27700,-15.38300,0.34700,-15.34900,0.43400,-15.18000,0.51800,-15.22900,0.40500,-13.90000,0.50300,-13.77200,0.66500,-13.55400,0.90300,-13.77800,0.61800,-13.87400,0.57100,-13.48100,0.57700,-13.28300,0.80600,-13.71900,0.39900,-13.57300,0.55800,-13.72200,0.75800,-13.74100,0.48900,-13.79100,0.82300,-13.25700,0.78700,-13.65800,0.60000,64,-9999.00000,-9999.00000,-9999.00000,24671796,1.36000,1.20000
37.07500,10.22500,Tunis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-14.07100,0.67300,-14.15000,0.80800,-13.73900,0.76700,-14.30200,1.28300,-13.57200,0.93800,-13.12200,0.98600,-13.65900,0.54700,-13.80100,0.92300,-17.16800,0.41800,-16.75400,0.81100,-16.78100,0.56700,-16.78900,0.74700,-16.75300,0.76200,-16.49700,0.66800,-16.71100,0.55400,-16.87800,0.60800,-16.86000,0.58400,-16.74200,0.70700,-16.72100,0.52100,-15.92600,0.78100,-15.97500,0.81800,-15.81700,0.83500,-15.92200,0.90300,-15.78600,0.71000,-15.56500,0.66900,-15.43700,0.84600,-15.81700,0.61400,-15.87300,0.57900,-15.67300,0.79500,-15.78700,0.66500,-16.04000,1.12300,-15.34600,0.93200,-15.62400,0.79900,100,-9999.00000,-9999.00000,-9999.00000,24671796,-9999.00000,-9999.00000
37.07500,10.27500,Tunis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-18.64500,0.65800,-18.07300,1.06300,-18.08600,0.85300,-18.11800,0.95000,-18.23100,1.03000,-17.83700,0.95200,-18.09200,0.90500,-18.27500,0.91300,-18.23700,0.82800,-18.21000,0.96700,-18.09300,0.71800,-17.49000,1.12800,-17.70700,1.01700,-17.55100,0.94000,-17.45800,1.12700,-17.34700,0.98400,-17.31300,0.93700,-17.04600,0.97800,-17.51700,0.91700,-17.60000,0.87900,-17.18400,0.88400,-17.38300,1.01700,-17.69300,1.44000,-17.13000,1.21000,-17.25500,1.21000,100,-9999.00000,-9999.00000,-9999.00000,24671796,-9999.00000,-9999.00000
37.07500,10.32500,Tunis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,24671796,-9999.00000,-9999.00000
37.07500,10.37500,Tunis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,24671796,-9999.00000,-9999.00000
37.07500,10.42500,Tunis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,24671796,-9999.00000,-9999.00000
37.02500,9.92500,Tunis,0,0.00000,0.00000,0.00060,78.00000,0.00110,115.00000,0.00120,96.00000,-11.80600,0.33400,-11.83100,0.55500,-11.77700,0.79600,-11.90900,0.48000,-11.55900,0.66000,-11.00100,0.90200,-11.71200,0.24200,-11.42300,0.72900,-13.25200,0.15100,-12.94300,0.53500,-13.20400,0.26600,-12.97200,0.53800,-12.90200,0.40200,-12.84900,0.25800,-13.18500,0.26600,-13.19700,0.19300,-13.17500,0.24900,-12.93900,0.38100,-13.07800,0.42700,-12.42600,0.43700,-12.00500,0.55900,-11.88400,0.86500,-12.20600,0.67200,-12.45900,0.68900,-11.91200,0.53700,-11.87900,1.01900,-12.41500,0.26100,-12.16700,0.49600,-12.47700,0.68300,-12.21900,0.39000,-11.92600,0.75100,-11.70800,0.70900,-12.24000,0.62800,0,-9999.00000,-9999.00000,-9999.00000,24687778,1.38000,0.82000
