latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.77500,129.07500,Ulsan,0,0.00080,12.00000,0.00100,9.00000,0.00130,12.00000,0.00140,11.00000,-8.52200,0.26900,-8.77500,0.31900,-8.43500,0.23700,-8.75700,0.23900,-8.39100,0.35200,-8.09600,0.24900,-8.02100,0.26700,-8.07200,0.23800,-10.98500,0.33500,-11.18000,0.40300,-11.40900,0.34200,-11.21300,0.45500,-11.02900,0.44300,-11.25900,0.33400,-11.24700,0.37200,-10.94700,0.53400,-10.78900,0.46800,-11.17900,0.29900,-11.16000,0.48800,-8.00200,0.28200,-8.28900,0.23600,-8.26100,0.37800,-8.09000,0.27300,-8.07300,0.31400,-8.06100,0.28300,-8.12100,0.36100,-8.00300,0.34400,-8.12200,0.26400,-8.07900,0.26300,-8.18700,0.30400,-7.86600,0.36500,-7.92400,0.38400,-7.80900,0.43100,0,-9999.00000,-9999.00000,-9999.00000,25081090,61.97000,5.22000
35.77500,129.12500,Ulsan,0,0.00010,0.00000,0.00020,13.00000,0.00030,9.00000,0.00390,570.00000,-8.47900,0.28400,-8.74200,0.29100,-8.38600,0.21700,-8.68600,0.27100,-8.25800,0.30700,-8.02000,0.22900,-7.91400,0.25900,-7.91900,0.23300,-10.94600,0.37500,-11.15900,0.41900,-11.39100,0.35700,-11.10700,0.48500,-10.94100,0.44000,-11.21100,0.35200,-11.20900,0.40200,-10.88300,0.53600,-10.69000,0.47400,-11.11700,0.30300,-11.08500,0.55300,-7.98600,0.28800,-8.24000,0.25800,-8.21200,0.37300,-8.02800,0.26900,-8.02900,0.29500,-7.98100,0.30800,-8.05600,0.34700,-7.87300,0.37600,-7.99600,0.28300,-7.93200,0.29400,-8.03600,0.31600,-7.69800,0.41100,-7.68500,0.43700,-7.58800,0.47600,0,-9999.00000,-9999.00000,-9999.00000,25081090,52.70000,5.78000
35.77500,129.17500,Ulsan,1,0.00260,916.00000,0.00890,2384.00000,0.01080,2335.00000,0.01420,1956.00000,-8.46300,0.29000,-8.72900,0.28100,-8.36700,0.21000,-8.66000,0.28200,-8.20900,0.29000,-7.99200,0.22100,-7.87400,0.25600,-7.86200,0.23100,-10.79000,0.40600,-11.02000,0.44800,-11.26300,0.37200,-10.85300,0.49900,-10.71700,0.43400,-11.03600,0.34700,-11.05300,0.43700,-10.66900,0.52700,-10.46900,0.47700,-10.89000,0.31400,-10.82900,0.58600,-7.97300,0.29900,-8.21000,0.26000,-8.17100,0.37100,-7.96900,0.26700,-7.99200,0.28700,-7.90100,0.32300,-7.99200,0.32700,-7.79800,0.38800,-7.92500,0.26300,-7.80500,0.31500,-7.93600,0.30100,-7.58500,0.45300,-7.54500,0.44400,-7.44800,0.50500,0,-9999.00000,-9999.00000,-9999.00000,25081090,43.55000,6.17000
35.77500,129.22500,Ulsan,0,0.00360,1797.00000,0.00610,2370.00000,0.00780,2438.00000,0.01090,1720.00000,-8.60200,0.32300,-8.85300,0.22800,-8.46200,0.21100,-8.74300,0.31200,-8.22800,0.24800,-8.03400,0.19500,-7.91100,0.26600,-7.82300,0.21600,-10.52600,0.45100,-10.79600,0.47900,-11.02300,0.37100,-10.54300,0.50600,-10.41000,0.42500,-10.76300,0.35000,-10.79200,0.45000,-10.38000,0.49100,-10.16400,0.47800,-10.55100,0.31500,-10.44500,0.54500,-7.95500,0.31800,-8.18900,0.25900,-8.13900,0.35900,-7.94100,0.27800,-7.98200,0.29600,-7.86600,0.32800,-7.95900,0.32600,-7.76500,0.38800,-7.89400,0.26200,-7.76900,0.31500,-7.90900,0.30400,-7.55400,0.46700,-7.50100,0.45700,-7.40500,0.51300,0,-9999.00000,-9999.00000,-9999.00000,25081090,50.35000,6.23000
35.77500,129.27500,Ulsan,1,0.00340,2812.00000,0.00670,2563.00000,0.00900,2281.00000,0.01280,2582.00000,-8.71800,0.34500,-8.94600,0.19600,-8.54300,0.20600,-8.82600,0.32300,-8.30100,0.23200,-8.10700,0.18400,-7.98700,0.27000,-7.87100,0.20800,-10.25600,0.46300,-10.58500,0.49700,-10.77500,0.35100,-10.26200,0.47500,-10.16200,0.42400,-10.50800,0.33900,-10.55700,0.44700,-10.10200,0.44500,-9.93900,0.45100,-10.26800,0.31200,-10.09600,0.49400,-7.97500,0.32400,-8.19100,0.25600,-8.14800,0.35400,-7.93900,0.29600,-8.02000,0.32800,-7.87900,0.33900,-7.97300,0.33500,-7.76700,0.39100,-7.89200,0.24500,-7.77100,0.31800,-7.92300,0.31000,-7.56700,0.50400,-7.50600,0.48200,-7.41900,0.53700,0,-9999.00000,-9999.00000,-9999.00000,25081090,24.48000,5.55000
35.77500,129.32500,Ulsan,1,0.00750,7489.00000,0.01330,6778.00000,0.01700,5687.00000,0.02040,4072.00000,-9.20900,0.36200,-9.32500,0.20500,-8.96400,0.22100,-9.17500,0.35600,-8.64700,0.19000,-8.43500,0.18200,-8.35100,0.31600,-8.10900,0.24000,-10.18700,0.45600,-10.53900,0.48000,-10.73400,0.32000,-10.21400,0.47600,-10.13100,0.41000,-10.46800,0.32100,-10.51200,0.45400,-10.04800,0.39200,-9.93900,0.42500,-10.19600,0.27100,-9.97300,0.45900,-8.15100,0.34700,-8.31400,0.27900,-8.29500,0.37300,-8.08300,0.32600,-8.18400,0.35400,-8.04900,0.30400,-8.15200,0.34700,-7.89300,0.37800,-8.01600,0.30100,-7.89300,0.33900,-8.05100,0.28600,-7.71700,0.51400,-7.63600,0.48600,-7.55600,0.50600,0,-9999.00000,-9999.00000,-9999.00000,25081090,31.17000,5.68000
35.77500,129.37500,Ulsan,0,0.00070,46.00000,0.00080,63.00000,0.00090,94.00000,0.00190,304.00000,-9.53800,0.36600,-9.57100,0.21100,-9.25500,0.22700,-9.41000,0.37400,-8.89400,0.16400,-8.66900,0.18500,-8.60800,0.34900,-8.29200,0.26400,-10.41200,0.45000,-10.80700,0.46300,-11.02000,0.31900,-10.50600,0.47500,-10.42800,0.41700,-10.75000,0.31500,-10.76900,0.45500,-10.35400,0.35200,-10.31800,0.44100,-10.44700,0.26500,-10.24500,0.44200,-8.44700,0.37400,-8.60700,0.28200,-8.56700,0.39400,-8.35700,0.36300,-8.48300,0.36600,-8.34000,0.29500,-8.49400,0.35500,-8.22700,0.37500,-8.30100,0.36600,-8.19000,0.36900,-8.42600,0.26400,-8.10600,0.51700,-8.05900,0.45300,-7.93600,0.51000,0,-9999.00000,-9999.00000,-9999.00000,25081090,63.94000,5.23000
35.77500,129.42500,Ulsan,1,0.00810,12566.00000,0.00900,7711.00000,0.01030,5928.00000,0.01960,5661.00000,-10.22700,0.37700,-10.13300,0.29400,-9.96400,0.25200,-9.91600,0.48000,-9.38300,0.16000,-9.21500,0.24400,-9.17300,0.40400,-8.79100,0.38100,-11.04300,0.47000,-11.48900,0.45700,-11.68400,0.35000,-11.20000,0.46400,-11.13200,0.42400,-11.43100,0.31800,-11.44700,0.47200,-11.10700,0.35800,-11.12200,0.50500,-11.13500,0.33500,-10.95600,0.43400,-8.90000,0.41100,-9.09500,0.29400,-9.08400,0.42300,-8.86500,0.37600,-8.93200,0.39000,-8.77000,0.32900,-8.98200,0.37100,-8.76900,0.38600,-8.87700,0.37500,-8.72800,0.40600,-8.98900,0.36200,-8.71000,0.55900,-8.69700,0.45700,-8.53300,0.52600,0,-9999.00000,-9999.00000,-9999.00000,25081090,49.97000,5.78000
35.77500,129.47500,Ulsan,1,0.01500,6424.00000,0.02290,5267.00000,0.02700,4399.00000,0.03480,5435.00000,-10.76400,0.38500,-10.56900,0.35800,-10.51500,0.27100,-10.30900,0.56100,-9.76300,0.15600,-9.63900,0.29000,-9.61200,0.44700,-9.17900,0.47100,-12.24900,0.52700,-12.85900,0.55400,-12.97900,0.45700,-12.53300,0.50600,-12.49600,0.47000,-12.83500,0.42300,-12.82500,0.57100,-12.58700,0.43100,-12.59500,0.62900,-12.54300,0.44100,-12.33200,0.47800,-9.87800,0.55300,-10.06600,0.37800,-10.01200,0.49400,-9.85300,0.44800,-9.90400,0.46800,-9.68400,0.37000,-9.91600,0.40800,-9.76700,0.47200,-9.80600,0.41800,-9.79700,0.44400,-9.95200,0.49500,-9.68800,0.62700,-9.61200,0.56200,-9.45000,0.63300,9,-9999.00000,-9999.00000,-9999.00000,25081090,33.04000,5.94000
35.77500,129.52500,Ulsan,0,0.00210,510.00000,0.00440,334.00000,0.00550,273.00000,0.00610,277.00000,-10.76400,0.38500,-10.56900,0.35800,-10.51500,0.27100,-10.30900,0.56100,-9.76300,0.15600,-9.63900,0.29000,-9.61200,0.44700,-9.17900,0.47100,-13.97200,0.59100,-14.87800,0.85800,-14.88900,0.68800,-14.45600,0.67100,-14.50000,0.65300,-14.89200,0.65500,-14.82800,0.84300,-14.71400,0.64900,-14.69400,0.86300,-14.59500,0.65000,-14.37900,0.68100,-11.90700,0.75600,-12.05400,0.65600,-11.91300,0.60900,-12.01500,0.64100,-11.95800,0.71700,-11.77900,0.55000,-11.93500,0.56300,-11.77000,0.58600,-11.73300,0.67000,-11.81300,0.70100,-12.12400,0.66400,-11.63100,0.81100,-11.57700,0.70400,-11.26800,0.87000,100,-9999.00000,-9999.00000,-9999.00000,25081090,-9999.00000,-9999.00000
