latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
10.47500,-68.22500,Valencia,0,0.01160,0,0.01160,2071.00000,0.01290,6260.00000,0.01310,6632.00000,-9.14100,0.14400,-9.32000,0.11200,-9.26600,0.17800,-9.23000,0.40400,-9.18600,0.20400,-9.23700,0.19300,-9.11100,0.10900,-8.97000,0.19400,-9.99600,0.22200,-9.77800,0.20600,-10.15300,0.33800,-10.11500,0.22900,-10.08300,0.20700,-10.00900,0.21000,-10.10600,0.17800,-9.96000,0.21700,-10.10700,0.25700,-10.01600,0.20000,-10.15800,0.22300,-8.33600,0.38300,-8.25700,0.31800,-8.23600,0.36100,-7.90400,0.35400,-7.84300,0.36900,-7.80000,0.29000,-8.08000,0.38700,-7.98500,0.35700,-8.15100,0.38300,-7.84900,0.37000,-7.76700,0.40400,-7.74800,0.42100,-8.08600,0.33000,-8.04600,0.31400,0,-9999,-9999,-9999,30273226,32.84000,10.42000
10.47500,-68.17500,Valencia,1,0.01910,0,0.01910,3004.00000,0.02460,12668.00000,0.03490,17442.00000,-9.32200,0.15700,-9.47900,0.10500,-9.50100,0.17800,-9.38000,0.47600,-9.33100,0.21300,-9.43800,0.21000,-9.27400,0.11300,-9.13400,0.19300,-10.31400,0.22100,-10.05700,0.21700,-10.40600,0.32900,-10.40700,0.23500,-10.39700,0.21700,-10.30400,0.23200,-10.42400,0.21100,-10.20500,0.21500,-10.33200,0.23800,-10.26100,0.21400,-10.37000,0.22200,-8.36600,0.38800,-8.30700,0.34200,-8.27800,0.39500,-7.86300,0.38200,-7.90600,0.41600,-7.75200,0.31500,-8.07500,0.38800,-7.92800,0.37100,-8.04800,0.37300,-7.91700,0.42000,-7.75500,0.40900,-7.75000,0.46600,-8.15500,0.37100,-8.03400,0.36700,0,-9999,-9999,-9999,30273226,30.59000,10.49000
10.47500,-68.12500,Valencia,1,0.02570,0,0.02570,4290.00000,0.02970,13975.00000,0.03520,13924.00000,-9.55900,0.17000,-9.67800,0.10500,-9.77400,0.18200,-9.54300,0.58500,-9.51500,0.22600,-9.61000,0.23600,-9.47800,0.11900,-9.36300,0.18200,-10.64000,0.23100,-10.41100,0.20300,-10.71300,0.33800,-10.71700,0.24300,-10.74500,0.21500,-10.66700,0.26900,-10.80100,0.24900,-10.50900,0.24700,-10.62300,0.23500,-10.57400,0.26500,-10.66000,0.23700,-8.38900,0.41600,-8.33300,0.40800,-8.33600,0.47100,-7.94300,0.42600,-8.00700,0.47100,-7.70100,0.40700,-8.06500,0.44000,-7.85600,0.39600,-7.94700,0.46200,-8.03700,0.50000,-7.93600,0.48700,-7.86300,0.55400,-8.34100,0.46300,-8.08700,0.51800,24,-9999,-9999,-9999,30273226,23.66000,10.28000
10.47500,-68.07500,Valencia,2,0.13620,0,0.13620,13605.00000,0.14670,43375.00000,0.17100,52693.00000,-9.67100,0.17600,-9.78300,0.10300,-9.90400,0.18400,-9.78300,1.16100,-9.60900,0.23700,-9.68700,0.25500,-9.58300,0.12200,-9.47700,0.18100,-10.03200,0.22200,-9.79900,0.21700,-10.02400,0.32200,-10.03000,0.24200,-10.08700,0.23600,-10.01700,0.29500,-10.19200,0.26400,-9.82600,0.23300,-9.92800,0.22800,-9.89600,0.24000,-9.99500,0.27600,-7.38000,0.26900,-7.34300,0.28900,-7.37700,0.32300,-7.15600,0.23100,-7.16400,0.34700,-7.05000,0.26100,-7.20600,0.35100,-7.12600,0.29100,-7.20700,0.31500,-7.24900,0.37300,-7.24300,0.35200,-7.16100,0.43400,-7.53300,0.44000,-7.38100,0.38100,8,-9999,-9999,-9999,30273226,23.53000,10.51000
10.47500,-68.02500,Valencia,2,0.21610,0,0.21610,42586.00000,0.22860,134344.00000,0.24970,127610.00000,-9.84500,0.18600,-9.97300,0.09700,-10.10900,0.18600,-10.53500,3.26700,-9.76900,0.26900,-9.80000,0.30000,-9.76900,0.13000,-9.67000,0.18700,-10.19100,0.21700,-9.99600,0.21900,-10.21600,0.32900,-10.12900,0.29600,-10.20800,0.26800,-10.15700,0.28100,-10.36100,0.23100,-9.98200,0.25000,-10.08400,0.24100,-9.99700,0.23100,-10.12300,0.31900,-7.30700,0.25400,-7.25500,0.27900,-7.28300,0.24900,-7.10600,0.21500,-7.11800,0.37100,-7.02700,0.24900,-7.13800,0.33000,-7.09800,0.26200,-7.16200,0.31900,-7.22200,0.36500,-7.20200,0.36600,-7.15700,0.45500,-7.48500,0.41000,-7.35500,0.37700,34,-9999,-9999,-9999,30273226,9.33000,8.52000
10.47500,-67.97500,Valencia,1,0.06880,0,0.06880,4944.00000,0.07490,16828.00000,0.07920,17244.00000,-9.88800,0.18900,-10.06500,0.10300,-10.16300,0.19400,-10.49000,3.11600,-9.82100,0.29300,-9.82400,0.31500,-9.86200,0.13700,-9.74200,0.20700,-10.27900,0.27000,-10.09400,0.25000,-10.30800,0.31500,-10.16000,0.32000,-10.25600,0.28200,-10.21100,0.24700,-10.42700,0.24200,-10.07300,0.27900,-10.20300,0.26200,-10.04500,0.22100,-10.16900,0.30500,-7.37100,0.28600,-7.32700,0.32100,-7.38000,0.28000,-7.17400,0.24500,-7.23700,0.39900,-7.13000,0.29000,-7.24500,0.37600,-7.20200,0.24900,-7.26700,0.35600,-7.42300,0.44800,-7.33300,0.42500,-7.34100,0.51600,-7.65900,0.46800,-7.52300,0.44900,29,-9999,-9999,-9999,30273226,15.97000,8.97000
10.47500,-67.92500,Valencia,0,0.00410,0,0.00410,57.00000,0.00500,207.00000,0.00570,154.00000,-9.91000,0.19000,-10.11900,0.10900,-10.18900,0.19900,-10.45500,3.00400,-9.85000,0.30800,-9.83500,0.32200,-9.91600,0.14200,-9.78400,0.22100,-10.32900,0.30300,-10.16000,0.22100,-10.36300,0.32600,-10.18700,0.27000,-10.30200,0.28300,-10.25500,0.22000,-10.50100,0.26700,-10.15800,0.30700,-10.32900,0.32100,-10.10400,0.20700,-10.29800,0.30400,-7.63100,0.37400,-7.76700,0.44300,-7.73100,0.42700,-7.51000,0.40900,-7.59800,0.47000,-7.48600,0.37300,-7.66300,0.38300,-7.53700,0.36800,-7.59900,0.39700,-7.85400,0.52300,-7.60300,0.46200,-7.66200,0.50500,-7.89200,0.58700,-7.77400,0.54900,75,-9999,-9999,-9999,30273226,9.14000,11.12000
10.47500,-67.87500,Valencia,0,0.00010,0,0.00010,0.00000,0.00010,0.00000,0.00020,20.00000,-9.87700,0.19300,-10.14200,0.13600,-10.12600,0.21700,-10.31000,2.59300,-9.83100,0.33300,-9.79300,0.31100,-9.93200,0.15200,-9.78900,0.27000,-10.34800,0.33000,-10.13300,0.19600,-10.34200,0.31200,-10.17700,0.22800,-10.27100,0.23000,-10.25300,0.23300,-10.52000,0.27600,-10.18300,0.30000,-10.38600,0.34700,-10.15400,0.18600,-10.39900,0.27100,-7.82500,0.43000,-7.90800,0.38600,-7.88400,0.45900,-7.64700,0.37700,-7.72700,0.41200,-7.70100,0.34300,-7.83600,0.33900,-7.64600,0.35800,-7.66700,0.35300,-7.97600,0.43200,-7.64600,0.41100,-7.70200,0.46100,-7.88600,0.55100,-7.73600,0.55700,57,-9999,-9999,-9999,30273226,17.65000,11.39000
10.47500,-67.82500,Valencia,0,0.00600,0,0.00600,3.00000,0.00640,15.00000,0.00660,37.00000,-9.82300,0.19100,-10.09200,0.17100,-10.04200,0.22700,-10.25100,2.43700,-9.77400,0.32700,-9.75500,0.28600,-9.89900,0.16000,-9.75600,0.29000,-10.18100,0.29800,-9.93100,0.20200,-10.15900,0.31000,-10.00900,0.21500,-10.09000,0.22800,-10.07700,0.25800,-10.36300,0.26300,-10.04100,0.27300,-10.28900,0.33000,-10.05600,0.16300,-10.25700,0.28600,-7.67900,0.37600,-7.68300,0.32400,-7.69600,0.36200,-7.42500,0.29600,-7.54800,0.35000,-7.53600,0.29000,-7.77100,0.38000,-7.51500,0.27300,-7.54900,0.30100,-7.72000,0.33300,-7.44700,0.37400,-7.46100,0.38400,-7.67000,0.44700,-7.50100,0.49500,32,-9999,-9999,-9999,30273226,24.05000,11.85000
10.47500,-67.77500,Valencia,1,0.04380,0,0.04380,1272.00000,0.04670,5677.00000,0.04810,9727.00000,-9.76800,0.18800,-10.04000,0.20600,-9.95500,0.23700,-10.19000,2.27700,-9.71600,0.32100,-9.71600,0.26100,-9.86400,0.16800,-9.72200,0.31100,-11.03600,0.28200,-10.86400,0.22800,-11.12600,0.32200,-11.00600,0.23400,-11.06500,0.27800,-11.03600,0.35000,-11.38000,0.31100,-11.02500,0.28300,-11.37300,0.37800,-11.09400,0.20400,-11.28800,0.28700,-8.29600,0.64700,-8.35900,0.55700,-8.31600,0.59200,-8.09800,0.58000,-8.11300,0.65200,-8.20400,0.53100,-8.35000,0.61100,-8.16000,0.52300,-8.42000,0.58100,-8.18200,0.62700,-8.08600,0.64900,-8.02100,0.76700,-8.31800,0.64800,-8.07200,0.73000,11,-9999,-9999,-9999,30273226,28.19000,10.60000
10.47500,-67.72500,Valencia,0,0.00310,0,0.00310,123.00000,0.00320,541.00000,0.00340,1011.00000,-9.61000,0.17900,-9.83500,0.25200,-9.73600,0.24700,-10.10800,1.98200,-9.54800,0.28900,-9.62100,0.18200,-9.73600,0.17800,-9.58900,0.32000,-10.78800,0.20900,-10.63600,0.29600,-10.94500,0.30400,-10.83200,0.25200,-10.83100,0.27300,-10.84100,0.32100,-11.21700,0.28400,-10.83600,0.29700,-11.12600,0.37100,-10.86400,0.20800,-11.02500,0.26700,-7.97900,0.61700,-7.99600,0.45600,-7.99100,0.55400,-7.79900,0.49300,-7.79000,0.52200,-7.88000,0.48300,-8.07200,0.53000,-7.93300,0.44800,-8.00500,0.52900,-7.92400,0.52300,-7.79500,0.59100,-7.67500,0.61100,-8.06400,0.53400,-7.69200,0.59600,1,-9999,-9999,-9999,30273226,43.61000,11.57000
10.42500,-68.22500,Valencia,0,0.00060,0,0.00060,0.00000,0.00060,0.00000,0.00060,0.00000,-8.59100,0.11100,-8.72500,0.10700,-8.62200,0.15500,-8.66400,0.35400,-8.59600,0.16300,-8.64300,0.14800,-8.54400,0.11100,-8.43500,0.12200,-9.19500,0.20900,-8.92100,0.16800,-9.22500,0.27900,-9.17900,0.20500,-9.20600,0.19600,-9.12100,0.23100,-9.26100,0.17200,-9.07800,0.22100,-9.25500,0.21500,-9.18800,0.18300,-9.27400,0.21900,-7.67100,0.24000,-7.63100,0.22600,-7.60700,0.22400,-7.43000,0.27500,-7.40200,0.29700,-7.36800,0.22600,-7.49900,0.30000,-7.47000,0.28400,-7.59000,0.29000,-7.51100,0.29900,-7.36700,0.32900,-7.31700,0.33400,-7.61100,0.28400,-7.67200,0.26500,0,-9999,-9999,-9999,30277974,59.34000,12.24000
10.42500,-68.17500,Valencia,0,0.00060,0,0.00060,0.00000,0.00060,0.00000,0.00070,0.00000,-8.71300,0.12400,-8.84000,0.10600,-8.77300,0.15500,-8.76200,0.40600,-8.69200,0.17100,-8.78000,0.16700,-8.65300,0.11700,-8.53400,0.12500,-9.32400,0.21700,-8.99800,0.16100,-9.27700,0.29600,-9.27000,0.18900,-9.30000,0.19900,-9.20600,0.23400,-9.37400,0.18400,-9.14200,0.22200,-9.28000,0.21500,-9.21000,0.18500,-9.31900,0.21800,-7.52300,0.23200,-7.49500,0.24200,-7.48900,0.24500,-7.27700,0.27300,-7.27500,0.33200,-7.20000,0.24800,-7.34500,0.29200,-7.29500,0.28200,-7.39500,0.29100,-7.38500,0.32600,-7.26400,0.31200,-7.20300,0.36400,-7.49300,0.28700,-7.51500,0.30200,0,-9999,-9999,-9999,30277974,61.97000,11.76000
10.42500,-68.12500,Valencia,0,0.00200,0,0.00200,199.00000,0.00230,670.00000,0.00280,577.00000,-8.89000,0.13500,-8.99800,0.10800,-8.97500,0.15800,-8.88300,0.48500,-8.83500,0.17900,-8.90500,0.19000,-8.80900,0.12100,-8.69700,0.11900,-9.45400,0.21600,-9.16100,0.17200,-9.38400,0.30600,-9.40200,0.19400,-9.44000,0.18800,-9.33400,0.24500,-9.53900,0.20300,-9.24400,0.22300,-9.35800,0.21800,-9.30300,0.21000,-9.40800,0.21100,-7.40400,0.25100,-7.37400,0.28600,-7.37400,0.28800,-7.15300,0.27500,-7.17000,0.34700,-7.06100,0.27500,-7.21500,0.32300,-7.15300,0.30500,-7.23900,0.31600,-7.25600,0.35300,-7.17900,0.36700,-7.10400,0.40500,-7.43500,0.32100,-7.38400,0.34600,0,-9999,-9999,-9999,30277974,50.10000,12.04000
10.42500,-68.07500,Valencia,0,0.00890,0,0.00890,0.00000,0.00970,0.00000,0.01140,0.00000,-9.01300,0.14300,-9.11600,0.10900,-9.11500,0.16100,-9.01200,0.75800,-8.94400,0.19000,-8.99600,0.20700,-8.92500,0.12400,-8.81700,0.12200,-9.51800,0.21600,-9.28700,0.19800,-9.47100,0.29800,-9.45900,0.21200,-9.51400,0.20400,-9.42600,0.26800,-9.63100,0.23100,-9.31500,0.24200,-9.37700,0.22800,-9.34900,0.22000,-9.46300,0.25700,-7.29100,0.24000,-7.26200,0.27900,-7.26900,0.28500,-7.08600,0.25300,-7.08900,0.35700,-6.99800,0.27200,-7.12600,0.32900,-7.06900,0.31400,-7.14300,0.32700,-7.14900,0.36100,-7.13000,0.37800,-7.05500,0.41800,-7.37300,0.37800,-7.29700,0.35100,0,-9999,-9999,-9999,30277974,50.68000,12.36000
10.42500,-68.02500,Valencia,0,0.01350,0,0.01350,1205.00000,0.01440,4912.00000,0.01590,4783.00000,-9.20000,0.15600,-9.30300,0.10700,-9.32300,0.16600,-9.34000,1.87000,-9.11300,0.21800,-9.11300,0.24200,-9.10800,0.12900,-9.00700,0.13000,-9.69200,0.21000,-9.48200,0.20700,-9.65100,0.29400,-9.59100,0.25300,-9.66300,0.22700,-9.59600,0.26400,-9.78900,0.22500,-9.46900,0.25300,-9.53500,0.24200,-9.45800,0.22000,-9.60700,0.29400,-7.28800,0.24300,-7.23500,0.27100,-7.26100,0.24200,-7.09400,0.21100,-7.09500,0.36600,-7.01500,0.25200,-7.12500,0.31900,-7.07800,0.28800,-7.14500,0.32200,-7.18000,0.34800,-7.14900,0.33900,-7.09500,0.42900,-7.38500,0.36700,-7.30300,0.34100,0,-9999,-9999,-9999,30277974,50.57000,11.72000
