latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-20.12500,-40.57500,VilaVelha,1,0.00030,343.00000,0.00040,404.00000,0.00070,359.00000,0.00070,346.00000,-8.14600,0.17000,-9999.00000,-9999.00000,-8.58100,0.22400,-8.17900,0.19700,-8.09600,0.20800,-8.00800,0.21300,-8.33000,0.32300,-7.78100,0.17800,-9999.00000,-9999.00000,-9.14800,0.19600,-9.31500,0.20000,-9.16600,0.28900,-9.34700,0.26400,-9.24100,0.22800,-9.08500,0.25900,-9.28200,0.31600,-9.15000,0.20400,-9.27900,0.27000,-9.30800,0.18000,-7.72900,0.36300,-7.75500,0.47500,-7.76100,0.37700,-8.14100,0.50200,-7.74000,0.52400,-7.90700,0.43500,-7.92300,0.58200,-7.99300,0.29300,-8.34500,0.34100,-8.12300,0.35100,-8.09000,0.29400,-7.78700,0.40500,-8.10100,0.25000,-7.67200,0.30700,0,-9999,-9999,-9999,28939680,38.83000,9.71000
-20.12500,-40.52500,VilaVelha,0,0.00100,1960.00000,0.00150,2252.00000,0.00250,2577.00000,0.00260,2491.00000,-8.20300,0.19600,-9999.00000,-9999.00000,-8.64800,0.24200,-8.23500,0.17900,-8.16700,0.26100,-8.09000,0.21600,-8.39900,0.33200,-7.84200,0.20000,-9999.00000,-9999.00000,-9.23900,0.18600,-9.41300,0.19600,-9.24800,0.25500,-9.48200,0.26500,-9.28200,0.24800,-9.16000,0.24300,-9.37000,0.33500,-9.23300,0.19300,-9.35400,0.25700,-9.37100,0.22600,-7.82500,0.41400,-7.80300,0.49000,-7.83500,0.39400,-8.28300,0.54500,-7.84300,0.56300,-7.99900,0.45200,-8.09100,0.75400,-8.09000,0.33600,-8.47800,0.35700,-8.19700,0.38400,-8.11600,0.30100,-7.85800,0.42700,-8.20600,0.27000,-7.79400,0.32800,0,-9999,-9999,-9999,28939680,36.32000,9.10000
-20.12500,-40.47500,VilaVelha,1,0.00000,222.00000,0.00010,95.00000,0.00050,321.00000,0.00050,259.00000,-8.23500,0.20700,-9999.00000,-9999.00000,-8.68600,0.25000,-8.26400,0.16900,-8.20800,0.28900,-8.13400,0.21900,-8.43800,0.33600,-7.87400,0.21200,-9999.00000,-9999.00000,-9.36200,0.19200,-9.55000,0.21400,-9.35900,0.25200,-9.64300,0.28500,-9.33000,0.26100,-9.26400,0.24700,-9.47000,0.33300,-9.33700,0.19200,-9.44900,0.23900,-9.41900,0.26700,-8.05100,0.43800,-8.05300,0.49700,-8.07200,0.33400,-8.54900,0.55800,-8.02500,0.54000,-8.17600,0.43800,-8.41500,0.97300,-8.29300,0.34200,-8.68700,0.38600,-8.40000,0.41800,-8.25000,0.31900,-8.07500,0.41100,-8.44100,0.27900,-7.97100,0.33500,0,-9999,-9999,-9999,28939680,25.67000,7.75000
-20.12500,-40.42500,VilaVelha,0,0.00100,777.00000,0.00150,1659.00000,0.00180,1381.00000,0.00180,1458.00000,-8.59700,0.25200,-9999.00000,-9999.00000,-9.10700,0.31900,-8.57700,0.18100,-8.55700,0.33600,-8.51700,0.23500,-8.78400,0.36300,-8.22700,0.26600,-9999.00000,-9999.00000,-9.51400,0.21500,-9.74000,0.22300,-9.49200,0.22800,-9.82300,0.34200,-9.41600,0.26100,-9.38700,0.26400,-9.57700,0.33100,-9.44400,0.21800,-9.57400,0.21900,-9.46700,0.28800,-8.26000,0.39500,-8.24600,0.45200,-8.24200,0.30500,-8.70900,0.56000,-8.18100,0.47800,-8.28600,0.41900,-8.59100,1.00800,-8.45300,0.31200,-8.83000,0.37400,-8.52200,0.43100,-8.40400,0.29600,-8.20100,0.40300,-8.61700,0.24700,-8.06400,0.32600,0,-9999,-9999,-9999,28939680,26.17000,7.98000
-20.12500,-40.37500,VilaVelha,0,0.00060,153.00000,0.00130,282.00000,0.00360,291.00000,0.00390,143.00000,-8.73800,0.25900,-9999.00000,-9999.00000,-9.25600,0.33900,-8.70000,0.18900,-8.69000,0.34400,-8.65500,0.24200,-8.91500,0.36800,-8.36400,0.27800,-9999.00000,-9999.00000,-9.76900,0.24600,-10.01800,0.26900,-9.71700,0.23300,-10.04600,0.38700,-9.58300,0.27200,-9.58200,0.26700,-9.72800,0.33900,-9.58800,0.25800,-9.74900,0.22000,-9.56500,0.28700,-8.41000,0.42900,-8.35400,0.45600,-8.33800,0.30800,-8.84900,0.59700,-8.34400,0.50900,-8.34100,0.43500,-8.65600,1.01500,-8.55900,0.27900,-8.92100,0.33500,-8.57100,0.44300,-8.49000,0.28900,-8.26700,0.40000,-8.66500,0.24100,-8.11300,0.36600,0,-9999,-9999,-9999,28939680,19.20000,6.43000
-20.12500,-40.32500,VilaVelha,2,0.05020,12649.00000,0.14530,22223.00000,0.15630,29881.00000,0.15860,42367.00000,-9.39200,0.29300,-9999.00000,-9999.00000,-9.93500,0.43100,-9.27800,0.23000,-9.29600,0.37000,-9.29100,0.27200,-9.51500,0.38200,-8.99900,0.32700,-9999.00000,-9999.00000,-10.18800,0.26700,-10.44800,0.29600,-10.09900,0.25100,-10.40500,0.40900,-9.91500,0.27500,-9.93500,0.27900,-10.06400,0.34400,-9.92400,0.29800,-10.06900,0.22900,-9.82500,0.29000,-8.54200,0.46300,-8.49400,0.51000,-8.43300,0.33400,-8.94800,0.64400,-8.44900,0.54900,-8.39600,0.47000,-8.71500,1.02500,-8.61800,0.30000,-9.00700,0.30600,-8.61400,0.44800,-8.58500,0.31900,-8.29900,0.42700,-8.67100,0.25800,-8.12300,0.39900,0,-9999,-9999,-9999,28939680,20.26000,6.60000
-20.12500,-40.27500,VilaVelha,2,0.02220,19137.00000,0.16280,33933.00000,0.17500,45592.00000,0.18740,65354.00000,-10.00100,0.30000,-9999.00000,-9999.00000,-10.45600,0.48600,-9.82700,0.26400,-9.89800,0.37900,-9.86900,0.30900,-10.09100,0.35900,-9.61000,0.33000,-9999.00000,-9999.00000,-10.88900,0.28900,-11.15200,0.30600,-10.79300,0.29800,-11.07000,0.41600,-10.58100,0.30300,-10.56300,0.28500,-10.71300,0.36400,-10.55800,0.31500,-10.65900,0.26200,-10.40300,0.29400,-8.81800,0.48000,-8.81300,0.51200,-8.69900,0.36700,-9.10200,0.68800,-8.68200,0.53800,-8.67300,0.49600,-8.97100,1.01700,-8.80200,0.33100,-9.18400,0.32000,-8.83500,0.45000,-8.83300,0.36200,-8.43300,0.48200,-8.75200,0.31300,-8.25900,0.42700,0,-9999,-9999,-9999,28939680,17.51000,6.29000
-20.12500,-40.22500,VilaVelha,1,0.03340,7101.00000,0.13850,12453.00000,0.14910,16779.00000,0.15860,23946.00000,-10.72200,0.30900,-9999.00000,-9999.00000,-11.06500,0.55000,-10.47500,0.30300,-10.61100,0.38800,-10.55400,0.35700,-10.77400,0.33300,-10.33600,0.33200,-9999.00000,-9999.00000,-12.09500,0.28300,-12.32000,0.28700,-12.00300,0.33400,-12.24600,0.37800,-11.75700,0.32000,-11.68200,0.30900,-11.85300,0.36300,-11.70000,0.29100,-11.74700,0.29600,-11.52200,0.28600,-9.54500,0.55400,-9.69400,0.53500,-9.41100,0.49200,-9.65400,0.71900,-9.32200,0.54500,-9.31400,0.51400,-9.65300,1.02700,-9.38800,0.43400,-9.68100,0.38300,-9.42400,0.52100,-9.38200,0.42300,-8.96600,0.63000,-9.28500,0.47000,-8.73400,0.47300,0,-9999,-9999,-9999,28939680,28.93000,8.90000
-20.12500,-40.17500,VilaVelha,1,0.05740,10184.00000,0.18030,17541.00000,0.19730,23479.00000,0.19970,33379.00000,-10.77200,0.30900,-9999.00000,-9999.00000,-11.10900,0.55600,-10.51500,0.30300,-10.66400,0.38600,-10.60100,0.36600,-10.82400,0.33100,-10.39100,0.33400,-9999.00000,-9999.00000,-13.84900,0.31300,-13.97200,0.27800,-13.71600,0.35800,-13.95600,0.37400,-13.44500,0.35500,-13.33800,0.34500,-13.47800,0.36600,-13.41400,0.31200,-13.34500,0.38800,-13.22700,0.31700,-11.44200,0.63200,-11.39600,0.57900,-11.19800,0.52900,-11.47200,0.59700,-11.08800,0.57600,-11.17300,0.56300,-11.39200,0.92800,-11.05900,0.59400,-11.40500,0.46900,-11.18000,0.65000,-11.04100,0.50700,-10.86700,0.47400,-11.04700,0.53300,-10.45900,0.60100,32,-9999,-9999,-9999,28939680,13.90000,5.96000
-20.12500,-40.12500,VilaVelha,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-16.42600,0.61600,-16.43700,0.45200,-16.20900,0.56800,-16.47700,0.64200,-15.90400,0.54900,-15.91800,0.60300,-15.94300,0.58200,-16.04500,0.54600,-15.76500,0.60200,-15.78600,0.55200,-15.05000,1.13300,-14.91100,1.16100,-14.61300,0.93000,-14.95800,0.82300,-14.72400,1.02100,-14.74900,0.94700,-14.89300,1.20700,-14.68200,1.02000,-14.94200,0.75900,-14.46300,0.84700,-14.48800,0.66200,-14.63300,0.74300,-14.21500,0.81200,-14.09300,1.06900,100,-9999,-9999,-9999,28939680,4.59000,6.54000
