latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
17.97500,83.07500,Vishakhapatnam,1,0.00200,4713.00000,0.00370,5624.00000,0.00400,5774.00000,0.00650,5537.00000,-8.55800,0.34600,-8.56300,0.28900,-8.28000,0.21900,-8.58500,0.30400,-8.66200,0.55400,-8.05300,0.19900,-8.49900,0.34500,-8.40800,0.23700,-10.44700,0.20400,-10.32500,0.27900,-10.47600,0.34200,-10.50800,0.29500,-10.52800,0.40600,-10.38800,0.27700,-10.45200,0.30300,-10.34200,0.26300,-10.28100,0.21900,-10.37900,0.36300,-10.38500,0.23900,-8.91300,0.30000,-8.96500,0.46500,-8.94600,0.31900,-8.66500,0.31500,-8.76200,0.35800,-8.72200,0.51600,-9.01400,0.43000,-8.84300,0.36900,-8.87600,0.42100,-8.70300,0.40300,-8.74000,0.41200,-8.76300,0.74100,-8.55700,0.58400,-8.78700,0.33100,0,-9999.00000,-9999.00000,-9999.00000,29308060,11.28000,4.84000
17.97500,83.12500,Vishakhapatnam,1,0.00110,10733.00000,0.00430,11831.00000,0.00600,9495.00000,0.01040,5947.00000,-8.79300,0.35100,-8.73400,0.30000,-8.45500,0.19700,-8.73900,0.28400,-8.79000,0.65400,-8.20100,0.22400,-8.64700,0.34000,-8.61500,0.28500,-10.48400,0.22100,-10.40500,0.29600,-10.53800,0.34500,-10.54800,0.30100,-10.55800,0.43600,-10.39800,0.27900,-10.54200,0.36200,-10.37700,0.25800,-10.26100,0.22100,-10.41100,0.34700,-10.33800,0.24600,-8.93200,0.29800,-8.97600,0.45200,-8.93300,0.30700,-8.69900,0.31700,-8.77500,0.36300,-8.73400,0.52500,-8.99000,0.43500,-8.84500,0.37000,-8.89400,0.42700,-8.71100,0.40000,-8.75100,0.42600,-8.78900,0.74600,-8.55900,0.59700,-8.83500,0.35000,0,-9999.00000,-9999.00000,-9999.00000,29308060,11.08000,4.84000
17.97500,83.17500,Vishakhapatnam,2,0.00050,2828.00000,0.00400,12013.00000,0.01080,17386.00000,0.03750,29846.00000,-8.90800,0.36100,-8.82900,0.31800,-8.55800,0.19700,-8.85800,0.28700,-8.90100,0.68200,-8.29600,0.23800,-8.74300,0.33100,-8.71200,0.30000,-10.49400,0.23700,-10.41800,0.28100,-10.56300,0.34000,-10.55400,0.31000,-10.51200,0.45200,-10.37100,0.28700,-10.57100,0.38300,-10.35600,0.25300,-10.19600,0.21400,-10.39900,0.33400,-10.26700,0.27800,-8.92000,0.29900,-8.96700,0.42800,-8.91800,0.29400,-8.70500,0.30000,-8.77700,0.35500,-8.73700,0.50600,-8.95600,0.43600,-8.81600,0.37300,-8.89900,0.41200,-8.70300,0.39600,-8.75500,0.42700,-8.79200,0.67200,-8.56700,0.59900,-8.85400,0.36000,0,-9999.00000,-9999.00000,-9999.00000,29308060,11.72000,5.14000
17.97500,83.22500,Vishakhapatnam,1,0.00140,17810.00000,0.00360,13771.00000,0.00680,13816.00000,0.02050,19288.00000,-9.16300,0.38400,-9.03500,0.36000,-8.78900,0.19900,-9.11900,0.28700,-9.15700,0.74200,-8.50600,0.26900,-8.95300,0.30600,-8.92400,0.32500,-10.54600,0.23500,-10.42100,0.25000,-10.57600,0.34400,-10.57700,0.33500,-10.45900,0.46700,-10.35100,0.28000,-10.59200,0.38800,-10.33500,0.26700,-10.16500,0.20600,-10.37200,0.32400,-10.22100,0.32000,-8.92400,0.29500,-8.97000,0.41700,-8.92300,0.28500,-8.71900,0.27600,-8.80200,0.36500,-8.78300,0.47900,-8.94400,0.42900,-8.81700,0.36700,-8.91600,0.38400,-8.72100,0.40200,-8.78900,0.41900,-8.77200,0.65000,-8.59600,0.59100,-8.88500,0.36500,0,-9999.00000,-9999.00000,-9999.00000,29308060,12.51000,5.29000
17.97500,83.27500,Vishakhapatnam,0,0.00130,6605.00000,0.00350,5402.00000,0.00580,4540.00000,0.01500,4063.00000,-9.51400,0.38900,-9.31500,0.42000,-9.12400,0.21700,-9.49000,0.32800,-9.53800,0.78900,-8.86000,0.29600,-9.26400,0.27300,-9.24100,0.32300,-10.65400,0.23200,-10.46700,0.22200,-10.64500,0.35800,-10.64400,0.36500,-10.46200,0.46400,-10.38400,0.27000,-10.65800,0.37500,-10.36400,0.27200,-10.20700,0.20100,-10.39100,0.33000,-10.25800,0.35000,-8.96600,0.29600,-9.01900,0.42600,-8.97500,0.28400,-8.78600,0.25400,-8.88300,0.37400,-8.87000,0.48200,-8.98800,0.42000,-8.88900,0.36300,-8.96100,0.36300,-8.79100,0.41200,-8.86700,0.40600,-8.78700,0.64600,-8.63700,0.58100,-8.96100,0.35100,0,-9999.00000,-9999.00000,-9999.00000,29308060,12.12000,5.26000
17.97500,83.32500,Vishakhapatnam,1,0.00120,23000.00000,0.00480,24604.00000,0.00620,28199.00000,0.02350,44814.00000,-9.72100,0.39300,-9.48000,0.45500,-9.32100,0.22700,-9.70900,0.35200,-9.76200,0.81700,-9.06900,0.31200,-9.44800,0.25400,-9.42800,0.32200,-10.86600,0.23300,-10.60200,0.21400,-10.79500,0.37100,-10.81600,0.42500,-10.58100,0.45600,-10.53300,0.28000,-10.82300,0.38700,-10.53100,0.26500,-10.38500,0.18800,-10.53300,0.34200,-10.44200,0.32100,-9.07900,0.29800,-9.14600,0.43000,-9.10400,0.29600,-8.92000,0.26300,-8.98900,0.35300,-8.99300,0.50000,-9.11500,0.43500,-9.01000,0.35900,-9.08800,0.35400,-8.88600,0.42200,-9.00600,0.40500,-8.86200,0.64500,-8.77900,0.57000,-9.06300,0.33500,0,-9999.00000,-9999.00000,-9999.00000,29308060,11.73000,5.11000
17.97500,83.37500,Vishakhapatnam,1,0.00140,17986.00000,0.00430,28421.00000,0.00580,25115.00000,0.01880,17474.00000,-10.36400,0.40100,-10.09900,0.55000,-9.97100,0.27800,-10.40200,0.43400,-10.33500,0.79300,-9.82300,0.35800,-10.08500,0.19900,-10.05400,0.30400,-11.24500,0.23400,-10.93000,0.23500,-11.12900,0.39900,-11.15500,0.47100,-10.92100,0.43700,-10.85400,0.26600,-11.17900,0.41200,-10.87000,0.26600,-10.76500,0.17700,-10.85300,0.35100,-10.83000,0.26900,-9.32300,0.37100,-9.31200,0.42600,-9.30800,0.34800,-9.08900,0.32500,-9.12100,0.33700,-9.16600,0.50500,-9.39300,0.49800,-9.17200,0.35700,-9.27000,0.35400,-9.04100,0.46200,-9.19000,0.46200,-9.01200,0.66600,-8.99500,0.56600,-9.27400,0.33600,0,-9999.00000,-9999.00000,-9999.00000,29308060,8.88000,4.45000
17.97500,83.42500,Vishakhapatnam,1,0.00090,4690.00000,0.00590,6558.00000,0.01000,9838.00000,0.03150,15698.00000,-10.55700,0.40000,-10.29800,0.56700,-10.16800,0.29900,-10.63400,0.46300,-10.50700,0.79500,-10.05300,0.38000,-10.28700,0.21100,-10.24400,0.31700,-11.81800,0.21700,-11.49200,0.26500,-11.72700,0.43600,-11.74600,0.51000,-11.52500,0.39300,-11.41600,0.29400,-11.75100,0.46700,-11.44500,0.26900,-11.36800,0.21500,-11.39600,0.36800,-11.43000,0.25000,-9.52900,0.37000,-9.50700,0.46200,-9.59700,0.37500,-9.24500,0.33100,-9.28300,0.35800,-9.35700,0.49800,-9.61100,0.48200,-9.38500,0.42400,-9.48200,0.39400,-9.22700,0.43700,-9.35900,0.51100,-9.15300,0.68300,-9.23900,0.59700,-9.54800,0.41500,0,-9999.00000,-9999.00000,-9999.00000,29308060,8.65000,4.18000
17.97500,83.47500,Vishakhapatnam,1,0.00150,2041.00000,0.00400,2547.00000,0.01020,3234.00000,0.03200,5876.00000,-11.16000,0.39600,-10.92200,0.61500,-10.78100,0.36800,-11.37000,0.55800,-11.04400,0.80600,-10.77300,0.45200,-10.91900,0.26400,-10.83900,0.36600,-12.63100,0.24300,-12.33100,0.30100,-12.62600,0.42400,-12.66900,0.52500,-12.42600,0.37400,-12.28300,0.29300,-12.64500,0.48800,-12.32200,0.28600,-12.31700,0.27800,-12.27500,0.39300,-12.35100,0.28900,-9.91200,0.34600,-9.90800,0.48400,-10.11000,0.42400,-9.63700,0.35500,-9.74500,0.36000,-9.79000,0.51100,-10.04500,0.49400,-9.81500,0.44700,-9.95200,0.40000,-9.63500,0.45300,-9.73800,0.49100,-9.48600,0.74800,-9.70700,0.69100,-10.02300,0.48400,0,-9999.00000,-9999.00000,-9999.00000,29308060,7.83000,3.90000
17.97500,83.52500,Vishakhapatnam,1,0.00200,946.00000,0.00760,3268.00000,0.01590,4540.00000,0.04410,11426.00000,-11.59900,0.38000,-11.39700,0.61300,-11.22500,0.43000,-11.90700,0.69300,-11.36600,0.83500,-11.33900,0.56200,-11.35800,0.34000,-11.30000,0.45100,-13.69600,0.37900,-13.49000,0.35300,-13.76600,0.42500,-13.84000,0.50100,-13.58800,0.40500,-13.42300,0.33700,-13.80900,0.56700,-13.39400,0.39200,-13.48100,0.36600,-13.41600,0.46700,-13.54300,0.37300,-11.04400,0.39000,-11.09300,0.50900,-11.39900,0.50500,-10.91200,0.45400,-11.01200,0.45800,-10.94400,0.56400,-11.20800,0.52300,-10.93000,0.48100,-11.23400,0.53100,-10.82500,0.46200,-11.05000,0.52500,-10.64300,0.75900,-10.96500,0.82000,-11.27700,0.61000,0,-9999.00000,-9999.00000,-9999.00000,29308060,8.39000,3.98000
