latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
52.52500,20.72500,Warsaw,1,0.00070,241.00000,0.00260,345.00000,0.00280,329.00000,0.00320,426.00000,-10.01100,0.60700,-10.24900,0.47200,-10.08400,0.80600,-10.01900,0.68300,-10.13800,0.62300,-10.43000,0.44000,-10.52700,0.57200,-10.14800,0.34900,-12.99100,0.31000,-12.84100,0.47500,-12.24200,0.35200,-12.79700,0.24300,-12.88400,0.43500,-12.72100,0.31600,-12.81400,0.26100,-12.60300,0.37400,-12.40400,0.31600,-12.55700,0.41900,-12.38000,0.28200,-10.27100,0.41400,-10.22400,0.47900,-10.28700,0.44700,-9.79300,0.39000,-9.86200,0.50500,-10.12900,0.38500,-10.10400,0.59800,-10.17400,0.45800,-10.59800,0.44900,-9.98300,0.52400,-9.48400,0.52500,-9.88500,0.59000,-10.03500,0.50800,-9.72000,0.58300,0,0.00720,4.32330,0.29320,18881448,24.95000,4.69000
52.52500,20.77500,Warsaw,1,0.00150,991.00000,0.00770,1475.00000,0.00840,1579.00000,0.00930,1585.00000,-10.01100,0.60700,-10.24900,0.47200,-10.08400,0.80600,-10.01900,0.68300,-10.13800,0.62300,-10.43000,0.44000,-10.52700,0.57200,-10.14800,0.34900,-12.97800,0.30200,-12.81800,0.46400,-12.21500,0.33000,-12.76100,0.27500,-12.84100,0.43100,-12.66900,0.31800,-12.75000,0.26300,-12.54500,0.33600,-12.35500,0.32400,-12.51000,0.42000,-12.32800,0.27200,-10.28900,0.40300,-10.26100,0.45600,-10.30000,0.43700,-9.85200,0.41300,-9.91100,0.49600,-10.11700,0.37900,-10.15600,0.59300,-10.22100,0.43100,-10.63800,0.42100,-9.99400,0.51800,-9.53700,0.52300,-9.90900,0.58600,-10.09700,0.51300,-9.76100,0.57700,0,0.00750,4.47620,0.35890,18881448,29.99000,5.04000
52.52500,20.82500,Warsaw,1,0.00000,47.00000,0.00320,251.00000,0.00360,239.00000,0.00470,271.00000,-10.02300,0.59700,-10.21300,0.46300,-10.06400,0.80200,-10.02600,0.68600,-10.11700,0.62900,-10.38900,0.43200,-10.50500,0.54500,-10.13100,0.35900,-12.94400,0.29900,-12.77700,0.45600,-12.19000,0.32400,-12.72100,0.30000,-12.79000,0.42000,-12.62700,0.32200,-12.69600,0.26800,-12.48000,0.31500,-12.29500,0.33400,-12.45900,0.42400,-12.27100,0.27000,-10.30000,0.39300,-10.28100,0.43400,-10.30600,0.43000,-9.87900,0.41600,-9.94900,0.49000,-10.11500,0.37600,-10.18000,0.58000,-10.24200,0.41900,-10.65200,0.40000,-9.99100,0.50800,-9.56900,0.52200,-9.93500,0.58300,-10.15700,0.51800,-9.79200,0.58500,0,0.00290,2.69440,0.12910,18881448,31.02000,5.25000
52.52500,20.87500,Warsaw,1,0.00030,76.00000,0.00470,620.00000,0.00580,715.00000,0.00860,977.00000,-10.03900,0.58600,-10.16900,0.45000,-10.03900,0.79800,-10.03600,0.68900,-10.09200,0.63700,-10.34000,0.42100,-10.47900,0.51100,-10.11100,0.37100,-12.90300,0.29500,-12.72800,0.44800,-12.16500,0.32300,-12.67900,0.32300,-12.73400,0.40800,-12.58400,0.32700,-12.64200,0.27400,-12.41000,0.29900,-12.23000,0.34700,-12.40200,0.42700,-12.20800,0.26800,-10.31000,0.38200,-10.29400,0.41000,-10.30800,0.42300,-9.89600,0.41200,-9.98800,0.48400,-10.11600,0.37400,-10.19200,0.56300,-10.25400,0.41100,-10.65700,0.38100,-9.98600,0.49400,-9.59500,0.51900,-9.96300,0.58200,-10.22100,0.52300,-9.82300,0.59600,0,0.00460,3.60530,0.17800,18881448,24.14000,5.07000
52.52500,20.92500,Warsaw,1,0.00020,101.00000,0.00280,237.00000,0.00420,516.00000,0.00650,804.00000,-10.03900,0.58600,-10.16900,0.45000,-10.03900,0.79800,-10.03600,0.68900,-10.09200,0.63700,-10.34000,0.42100,-10.47900,0.51100,-10.11100,0.37100,-12.86800,0.28500,-12.67900,0.43100,-12.15800,0.33400,-12.65600,0.35700,-12.68700,0.40600,-12.53300,0.34800,-12.61600,0.29600,-12.34900,0.30600,-12.18400,0.35900,-12.36400,0.41800,-12.16700,0.26000,-10.31100,0.36300,-10.27600,0.37300,-10.29100,0.40000,-9.90200,0.40000,-10.02700,0.47200,-10.10100,0.36600,-10.18200,0.54100,-10.24300,0.38300,-10.65000,0.38300,-9.99800,0.46100,-9.60700,0.51300,-9.98200,0.58700,-10.28000,0.50200,-9.83200,0.56900,0,0.00540,4.61380,0.27470,18881448,24.88000,5.10000
52.52500,20.97500,Warsaw,1,0.00020,20.00000,0.00180,218.00000,0.00250,260.00000,0.00320,295.00000,-10.11000,0.58600,-10.15700,0.43000,-10.05000,0.79900,-10.10200,0.68000,-10.15800,0.65700,-10.33000,0.42800,-10.49700,0.47700,-10.14200,0.40600,-12.87600,0.25200,-12.66100,0.42400,-12.18100,0.34100,-12.66400,0.39300,-12.68000,0.40300,-12.51900,0.35900,-12.62000,0.30700,-12.34000,0.32000,-12.18400,0.36600,-12.35400,0.41500,-12.15200,0.27600,-10.29600,0.35000,-10.26200,0.35400,-10.26400,0.39400,-9.88800,0.38200,-10.03400,0.45600,-10.07000,0.34600,-10.16300,0.52700,-10.22200,0.36900,-10.60300,0.36100,-9.98800,0.43700,-9.60600,0.47200,-9.96600,0.58300,-10.22400,0.46000,-9.79900,0.54100,0,0.00390,3.69560,0.19440,18881448,19.49000,4.48000
52.52500,21.02500,Warsaw,1,0.00010,35.00000,0.00470,494.00000,0.00860,754.00000,0.01350,1130.00000,-10.12300,0.58600,-10.15500,0.42600,-10.05200,0.79900,-10.11300,0.67800,-10.16900,0.66000,-10.32800,0.42900,-10.50000,0.47100,-10.14800,0.41200,-12.88500,0.25100,-12.64700,0.42200,-12.20400,0.34800,-12.69100,0.41100,-12.68300,0.40300,-12.51800,0.36400,-12.63700,0.32100,-12.33800,0.33600,-12.18700,0.36700,-12.34800,0.40600,-12.15600,0.29300,-10.28900,0.34400,-10.25900,0.35200,-10.25400,0.39600,-9.88600,0.36800,-10.03900,0.45400,-10.06200,0.33800,-10.15500,0.51400,-10.20500,0.36000,-10.58200,0.34400,-9.98600,0.41800,-9.60700,0.45600,-9.97400,0.51200,-10.18300,0.44100,-9.77600,0.52300,0,0.00920,5.09520,0.53130,18881448,10.67000,3.81000
52.52500,21.07500,Warsaw,1,0.02490,1765.00000,0.07580,2861.00000,0.08340,3397.00000,0.11040,4902.00000,-10.13500,0.58800,-10.16100,0.42300,-10.06000,0.79900,-10.11900,0.69600,-10.18300,0.66200,-10.33600,0.43300,-10.50800,0.46900,-10.16100,0.41500,-12.90200,0.25800,-12.64200,0.42400,-12.23500,0.35500,-12.73200,0.42500,-12.69500,0.40600,-12.52700,0.37300,-12.66700,0.33500,-12.34900,0.35600,-12.20200,0.36400,-12.35200,0.39500,-12.17100,0.30700,-10.28400,0.34100,-10.26100,0.35400,-10.25100,0.40200,-9.89100,0.35500,-10.04800,0.45700,-10.06600,0.33300,-10.15100,0.50100,-10.19700,0.35300,-10.57200,0.33200,-9.99300,0.40300,-9.61100,0.44600,-9.98800,0.43200,-10.15100,0.43100,-9.76100,0.51200,3,0.01980,5.76070,1.40290,18881448,15.58000,5.41000
52.52500,21.12500,Warsaw,1,0.00240,543.00000,0.00770,542.00000,0.00870,618.00000,0.00980,522.00000,-10.23000,0.59700,-10.20200,0.39700,-10.12400,0.80000,-10.16600,0.83100,-10.28900,0.67200,-10.39200,0.46400,-10.56500,0.45700,-10.26100,0.44000,-12.97500,0.27000,-12.69800,0.44000,-12.30600,0.37600,-12.83800,0.41700,-12.75900,0.41200,-12.59500,0.40200,-12.76800,0.34100,-12.43300,0.38500,-12.27700,0.34100,-12.41100,0.37600,-12.24100,0.31800,-10.27700,0.34200,-10.27200,0.35700,-10.27400,0.42000,-9.91900,0.34300,-10.06600,0.46800,-10.10600,0.33800,-10.14400,0.47800,-10.22600,0.36300,-10.57700,0.34000,-10.03700,0.40900,-9.62700,0.44300,-9.99200,0.39900,-10.14400,0.43200,-9.78100,0.53000,0,0.00620,4.04220,0.33210,18881448,19.08000,6.05000
52.52500,21.17500,Warsaw,1,0.00130,1925.00000,0.00650,1256.00000,0.00740,1250.00000,0.00790,1020.00000,-10.22300,0.59400,-10.19100,0.39500,-10.11500,0.79500,-10.15700,0.82800,-10.27900,0.67400,-10.37600,0.46100,-10.55000,0.45600,-10.24700,0.43600,-13.04800,0.31100,-12.73900,0.48400,-12.36200,0.40200,-12.92700,0.42200,-12.81500,0.43600,-12.66500,0.41700,-12.85900,0.34100,-12.51200,0.40400,-12.35000,0.31300,-12.44600,0.36200,-12.31400,0.32000,-10.28100,0.33600,-10.28500,0.37500,-10.28000,0.42800,-9.93700,0.33800,-10.05600,0.47000,-10.14600,0.35100,-10.14200,0.46800,-10.23300,0.35700,-10.57600,0.34500,-10.06600,0.42600,-9.64500,0.44300,-10.00400,0.40100,-10.15000,0.44900,-9.77600,0.55700,0,0.00850,3.74490,0.47510,18881448,20.80000,5.90000
