latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.12500,-77.27500,WashingtonDC,2,0.02790,9855.00000,0.11190,11847.00000,0.18940,13772.00000,0.21590,15770.00000,-9.57400,0.65500,-8.66000,0.62200,-9.02900,0.33800,-8.90800,0.16400,-9.27200,0.22800,-9.08200,0.16700,-9.14600,0.22700,-8.66200,0.18700,-10.20600,0.35300,-9.87500,0.33300,-9.92000,0.29400,-10.08500,0.18100,-9.75100,0.21100,-9.88500,0.24700,-9.78900,0.31500,-9.87300,0.24900,-9.97400,0.23600,-9.78900,0.24900,-9.72900,0.23500,-8.55500,0.25900,-8.31000,0.30400,-8.22000,0.30600,-8.20200,0.32000,-8.06400,0.32000,-8.11900,0.22200,-8.04200,0.23400,-8.18800,0.17800,-8.19200,0.23100,-8.02200,0.23600,-7.95500,0.29700,-7.66400,0.50000,-7.87900,0.29800,-7.68800,0.36800,0,0.02880,9.32530,3.35860,24000332,37.75000,7.03000
39.12500,-77.22500,WashingtonDC,3,0.15470,33232.00000,0.42090,40292.00000,0.56480,46275.00000,0.61210,53702.00000,-9.33600,0.62000,-8.37500,0.63200,-8.82500,0.34100,-8.74000,0.16100,-9.06500,0.21900,-8.87400,0.15500,-8.92400,0.20900,-8.46500,0.18100,-10.07900,0.34900,-9.71800,0.32600,-9.75100,0.30200,-9.91400,0.18300,-9.60900,0.22600,-9.74700,0.25100,-9.63500,0.28700,-9.75100,0.24200,-9.81800,0.24000,-9.66700,0.23900,-9.61800,0.22600,-8.27700,0.23800,-8.09200,0.29700,-7.99100,0.28100,-7.94400,0.27700,-7.85200,0.30200,-7.89500,0.18500,-7.83100,0.25300,-7.94100,0.15900,-7.95900,0.18400,-7.72900,0.21300,-7.71400,0.29600,-7.48900,0.42900,-7.64800,0.27200,-7.49600,0.33300,0,0.10030,13.46450,13.11470,24000332,22.50000,5.50000
39.12500,-77.17500,WashingtonDC,3,0.18300,29502.00000,0.48940,36231.00000,0.59430,41060.00000,0.65750,47546.00000,-9.17800,0.64000,-8.20900,0.63200,-8.70700,0.35100,-8.63800,0.16200,-8.95300,0.21800,-8.75600,0.14500,-8.79700,0.19400,-8.34900,0.17900,-9.99500,0.34700,-9.62700,0.33000,-9.64800,0.30400,-9.81900,0.19100,-9.52800,0.24000,-9.65600,0.24900,-9.53900,0.26600,-9.67900,0.24000,-9.71400,0.25500,-9.58100,0.25100,-9.56700,0.21800,-8.18600,0.22900,-7.99800,0.30000,-7.89900,0.26600,-7.85200,0.28300,-7.76700,0.30100,-7.82200,0.17600,-7.73600,0.26100,-7.85600,0.15600,-7.85700,0.18900,-7.62500,0.21700,-7.62800,0.30600,-7.42500,0.36500,-7.55200,0.25500,-7.42700,0.31800,0,0.10280,13.24110,12.62640,24000332,19.01000,5.23000
39.12500,-77.12500,WashingtonDC,1,0.09940,5841.00000,0.25420,6924.00000,0.29240,7960.00000,0.36140,9194.00000,-9.03300,0.65500,-8.10100,0.57300,-8.59100,0.34900,-8.54400,0.16600,-8.84600,0.21500,-8.64700,0.13400,-8.67700,0.18000,-8.24100,0.17400,-9.91800,0.33600,-9.56600,0.33400,-9.56500,0.29500,-9.76100,0.20200,-9.45900,0.25000,-9.56500,0.24300,-9.45800,0.26400,-9.59700,0.24600,-9.62400,0.25800,-9.48800,0.26500,-9.51900,0.20100,-8.18900,0.23100,-7.98100,0.30700,-7.89900,0.27400,-7.85000,0.29600,-7.78500,0.31100,-7.82500,0.17600,-7.73100,0.26900,-7.86600,0.15800,-7.87900,0.22200,-7.65400,0.26000,-7.67200,0.31100,-7.47800,0.35500,-7.61500,0.26100,-7.51600,0.32300,0,0.02180,8.86460,1.98000,24000332,36.75000,7.33000
39.12500,-77.07500,WashingtonDC,2,0.07190,17381.00000,0.19640,21076.00000,0.25610,24333.00000,0.33200,28166.00000,-8.86200,0.67200,-7.94500,0.50800,-8.44000,0.34500,-8.42600,0.17100,-8.70600,0.21100,-8.50300,0.11900,-8.51700,0.16100,-8.10000,0.16700,-9.86000,0.32100,-9.53600,0.33800,-9.50000,0.28500,-9.73000,0.21100,-9.41300,0.26000,-9.49400,0.23900,-9.40000,0.27600,-9.52600,0.26100,-9.54800,0.25800,-9.42000,0.27200,-9.48400,0.18300,-8.36100,0.25500,-8.12700,0.30900,-8.06600,0.27700,-7.99800,0.31100,-7.93900,0.29300,-7.97100,0.19400,-7.90000,0.26700,-8.03000,0.18900,-8.07300,0.27200,-7.84200,0.32600,-7.84100,0.34500,-7.66500,0.39400,-7.86100,0.30000,-7.73200,0.33000,0,0.05060,9.52930,4.50290,24000332,31.41000,6.81000
39.12500,-77.02500,WashingtonDC,2,0.03310,7726.00000,0.11480,9174.00000,0.16280,10799.00000,0.21240,12452.00000,-8.78900,0.69700,-7.91100,0.47800,-8.37700,0.33300,-8.38100,0.18400,-8.64600,0.19400,-8.44400,0.11900,-8.45300,0.15000,-8.03700,0.15900,-9.82700,0.30300,-9.52400,0.34100,-9.46200,0.29600,-9.71700,0.22600,-9.39100,0.26500,-9.44300,0.23600,-9.36000,0.28100,-9.47800,0.27900,-9.49800,0.25600,-9.37800,0.28500,-9.46600,0.18300,-8.44600,0.29300,-8.25900,0.32600,-8.17500,0.25700,-8.05400,0.31400,-8.04300,0.26100,-8.05500,0.20900,-8.01500,0.24800,-8.12400,0.21600,-8.12100,0.27800,-7.96500,0.34300,-7.89800,0.36000,-7.72100,0.41500,-7.99400,0.32000,-7.82700,0.31800,0,0.02460,7.97890,1.79420,24000332,36.29000,7.54000
39.12500,-76.97500,WashingtonDC,2,0.01590,4664.00000,0.07930,5747.00000,0.09690,6624.00000,0.13070,7934.00000,-8.63000,0.69900,-7.79600,0.44100,-8.22700,0.30500,-8.27300,0.20500,-8.49500,0.15800,-8.29800,0.12200,-8.29600,0.13200,-7.88900,0.14300,-9.78400,0.27100,-9.49800,0.34600,-9.42600,0.32500,-9.69100,0.23800,-9.36500,0.26700,-9.38500,0.23600,-9.30300,0.28700,-9.41600,0.29000,-9.44300,0.22600,-9.33000,0.29000,-9.39300,0.19900,-8.32700,0.32700,-8.19700,0.33900,-8.08000,0.24600,-7.91700,0.29900,-7.95700,0.25900,-7.96600,0.22800,-7.95600,0.24100,-8.04400,0.21100,-7.96700,0.26000,-7.85800,0.33700,-7.77400,0.35600,-7.57700,0.42500,-7.91900,0.30300,-7.70700,0.30200,0,0.01610,6.58670,1.12610,24000332,36.84000,7.29000
39.12500,-76.92500,WashingtonDC,1,0.04760,7095.00000,0.12400,8574.00000,0.16780,9893.00000,0.22130,11205.00000,-8.60100,0.70300,-7.81400,0.43600,-8.21700,0.29300,-8.28000,0.20700,-8.48500,0.14800,-8.29400,0.12800,-8.27600,0.12300,-7.87400,0.13900,-9.74700,0.24300,-9.45900,0.33200,-9.38200,0.36500,-9.64500,0.23900,-9.33400,0.27600,-9.33200,0.25200,-9.23800,0.29200,-9.34500,0.29500,-9.39400,0.19700,-9.29000,0.27400,-9.27400,0.23100,-8.14800,0.27900,-8.02000,0.31600,-7.91300,0.22300,-7.73500,0.26800,-7.78100,0.24300,-7.86100,0.22500,-7.82100,0.25500,-7.88900,0.18500,-7.83500,0.24500,-7.64600,0.28500,-7.58400,0.34400,-7.38400,0.47100,-7.76400,0.27800,-7.45800,0.30200,0,0.02180,7.47230,1.92160,24000332,34.66000,7.04000
39.12500,-76.87500,WashingtonDC,2,0.16470,15981.00000,0.28630,19497.00000,0.33380,22455.00000,0.40640,26097.00000,-8.46700,0.62400,-7.81000,0.41700,-8.13500,0.25700,-8.25400,0.19900,-8.38800,0.12000,-8.22500,0.14300,-8.17200,0.10800,-7.78500,0.12600,-9.66700,0.20700,-9.37900,0.29800,-9.27800,0.38600,-9.53900,0.25400,-9.23900,0.26500,-9.24000,0.27400,-9.11400,0.28300,-9.22100,0.29000,-9.27500,0.18400,-9.17900,0.27900,-9.07700,0.26200,-7.94200,0.24700,-7.80600,0.34700,-7.75300,0.21500,-7.60300,0.29700,-7.57900,0.28200,-7.69100,0.23400,-7.64500,0.23000,-7.67700,0.17400,-7.65400,0.26000,-7.42100,0.27500,-7.39700,0.30200,-7.12500,0.52300,-7.52000,0.26600,-7.18200,0.28900,0,0.04470,9.03920,4.26060,24000332,31.56000,6.75000
39.12500,-76.82500,WashingtonDC,3,0.20320,16990.00000,0.37190,22057.00000,0.46890,26180.00000,0.53600,31289.00000,-8.48500,0.60000,-7.87600,0.45100,-8.17100,0.25000,-8.29900,0.19800,-8.41900,0.12100,-8.26200,0.15100,-8.19500,0.10800,-7.81500,0.13200,-9.57200,0.18700,-9.26000,0.27400,-9.15400,0.38700,-9.40700,0.25000,-9.09500,0.24800,-9.12700,0.26800,-8.97300,0.26800,-9.06800,0.29800,-9.12000,0.20000,-9.05100,0.28900,-8.84600,0.28100,-7.78000,0.27800,-7.58700,0.34000,-7.59900,0.22200,-7.45700,0.28400,-7.41300,0.32200,-7.51300,0.24300,-7.49700,0.21300,-7.51800,0.18600,-7.48300,0.28400,-7.25800,0.28200,-7.19800,0.30900,-6.95100,0.55500,-7.31600,0.23600,-7.00500,0.31000,0,0.08330,11.08700,9.64420,24000332,23.10000,5.93000
