latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
28.27500,120.42500,Wenzhou,0,0.00010,132.00000,0.00250,1563.00000,0.00290,1924.00000,0.00290,2367.00000,-8.54500,0.26400,-8.60000,0.20500,-8.67800,0.30000,-8.37000,0.50900,-8.28600,0.28500,-8.47000,0.24200,-8.22100,0.16700,-8.61400,0.48100,-10.59500,0.32400,-10.75100,0.30900,-10.71600,0.26900,-10.62800,0.32400,-10.79600,0.28000,-10.57200,0.31600,-10.61900,0.30100,-10.50600,0.34600,-10.39000,0.31700,-10.34500,0.32800,-10.26100,0.30200,-7.99800,0.30400,-7.90100,0.23600,-7.85700,0.29200,-7.79600,0.21000,-7.83700,0.30900,-7.81400,0.24900,-7.94600,0.28400,-7.64000,0.23900,-7.75300,0.23200,-7.74500,0.20100,-7.77500,0.19700,-7.64200,0.46100,-7.66600,0.49000,-7.69300,0.44000,0,0.00020,0.18610,0.01130,27182614,53.67000,7.39000
28.27500,120.47500,Wenzhou,0,0.00040,127.00000,0.00420,668.00000,0.00440,920.00000,0.00480,1703.00000,-8.51500,0.27200,-8.59300,0.21400,-8.68500,0.30500,-8.15300,0.88100,-8.26300,0.28800,-8.43400,0.23000,-8.18800,0.16200,-8.54000,0.47300,-10.60400,0.34000,-10.74400,0.32600,-10.70400,0.28100,-10.65600,0.33500,-10.83700,0.28900,-10.63200,0.34800,-10.64600,0.30900,-10.50500,0.37600,-10.41500,0.31100,-10.39100,0.34100,-10.30100,0.33600,-8.03400,0.29900,-7.92300,0.24300,-7.90100,0.27800,-7.82600,0.21500,-7.87200,0.30500,-7.84700,0.25100,-7.97600,0.28900,-7.65900,0.23500,-7.76900,0.23900,-7.77400,0.21500,-7.80600,0.20400,-7.66400,0.46300,-7.68000,0.51100,-7.71300,0.44600,0,0.00120,0.63470,0.10180,27182614,50.67000,7.29000
28.27500,120.52500,Wenzhou,1,0.00180,2020.00000,0.01350,4122.00000,0.01420,5073.00000,0.01460,6334.00000,-8.48800,0.27500,-8.58100,0.22700,-8.67200,0.29900,-8.36300,0.52900,-8.25200,0.29800,-8.40000,0.22300,-8.18600,0.18700,-8.47800,0.43900,-10.59000,0.34200,-10.72300,0.33900,-10.67700,0.31000,-10.66300,0.35000,-10.84800,0.30400,-10.67500,0.35500,-10.66100,0.30700,-10.49300,0.38900,-10.41000,0.30000,-10.41900,0.34100,-10.33000,0.34100,-8.06700,0.29200,-7.95800,0.25300,-7.94200,0.27700,-7.84700,0.23500,-7.90700,0.30400,-7.88200,0.24800,-8.01100,0.29100,-7.67700,0.23100,-7.80100,0.25200,-7.80700,0.23400,-7.84600,0.21000,-7.68100,0.45400,-7.68700,0.50900,-7.72000,0.44100,0,0.00640,2.29480,0.57980,27182614,40.11000,7.47000
28.27500,120.57500,Wenzhou,1,0.00160,2354.00000,0.01150,4680.00000,0.01270,5899.00000,0.01340,7515.00000,-8.46000,0.27700,-8.56800,0.23800,-8.65800,0.29500,-8.47600,0.31800,-8.24500,0.30400,-8.37100,0.21600,-8.18700,0.21000,-8.43200,0.40800,-10.57000,0.34000,-10.71000,0.35900,-10.65000,0.36500,-10.63900,0.38100,-10.83800,0.31600,-10.70700,0.35100,-10.65900,0.29800,-10.47400,0.38400,-10.38300,0.28900,-10.42600,0.33500,-10.33600,0.34500,-8.09100,0.29600,-7.99600,0.26400,-7.97600,0.28500,-7.85300,0.25700,-7.93800,0.31800,-7.90400,0.24900,-8.04300,0.29400,-7.69300,0.22700,-7.82700,0.26200,-7.83500,0.25000,-7.89400,0.21100,-7.68200,0.43800,-7.68600,0.50600,-7.70700,0.41600,0,0.00420,1.84420,0.23030,27182614,36.60000,7.43000
28.27500,120.62500,Wenzhou,1,0.00240,1949.00000,0.01640,4766.00000,0.01960,6035.00000,0.02080,7840.00000,-8.44800,0.27100,-8.55900,0.25500,-8.65200,0.29000,-8.53700,0.47000,-8.25500,0.30400,-8.36200,0.21700,-8.20200,0.26300,-8.38100,0.35400,-10.52700,0.35600,-10.70100,0.38500,-10.61800,0.41600,-10.57400,0.41600,-10.81300,0.32500,-10.72100,0.35900,-10.64800,0.29800,-10.44700,0.35000,-10.34800,0.29000,-10.41800,0.31100,-10.32800,0.34900,-8.09700,0.31300,-8.02000,0.26700,-7.99800,0.30300,-7.85600,0.27500,-7.96200,0.34600,-7.90900,0.26000,-8.06200,0.29800,-7.70700,0.22100,-7.83100,0.26900,-7.85600,0.26800,-7.92900,0.20700,-7.66600,0.43500,-7.67700,0.49900,-7.68000,0.40200,0,0.00620,2.11700,0.60050,27182614,51.00000,7.59000
28.27500,120.67500,Wenzhou,1,0.00310,2911.00000,0.01360,3382.00000,0.01610,4188.00000,0.01840,6202.00000,-8.43300,0.26700,-8.54800,0.26500,-8.64400,0.28800,-8.54500,0.49800,-8.26100,0.30200,-8.35300,0.21800,-8.21400,0.28600,-8.36300,0.32500,-10.46400,0.38800,-10.65900,0.42000,-10.56500,0.44600,-10.48900,0.43200,-10.75500,0.33500,-10.71100,0.36300,-10.62100,0.31400,-10.42200,0.32100,-10.29800,0.30700,-10.40500,0.28500,-10.31000,0.34300,-8.09700,0.33300,-8.03500,0.26200,-8.01000,0.32300,-7.85900,0.28600,-7.98400,0.37600,-7.90500,0.27000,-8.06900,0.30000,-7.72500,0.21600,-7.82600,0.27500,-7.86700,0.28000,-7.94900,0.20300,-7.64800,0.43400,-7.66400,0.49700,-7.64900,0.41600,0,0.00450,2.41300,0.25650,27182614,48.61000,7.29000
28.27500,120.72500,Wenzhou,1,0.00320,1662.00000,0.02410,4101.00000,0.02710,4843.00000,0.02990,5827.00000,-8.47500,0.26700,-8.57500,0.28200,-8.70100,0.29200,-8.61400,0.52700,-8.31700,0.29800,-8.39300,0.23100,-8.27600,0.31300,-8.36100,0.28600,-10.41200,0.40700,-10.60000,0.43100,-10.49700,0.45600,-10.39700,0.44100,-10.66200,0.33400,-10.65700,0.36900,-10.58100,0.32300,-10.38000,0.30400,-10.22600,0.31400,-10.35300,0.25400,-10.25700,0.34200,-8.10200,0.34600,-8.04600,0.25800,-8.01300,0.35600,-7.86800,0.28500,-7.99600,0.39300,-7.89900,0.27600,-8.07900,0.29600,-7.74400,0.21600,-7.82100,0.27900,-7.87200,0.29100,-7.96200,0.20200,-7.64200,0.42400,-7.65200,0.50000,-7.62100,0.42200,0,0.00620,2.98130,0.44410,27182614,42.19000,7.42000
28.27500,120.77500,Wenzhou,1,0.00370,2452.00000,0.02350,4220.00000,0.02830,5277.00000,0.03000,6668.00000,-8.49600,0.26800,-8.59200,0.28700,-8.72800,0.29400,-8.64500,0.54100,-8.34200,0.29700,-8.41400,0.23500,-8.30300,0.32000,-8.36700,0.27600,-10.40100,0.41900,-10.52700,0.42800,-10.41800,0.43300,-10.29200,0.43600,-10.53500,0.32000,-10.57900,0.37300,-10.50200,0.33700,-10.29500,0.32500,-10.12500,0.32600,-10.26800,0.25200,-10.17400,0.34800,-8.11000,0.34700,-8.04200,0.25500,-8.01300,0.36400,-7.87100,0.27600,-7.99300,0.39500,-7.89000,0.27100,-8.07800,0.29800,-7.76200,0.22500,-7.81400,0.28600,-7.86700,0.29800,-7.97800,0.19900,-7.64800,0.38700,-7.64100,0.50400,-7.60900,0.39300,0,0.01110,3.18470,1.34880,27182614,42.91000,7.32000
28.27500,120.82500,Wenzhou,0,0.00160,1035.00000,0.00980,1764.00000,0.01060,2004.00000,0.01070,2798.00000,-8.63800,0.27500,-8.72300,0.30000,-8.88700,0.30500,-8.83600,0.63600,-8.47600,0.30000,-8.55100,0.24500,-8.44400,0.32800,-8.44200,0.26600,-10.37700,0.41800,-10.48600,0.42100,-10.38500,0.39200,-10.21600,0.43700,-10.43300,0.31900,-10.48300,0.37800,-10.44500,0.34900,-10.22200,0.34300,-10.05300,0.33300,-10.20100,0.26700,-10.09300,0.37700,-8.11200,0.34100,-8.01800,0.25700,-8.00200,0.36200,-7.85600,0.26600,-7.96600,0.38600,-7.88200,0.26400,-8.06600,0.30700,-7.74400,0.24600,-7.80000,0.30300,-7.84700,0.30700,-7.96400,0.20600,-7.62100,0.37300,-7.62100,0.50600,-7.59300,0.36800,0,0.00380,1.62190,0.25440,27182614,58.71000,7.17000
28.27500,120.87500,Wenzhou,0,0.00000,111.00000,0.00140,49.00000,0.00170,55.00000,0.00170,36.00000,-8.70800,0.27800,-8.79000,0.30400,-8.96500,0.30900,-8.92500,0.66500,-8.54900,0.30000,-8.62200,0.24400,-8.51600,0.32700,-8.49100,0.26600,-10.41500,0.40600,-10.48800,0.42300,-10.40600,0.36000,-10.22500,0.44400,-10.39000,0.30100,-10.43100,0.35900,-10.41500,0.40100,-10.20000,0.36200,-10.01800,0.36100,-10.14600,0.30000,-10.02200,0.41200,-8.11000,0.34400,-7.98600,0.26700,-7.98000,0.36000,-7.82600,0.26400,-7.92600,0.37400,-7.86800,0.26300,-8.04500,0.32000,-7.70100,0.26500,-7.76900,0.32600,-7.81500,0.32300,-7.93200,0.21400,-7.57900,0.37600,-7.57800,0.50600,-7.54900,0.40000,0,0.00020,0.21650,0.01830,27182614,59.41000,7.57000
