latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
26.97500,-80.37500,WestPalmBeach,0,0.00050,0.00000,0.00300,1.00000,0.00630,3.00000,0.00810,2.00000,-9.93300,0.23100,-9.47300,0.21700,-9.88200,0.46700,-9.98900,0.27300,-9.63500,0.19200,-9.78700,0.32400,-9.86900,0.23100,-9.92200,0.24600,-10.47600,0.23200,-10.61700,0.24300,-10.30900,0.28600,-10.21600,0.19000,-10.24500,0.23000,-10.57200,0.39700,-10.22200,0.24600,-10.54300,0.36700,-10.38800,0.21000,-10.34500,0.29400,-10.47600,0.22300,-9.21400,0.25400,-9.30700,0.31200,-9.38700,0.23100,-9.41600,0.24900,-9.67900,0.41700,-9.51300,0.37200,-9.03900,0.27800,-9.15000,0.26200,-9.88000,0.53800,-9.18800,0.27500,-9.02100,0.25200,-9.10900,0.26200,-9.16900,0.41300,-9.19000,0.19800,0,0.00090,0.55990,0.04020,27500456,29.54000,6.64000
26.97500,-80.32500,WestPalmBeach,0,0.00030,4.00000,0.00130,0.00000,0.00300,0.00000,0.00660,3.00000,-9.97800,0.21300,-9.60000,0.22400,-9.89600,0.41400,-10.06900,0.24000,-9.71700,0.18400,-9.86800,0.33700,-9.91900,0.23500,-9.98700,0.23300,-10.48300,0.25500,-10.66400,0.25400,-10.28300,0.25500,-10.25400,0.16600,-10.26600,0.23700,-10.60100,0.41700,-10.12200,0.22900,-10.48900,0.34500,-10.26800,0.19700,-10.25800,0.28300,-10.38400,0.22300,-9.35700,0.25400,-9.49200,0.27000,-9.56600,0.22400,-9.48000,0.27200,-9.81100,0.30700,-9.62900,0.38300,-9.16100,0.28800,-9.16700,0.25700,-9.91700,0.50800,-9.35200,0.30500,-9.29700,0.26900,-9.20600,0.26500,-9.29500,0.45000,-9.31000,0.20500,0,0.00000,0.00000,0.00000,27500456,28.56000,6.64000
26.97500,-80.27500,WestPalmBeach,1,0.00020,38.00000,0.00360,25.00000,0.00720,27.00000,0.01150,30.00000,-10.03700,0.18900,-9.76600,0.23300,-9.91600,0.34400,-10.17400,0.19500,-9.82500,0.17500,-9.97600,0.35500,-9.98600,0.23900,-10.07300,0.21800,-10.58100,0.25600,-10.80700,0.26700,-10.38900,0.22900,-10.40300,0.15500,-10.39700,0.25900,-10.72900,0.40600,-10.16900,0.20100,-10.54200,0.32700,-10.29500,0.19900,-10.28600,0.27700,-10.42200,0.20700,-9.47400,0.26500,-9.65000,0.28800,-9.70600,0.23300,-9.62400,0.31500,-9.92800,0.34000,-9.74600,0.36500,-9.29900,0.29000,-9.25800,0.25000,-9.92500,0.47400,-9.61500,0.29700,-9.49700,0.28600,-9.31200,0.29000,-9.36500,0.40400,-9.36600,0.22900,0,0.00010,0.05060,0.00440,27500456,31.02000,6.63000
26.97500,-80.22500,WestPalmBeach,1,0.01600,398.00000,0.05560,535.00000,0.08270,645.00000,0.10060,801.00000,-10.35900,0.16100,-10.27500,0.29400,-10.19200,0.32500,-10.65100,0.19100,-10.28800,0.19700,-10.39000,0.41100,-10.33100,0.27800,-10.40200,0.18300,-10.86500,0.27100,-11.11100,0.27700,-10.67700,0.21400,-10.72600,0.16000,-10.72700,0.26600,-11.01300,0.37700,-10.45000,0.16700,-10.79900,0.30000,-10.54600,0.22600,-10.52900,0.27200,-10.65300,0.18900,-9.65800,0.30800,-9.82400,0.30400,-9.91700,0.19200,-9.86600,0.35900,-10.09500,0.37700,-9.90200,0.38500,-9.49500,0.27800,-9.53400,0.26600,-9.95500,0.41500,-9.88100,0.35500,-9.66000,0.30900,-9.47900,0.29500,-9.45800,0.36300,-9.48100,0.24700,0,0.00690,1.98570,0.36490,27500456,26.81000,6.40000
26.97500,-80.17500,WestPalmBeach,1,0.01590,215.00000,0.04400,223.00000,0.07140,232.00000,0.08770,306.00000,-10.55400,0.14500,-10.58000,0.33000,-10.36100,0.31400,-10.93900,0.19000,-10.56700,0.21000,-10.63900,0.44500,-10.54000,0.30200,-10.60300,0.16400,-11.47000,0.31100,-11.71000,0.29900,-11.29800,0.23500,-11.36100,0.19500,-11.38700,0.28300,-11.57000,0.36200,-11.08300,0.17400,-11.38900,0.27400,-11.10500,0.25000,-11.08200,0.27800,-11.22600,0.19000,-9.94000,0.31200,-10.03400,0.28800,-10.19300,0.16900,-10.17400,0.37900,-10.38000,0.33300,-10.16300,0.41600,-9.81700,0.30800,-9.85100,0.24700,-10.16000,0.40700,-10.18500,0.41400,-9.95700,0.35900,-9.82000,0.33200,-9.64500,0.36600,-9.67000,0.28600,0,0.00310,0.65080,0.18390,27500456,24.60000,6.39000
26.97500,-80.12500,WestPalmBeach,2,0.06910,6866.00000,0.26660,9002.00000,0.34370,10981.00000,0.38840,13598.00000,-11.40400,0.16400,-11.71300,0.44000,-11.14600,0.41300,-12.06600,0.41600,-11.67800,0.37900,-11.63200,0.56400,-11.43500,0.43200,-11.42000,0.18900,-12.43900,0.37700,-12.72100,0.30000,-12.43000,0.32200,-12.41200,0.22900,-12.46700,0.29300,-12.51800,0.35600,-12.17900,0.28300,-12.41300,0.24400,-12.14800,0.31600,-12.11700,0.28500,-12.22600,0.23300,-10.64100,0.30300,-10.62100,0.47400,-10.82500,0.31600,-10.80200,0.45000,-10.96900,0.34800,-10.67900,0.45500,-10.43000,0.36500,-10.46000,0.36900,-10.66600,0.46500,-10.82000,0.40500,-10.53900,0.46200,-10.59800,0.58600,-10.18500,0.49300,-10.16100,0.36900,3,0.06890,3.43390,2.67260,27500456,19.34000,6.11000
26.97500,-80.07500,WestPalmBeach,1,0.10310,4228.00000,0.24520,5592.00000,0.26860,6694.00000,0.28170,8291.00000,-11.59000,0.17000,-11.96000,0.46500,-11.32000,0.43400,-12.31400,0.46300,-11.92100,0.41400,-11.85100,0.59100,-11.63300,0.46000,-11.60100,0.19700,-14.14200,0.58300,-14.41300,0.36000,-14.30200,0.55700,-14.28700,0.29500,-14.34900,0.37200,-14.21800,0.58700,-14.04700,0.53800,-14.29100,0.37400,-14.03600,0.42000,-13.90000,0.43700,-14.09000,0.39500,-12.47000,0.52100,-12.29300,0.60300,-12.59700,0.45100,-12.40900,0.56100,-12.57100,0.50000,-12.28200,0.66700,-12.19500,0.40600,-12.26700,0.58100,-12.33500,0.61900,-12.49100,0.50300,-12.23400,0.66500,-12.25800,0.58200,-11.94200,0.86100,-11.95000,0.60500,95,0.03520,2.20780,1.96350,27500456,7.21000,5.40000
26.97500,-80.02500,WestPalmBeach,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-15.56100,0.83100,-16.01800,0.49800,-16.03900,0.86800,-16.00700,0.39600,-16.07100,0.56600,-15.79100,0.97100,-15.77000,0.88300,-15.97200,0.59500,-15.84800,0.54800,-15.57600,0.63800,-15.83800,0.54700,-14.88900,0.69400,-14.12700,0.68800,-14.62500,0.65900,-14.25200,0.73300,-14.50800,0.69300,-14.50400,0.88100,-14.19300,0.61800,-14.53500,0.79400,-14.63500,0.72500,-14.57000,0.65500,-14.50400,0.97900,-14.39300,0.89000,-14.13900,1.31100,-14.14500,0.90000,100,0.00000,0.00000,0.00000,27500456,-9999.00000,-9999.00000
26.97500,-79.97500,WestPalmBeach,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,27500456,-9999.00000,-9999.00000
26.97500,-79.92500,WestPalmBeach,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,27500456,-9999.00000,-9999.00000
