latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
31.82500,120.02500,Wuxi,3,0.00690,10770.00000,0.12370,23920.00000,0.17520,28801.00000,0.38980,57956.00000,-9.31300,0.55500,-9.81200,0.47200,-9.57300,0.68600,-9.84500,1.85400,-9.30200,0.58500,-9.15100,0.64000,-8.76200,0.58400,-9.11400,0.29900,-11.13500,0.45500,-10.83200,0.69400,-10.47300,0.62400,-10.06500,0.48100,-9.49100,0.70200,-9.22200,0.45500,-8.51100,0.44900,-8.05900,0.41000,-7.54500,0.65900,-7.14600,0.35300,-6.62600,0.61000,-5.77500,0.61900,-5.54600,0.58000,-4.95500,0.80100,-4.83400,0.62000,-4.35100,0.62400,-4.36000,0.78300,-4.42100,0.57700,-3.82500,0.49800,-3.82000,0.68500,-3.63100,0.88600,-3.50900,0.54300,-3.35200,0.75100,-3.25000,0.67300,-3.06500,0.72200,0,0.07090,11.00490,10.63580,26244012,13.16000,4.12000
31.82500,120.07500,Wuxi,3,0.01570,23059.00000,0.11330,32873.00000,0.18100,37897.00000,0.35030,50181.00000,-9.27300,0.54500,-9.77800,0.48100,-9.52200,0.67200,-9.79400,1.86900,-9.26400,0.57600,-9.10400,0.64800,-8.73400,0.57300,-9.07000,0.31300,-11.11800,0.44500,-10.83400,0.69500,-10.48700,0.58800,-10.09700,0.47400,-9.48800,0.66000,-9.26300,0.45800,-8.57300,0.45100,-8.10000,0.41500,-7.57000,0.66500,-7.19400,0.34900,-6.60900,0.59700,-6.31000,0.62700,-6.01900,0.63100,-5.30700,0.82400,-5.32200,0.62500,-4.81400,0.67000,-4.89000,0.83000,-5.00300,0.58700,-4.34600,0.53500,-4.26500,0.66600,-4.03200,0.86900,-3.88500,0.53900,-3.74700,0.73600,-3.63900,0.69000,-3.42300,0.72000,0,0.07130,9.38110,10.43730,26244012,14.65000,4.48000
31.82500,120.12500,Wuxi,3,0.01260,13847.00000,0.12260,31782.00000,0.24220,44323.00000,0.44200,58073.00000,-9.16100,0.52200,-9.68300,0.49400,-9.38800,0.64700,-9.63300,1.87100,-9.16000,0.54800,-8.97300,0.66100,-8.64100,0.53700,-8.92500,0.34300,-11.11300,0.43800,-10.86500,0.69800,-10.50800,0.56900,-10.13900,0.48500,-9.49100,0.62200,-9.29700,0.45400,-8.67100,0.45100,-8.16600,0.43900,-7.63200,0.66500,-7.28200,0.34700,-6.64900,0.61100,-6.45100,0.61200,-6.16200,0.60000,-5.47000,0.84800,-5.44600,0.61600,-4.96500,0.66600,-5.05000,0.82000,-5.13800,0.58600,-4.48700,0.53600,-4.44000,0.67600,-4.25600,0.87600,-4.09400,0.54400,-3.98300,0.73900,-3.84200,0.72000,-3.62500,0.72700,0,0.10390,11.52210,15.27000,26244012,13.04000,4.02000
31.82500,120.17500,Wuxi,2,0.01000,10871.00000,0.10420,22877.00000,0.14600,26080.00000,0.25650,30780.00000,-9.13800,0.51100,-9.65900,0.49300,-9.35400,0.63100,-9.61600,1.86600,-9.13900,0.54000,-8.95400,0.67000,-8.63400,0.52200,-8.90100,0.35900,-11.10800,0.44000,-10.92000,0.70500,-10.54100,0.58400,-10.17300,0.51100,-9.49300,0.59900,-9.31900,0.45300,-8.75000,0.46200,-8.24300,0.47900,-7.69900,0.66700,-7.36500,0.34100,-6.71200,0.64900,-6.56800,0.61200,-6.30600,0.60100,-5.72900,0.89500,-5.64900,0.59500,-5.20200,0.67300,-5.26400,0.81100,-5.33100,0.61000,-4.71100,0.54000,-4.71100,0.69800,-4.61200,0.88300,-4.41300,0.54900,-4.29300,0.78900,-4.13700,0.78100,-3.88700,0.84000,0,0.04580,8.78730,6.96650,26244012,16.96000,4.81000
31.82500,120.22500,Wuxi,3,0.01260,16084.00000,0.11550,27740.00000,0.16830,38993.00000,0.33170,52714.00000,-9.09700,0.49100,-9.60800,0.48000,-9.29100,0.60700,-9.57100,1.82200,-9.10000,0.51700,-8.92200,0.67900,-8.61800,0.48900,-8.84200,0.38800,-11.10300,0.47000,-10.95900,0.71300,-10.56400,0.60600,-10.20200,0.54500,-9.49200,0.60100,-9.31500,0.45100,-8.79100,0.46200,-8.27300,0.53100,-7.75800,0.67500,-7.43300,0.34500,-6.78700,0.69800,-6.76000,0.63000,-6.52800,0.62100,-6.07700,0.94200,-5.95100,0.57900,-5.51700,0.69800,-5.59200,0.82400,-5.60100,0.66500,-5.02300,0.58100,-5.07000,0.75400,-5.03300,0.92700,-4.84200,0.59300,-4.64300,0.91900,-4.44700,0.84300,-4.15600,1.16000,0,0.10020,12.31040,15.23840,26244012,12.38000,3.91000
31.82500,120.27500,Wuxi,2,0.00590,2525.00000,0.09380,9492.00000,0.13930,11453.00000,0.28460,18572.00000,-9.10500,0.48100,-9.60600,0.46900,-9.28900,0.59800,-9.56700,1.76000,-9.10800,0.50700,-8.93600,0.67400,-8.63600,0.47800,-8.85100,0.39100,-11.09600,0.50200,-10.99500,0.71500,-10.60200,0.62700,-10.22000,0.56400,-9.49600,0.61900,-9.30200,0.45100,-8.80200,0.48200,-8.30400,0.57200,-7.79100,0.68300,-7.48600,0.34700,-6.87200,0.72300,-6.81500,0.67600,-6.59300,0.71400,-6.11500,0.92900,-6.09500,0.59000,-5.61100,0.73900,-5.76100,0.89200,-5.66100,0.73400,-5.15300,0.73800,-5.19500,0.86300,-5.12200,1.04100,-4.98900,0.68400,-4.68000,1.02500,-4.41600,0.88800,-4.25800,1.28400,0,0.05340,8.92160,8.22260,26244012,15.14000,4.51000
31.82500,120.32500,Wuxi,2,0.00580,4495.00000,0.07800,13488.00000,0.11260,16795.00000,0.23710,22416.00000,-9.12100,0.46800,-9.60300,0.44700,-9.29300,0.59000,-9.55900,1.64300,-9.12500,0.49000,-8.96200,0.66300,-8.66600,0.45900,-8.86300,0.39100,-11.12500,0.53200,-11.06100,0.72100,-10.64700,0.64900,-10.24800,0.58800,-9.50900,0.63000,-9.31000,0.46900,-8.80100,0.50100,-8.34300,0.61000,-7.82700,0.69700,-7.54300,0.35100,-6.95300,0.73500,-6.68100,0.67300,-6.53500,0.76700,-5.99800,0.96100,-6.06200,0.61000,-5.49600,0.84900,-5.62900,0.90700,-5.55500,0.81400,-4.96900,0.80700,-5.06200,0.89600,-5.00000,1.12100,-4.85300,0.67900,-4.51000,1.01400,-4.21400,0.93300,-4.11800,1.27500,0,0.06930,10.11990,10.75070,26244012,13.60000,4.19000
31.82500,120.37500,Wuxi,2,0.01900,16785.00000,0.09190,20197.00000,0.15810,26482.00000,0.35180,41395.00000,-9.15800,0.46200,-9.62600,0.43400,-9.31400,0.58300,-9.57300,1.53900,-9.16400,0.47700,-9.00500,0.64700,-8.71300,0.46000,-8.90700,0.37600,-11.18200,0.55800,-11.13500,0.73000,-10.72600,0.65600,-10.32100,0.59700,-9.55300,0.65100,-9.36400,0.49200,-8.83800,0.49100,-8.41700,0.63300,-7.89300,0.71800,-7.63200,0.36400,-7.06800,0.73900,-6.32600,0.64500,-6.19200,0.75900,-5.64500,0.94600,-5.70500,0.60500,-5.09800,0.86000,-5.23600,0.86900,-5.20700,0.81000,-4.56900,0.76300,-4.70900,0.87000,-4.63600,1.10800,-4.45900,0.62400,-4.18300,0.96000,-3.82300,0.90500,-3.77800,1.16000,0,0.09310,11.73990,14.46480,26244012,12.56000,3.98000
31.82500,120.42500,Wuxi,3,0.01410,24730.00000,0.14270,48914.00000,0.28490,73227.00000,0.56810,100172.00000,-9.20600,0.45400,-9.65500,0.41600,-9.34100,0.57400,-9.59100,1.40800,-9.21200,0.46100,-9.05900,0.62600,-8.77200,0.46200,-8.96300,0.35700,-11.25400,0.57300,-11.21200,0.72700,-10.80400,0.66000,-10.42800,0.61200,-9.62300,0.65900,-9.46600,0.51700,-8.91200,0.49600,-8.52200,0.65500,-7.98500,0.73100,-7.74800,0.37000,-7.20800,0.72000,-5.97900,0.64900,-5.86000,0.71100,-5.35700,0.89300,-5.32200,0.60500,-4.77100,0.79900,-4.87100,0.79000,-4.78400,0.74300,-4.17300,0.63700,-4.32500,0.75100,-4.20200,0.98700,-4.05700,0.53600,-3.86500,0.86000,-3.48500,0.78300,-3.46500,1.01400,0,0.14150,13.88250,21.66570,26244012,10.57000,3.78000
31.82500,120.47500,Wuxi,3,0.02590,39185.00000,0.13620,53713.00000,0.21980,68162.00000,0.39920,89545.00000,-9.28000,0.45300,-9.69500,0.39900,-9.39400,0.56600,-9.56800,1.33500,-9.28200,0.44500,-9.13300,0.60800,-8.84900,0.48200,-9.04800,0.34000,-11.34700,0.56300,-11.28100,0.70300,-10.86600,0.66900,-10.53000,0.62200,-9.70600,0.64700,-9.58000,0.53400,-9.01500,0.50500,-8.64000,0.65500,-8.09100,0.72700,-7.87100,0.36000,-7.34900,0.68300,-5.87400,0.68600,-5.76600,0.67800,-5.29300,0.87700,-5.20300,0.63000,-4.67900,0.77300,-4.78000,0.75700,-4.63000,0.70100,-4.00300,0.57500,-4.18000,0.64300,-4.03700,0.88100,-3.90900,0.47800,-3.75800,0.79600,-3.37300,0.69100,-3.38000,0.95200,0,0.10520,12.62600,17.04530,26244012,12.61000,4.02000
