latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
24.67500,117.82500,Xiamen,1,0.02260,5081.00000,0.02680,6093.00000,0.02840,6883.00000,0.03440,7287.00000,-8.63800,0.28800,-8.52700,0.27100,-8.69700,0.30000,-8.84100,0.28000,-8.25100,0.19300,-8.38200,0.37000,-8.18000,0.18800,-8.26300,0.40400,-9.88200,0.13600,-10.11200,0.34400,-9.94100,0.31300,-9.81000,0.26600,-9.87400,0.20300,-9.56400,0.26900,-9.81700,0.27700,-9.57600,0.31800,-9.38100,0.32500,-9.28100,0.30700,-9.35600,0.18800,-7.91400,0.34600,-7.77900,0.29300,-7.85800,0.23100,-7.72900,0.24800,-7.72800,0.35900,-7.59000,0.29800,-7.47000,0.27100,-7.54700,0.22700,-7.38900,0.32600,-7.19100,0.38800,-7.48000,0.29500,-7.17200,0.62000,-7.20700,0.40300,-7.20000,0.33400,0,0.01550,4.29030,2.50470,28028200,32.72000,7.69000
24.67500,117.87500,Xiamen,0,0.00060,23.00000,0.00170,140.00000,0.00410,150.00000,0.00880,121.00000,-8.77600,0.31700,-8.68300,0.27200,-8.83100,0.30500,-8.96600,0.27400,-8.34700,0.22800,-8.49000,0.35200,-8.31200,0.16800,-8.37900,0.41900,-9.94500,0.15400,-10.16500,0.33300,-10.05000,0.31200,-9.87900,0.28100,-9.90500,0.20000,-9.54700,0.29900,-9.75900,0.31000,-9.52100,0.34100,-9.31800,0.38700,-9.21000,0.33700,-9.24800,0.20300,-7.94100,0.34100,-7.81800,0.30100,-7.88400,0.22900,-7.75900,0.23100,-7.76100,0.35000,-7.60100,0.27900,-7.48400,0.25600,-7.55200,0.22200,-7.42200,0.31800,-7.24000,0.40800,-7.53300,0.28900,-7.24300,0.62800,-7.24400,0.42800,-7.30400,0.32500,0,0.00430,1.92110,0.39650,28028200,43.13000,8.58000
24.67500,117.92500,Xiamen,0,0.00200,420.00000,0.00630,1194.00000,0.00650,1272.00000,0.00670,1324.00000,-8.84600,0.32900,-8.75000,0.27700,-8.89300,0.30700,-9.02600,0.27500,-8.39800,0.24200,-8.54100,0.34800,-8.37100,0.16400,-8.43100,0.42500,-10.00800,0.21000,-10.17700,0.34300,-10.07400,0.33400,-9.85300,0.30500,-9.88000,0.21800,-9.47500,0.34000,-9.62900,0.32700,-9.38100,0.38300,-9.14800,0.45000,-9.04100,0.37200,-9.05500,0.24400,-7.91900,0.33400,-7.75600,0.29900,-7.84300,0.25800,-7.71300,0.23400,-7.69500,0.40100,-7.52800,0.29000,-7.34900,0.27600,-7.45700,0.25700,-7.28400,0.34900,-7.06400,0.47800,-7.36300,0.34200,-7.08600,0.68100,-7.04800,0.50600,-7.11000,0.38000,0,0.00830,2.58980,0.71820,28028200,52.18000,8.69000
24.67500,117.97500,Xiamen,0,0.00450,0.00000,0.00480,0.00000,0.00490,0.00000,0.00540,2.00000,-9.09800,0.36600,-8.95200,0.32000,-9.09900,0.31500,-9.22800,0.29200,-8.59200,0.28600,-8.72500,0.34900,-8.57600,0.18400,-8.62300,0.44100,-10.08700,0.24500,-10.16100,0.36000,-10.05400,0.36200,-9.78900,0.34300,-9.82800,0.22200,-9.37900,0.39500,-9.46600,0.38100,-9.21400,0.42300,-8.93200,0.51800,-8.77000,0.39900,-8.82700,0.27100,-7.90300,0.38200,-7.67000,0.33000,-7.74400,0.36200,-7.60300,0.33600,-7.53700,0.52900,-7.28500,0.29800,-7.08100,0.33300,-7.17200,0.31200,-6.88800,0.45700,-6.55300,0.60200,-6.93800,0.40800,-6.53000,1.01400,-6.53800,0.60200,-6.53800,0.46600,0,0.00090,0.40520,0.09910,28028200,42.36000,8.66000
24.67500,118.02500,Xiamen,1,0.05190,79.00000,0.05670,246.00000,0.05850,557.00000,0.06750,1958.00000,-9.21000,0.37800,-9.03200,0.33300,-9.19100,0.32200,-9.31900,0.30500,-8.68300,0.30400,-8.81700,0.35400,-8.66800,0.20500,-8.71400,0.44900,-10.21900,0.26600,-10.17800,0.37700,-10.04000,0.38000,-9.76400,0.38500,-9.82900,0.24800,-9.36400,0.44400,-9.37800,0.42300,-9.14500,0.45600,-8.79000,0.57500,-8.57900,0.42600,-8.69400,0.28600,-7.89100,0.48500,-7.62700,0.41900,-7.66600,0.52000,-7.52900,0.46400,-7.30600,0.66000,-7.00800,0.38500,-6.75100,0.43600,-6.83500,0.37100,-6.36500,0.55200,-5.88800,0.71300,-6.30700,0.41200,-5.85700,0.93100,-5.82100,0.61200,-5.69800,0.52600,0,0.01940,4.45360,2.42040,28028200,20.35000,7.05000
24.67500,118.07500,Xiamen,2,0.12470,3029.00000,0.13700,6056.00000,0.14620,9705.00000,0.17680,22009.00000,-9.47800,0.40800,-9.22100,0.36200,-9.41400,0.33900,-9.53600,0.33800,-8.90400,0.34800,-9.03700,0.36700,-8.88800,0.25700,-8.93200,0.46500,-10.39100,0.25800,-10.28700,0.40100,-10.12400,0.40400,-9.83900,0.41800,-9.91300,0.25900,-9.47100,0.49100,-9.43600,0.44000,-9.19300,0.48100,-8.80100,0.60800,-8.54700,0.44500,-8.72000,0.28600,-7.88400,0.55700,-7.61500,0.46800,-7.63100,0.62700,-7.48600,0.53600,-7.15700,0.75900,-6.84900,0.45800,-6.51700,0.52300,-6.60100,0.39400,-5.96700,0.65300,-5.42000,0.76400,-5.76300,0.40000,-5.31000,0.90100,-5.23400,0.54400,-4.94900,0.58000,0,0.05270,7.62880,6.98310,28028200,16.38000,5.90000
24.67500,118.12500,Xiamen,3,0.13730,7828.00000,0.25080,16356.00000,0.31530,29617.00000,0.44750,74333.00000,-9.62900,0.39500,-9.35400,0.37500,-9.54200,0.34900,-9.67900,0.36300,-9.06000,0.37000,-9.20500,0.37400,-9.03700,0.28900,-9.07300,0.46200,-10.62600,0.23800,-10.48900,0.43400,-10.31100,0.44400,-10.02700,0.45300,-10.10100,0.25700,-9.70700,0.51200,-9.62500,0.46200,-9.41400,0.48100,-8.99100,0.64300,-8.69300,0.45900,-8.91400,0.28100,-7.90900,0.58100,-7.62500,0.47200,-7.63700,0.63800,-7.47400,0.53700,-7.12600,0.76800,-6.82400,0.47200,-6.47300,0.54200,-6.55700,0.39600,-5.87500,0.70800,-5.28600,0.76800,-5.59000,0.38100,-5.14300,0.91100,-5.09200,0.50100,-4.72800,0.61000,0,0.17680,12.35310,23.59030,28028200,6.16000,2.78000
24.67500,118.17500,Xiamen,2,0.01740,5440.00000,0.18050,8692.00000,0.24060,14893.00000,0.39660,34096.00000,-9.81200,0.37600,-9.51500,0.39000,-9.69300,0.36000,-9.85000,0.39500,-9.24800,0.39700,-9.41000,0.38400,-9.21900,0.32900,-9.24400,0.45800,-10.93300,0.23100,-10.78800,0.44600,-10.61100,0.46500,-10.34500,0.47200,-10.41700,0.26400,-10.06200,0.53200,-9.94400,0.46500,-9.75600,0.47200,-9.32100,0.66100,-8.99100,0.45100,-9.26200,0.28600,-7.97900,0.60800,-7.67200,0.47600,-7.69300,0.62200,-7.49200,0.51700,-7.15900,0.73100,-6.87500,0.44900,-6.53200,0.53300,-6.61200,0.39700,-5.93100,0.70300,-5.37000,0.75400,-5.70700,0.39200,-5.32600,0.85200,-5.21600,0.47200,-4.87800,0.58900,6,0.09740,10.66190,12.79010,28028200,4.89000,2.83000
24.67500,118.22500,Xiamen,3,0.00800,13622.00000,0.25700,37355.00000,0.28890,66769.00000,0.45350,144443.00000,-9.96300,0.34700,-9.66500,0.40000,-9.80300,0.37500,-10.00200,0.44000,-9.41900,0.40700,-9.59400,0.39100,-9.36900,0.37000,-9.37700,0.43400,-11.24700,0.23900,-11.14000,0.42200,-10.97700,0.47400,-10.73000,0.47900,-10.78600,0.28500,-10.46800,0.55000,-10.36200,0.45200,-10.19000,0.46000,-9.76400,0.65500,-9.45000,0.42700,-9.74400,0.31400,-8.08800,0.64500,-7.73000,0.48100,-7.78000,0.57100,-7.54900,0.46700,-7.26400,0.70400,-6.96900,0.43300,-6.66300,0.54600,-6.71900,0.40400,-6.09600,0.69200,-5.51900,0.73200,-5.91300,0.42300,-5.60400,0.80900,-5.45200,0.41900,-5.09300,0.55900,0,0.13250,12.45530,20.18170,28028200,5.02000,2.57000
24.67500,118.27500,Xiamen,2,0.00470,6054.00000,0.18800,15978.00000,0.20630,27981.00000,0.30060,61150.00000,-10.03700,0.32900,-9.73100,0.40400,-9.84200,0.38500,-10.07100,0.46900,-9.49600,0.41100,-9.67700,0.39500,-9.43700,0.39700,-9.42800,0.41900,-11.53800,0.24800,-11.46500,0.39500,-11.33600,0.44700,-11.08000,0.47700,-11.13300,0.31400,-10.79900,0.59700,-10.75600,0.44200,-10.55700,0.44400,-10.18000,0.64000,-9.91200,0.41600,-10.15900,0.33400,-8.20800,0.60600,-7.84000,0.49700,-7.92500,0.56100,-7.72500,0.46900,-7.39400,0.70600,-7.05700,0.39100,-6.80700,0.56500,-6.84100,0.40900,-6.24500,0.65900,-5.71800,0.67500,-6.19900,0.44100,-5.96300,0.68900,-5.80600,0.35000,-5.65500,0.50600,0,0.07700,8.49620,10.11820,28028200,6.78000,2.84000
