latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.52500,108.62500,Xian,0,0.00010,26482.00000,0.00070,27347.00000,0.00100,29893.00000,0.00170,31124.00000,-9.24800,0.62300,-9.57100,0.33000,-9.73000,0.46100,-8.77200,0.69600,-9.72200,0.50800,-8.78500,0.62200,-8.89000,0.49600,-9.26200,0.32800,-10.51000,0.25600,-10.61100,0.42600,-10.84600,0.43900,-10.89900,0.42300,-10.31700,0.49500,-10.61900,0.40700,-10.55200,0.36900,-10.66000,0.31200,-10.31900,0.37200,-10.64500,0.28500,-10.47400,0.41800,-8.40300,0.50300,-8.89500,0.41100,-8.55600,0.39800,-8.48100,0.44200,-8.48300,0.48600,-8.64900,0.48200,-8.66500,0.55300,-8.33900,0.62700,-8.69700,0.39700,-8.57700,0.49100,-8.30600,0.48200,-8.32300,0.73100,-8.11700,0.61400,-7.92200,0.51900,0,0.02580,4.62040,1.96520,25462352,9.38000,3.71000
34.52500,108.67500,Xian,0,0.00010,640.00000,0.00070,0.00000,0.00120,0.00000,0.00190,0.00000,-9.19600,0.60600,-9.42000,0.28000,-9.62400,0.44700,-8.71300,0.63500,-9.60700,0.45400,-8.76600,0.56000,-8.91700,0.48100,-9.16500,0.30600,-10.45600,0.30300,-10.55500,0.42700,-10.84400,0.50700,-10.87900,0.45500,-10.23300,0.51100,-10.56300,0.46100,-10.49200,0.40900,-10.64500,0.33400,-10.22200,0.38600,-10.55000,0.28000,-10.32000,0.41100,-8.50000,0.54300,-9.02200,0.40600,-8.66500,0.40200,-8.58700,0.42900,-8.59200,0.49200,-8.74200,0.47600,-8.74500,0.53900,-8.46600,0.62200,-8.76900,0.39200,-8.73400,0.49600,-8.40100,0.50700,-8.36200,0.75000,-8.18800,0.62300,-7.98600,0.51200,0,0.01800,4.70410,1.42090,25462352,8.46000,3.29000
34.52500,108.72500,Xian,0,0.00010,21455.00000,0.00030,25039.00000,0.00030,25757.00000,0.00070,21959.00000,-9.19100,0.60500,-9.40500,0.27500,-9.61300,0.44500,-8.70700,0.62900,-9.59600,0.44800,-8.76400,0.55400,-8.92000,0.48000,-9.15500,0.30300,-10.42500,0.34300,-10.53200,0.42600,-10.84600,0.59300,-10.86800,0.47900,-10.15200,0.54600,-10.48700,0.51000,-10.43600,0.45400,-10.60900,0.40900,-10.10600,0.42300,-10.41600,0.29700,-10.16000,0.41200,-8.57800,0.57100,-9.12600,0.38700,-8.76300,0.40500,-8.65800,0.43600,-8.62500,0.48600,-8.76300,0.45300,-8.75800,0.52200,-8.51100,0.62600,-8.75600,0.38200,-8.77200,0.44400,-8.46500,0.49700,-8.29000,0.80400,-8.10200,0.66000,-7.92100,0.49200,0,0.01840,4.51480,1.41690,25462352,7.08000,2.96000
34.52500,108.77500,Xian,0,0.00010,6359.00000,0.00150,4636.00000,0.00160,2791.00000,0.00230,15029.00000,-9.16800,0.60900,-9.30200,0.26300,-9.56000,0.42500,-8.69600,0.60400,-9.52700,0.40700,-8.76900,0.52200,-8.96500,0.50100,-9.12500,0.26500,-10.39600,0.36800,-10.51600,0.42200,-10.81100,0.65500,-10.83100,0.48100,-10.07300,0.57700,-10.43000,0.55400,-10.37700,0.48100,-10.56800,0.46900,-9.96700,0.46100,-10.24200,0.33300,-9.95900,0.42900,-8.62100,0.58100,-9.13400,0.39400,-8.79500,0.38700,-8.66200,0.44500,-8.57500,0.47400,-8.70600,0.43200,-8.69500,0.50900,-8.45400,0.64900,-8.66300,0.36800,-8.68400,0.41600,-8.40500,0.50100,-8.10000,0.88100,-7.88100,0.71500,-7.70800,0.50800,0,0.02100,5.03350,1.49410,25462352,6.51000,2.46000
34.52500,108.82500,Xian,2,0.02800,69095.00000,0.07710,87428.00000,0.09530,94633.00000,0.11230,90586.00000,-9.16800,0.60900,-9.29500,0.26400,-9.55600,0.42400,-8.69900,0.60300,-9.52400,0.40300,-8.77100,0.52100,-8.97100,0.50400,-9.12400,0.26200,-10.35200,0.41800,-10.47100,0.42400,-10.70500,0.69500,-10.74300,0.46500,-9.97400,0.59800,-10.35700,0.57000,-10.29100,0.49500,-10.46800,0.53000,-9.82900,0.49000,-10.02100,0.35600,-9.72500,0.41000,-8.64800,0.57800,-9.10800,0.40800,-8.77200,0.36700,-8.60000,0.46200,-8.44700,0.45600,-8.57300,0.37600,-8.57800,0.50200,-8.33900,0.68100,-8.51400,0.36100,-8.51700,0.43800,-8.28600,0.54400,-7.88900,0.92700,-7.67000,0.77200,-7.39800,0.54400,0,0.06270,6.48020,6.08230,25462352,5.72000,2.00000
34.52500,108.87500,Xian,1,0.00010,742.00000,0.00180,3864.00000,0.00390,6060.00000,0.01150,15227.00000,-9.17900,0.60800,-9.24000,0.28700,-9.53700,0.41800,-8.73400,0.60600,-9.51700,0.36900,-8.79100,0.51700,-9.03100,0.53200,-9.12900,0.24000,-10.33200,0.45400,-10.44100,0.42200,-10.60900,0.71700,-10.65300,0.43200,-9.95600,0.59800,-10.33500,0.55700,-10.26200,0.49700,-10.44100,0.57100,-9.76600,0.51000,-9.87700,0.37000,-9.59600,0.39800,-8.64700,0.58900,-9.08100,0.42500,-8.73700,0.35600,-8.53100,0.47700,-8.34400,0.45800,-8.45000,0.38200,-8.44200,0.52200,-8.22700,0.69700,-8.37400,0.32400,-8.28700,0.49100,-8.13400,0.59300,-7.56400,0.91300,-7.37000,0.85300,-7.00800,0.57400,0,0.03760,6.14020,3.56110,25462352,5.83000,2.30000
34.52500,108.92500,Xian,2,0.00580,22276.00000,0.01650,27271.00000,0.02150,28979.00000,0.06580,36710.00000,-9.18300,0.60500,-9.23700,0.29100,-9.54000,0.42000,-8.74200,0.61100,-9.52400,0.36600,-8.79600,0.51800,-9.04000,0.53200,-9.13300,0.24000,-10.30700,0.49200,-10.41600,0.41900,-10.51600,0.72300,-10.56200,0.42500,-9.96700,0.60300,-10.32600,0.52300,-10.25100,0.49000,-10.44400,0.58700,-9.75800,0.54000,-9.80900,0.39900,-9.53300,0.39800,-8.62200,0.61000,-9.07500,0.44800,-8.69800,0.34500,-8.41700,0.47100,-8.18700,0.47900,-8.30300,0.39500,-8.27300,0.54900,-7.98000,0.73000,-8.16600,0.31000,-7.93500,0.51800,-7.79100,0.58100,-7.12000,0.90400,-6.90700,0.94100,-6.55300,0.57500,0,0.06960,6.59910,6.65920,25462352,5.73000,2.12000
34.52500,108.97500,Xian,1,0.00080,1467.00000,0.00410,7112.00000,0.00600,9957.00000,0.04280,24057.00000,-9.21400,0.58500,-9.22200,0.32000,-9.56000,0.43400,-8.79800,0.64000,-9.57600,0.34000,-8.83200,0.52600,-9.10600,0.53600,-9.16200,0.23700,-10.29100,0.52300,-10.36600,0.43400,-10.41700,0.72400,-10.47600,0.42200,-9.99500,0.58300,-10.32100,0.48900,-10.26200,0.47200,-10.43400,0.59600,-9.77700,0.52600,-9.79100,0.41800,-9.50400,0.39800,-8.58600,0.62500,-9.02900,0.46900,-8.62100,0.35600,-8.20500,0.42900,-7.93500,0.51600,-8.04900,0.43100,-8.05600,0.52800,-7.68300,0.73200,-7.88700,0.36700,-7.60900,0.55700,-7.40500,0.57300,-6.80200,0.82100,-6.51200,0.90700,-6.21500,0.55700,0,0.05280,6.36590,4.68220,25462352,5.74000,2.10000
34.52500,109.02500,Xian,1,0.00040,12293.00000,0.00390,20972.00000,0.00430,25699.00000,0.02600,20859.00000,-9.21900,0.57800,-9.22300,0.32400,-9.57400,0.43700,-8.80500,0.64900,-9.58800,0.34000,-8.84200,0.52900,-9.11500,0.53000,-9.17200,0.24000,-10.29700,0.54600,-10.36200,0.46600,-10.37400,0.72700,-10.43700,0.43700,-10.04800,0.56400,-10.36100,0.46200,-10.35800,0.45400,-10.51200,0.57100,-9.86700,0.52800,-9.90400,0.42200,-9.62600,0.39500,-8.60400,0.65300,-9.05400,0.50700,-8.67000,0.39000,-8.25500,0.41700,-8.01700,0.50300,-8.14200,0.47300,-8.17000,0.55000,-7.73100,0.76100,-7.90200,0.40200,-7.64500,0.61300,-7.42500,0.59500,-6.91700,0.81100,-6.65400,0.94500,-6.35400,0.55900,0,0.04790,6.36150,4.26630,25462352,5.63000,1.97000
34.52500,109.07500,Xian,2,0.01000,34852.00000,0.02560,52304.00000,0.02750,60984.00000,0.05680,73947.00000,-9.24300,0.54700,-9.22900,0.34300,-9.63700,0.45400,-8.84100,0.69100,-9.64700,0.34000,-8.88500,0.54700,-9.15600,0.50100,-9.21900,0.25200,-10.32700,0.55700,-10.36700,0.47100,-10.34400,0.75100,-10.44100,0.47100,-10.09900,0.54800,-10.41300,0.44300,-10.45500,0.45200,-10.61700,0.53300,-9.96900,0.52100,-10.07600,0.42800,-9.79700,0.39600,-8.65800,0.69800,-9.15500,0.57200,-8.84300,0.42000,-8.44300,0.44900,-8.24300,0.47300,-8.34800,0.47900,-8.37700,0.56600,-7.98200,0.80000,-8.15100,0.42100,-7.95100,0.61100,-7.70600,0.61500,-7.35700,0.85900,-7.14100,0.92500,-6.87900,0.53600,0,0.06340,7.49740,6.17260,25462352,5.52000,1.96000
