latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.27500,111.87500,Xiangfan,0,0.00000,16638.00000,0.00070,3072.00000,0.00070,3939.00000,0.00200,2870.00000,-8.96900,0.34900,-9.28600,0.29000,-9.12800,0.48700,-8.90400,0.60100,-9.81600,0.44900,-9.22800,0.46600,-9.76600,0.19300,-8.52300,0.26700,-12.25000,0.37800,-11.45200,0.51100,-12.26800,0.45000,-11.75500,0.38400,-11.20400,0.38400,-11.55800,0.39200,-11.25500,0.50500,-11.70200,0.43600,-11.18800,0.31600,-11.18100,0.42100,-11.26000,0.43600,-8.90600,0.63000,-8.93500,0.42900,-9.26700,0.33900,-8.57400,0.58700,-9.43500,0.57300,-9.72600,0.55000,-9.47600,0.64200,-9.23600,0.69600,-9.67100,0.57500,-9.88000,0.63700,-9.64200,0.72400,-9.65100,0.61700,-10.21500,0.54700,-9.14900,0.70300,0,0.00750,3.54650,0.30040,26117754,8.72000,3.89000
32.27500,111.92500,Xiangfan,0,0.00000,0.00000,0.00050,1717.00000,0.00050,1643.00000,0.00090,1783.00000,-8.95200,0.35500,-9.25800,0.30100,-9.13200,0.50800,-8.87600,0.58100,-9.81400,0.44300,-9.20300,0.48000,-9.78600,0.20000,-8.50300,0.26900,-12.22200,0.37200,-11.39500,0.52600,-12.18700,0.48700,-11.71000,0.38700,-11.11000,0.39600,-11.53100,0.38100,-11.18900,0.49000,-11.62900,0.45500,-11.13500,0.32100,-11.09600,0.45300,-11.16700,0.43600,-8.87200,0.64000,-8.89200,0.43700,-9.25400,0.34500,-8.57200,0.60700,-9.42400,0.57300,-9.75000,0.56600,-9.48100,0.65200,-9.26000,0.70800,-9.64600,0.58400,-9.88600,0.60300,-9.62700,0.70200,-9.63400,0.63100,-10.20100,0.51700,-9.17500,0.71200,0,0.00980,3.51910,0.44920,26117754,8.60000,3.16000
32.27500,111.97500,Xiangfan,0,0.00000,0.00000,0.00050,3422.00000,0.00050,3275.00000,0.00070,1792.00000,-8.92200,0.35700,-9.16600,0.33300,-9.09600,0.53400,-8.79900,0.53100,-9.79200,0.44900,-9.12400,0.50100,-9.79900,0.21300,-8.46100,0.27300,-12.14300,0.34200,-11.28500,0.53700,-12.03800,0.52700,-11.59900,0.40100,-10.96900,0.42300,-11.42800,0.38400,-11.03000,0.47100,-11.45900,0.47300,-10.98700,0.32700,-10.91700,0.48500,-10.98500,0.42200,-8.80000,0.62200,-8.80900,0.46700,-9.19300,0.34700,-8.54900,0.61600,-9.36800,0.60100,-9.73500,0.55900,-9.42700,0.66200,-9.25800,0.73100,-9.55100,0.56000,-9.79500,0.56700,-9.49300,0.67000,-9.49700,0.67800,-10.01700,0.54000,-9.08000,0.70700,0,0.01220,3.70140,0.63290,26117754,8.96000,3.23000
32.27500,112.02500,Xiangfan,0,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-8.90800,0.35800,-9.12300,0.34800,-9.07900,0.54600,-8.76300,0.50800,-9.78100,0.45200,-9.08800,0.51000,-9.80500,0.22000,-8.44100,0.27500,-12.04000,0.31500,-11.15300,0.53700,-11.85400,0.57400,-11.46300,0.43500,-10.81300,0.44600,-11.27700,0.40700,-10.83600,0.46500,-11.25200,0.49300,-10.78800,0.33300,-10.67400,0.53600,-10.75100,0.38300,-8.72400,0.59500,-8.74500,0.49800,-9.09600,0.34700,-8.51300,0.61700,-9.31800,0.67300,-9.69800,0.54200,-9.33900,0.66500,-9.24000,0.77100,-9.41500,0.52500,-9.54800,0.61200,-9.17800,0.61700,-9.28800,0.68600,-9.64600,0.63200,-8.84100,0.70400,0,0.01050,3.59120,0.51900,26117754,9.46000,3.77000
32.27500,112.07500,Xiangfan,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00190,1072.00000,-8.87500,0.35200,-9.00700,0.37000,-9.01200,0.56500,-8.68200,0.46400,-9.75400,0.47000,-8.98500,0.52400,-9.82100,0.22500,-8.39400,0.28000,-11.93800,0.30100,-11.03300,0.51600,-11.66700,0.59400,-11.30500,0.46600,-10.67900,0.46300,-11.13200,0.45800,-10.65500,0.47700,-11.06300,0.50100,-10.60600,0.34900,-10.46100,0.57900,-10.52600,0.36500,-8.67700,0.57100,-8.69000,0.52300,-8.99300,0.36700,-8.47900,0.60300,-9.28800,0.74800,-9.67000,0.51000,-9.24000,0.66200,-9.21700,0.81500,-9.30700,0.48700,-9.34200,0.67900,-8.89300,0.61200,-9.10800,0.67300,-9.42500,0.69500,-8.57100,0.75300,0,0.00940,3.90400,0.46210,26117754,8.65000,3.38000
32.27500,112.12500,Xiangfan,0,0.00030,0.00000,0.00730,67.00000,0.00880,638.00000,0.00970,2591.00000,-8.86500,0.35000,-8.97500,0.37700,-8.99300,0.57000,-8.66000,0.45200,-9.74600,0.47500,-8.95500,0.52800,-9.82500,0.22600,-8.38100,0.28100,-11.85000,0.28500,-10.94500,0.48000,-11.51700,0.60900,-11.16300,0.48000,-10.56000,0.46800,-10.99000,0.50800,-10.49900,0.49900,-10.91000,0.48600,-10.46400,0.36700,-10.30000,0.60500,-10.33700,0.35000,-8.65000,0.55100,-8.63100,0.55000,-8.94900,0.38100,-8.44200,0.59100,-9.26300,0.78300,-9.65000,0.49100,-9.19300,0.67200,-9.22100,0.82400,-9.25700,0.48100,-9.25400,0.71700,-8.76600,0.61300,-9.04200,0.67400,-9.35500,0.74800,-8.43400,0.77900,0,0.01290,4.85980,0.69790,26117754,7.47000,3.26000
32.27500,112.17500,Xiangfan,0,0.00000,6490.00000,0.00070,287.00000,0.00080,593.00000,0.00100,792.00000,-8.84000,0.34700,-8.88000,0.38300,-8.90900,0.58500,-8.60300,0.42900,-9.70900,0.49800,-8.84500,0.51300,-9.84100,0.22900,-8.36500,0.28800,-11.81200,0.27700,-10.90200,0.43600,-11.38800,0.62500,-11.07900,0.48200,-10.48000,0.45100,-10.85900,0.53100,-10.39800,0.50400,-10.82200,0.46600,-10.38000,0.37500,-10.21100,0.63700,-10.20500,0.35000,-8.61100,0.52600,-8.55300,0.57100,-8.89300,0.39400,-8.37500,0.58800,-9.22200,0.79300,-9.60600,0.48700,-9.14700,0.65500,-9.23100,0.79700,-9.22000,0.48200,-9.21100,0.72100,-8.68400,0.61000,-9.01500,0.66400,-9.34200,0.77500,-8.37800,0.83200,0,0.01100,3.84120,0.54720,26117754,8.06000,3.34000
32.27500,112.22500,Xiangfan,0,0.00000,11732.00000,0.00240,60471.00000,0.00300,55137.00000,0.00310,36244.00000,-8.83500,0.34700,-8.86300,0.38400,-8.89400,0.58800,-8.59500,0.42600,-9.70300,0.50300,-8.82500,0.50900,-9.84600,0.23000,-8.36400,0.29000,-11.81300,0.27200,-10.90300,0.39000,-11.32200,0.60600,-11.04000,0.49600,-10.45200,0.42800,-10.80000,0.54400,-10.37800,0.51600,-10.78400,0.47300,-10.37200,0.40400,-10.21300,0.64700,-10.16600,0.38100,-8.56100,0.51100,-8.44900,0.56900,-8.79900,0.42800,-8.24800,0.57300,-9.12300,0.76500,-9.51900,0.51100,-9.08900,0.62500,-9.20600,0.77400,-9.18700,0.48300,-9.16400,0.72200,-8.64200,0.58700,-8.97900,0.66200,-9.33300,0.77300,-8.32500,0.90300,0,0.01610,4.37390,0.86660,26117754,7.76000,3.16000
32.27500,112.27500,Xiangfan,0,0.00000,10733.00000,0.00050,4076.00000,0.00060,3119.00000,0.00080,3789.00000,-8.82200,0.35700,-8.79900,0.39700,-8.82900,0.58700,-8.57800,0.43000,-9.67500,0.52500,-8.74500,0.47500,-9.88400,0.24000,-8.39800,0.30800,-11.86600,0.27600,-10.94500,0.34800,-11.32200,0.56700,-11.05300,0.49800,-10.46300,0.39900,-10.78800,0.54600,-10.41200,0.51400,-10.79300,0.48400,-10.41600,0.43100,-10.27000,0.65500,-10.19600,0.40300,-8.49700,0.51600,-8.36500,0.56200,-8.74600,0.42400,-8.12500,0.53300,-8.93300,0.64300,-9.42300,0.49700,-9.05300,0.60700,-9.16700,0.74500,-9.13700,0.50200,-9.13800,0.74500,-8.64100,0.56200,-8.96100,0.66400,-9.36100,0.74700,-8.30800,0.92200,0,0.00880,3.31410,0.38980,26117754,8.21000,3.41000
32.27500,112.32500,Xiangfan,1,0.00000,1897.00000,0.00240,11584.00000,0.00270,12404.00000,0.00330,7836.00000,-8.81000,0.36000,-8.78300,0.40300,-8.82000,0.58700,-8.57000,0.43500,-9.66200,0.52800,-8.72800,0.47500,-9.88300,0.24200,-8.40600,0.31000,-11.93800,0.29100,-11.01200,0.33500,-11.37000,0.52700,-11.09700,0.49900,-10.51400,0.36300,-10.78400,0.53600,-10.46500,0.51200,-10.80700,0.51200,-10.49400,0.43500,-10.35000,0.67700,-10.26100,0.43100,-8.43000,0.54100,-8.36000,0.56400,-8.71400,0.42300,-8.10100,0.55000,-8.86900,0.60500,-9.34300,0.47900,-9.07100,0.59700,-9.15300,0.72600,-9.09200,0.53600,-9.14700,0.78000,-8.63700,0.53600,-8.96500,0.65200,-9.44200,0.74000,-8.36000,0.89900,0,0.01360,4.01620,0.70200,26117754,8.72000,3.61000
