latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
28.12500,112.67500,Xiangtan,0,0.00000,7288.00000,0.00050,3741.00000,0.00050,4329.00000,0.00120,8520.00000,-9.08400,0.24700,-9.05500,0.13000,-9.35600,0.38000,-9.21100,0.30100,-9.25200,0.20200,-9.05500,0.30700,-8.69800,0.22500,-9.09800,0.16300,-11.42300,0.39100,-11.58900,0.38900,-11.56900,0.46000,-11.28000,0.39600,-11.60800,0.34800,-11.40500,0.39100,-11.31500,0.47600,-11.29000,0.42700,-11.16200,0.28500,-11.04400,0.33900,-11.11200,0.53500,-8.66200,0.27800,-8.48300,0.24500,-8.58000,0.34000,-8.32600,0.25400,-8.54600,0.31500,-8.37900,0.32500,-8.54000,0.26400,-8.18600,0.33200,-8.28500,0.30800,-8.34300,0.41600,-8.32000,0.35400,-8.07900,0.46900,-8.20600,0.49200,-7.88400,0.37600,0,0.01180,4.60130,1.22580,27220002,33.34000,6.61000
28.12500,112.72500,Xiangtan,1,0.00000,4321.00000,0.00050,6267.00000,0.00050,6823.00000,0.00270,10671.00000,-9.08600,0.25200,-9.05100,0.13400,-9.33700,0.37600,-9.19700,0.31800,-9.23500,0.20200,-9.03700,0.30500,-8.67600,0.22700,-9.06700,0.15900,-11.35000,0.44600,-11.51600,0.35400,-11.48100,0.45500,-11.16000,0.33600,-11.49600,0.32600,-11.23800,0.36900,-11.13600,0.46000,-11.12300,0.38200,-10.88500,0.25100,-10.75600,0.29800,-10.86100,0.53000,-8.57600,0.29800,-8.42200,0.26900,-8.46000,0.33500,-8.18900,0.24100,-8.40000,0.29500,-8.25000,0.31100,-8.33500,0.28800,-7.93600,0.36700,-8.06500,0.29700,-8.03000,0.47200,-8.05600,0.33600,-7.74000,0.48900,-7.87500,0.44900,-7.51400,0.38400,0,0.00790,3.46740,0.88390,27220002,31.86000,6.22000
28.12500,112.77500,Xiangtan,1,0.00020,10721.00000,0.00310,14579.00000,0.00340,17170.00000,0.00720,19585.00000,-9.08300,0.26800,-9.03300,0.14700,-9.26700,0.36000,-9.13700,0.38600,-9.17600,0.20000,-8.97400,0.30100,-8.59200,0.23300,-8.95700,0.14800,-11.19400,0.47500,-11.37600,0.35600,-11.32800,0.41400,-10.93600,0.31400,-11.29700,0.29200,-10.97000,0.35800,-10.82000,0.45000,-10.82700,0.33200,-10.48400,0.28200,-10.30800,0.31000,-10.38500,0.55000,-8.46900,0.29700,-8.31700,0.28700,-8.31500,0.34000,-8.07000,0.26800,-8.18500,0.30000,-8.09300,0.35200,-8.08300,0.32800,-7.63300,0.41400,-7.74800,0.32700,-7.58700,0.57800,-7.65100,0.38600,-7.34100,0.56200,-7.40600,0.51400,-7.02100,0.40400,0,0.01100,4.91730,1.18710,27220002,31.57000,6.02000
28.12500,112.82500,Xiangtan,1,0.00000,1736.00000,0.00140,5547.00000,0.00150,6225.00000,0.00500,8970.00000,-9.07500,0.27500,-9.02100,0.15200,-9.24100,0.35200,-9.10900,0.41500,-9.15200,0.19900,-8.94800,0.30100,-8.56200,0.23300,-8.91700,0.14300,-10.98700,0.48400,-11.18300,0.37200,-11.13700,0.37100,-10.66100,0.32900,-11.03700,0.27800,-10.62100,0.36300,-10.43200,0.44600,-10.42700,0.28000,-10.01300,0.35600,-9.77200,0.32800,-9.82300,0.56100,-8.26500,0.31400,-8.05200,0.31200,-8.11300,0.33200,-7.76100,0.34100,-7.80500,0.32200,-7.74500,0.46000,-7.68000,0.38400,-7.15100,0.45200,-7.16800,0.40900,-6.94400,0.64700,-6.97400,0.46600,-6.69800,0.60100,-6.67300,0.63100,-6.22200,0.49700,0,0.01270,5.95500,1.46310,27220002,25.65000,5.82000
28.12500,112.87500,Xiangtan,2,0.00070,115.00000,0.00650,6318.00000,0.02250,9550.00000,0.08820,24900.00000,-9.06200,0.28800,-9.00000,0.16100,-9.19200,0.33700,-9.05500,0.47100,-9.10500,0.19600,-8.90000,0.30200,-8.50400,0.23300,-8.84000,0.13300,-10.77400,0.48200,-10.94700,0.38200,-10.91000,0.33600,-10.36500,0.35200,-10.73800,0.29600,-10.23700,0.38300,-10.01200,0.43700,-9.97500,0.25400,-9.52200,0.42300,-9.20300,0.35600,-9.23800,0.53500,-7.85100,0.40600,-7.49100,0.39200,-7.68600,0.37300,-7.09400,0.44300,-7.09900,0.37800,-6.96200,0.52600,-6.89800,0.43600,-6.20400,0.47000,-6.06800,0.45600,-5.84700,0.70500,-5.81200,0.55100,-5.45900,0.64300,-5.42900,0.71500,-4.92400,0.60600,0,0.05710,9.84950,8.84530,27220002,17.79000,4.95000
28.12500,112.92500,Xiangtan,2,0.03480,8852.00000,0.10570,27163.00000,0.17140,33672.00000,0.27180,36084.00000,-9.04200,0.29300,-8.98600,0.16300,-9.16700,0.32700,-9.01900,0.50000,-9.07500,0.19000,-8.86600,0.30700,-8.47600,0.22900,-8.80300,0.12800,-10.61200,0.47400,-10.72700,0.37300,-10.71400,0.32100,-10.10800,0.36700,-10.46300,0.29800,-9.90200,0.40200,-9.64300,0.41700,-9.57100,0.24100,-9.10400,0.45600,-8.71300,0.36800,-8.75000,0.50100,-7.14900,0.46800,-6.76400,0.42900,-6.93300,0.40600,-6.23800,0.51300,-6.07700,0.37100,-5.84800,0.50600,-5.87800,0.47300,-5.01900,0.47700,-4.86700,0.43100,-4.59100,0.67500,-4.55000,0.53800,-4.08100,0.59400,-4.12000,0.65400,-3.63800,0.60200,0,0.09940,13.09940,16.48900,27220002,9.93000,4.20000
28.12500,112.97500,Xiangtan,3,0.13610,98434.00000,0.30140,160521.00000,0.38360,193463.00000,0.50020,233079.00000,-9.02400,0.29900,-8.97300,0.16400,-9.14400,0.31700,-8.98600,0.52700,-9.04700,0.18400,-8.83400,0.31100,-8.45100,0.22500,-8.76800,0.12400,-10.53700,0.46000,-10.59400,0.36300,-10.60000,0.32600,-9.97100,0.38400,-10.30700,0.28100,-9.70900,0.40700,-9.44500,0.39500,-9.33800,0.23000,-8.87200,0.46900,-8.43000,0.36900,-8.49100,0.49200,-6.57500,0.47200,-6.23900,0.46400,-6.37200,0.39000,-5.65600,0.49200,-5.49700,0.32800,-5.27500,0.42800,-5.21900,0.46800,-4.38800,0.47900,-4.31700,0.39700,-3.97300,0.65600,-3.91300,0.50800,-3.52900,0.57200,-3.52500,0.61200,-3.12200,0.59200,0,0.18840,19.07820,37.04210,27220002,9.58000,4.09000
28.12500,113.02500,Xiangtan,3,0.06420,103138.00000,0.27270,130508.00000,0.37770,149534.00000,0.53020,160349.00000,-8.98500,0.29700,-8.95300,0.16000,-9.12600,0.30600,-8.95500,0.53300,-9.02500,0.17800,-8.81400,0.31500,-8.43500,0.22200,-8.75000,0.12700,-10.54100,0.44500,-10.57500,0.36400,-10.57800,0.33700,-9.97600,0.39300,-10.26100,0.27000,-9.66300,0.40800,-9.43200,0.39600,-9.29100,0.23600,-8.83800,0.47500,-8.36700,0.38600,-8.45500,0.50300,-6.56800,0.45400,-6.16100,0.48400,-6.26900,0.36400,-5.60300,0.45500,-5.62400,0.36500,-5.44800,0.46600,-5.19400,0.49800,-4.42800,0.50700,-4.34800,0.38700,-4.02500,0.68300,-3.92900,0.50400,-3.58700,0.54300,-3.51500,0.63100,-3.16000,0.60400,0,0.19020,18.47090,36.57430,27220002,9.99000,3.99000
28.12500,113.07500,Xiangtan,2,0.00230,17506.00000,0.07550,25880.00000,0.10600,30870.00000,0.20830,42710.00000,-8.96900,0.29700,-8.94700,0.15800,-9.12100,0.30200,-8.94500,0.53500,-9.01800,0.17600,-8.80700,0.31600,-8.43100,0.22100,-8.74500,0.12900,-10.63500,0.41900,-10.65600,0.38700,-10.67500,0.35400,-10.11900,0.37700,-10.33600,0.29100,-9.76800,0.41300,-9.58800,0.39000,-9.42300,0.26100,-9.01400,0.46200,-8.55700,0.39500,-8.64100,0.52500,-7.23900,0.53500,-6.61600,0.54900,-6.80500,0.44400,-6.06300,0.50600,-6.00700,0.42500,-5.87800,0.51200,-5.76200,0.52700,-5.01200,0.46200,-4.73700,0.37700,-4.49900,0.70100,-4.49900,0.59500,-4.05200,0.57200,-3.97600,0.71800,-3.69300,0.63600,0,0.09830,10.30650,12.20940,27220002,10.81000,4.23000
28.12500,113.12500,Xiangtan,1,0.00070,9361.00000,0.01490,11158.00000,0.01880,11673.00000,0.02990,16766.00000,-8.91500,0.28500,-8.92200,0.14600,-9.10900,0.29300,-8.91200,0.50700,-9.00600,0.17600,-8.80900,0.31500,-8.43600,0.21900,-8.75600,0.13600,-10.79800,0.39400,-10.85900,0.40200,-10.88300,0.36800,-10.38800,0.35000,-10.57000,0.31400,-10.07400,0.39600,-9.92800,0.37000,-9.74900,0.30400,-9.40800,0.41700,-9.00600,0.38800,-9.08500,0.52800,-7.96200,0.46700,-7.57700,0.54500,-7.77500,0.48800,-7.11000,0.49300,-7.26600,0.49500,-7.04000,0.55900,-6.96100,0.51400,-6.13000,0.55000,-6.06600,0.37100,-5.70300,0.64800,-5.62400,0.67800,-5.19300,0.70700,-5.12700,0.61200,-4.75800,0.69700,0,0.04370,8.69450,5.93100,27220002,15.20000,4.72000
