latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
30.62500,113.17500,Xiantao,2,0.00380,67951.00000,0.04130,52245.00000,0.05960,49705.00000,0.09700,40181.00000,-8.74700,0.22000,-8.76700,0.30700,-9.10300,0.29300,-8.85700,0.18300,-8.89300,0.31700,-8.83000,0.28000,-9.19600,0.45400,-9.11200,0.30300,-11.34300,0.29200,-10.93200,0.51700,-11.47500,0.33200,-11.21500,0.31700,-11.11700,0.33000,-10.69600,0.32300,-10.80200,0.39400,-10.79000,0.36100,-10.51000,0.45500,-10.21900,0.46300,-10.97700,0.34600,-8.23400,0.42500,-7.95600,0.58800,-8.77800,0.36600,-8.16400,0.55600,-8.31400,0.51500,-8.54000,0.35400,-8.27900,0.65400,-8.23400,0.53000,-8.54000,0.49500,-8.35400,0.83100,-8.51200,0.58300,-8.48600,0.59500,-8.60800,0.39400,-7.74100,0.72700,0,0.05600,7.84300,7.31520,26572744,10.08000,3.48000
30.62500,113.22500,Xiantao,1,0.00080,43298.00000,0.00800,36276.00000,0.01290,29059.00000,0.01730,14992.00000,-8.80000,0.22900,-8.82100,0.30500,-9.16900,0.29500,-8.93200,0.21800,-8.94300,0.30700,-8.89000,0.27500,-9.25200,0.44700,-9.15200,0.32800,-11.46500,0.31300,-10.99400,0.56300,-11.53300,0.28500,-11.28900,0.30800,-11.20600,0.35500,-10.77400,0.31900,-10.89800,0.37100,-10.85200,0.36500,-10.55900,0.44200,-10.26400,0.44700,-11.10100,0.38600,-8.35100,0.40800,-8.07000,0.58700,-8.92900,0.39400,-8.33900,0.57200,-8.47800,0.53400,-8.70800,0.38600,-8.45500,0.67700,-8.47900,0.56500,-8.79900,0.54000,-8.58400,0.83400,-8.81500,0.66000,-8.79100,0.63000,-8.90000,0.42400,-8.04400,0.77800,0,0.01220,4.02790,0.64260,26572744,11.17000,3.53000
30.62500,113.27500,Xiantao,0,0.00010,0.00000,0.00190,12482.00000,0.00380,12150.00000,0.00480,6445.00000,-8.88000,0.24300,-8.90200,0.29900,-9.27100,0.30000,-9.04600,0.27500,-9.01800,0.29200,-8.98300,0.26600,-9.33600,0.43700,-9.21300,0.37000,-11.55400,0.34100,-11.05700,0.63700,-11.58600,0.27100,-11.34100,0.31000,-11.26600,0.38700,-10.84200,0.31300,-10.98900,0.35900,-10.89600,0.37000,-10.60600,0.42200,-10.32100,0.42700,-11.25000,0.44000,-8.47000,0.38800,-8.19800,0.57100,-9.16100,0.44900,-8.56800,0.62400,-8.69200,0.54000,-8.94500,0.45100,-8.81000,0.75900,-8.93000,0.63500,-9.35200,0.63000,-9.11400,0.91400,-9.36200,0.78300,-9.35400,0.70300,-9.48000,0.47900,-8.69900,0.85500,0,0.00830,3.23910,0.25550,26572744,12.28000,3.86000
30.62500,113.32500,Xiantao,0,0.00030,0.00000,0.00090,542.00000,0.00140,1997.00000,0.00190,847.00000,-8.93300,0.25600,-8.94900,0.29300,-9.32400,0.30000,-9.10100,0.32300,-9.05500,0.29500,-9.02200,0.28400,-9.37500,0.43100,-9.24000,0.39700,-11.61300,0.38900,-11.10500,0.71700,-11.61300,0.31900,-11.38000,0.32200,-11.29800,0.42400,-10.86700,0.33300,-11.06400,0.36500,-10.90600,0.37400,-10.62200,0.40700,-10.36200,0.41900,-11.37400,0.49400,-8.57100,0.36700,-8.29900,0.54500,-9.39200,0.50800,-8.81200,0.66800,-8.95000,0.52500,-9.27000,0.52100,-9.30400,0.80500,-9.45100,0.70300,-9.92600,0.64200,-9.76000,0.94100,-9.91900,0.83400,-9.88400,0.76200,-10.11100,0.57200,-9.41800,0.93200,0,0.00430,1.80760,0.14280,26572744,12.71000,3.97000
30.62500,113.37500,Xiantao,0,0.00030,0.00000,0.00160,456.00000,0.00220,795.00000,0.00340,1251.00000,-8.98600,0.26900,-8.99700,0.28600,-9.37700,0.30000,-9.15700,0.37000,-9.09200,0.29800,-9.06200,0.30000,-9.41400,0.42400,-9.26800,0.42500,-11.66100,0.44300,-11.15100,0.78600,-11.62300,0.39800,-11.40500,0.36000,-11.30500,0.45800,-10.86600,0.35900,-11.11100,0.39100,-10.90300,0.38800,-10.62500,0.39100,-10.38800,0.42200,-11.47500,0.53700,-8.61400,0.34800,-8.36800,0.50400,-9.52500,0.52900,-8.97800,0.65100,-9.11200,0.51200,-9.50200,0.54800,-9.55700,0.77100,-9.72100,0.74000,-10.16400,0.64200,-10.02600,0.85100,-10.12800,0.80800,-10.10000,0.79300,-10.42000,0.65400,-9.70800,0.92900,0,0.00330,1.29420,0.20490,26572744,13.15000,4.05000
30.62500,113.42500,Xiantao,1,0.00030,17246.00000,0.00090,11604.00000,0.00130,9534.00000,0.00270,4951.00000,-9.02600,0.27600,-9.02800,0.27900,-9.39200,0.29100,-9.16800,0.39400,-9.10100,0.31200,-9.08800,0.31200,-9.42300,0.42300,-9.27900,0.43400,-11.72300,0.50900,-11.20800,0.82100,-11.65000,0.47600,-11.42400,0.40200,-11.31300,0.48300,-10.87800,0.36400,-11.13500,0.41800,-10.91900,0.40900,-10.64800,0.37700,-10.43400,0.42800,-11.56800,0.56500,-8.62800,0.33600,-8.41300,0.48000,-9.59800,0.52800,-9.06500,0.62900,-9.19000,0.50900,-9.59300,0.54600,-9.62200,0.76000,-9.80000,0.73700,-10.23300,0.63800,-10.07700,0.80100,-10.18000,0.78300,-10.18100,0.77300,-10.50000,0.64200,-9.78300,0.89300,0,0.00530,2.30740,0.19640,26572744,12.36000,4.22000
30.62500,113.47500,Xiantao,1,0.00010,12508.00000,0.00580,13280.00000,0.00660,13131.00000,0.01070,9125.00000,-9.05500,0.28000,-9.05200,0.27400,-9.40700,0.28400,-9.18100,0.40700,-9.11300,0.31900,-9.11000,0.31800,-9.43400,0.42200,-9.28900,0.44000,-11.78200,0.55700,-11.27400,0.84300,-11.67000,0.51400,-11.43200,0.42100,-11.30900,0.48000,-10.88900,0.36400,-11.14300,0.44400,-10.92300,0.40700,-10.66700,0.37200,-10.49300,0.42500,-11.61100,0.56800,-8.64300,0.32000,-8.46400,0.47000,-9.63300,0.51900,-9.12000,0.62700,-9.23400,0.50900,-9.64000,0.53600,-9.64800,0.75500,-9.83700,0.72100,-10.24700,0.61700,-10.06600,0.77100,-10.16300,0.72800,-10.20200,0.74900,-10.53200,0.60900,-9.80500,0.84600,0,0.00790,2.22120,0.42550,26572744,12.03000,3.86000
30.62500,113.52500,Xiantao,0,0.00000,0.00000,0.00150,7195.00000,0.00180,6952.00000,0.00330,3567.00000,-9.08300,0.27100,-9.07100,0.26200,-9.40800,0.27600,-9.17900,0.41700,-9.10300,0.32700,-9.12700,0.34000,-9.42500,0.42100,-9.28900,0.42600,-11.81900,0.55300,-11.34500,0.83500,-11.67900,0.49900,-11.44800,0.41700,-11.31000,0.46400,-10.90300,0.36200,-11.13000,0.46600,-10.95200,0.40100,-10.68300,0.34600,-10.54500,0.41200,-11.59000,0.55600,-8.66900,0.30300,-8.52000,0.46000,-9.65300,0.50900,-9.17300,0.62100,-9.27400,0.51300,-9.68500,0.52100,-9.67100,0.73500,-9.86700,0.67400,-10.22100,0.61600,-10.00800,0.70900,-10.10000,0.66400,-10.19500,0.69900,-10.53400,0.56800,-9.80900,0.79700,0,0.00540,1.89730,0.25680,26572744,12.40000,3.94000
30.62500,113.57500,Xiantao,0,0.00000,0.00000,0.00070,2758.00000,0.00100,2461.00000,0.00200,3623.00000,-9.10100,0.26800,-9.08400,0.25700,-9.41500,0.27200,-9.18800,0.41900,-9.10700,0.32800,-9.14100,0.34600,-9.42800,0.41900,-9.29300,0.42200,-11.86900,0.50400,-11.40100,0.80200,-11.71300,0.44000,-11.48000,0.38600,-11.34100,0.43000,-10.92800,0.36000,-11.13000,0.46400,-10.99900,0.39000,-10.73600,0.31900,-10.60200,0.42100,-11.54800,0.50800,-8.72200,0.27400,-8.61100,0.41700,-9.67200,0.50500,-9.21700,0.60500,-9.31500,0.49800,-9.72400,0.49100,-9.67300,0.70200,-9.86400,0.64200,-10.13600,0.58600,-9.97800,0.66000,-9.96200,0.55200,-10.14500,0.62600,-10.51700,0.53100,-9.83100,0.73100,0,0.00630,2.42950,0.26340,26572744,12.32000,3.99000
30.62500,113.62500,Xiantao,1,0.00000,0.00000,0.00080,12178.00000,0.00090,9611.00000,0.00280,8409.00000,-9.12200,0.24700,-9.09800,0.22900,-9.41400,0.27000,-9.19100,0.42200,-9.10000,0.32100,-9.14400,0.37200,-9.41800,0.40900,-9.29400,0.40000,-11.86700,0.43700,-11.44000,0.76200,-11.71600,0.38100,-11.49200,0.35900,-11.33500,0.40500,-10.93600,0.37600,-11.12400,0.45000,-11.01400,0.36800,-10.74500,0.30300,-10.63300,0.43300,-11.43700,0.47800,-8.76400,0.27800,-8.69900,0.37000,-9.61700,0.46800,-9.17900,0.55200,-9.31500,0.46900,-9.64600,0.38600,-9.55500,0.63200,-9.68000,0.56100,-9.90500,0.49400,-9.77700,0.59600,-9.69100,0.50300,-9.99400,0.54500,-10.29700,0.43300,-9.61300,0.66800,0,0.00770,1.97150,0.59010,26572744,12.66000,4.24000
