latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.57500,108.47500,Xianyang,0,0.00040,31670.00000,0.00060,33889.00000,0.00060,35327.00000,0.00070,37473.00000,-9.38700,0.73300,-9.91100,0.47400,-10.03700,0.50100,-8.98300,0.87500,-10.02300,0.62200,-8.91100,0.76000,-8.94500,0.55300,-9.53000,0.39200,-10.91600,0.27200,-10.98500,0.41600,-11.10600,0.41400,-11.17700,0.33100,-10.59700,0.48900,-10.89900,0.35700,-10.87300,0.35900,-10.87400,0.39000,-10.62000,0.34300,-10.88400,0.31400,-10.78900,0.36200,-8.48000,0.61400,-9.05800,0.49100,-8.68200,0.57100,-8.63000,0.64500,-8.61100,0.71000,-8.76200,0.56900,-8.90000,0.67200,-8.61000,0.79000,-9.00900,0.44600,-9.05900,0.49300,-8.70200,0.55800,-8.62700,0.72800,-8.46600,0.78500,-8.30000,0.54300,0,0.01270,3.67530,0.72570,25447334,6.32000,2.51000
34.57500,108.52500,Xianyang,1,0.00000,17252.00000,0.00270,39793.00000,0.00300,43123.00000,0.00600,36515.00000,-9.36800,0.71700,-9.88000,0.46200,-10.00600,0.50300,-8.96500,0.85500,-9.98200,0.60800,-8.90800,0.74300,-8.93800,0.54300,-9.50600,0.38900,-10.80500,0.24800,-10.87600,0.39900,-11.04000,0.39500,-11.09800,0.34700,-10.53500,0.46600,-10.83900,0.35100,-10.78300,0.32500,-10.84700,0.35000,-10.55400,0.32500,-10.84800,0.29600,-10.73400,0.34500,-8.44600,0.54100,-9.01700,0.44800,-8.63600,0.48400,-8.54600,0.53800,-8.56500,0.62000,-8.70000,0.51400,-8.78400,0.60700,-8.47600,0.72100,-8.92700,0.41000,-8.84500,0.46200,-8.57400,0.52100,-8.51100,0.71500,-8.36000,0.72900,-8.14800,0.50600,0,0.02010,4.76770,1.35350,25447334,9.60000,3.78000
34.57500,108.57500,Xianyang,0,0.00010,7337.00000,0.00020,172.00000,0.00020,1002.00000,0.00170,2429.00000,-9.30300,0.68000,-9.73800,0.40500,-9.88200,0.50000,-8.87000,0.77000,-9.85000,0.55400,-8.88400,0.67200,-8.93400,0.51600,-9.39800,0.37500,-10.71900,0.23500,-10.80200,0.40300,-11.00800,0.38900,-11.05700,0.37000,-10.50900,0.47600,-10.79000,0.38200,-10.72700,0.33100,-10.84800,0.32700,-10.51100,0.34400,-10.83700,0.30000,-10.70100,0.36500,-8.47800,0.52200,-9.04300,0.42600,-8.65500,0.44600,-8.55800,0.48300,-8.58200,0.57700,-8.72900,0.49500,-8.78800,0.58300,-8.46000,0.67200,-8.89400,0.39800,-8.82900,0.46900,-8.55300,0.48500,-8.51000,0.71800,-8.37600,0.68000,-8.12400,0.49700,0,0.01710,4.78320,1.17230,25447334,10.55000,3.79000
34.57500,108.62500,Xianyang,0,0.00000,8486.00000,0.00080,19096.00000,0.00080,20601.00000,0.00180,11533.00000,-9.29000,0.67400,-9.71300,0.39500,-9.86100,0.50100,-8.85300,0.75400,-9.82600,0.54300,-8.88400,0.65800,-8.93500,0.51100,-9.38000,0.37400,-10.64900,0.26000,-10.74800,0.42200,-11.02400,0.42300,-11.04700,0.39000,-10.47000,0.51100,-10.74900,0.42700,-10.70700,0.35300,-10.85000,0.33300,-10.47700,0.37400,-10.83200,0.29000,-10.64900,0.38800,-8.53600,0.53100,-9.12000,0.41600,-8.72000,0.43200,-8.60200,0.46800,-8.65100,0.54700,-8.79500,0.49000,-8.85200,0.59200,-8.52600,0.65000,-8.93200,0.38700,-8.90600,0.48400,-8.59000,0.46200,-8.54200,0.74600,-8.41400,0.65900,-8.18100,0.49500,0,0.01940,4.73390,1.27580,25447334,7.56000,3.06000
34.57500,108.67500,Xianyang,0,0.00010,23280.00000,0.00060,15022.00000,0.00070,13817.00000,0.00190,22050.00000,-9.24400,0.66200,-9.58300,0.33300,-9.75800,0.49100,-8.78100,0.69200,-9.73200,0.48000,-8.87100,0.60200,-8.95600,0.50400,-9.29600,0.35900,-10.58900,0.31500,-10.70300,0.44600,-11.02700,0.48900,-11.03900,0.42300,-10.41300,0.54200,-10.69900,0.47100,-10.67100,0.38900,-10.84200,0.35800,-10.41100,0.40600,-10.78200,0.29600,-10.55800,0.39800,-8.58700,0.53800,-9.27400,0.40200,-8.82100,0.42700,-8.67200,0.46800,-8.71100,0.54300,-8.86400,0.48800,-8.90400,0.58900,-8.60900,0.66800,-8.95700,0.37400,-8.97600,0.44700,-8.62800,0.47400,-8.52600,0.77400,-8.39300,0.67700,-8.18300,0.50900,0,0.01620,4.43370,1.09350,25447334,6.87000,3.12000
34.57500,108.72500,Xianyang,0,0.00000,7349.00000,0.00000,15330.00000,0.00010,15938.00000,0.00010,18598.00000,-9.23900,0.66300,-9.57200,0.32600,-9.74900,0.49100,-8.77300,0.68500,-9.72400,0.47100,-8.87400,0.59600,-8.96100,0.50400,-9.29000,0.36000,-10.54800,0.34600,-10.67800,0.44700,-11.04200,0.57600,-11.01600,0.45100,-10.35900,0.57200,-10.65500,0.50900,-10.65300,0.42600,-10.84900,0.40500,-10.34300,0.44000,-10.72500,0.28800,-10.45400,0.39700,-8.63700,0.54900,-9.34800,0.41700,-8.87600,0.42000,-8.70900,0.47400,-8.74100,0.55400,-8.91500,0.48400,-8.89100,0.56300,-8.63900,0.66200,-8.96500,0.35200,-8.95600,0.39900,-8.60100,0.50800,-8.46700,0.79900,-8.32300,0.68000,-8.11600,0.50200,0,0.02210,4.99440,1.57760,25447334,6.62000,2.82000
34.57500,108.77500,Xianyang,0,0.00000,4468.00000,0.00040,14905.00000,0.00050,18394.00000,0.00090,18116.00000,-9.21200,0.67000,-9.47700,0.29200,-9.68100,0.47600,-8.75400,0.65600,-9.67400,0.43000,-8.88200,0.56300,-9.01200,0.51900,-9.26600,0.31600,-10.50900,0.37900,-10.66800,0.43500,-11.01100,0.64700,-10.99200,0.44900,-10.29300,0.60800,-10.62500,0.54300,-10.63900,0.45900,-10.83300,0.44600,-10.24400,0.48200,-10.62500,0.31000,-10.33300,0.39600,-8.67100,0.54800,-9.31000,0.43300,-8.88100,0.41500,-8.71300,0.48800,-8.71000,0.55000,-8.87400,0.48600,-8.82800,0.52900,-8.60100,0.64800,-8.88500,0.34500,-8.85600,0.40300,-8.52900,0.53900,-8.31600,0.83100,-8.07400,0.74500,-7.94200,0.50400,0,0.02280,4.97770,1.79370,25447334,7.17000,3.01000
34.57500,108.82500,Xianyang,1,0.00590,2437.00000,0.01610,6158.00000,0.01950,6669.00000,0.02270,9968.00000,-9.21200,0.67200,-9.47600,0.29000,-9.68000,0.47700,-8.75500,0.65500,-9.67600,0.42700,-8.88800,0.56200,-9.02000,0.52200,-9.27000,0.31300,-10.46200,0.42200,-10.63500,0.43800,-10.93000,0.70300,-10.92000,0.43600,-10.23100,0.62700,-10.58500,0.56200,-10.60000,0.48400,-10.78300,0.49700,-10.15800,0.51300,-10.48300,0.33800,-10.16800,0.41200,-8.69400,0.55600,-9.26900,0.42400,-8.83700,0.39500,-8.64200,0.49700,-8.57000,0.51600,-8.70400,0.44100,-8.67000,0.53500,-8.47500,0.68600,-8.65900,0.36000,-8.66100,0.41900,-8.38500,0.56100,-8.05100,0.92900,-7.80000,0.79000,-7.61000,0.52600,0,0.02980,5.32630,2.58630,25447334,6.51000,2.75000
34.57500,108.87500,Xianyang,1,0.00060,27394.00000,0.00260,28492.00000,0.00370,31796.00000,0.00600,10510.00000,-9.22200,0.65600,-9.42100,0.29600,-9.64600,0.47700,-8.77700,0.63700,-9.67000,0.38500,-8.89900,0.55500,-9.09500,0.54300,-9.27500,0.27800,-10.43800,0.47500,-10.59600,0.43700,-10.83900,0.73400,-10.83500,0.42100,-10.19300,0.63400,-10.56500,0.55700,-10.57700,0.48200,-10.76100,0.54000,-10.12400,0.55000,-10.35900,0.36100,-10.05200,0.41400,-8.70000,0.57400,-9.26100,0.44500,-8.79200,0.36000,-8.59200,0.47400,-8.44200,0.46900,-8.57400,0.39100,-8.55900,0.52700,-8.36100,0.69300,-8.52500,0.35700,-8.48100,0.49100,-8.22900,0.56300,-7.87000,0.93800,-7.61300,0.83600,-7.33500,0.55500,0,0.02840,5.40860,2.21190,25447334,6.24000,2.54000
34.57500,108.92500,Xianyang,2,0.00160,12398.00000,0.00410,7254.00000,0.00520,7024.00000,0.01520,31415.00000,-9.22700,0.65500,-9.42500,0.29800,-9.65000,0.48100,-8.78300,0.63900,-9.67900,0.38100,-8.90500,0.55600,-9.10500,0.54500,-9.28100,0.27800,-10.39700,0.51200,-10.56400,0.43500,-10.71400,0.75000,-10.75100,0.42400,-10.19800,0.63900,-10.56200,0.54600,-10.57300,0.46400,-10.75800,0.55200,-10.11500,0.57100,-10.28200,0.38200,-9.99000,0.41500,-8.70100,0.61700,-9.29800,0.47800,-8.80500,0.36100,-8.58500,0.45700,-8.43800,0.48800,-8.56200,0.38400,-8.54200,0.52300,-8.32000,0.70300,-8.48400,0.35300,-8.38600,0.52000,-8.16800,0.55500,-7.73800,0.91600,-7.48900,0.90700,-7.19700,0.56900,0,0.04200,5.96720,3.73470,25447334,6.24000,2.28000
