latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.37500,113.82500,Xinyang,0,0.00000,2674.00000,0.00000,0.00000,0.00000,0.00000,0.00010,92.00000,-9.46800,0.37400,-9.44000,0.29800,-9.38500,0.35800,-9.51900,0.56700,-9.92700,0.25200,-9.61200,0.48800,-10.06200,0.38000,-9.06700,0.28900,-12.54000,0.30600,-11.90600,0.57700,-12.77000,0.41700,-12.07800,0.45800,-11.77000,0.43900,-11.87700,0.25000,-11.72300,0.45100,-11.73000,0.37900,-11.57600,0.26400,-11.52200,0.24300,-11.60000,0.37500,-9.15700,0.48200,-9.14500,0.43600,-9.44600,0.45100,-9.13400,0.49300,-9.36400,0.46700,-9.23100,0.50300,-9.18000,0.51900,-9.18300,0.68000,-9.31800,0.57100,-9.43800,0.59000,-9.01000,0.55700,-9.20000,0.51700,-9.79300,0.50300,-8.77200,0.51300,0,0.00190,1.06260,0.04750,26089478,15.43000,4.99000
32.37500,113.87500,Xinyang,1,0.00000,43355.00000,0.00080,46132.00000,0.00140,39543.00000,0.00200,22451.00000,-9.48500,0.37000,-9.50800,0.30800,-9.43500,0.35100,-9.54700,0.55200,-9.99600,0.27100,-9.64100,0.49100,-10.11700,0.39700,-9.11700,0.29000,-12.59400,0.35000,-11.98400,0.60400,-12.89400,0.42700,-12.13600,0.45600,-11.81500,0.43600,-11.84900,0.23700,-11.74700,0.50800,-11.74300,0.36500,-11.62300,0.29000,-11.53400,0.26400,-11.61000,0.42000,-9.21400,0.50800,-9.18000,0.44400,-9.50500,0.48000,-9.16500,0.52800,-9.42400,0.45000,-9.25000,0.53400,-9.21800,0.53300,-9.24900,0.70000,-9.34200,0.59200,-9.47900,0.63100,-9.05000,0.59700,-9.24500,0.52700,-9.87900,0.51700,-8.79900,0.54500,0,0.00980,3.84980,0.45470,26089478,8.81000,3.29000
32.37500,113.92500,Xinyang,0,0.00000,2688.00000,0.00010,0.00000,0.00030,0.00000,0.00050,19.00000,-9.50000,0.36500,-9.56900,0.31800,-9.48000,0.34400,-9.57200,0.53900,-10.05800,0.28900,-9.66700,0.49300,-10.16700,0.41200,-9.16100,0.29100,-12.61400,0.38900,-12.00000,0.63400,-12.98300,0.44300,-12.14700,0.45700,-11.80800,0.42900,-11.80600,0.24600,-11.72700,0.54300,-11.70500,0.35800,-11.61400,0.30800,-11.49800,0.28300,-11.56300,0.43700,-9.26500,0.53600,-9.19200,0.44900,-9.53500,0.50300,-9.17800,0.56800,-9.44600,0.44900,-9.25200,0.54700,-9.24200,0.54600,-9.27800,0.72100,-9.35400,0.61200,-9.50000,0.67100,-9.07800,0.64300,-9.28000,0.52800,-9.94400,0.51700,-8.80900,0.58000,0,0.00490,2.76820,0.13650,26089478,9.16000,3.23000
32.37500,113.97500,Xinyang,0,0.00000,4735.00000,0.00010,0.00000,0.00020,0.00000,0.00030,0.00000,-9.51300,0.38600,-9.63600,0.33900,-9.53000,0.34300,-9.58600,0.52800,-10.11400,0.31200,-9.68500,0.50600,-10.21200,0.43200,-9.19400,0.29800,-12.60700,0.41500,-11.97400,0.65100,-13.06000,0.45400,-12.12500,0.45700,-11.76900,0.42100,-11.74500,0.26900,-11.66800,0.55300,-11.63800,0.34500,-11.56600,0.32800,-11.42000,0.29900,-11.47500,0.42500,-9.30800,0.54500,-9.18300,0.44700,-9.54100,0.50900,-9.19600,0.59600,-9.45400,0.44700,-9.24600,0.54800,-9.25600,0.55600,-9.28500,0.75400,-9.36300,0.62100,-9.52200,0.69000,-9.10300,0.66800,-9.29600,0.53000,-10.00600,0.51400,-8.83600,0.59300,0,0.00240,1.32860,0.05320,26089478,8.28000,3.25000
32.37500,114.02500,Xinyang,1,0.00000,4483.00000,0.00180,5381.00000,0.00250,4966.00000,0.00350,4186.00000,-9.52200,0.39900,-9.67800,0.35200,-9.56100,0.34200,-9.59500,0.52200,-10.14900,0.32600,-9.69600,0.51400,-10.24100,0.44500,-9.21500,0.30200,-12.58500,0.44000,-11.90600,0.67700,-13.12800,0.46800,-12.07300,0.45400,-11.69900,0.42500,-11.68300,0.28100,-11.58800,0.54600,-11.57700,0.33100,-11.50100,0.33700,-11.32400,0.30500,-11.37200,0.39500,-9.32300,0.52900,-9.16400,0.44400,-9.52600,0.48900,-9.22000,0.60500,-9.46000,0.43600,-9.22000,0.53700,-9.28000,0.54500,-9.29500,0.77400,-9.37500,0.61600,-9.53900,0.69300,-9.12600,0.67300,-9.29200,0.53400,-10.06700,0.50100,-8.89200,0.58700,0,0.00860,3.89320,0.38290,26089478,8.37000,2.92000
32.37500,114.07500,Xinyang,0,0.00000,5751.00000,0.00000,954.00000,0.00030,2454.00000,0.00080,2788.00000,-9.53200,0.44600,-9.74300,0.38500,-9.61000,0.36100,-9.59000,0.52800,-10.17400,0.34400,-9.70100,0.53600,-10.27800,0.46800,-9.22400,0.30800,-12.54200,0.46200,-11.78500,0.68900,-13.19400,0.46000,-12.01800,0.45300,-11.62400,0.46700,-11.63100,0.29200,-11.50100,0.54100,-11.53400,0.31400,-11.43300,0.32800,-11.22200,0.30200,-11.28000,0.35400,-9.29700,0.51000,-9.13300,0.43700,-9.49800,0.47100,-9.21200,0.63100,-9.47200,0.42600,-9.19300,0.53300,-9.30900,0.52800,-9.28100,0.75900,-9.38000,0.57900,-9.54600,0.68500,-9.12400,0.67000,-9.25400,0.53500,-10.11200,0.48800,-8.95200,0.58000,0,0.00530,2.75940,0.14110,26089478,7.45000,2.86000
32.37500,114.12500,Xinyang,0,0.00000,6883.00000,0.00150,29968.00000,0.00280,24103.00000,0.00400,16520.00000,-9.53700,0.46600,-9.77000,0.39800,-9.63200,0.37000,-9.58800,0.53100,-10.18500,0.35200,-9.70300,0.54600,-10.29400,0.47800,-9.22800,0.31100,-12.50100,0.47100,-11.68800,0.68300,-13.26000,0.44900,-11.96500,0.46400,-11.55900,0.49900,-11.57500,0.31500,-11.41900,0.53700,-11.48200,0.31300,-11.37100,0.31500,-11.14900,0.29200,-11.24000,0.34100,-9.22700,0.51000,-9.08700,0.43600,-9.45400,0.45900,-9.17300,0.65300,-9.47900,0.41500,-9.17400,0.53600,-9.32800,0.54100,-9.25500,0.74300,-9.37800,0.52800,-9.55000,0.66700,-9.10700,0.65700,-9.20800,0.55300,-10.13200,0.48900,-8.99100,0.59300,0,0.01080,4.08780,0.59010,26089478,7.97000,3.04000
32.37500,114.17500,Xinyang,0,0.00000,6592.00000,0.00120,0.00000,0.00220,0.00000,0.00300,0.00000,-9.55600,0.53600,-9.82100,0.44000,-9.67500,0.40800,-9.57800,0.54800,-10.17300,0.37800,-9.69000,0.56500,-10.32400,0.49400,-9.21500,0.31800,-12.44600,0.49600,-11.60800,0.67100,-13.33100,0.45400,-11.91900,0.50000,-11.52100,0.51000,-11.52300,0.32900,-11.33900,0.52700,-11.43500,0.33300,-11.31100,0.29800,-11.10200,0.27800,-11.22900,0.35300,-9.14700,0.54400,-9.03200,0.41700,-9.43200,0.44600,-9.15700,0.66600,-9.48200,0.40100,-9.17300,0.53700,-9.35300,0.57000,-9.23600,0.73400,-9.38700,0.49200,-9.56200,0.62300,-9.11800,0.66000,-9.21400,0.55000,-10.15100,0.48700,-9.02500,0.61100,0,0.00320,1.59260,0.09160,26089478,10.84000,3.75000
32.37500,114.22500,Xinyang,0,0.00000,5635.00000,0.00030,0.00000,0.00050,0.00000,0.00070,47.00000,-9.56100,0.55600,-9.83500,0.45100,-9.68700,0.41900,-9.57500,0.55300,-10.17000,0.38500,-9.68600,0.57100,-10.33100,0.49800,-9.21100,0.32000,-12.38700,0.53900,-11.54400,0.65700,-13.38600,0.45400,-11.86800,0.52800,-11.48500,0.50900,-11.48400,0.35200,-11.29300,0.51200,-11.39500,0.37200,-11.26800,0.28400,-11.09000,0.27600,-11.23600,0.37500,-9.08600,0.55800,-8.97500,0.41700,-9.40400,0.39600,-9.18700,0.67600,-9.50500,0.41500,-9.16300,0.53100,-9.38800,0.58900,-9.24100,0.72100,-9.36400,0.50300,-9.55800,0.59700,-9.16300,0.68700,-9.25600,0.54800,-10.19000,0.45700,-9.07500,0.62800,0,0.00570,2.47770,0.20210,26089478,8.71000,3.33000
32.37500,114.27500,Xinyang,0,0.00000,2330.00000,0.00060,0.00000,0.00090,0.00000,0.00180,1229.00000,-9.57200,0.64200,-9.85100,0.48900,-9.69500,0.48400,-9.54500,0.56600,-10.11400,0.42100,-9.65800,0.59300,-10.33500,0.51200,-9.16900,0.32800,-12.32700,0.55700,-11.48700,0.62500,-13.40700,0.45900,-11.80400,0.56800,-11.44000,0.49300,-11.40200,0.39100,-11.21900,0.50600,-11.30600,0.42100,-11.21700,0.30800,-11.05300,0.28800,-11.25300,0.39900,-9.00800,0.57100,-8.88600,0.37800,-9.32100,0.41600,-9.23100,0.69500,-9.59400,0.50800,-9.12400,0.51800,-9.39200,0.60000,-9.17000,0.68300,-9.32500,0.52400,-9.51300,0.58800,-9.13000,0.71000,-9.34000,0.55600,-10.28800,0.42200,-9.12400,0.64200,0,0.00270,1.54350,0.07240,26089478,6.91000,2.82000
