latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.52500,116.92500,Xuzhou,1,0.00280,12922.00000,0.01560,15282.00000,0.02660,14304.00000,0.04040,11471.00000,-9.07000,0.60600,-9.26200,0.58900,-8.91500,0.71400,-9.19100,0.49700,-9.30000,0.52200,-8.80200,0.63400,-9.23200,0.33400,-8.86400,0.31400,-10.80800,0.40400,-10.37300,0.39400,-10.25300,0.55200,-10.36900,0.43600,-9.95600,0.32000,-10.16800,0.39800,-10.00200,0.34400,-10.12700,0.58900,-10.08700,0.48000,-10.17800,0.48600,-10.27700,0.36400,-8.29800,0.39800,-8.20100,0.44100,-8.60000,0.44600,-8.49600,0.46600,-8.50200,0.46800,-8.64700,0.37200,-8.49700,0.50500,-9.00600,0.36500,-8.88500,0.42300,-8.69400,0.52000,-8.26000,0.35300,-8.29400,0.53400,-8.86700,0.52900,-8.32400,0.67300,0,0.02220,5.08310,1.38510,25462352,8.42000,3.32000
34.52500,116.97500,Xuzhou,1,0.00000,96.00000,0.00480,3109.00000,0.00790,3377.00000,0.01410,9123.00000,-9.09700,0.48800,-9.31200,0.54400,-8.98600,0.61600,-9.25300,0.68800,-9.37700,0.46000,-8.92000,0.59800,-9.34800,0.32700,-8.95500,0.28700,-11.09500,0.36100,-10.58600,0.34400,-10.54700,0.51500,-10.64500,0.38700,-10.21900,0.32900,-10.55300,0.40900,-10.38200,0.32100,-10.50900,0.51900,-10.41200,0.38500,-10.50500,0.46000,-10.59700,0.33100,-8.42500,0.38400,-8.33900,0.45900,-8.70500,0.44300,-8.55000,0.47700,-8.57300,0.45500,-8.72300,0.37000,-8.55000,0.51700,-9.05700,0.34000,-8.91400,0.43100,-8.71800,0.54700,-8.31300,0.36300,-8.37700,0.52600,-8.90400,0.51100,-8.37300,0.66800,0,0.02250,5.08640,1.35120,25462352,8.83000,3.52000
34.52500,117.02500,Xuzhou,1,0.00000,0.00000,0.01050,55040.00000,0.01420,54961.00000,0.02070,51026.00000,-9.11500,0.47300,-9.32800,0.53400,-9.00500,0.59800,-9.30700,0.64400,-9.39700,0.45400,-8.95300,0.58900,-9.37900,0.32400,-8.98100,0.28500,-11.40000,0.35900,-10.85200,0.30300,-10.89700,0.46700,-10.95100,0.33800,-10.57600,0.36500,-11.00500,0.39100,-10.85900,0.31900,-11.01000,0.45600,-10.81400,0.29100,-10.89500,0.43200,-10.96800,0.32800,-8.68100,0.43900,-8.68000,0.50600,-8.89600,0.45700,-8.70900,0.48700,-8.72300,0.42200,-8.90200,0.37100,-8.72900,0.56500,-9.17400,0.32200,-9.02900,0.48000,-8.84800,0.58800,-8.42700,0.40500,-8.66400,0.58300,-9.04200,0.57200,-8.54800,0.70600,0,0.02870,5.52030,2.35460,25462352,8.10000,3.19000
34.52500,117.07500,Xuzhou,1,0.00010,0.00000,0.00900,15320.00000,0.01380,11476.00000,0.01850,9288.00000,-9.14200,0.39900,-9.35200,0.50500,-9.06700,0.52500,-9.41700,0.44400,-9.44400,0.41800,-9.05000,0.56700,-9.45100,0.30900,-9.03500,0.28500,-11.62200,0.35100,-11.05700,0.27900,-11.15200,0.42700,-11.16500,0.32700,-10.89700,0.39800,-11.37600,0.37600,-11.22800,0.33200,-11.41300,0.42800,-11.11100,0.27200,-11.17400,0.42600,-11.27100,0.32400,-9.20600,0.55200,-9.15000,0.50200,-9.36300,0.45600,-9.08500,0.51000,-9.04100,0.40000,-9.17000,0.41400,-9.09100,0.63700,-9.37700,0.36300,-9.31400,0.56700,-9.17200,0.64800,-8.72300,0.49600,-9.06000,0.57100,-9.27900,0.64400,-8.97100,0.76700,0,0.02580,4.74200,2.20660,25462352,10.65000,3.63000
34.52500,117.12500,Xuzhou,1,0.00000,752.00000,0.00260,12015.00000,0.00640,18300.00000,0.00920,17114.00000,-9.15700,0.39500,-9.36300,0.49900,-9.08500,0.51700,-9.40500,0.44900,-9.45600,0.42000,-9.07400,0.56400,-9.47100,0.30600,-9.05500,0.29100,-11.77200,0.32100,-11.24100,0.29100,-11.35000,0.40300,-11.31600,0.32200,-11.19400,0.41400,-11.69800,0.35800,-11.51100,0.32300,-11.73100,0.42100,-11.35700,0.27500,-11.39100,0.42200,-11.49000,0.31600,-9.79400,0.53500,-9.70700,0.50700,-9.79800,0.40500,-9.61400,0.48600,-9.47600,0.42600,-9.59100,0.44800,-9.49800,0.64700,-9.69100,0.36300,-9.69600,0.54200,-9.61700,0.58100,-9.17400,0.56000,-9.58700,0.63100,-9.73200,0.72300,-9.35500,0.73500,3,0.01880,2.96480,1.60940,25462352,11.82000,3.97000
34.52500,117.17500,Xuzhou,0,0.00030,1.00000,0.00080,88.00000,0.00280,277.00000,0.01200,1479.00000,-9.16800,0.36200,-9.36100,0.48300,-9.13500,0.48400,-9.31800,0.54300,-9.46500,0.41800,-9.12100,0.56600,-9.49900,0.30000,-9.08400,0.30700,-11.80300,0.29000,-11.33300,0.31900,-11.42900,0.41000,-11.33700,0.32500,-11.36100,0.39200,-11.83700,0.35900,-11.63400,0.30900,-11.87400,0.41500,-11.45000,0.31100,-11.44500,0.44000,-11.53800,0.31400,-10.55900,0.45300,-10.46000,0.51400,-10.50600,0.36400,-10.31500,0.48800,-10.07600,0.42000,-10.17200,0.42400,-10.03600,0.58600,-10.02900,0.29500,-9.95600,0.42500,-9.96100,0.44600,-9.62100,0.49300,-9.86400,0.59100,-10.11400,0.68800,-9.43300,0.66200,19,0.00110,0.62930,0.07720,25462352,14.51000,5.15000
34.52500,117.22500,Xuzhou,0,0.00010,0.00000,0.00030,0.00000,0.00040,61.00000,0.00060,114.00000,-9.17200,0.36600,-9.36300,0.48000,-9.14600,0.48800,-9.30400,0.58500,-9.46900,0.42700,-9.13300,0.56600,-9.51200,0.30200,-9.10300,0.32100,-11.71800,0.29800,-11.31900,0.36600,-11.39400,0.45200,-11.28000,0.35900,-11.37700,0.38000,-11.79500,0.37800,-11.58000,0.29200,-11.84100,0.42500,-11.37200,0.34800,-11.33400,0.48400,-11.42800,0.31600,-10.59400,0.43300,-10.46100,0.51300,-10.56600,0.39300,-10.34300,0.46800,-10.06600,0.42600,-10.14400,0.42400,-9.99400,0.57600,-9.99300,0.29600,-9.85200,0.39600,-9.87900,0.42700,-9.54400,0.50500,-9.67400,0.59900,-9.96800,0.71000,-9.15700,0.64100,63,0.00000,0.07060,0.00110,25462352,7.23000,4.46000
34.52500,117.27500,Xuzhou,1,0.01160,2062.00000,0.03290,3681.00000,0.04230,3629.00000,0.04970,4687.00000,-9.14000,0.36700,-9.32000,0.47200,-9.15600,0.50000,-9.22100,0.73700,-9.44800,0.44800,-9.11800,0.57300,-9.51500,0.32100,-9.13000,0.36300,-11.54500,0.35800,-11.22900,0.41700,-11.29300,0.52900,-11.18000,0.44600,-11.27600,0.37200,-11.61000,0.38900,-11.39800,0.30400,-11.67300,0.46500,-11.19900,0.41000,-11.11300,0.51500,-11.21600,0.33300,-10.06000,0.43900,-9.80500,0.57400,-10.00900,0.53400,-9.73800,0.45900,-9.32800,0.46100,-9.39900,0.47600,-9.26600,0.58300,-9.48200,0.35100,-9.36300,0.40100,-9.27800,0.47400,-8.81100,0.49100,-8.95400,0.66300,-9.22800,0.72500,-8.63300,0.59300,7,0.01230,3.30220,1.24690,25462352,9.64000,4.43000
34.52500,117.32500,Xuzhou,1,0.04240,18324.00000,0.10090,21657.00000,0.12820,21357.00000,0.15010,19524.00000,-9.13200,0.37800,-9.31200,0.47200,-9.15500,0.51800,-9.20500,0.76200,-9.44400,0.46100,-9.11400,0.57600,-9.51600,0.32800,-9.14400,0.38600,-11.33500,0.45500,-11.08600,0.48500,-11.13900,0.62500,-11.05300,0.56600,-11.08600,0.39500,-11.35400,0.44000,-11.13600,0.34300,-11.43400,0.53700,-10.97500,0.47700,-10.85600,0.58400,-10.98400,0.36900,-9.14000,0.45100,-8.88700,0.54000,-9.16800,0.53900,-8.98300,0.44200,-8.67600,0.49900,-8.76900,0.49600,-8.62700,0.57000,-8.83600,0.42400,-8.53400,0.38200,-8.50900,0.47900,-8.00700,0.39300,-8.04500,0.64100,-8.15700,0.77000,-7.79400,0.54800,0,0.03260,5.51560,4.62650,25462352,8.82000,3.46000
34.52500,117.37500,Xuzhou,1,0.00990,2985.00000,0.03840,20120.00000,0.04950,19636.00000,0.07960,24827.00000,-9.06600,0.40100,-9.23700,0.47100,-9.11600,0.56500,-9.12500,0.80900,-9.39100,0.48500,-9.03900,0.59000,-9.47400,0.36400,-9.14500,0.44100,-11.11900,0.55500,-10.90700,0.55200,-10.95000,0.73400,-10.88700,0.68600,-10.81000,0.43200,-11.03000,0.50700,-10.81100,0.38500,-11.12800,0.58700,-10.68300,0.50600,-10.57700,0.65400,-10.70800,0.42100,-8.71500,0.46300,-8.58200,0.57200,-8.94500,0.52900,-8.82200,0.41800,-8.56700,0.51900,-8.66300,0.48600,-8.48300,0.59700,-8.68100,0.42100,-8.41000,0.35700,-8.35600,0.45300,-7.84100,0.35700,-7.85600,0.58500,-8.07300,0.74000,-7.50100,0.59700,0,0.02890,5.83650,3.93610,25462352,8.40000,3.37000
