latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
4.12500,11.27500,Yaounde,0,0.00000,0.00000,0.00050,159.00000,0.00120,328.00000,0.00140,556.00000,-7.70400,0.10600,-7.80900,0.20100,-7.81700,0.11400,-7.88000,0.12600,-7.66700,0.13200,-7.70900,0.06300,-7.79300,0.22900,-7.80400,0.15300,-8.77400,0.16800,-8.75500,0.20100,-8.88000,0.20800,-8.83300,0.16300,-8.78700,0.25000,-8.83500,0.18400,-8.73400,0.16700,-8.77300,0.25500,-8.83700,0.20500,-8.79800,0.23200,-8.74800,0.18300,-7.29200,0.22700,-7.32000,0.12000,-7.28200,0.15600,-7.30800,0.15700,-7.26900,0.20100,-7.42700,0.14200,-7.37600,0.14900,-7.26600,0.13000,-7.40000,0.14600,-7.39000,0.18600,-7.34800,0.14900,-7.31600,0.24300,-7.31700,0.17600,-7.28100,0.14900,0,-9999,-9999,-9999,30695088,39.79000,12.51000
4.12500,11.32500,Yaounde,0,0.00000,0.00000,0.00090,396.00000,0.00270,740.00000,0.00290,829.00000,-7.63000,0.11900,-7.75400,0.23200,-7.73700,0.11100,-7.81800,0.14600,-7.58900,0.13700,-7.64400,0.05800,-7.71300,0.22500,-7.72300,0.15900,-8.77400,0.18500,-8.74100,0.18900,-8.85200,0.21100,-8.79900,0.17400,-8.75300,0.23200,-8.80100,0.19000,-8.73300,0.18700,-8.77800,0.25700,-8.83600,0.22400,-8.74600,0.24000,-8.70700,0.17100,-7.29300,0.22800,-7.32400,0.11700,-7.30600,0.14900,-7.33200,0.16900,-7.29700,0.19100,-7.46400,0.14200,-7.41500,0.13000,-7.30300,0.12500,-7.40200,0.14700,-7.38800,0.18500,-7.37700,0.14100,-7.32200,0.22900,-7.33300,0.17000,-7.31200,0.15200,0,-9999,-9999,-9999,30695088,36.16000,11.54000
4.12500,11.37500,Yaounde,0,0.00000,0.00000,0.00030,14.00000,0.00160,55.00000,0.00190,111.00000,-7.57100,0.12900,-7.70300,0.24000,-7.67100,0.10700,-7.77300,0.16900,-7.52700,0.13800,-7.58500,0.05500,-7.64800,0.22700,-7.65600,0.16600,-8.78500,0.22000,-8.74800,0.17000,-8.86500,0.18300,-8.78600,0.18300,-8.74800,0.22700,-8.79800,0.19100,-8.77000,0.19700,-8.80700,0.24800,-8.86200,0.23800,-8.73500,0.23900,-8.68900,0.18000,-7.30300,0.22300,-7.33800,0.12100,-7.34400,0.14000,-7.35000,0.18300,-7.31400,0.18000,-7.51300,0.14500,-7.45800,0.10900,-7.34800,0.12500,-7.42000,0.14600,-7.39800,0.18600,-7.40200,0.14100,-7.31600,0.22500,-7.36300,0.16400,-7.36500,0.15600,0,-9999,-9999,-9999,30695088,39.68000,11.84000
4.12500,11.42500,Yaounde,0,0.00000,0.00000,0.00040,93.00000,0.00090,206.00000,0.00100,222.00000,-7.53300,0.13400,-7.67000,0.24500,-7.62900,0.10500,-7.74300,0.18200,-7.48900,0.13800,-7.54800,0.05300,-7.60800,0.22700,-7.61400,0.16900,-8.81600,0.26000,-8.78100,0.16300,-8.93800,0.18400,-8.80500,0.19400,-8.80600,0.21400,-8.81400,0.19700,-8.84300,0.18500,-8.86900,0.23200,-8.91700,0.23100,-8.76500,0.21900,-8.72200,0.19800,-7.33200,0.22300,-7.35100,0.12500,-7.38400,0.13600,-7.37700,0.18900,-7.33300,0.16700,-7.57800,0.14900,-7.49900,0.10900,-7.39200,0.11600,-7.46100,0.14700,-7.42400,0.18800,-7.44700,0.14000,-7.32000,0.24600,-7.40500,0.16900,-7.42400,0.15600,0,-9999,-9999,-9999,30695088,36.53000,11.53000
4.12500,11.47500,Yaounde,0,0.00010,23.00000,0.00160,421.00000,0.00180,424.00000,0.00300,460.00000,-7.47900,0.14100,-7.60600,0.24000,-7.56700,0.09800,-7.71500,0.21400,-7.44700,0.13900,-7.50100,0.05900,-7.55300,0.22000,-7.55200,0.15600,-8.84800,0.26800,-8.82800,0.15000,-9.03900,0.19800,-8.84900,0.19800,-8.88100,0.19600,-8.85200,0.18300,-8.92400,0.18500,-8.93500,0.23300,-8.97600,0.21900,-8.80600,0.18900,-8.79500,0.23200,-7.38700,0.23200,-7.39200,0.13800,-7.43600,0.13600,-7.41900,0.18300,-7.37000,0.14900,-7.62300,0.17700,-7.54100,0.11900,-7.43800,0.11300,-7.50900,0.15900,-7.45300,0.19300,-7.49100,0.14100,-7.34100,0.27900,-7.44000,0.19200,-7.48600,0.17100,0,-9999,-9999,-9999,30695088,32.54000,10.94000
4.12500,11.52500,Yaounde,1,0.00180,0.00000,0.02660,1945.00000,0.02740,1840.00000,0.03090,2652.00000,-7.47200,0.13900,-7.60200,0.21800,-7.55900,0.09400,-7.70600,0.21000,-7.45300,0.14100,-7.50100,0.06200,-7.54200,0.20800,-7.54100,0.14000,-8.86700,0.23400,-8.86000,0.16600,-9.11600,0.20400,-8.89800,0.18800,-8.94000,0.20400,-8.88400,0.17400,-8.95100,0.19600,-8.96500,0.23800,-9.01000,0.22100,-8.84800,0.17900,-8.85800,0.25200,-7.43500,0.23300,-7.44200,0.15100,-7.47500,0.14100,-7.46600,0.17000,-7.40700,0.13200,-7.63600,0.19400,-7.55700,0.12900,-7.47500,0.11800,-7.55100,0.17100,-7.48700,0.19800,-7.51900,0.14000,-7.37800,0.29500,-7.46800,0.21000,-7.52500,0.20300,0,-9999,-9999,-9999,30695088,29.62000,10.18000
4.12500,11.57500,Yaounde,0,0.00020,0.00000,0.00360,0.00000,0.00370,0.00000,0.00420,31.00000,-7.46500,0.13700,-7.59800,0.19400,-7.55100,0.09000,-7.70100,0.20800,-7.46000,0.14200,-7.50400,0.06600,-7.53200,0.19400,-7.53000,0.12100,-8.86800,0.18700,-8.86600,0.19000,-9.13100,0.21600,-8.93600,0.19300,-8.97500,0.20200,-8.87800,0.17300,-8.93900,0.19700,-8.94500,0.24200,-9.00800,0.23500,-8.84400,0.17400,-8.87700,0.25400,-7.45400,0.22500,-7.47200,0.14500,-7.48200,0.14500,-7.48400,0.16700,-7.43100,0.13300,-7.62800,0.19800,-7.55200,0.13300,-7.49600,0.11600,-7.55800,0.17100,-7.51400,0.20500,-7.52900,0.13900,-7.39300,0.30000,-7.48500,0.22200,-7.53900,0.21100,0,-9999,-9999,-9999,30695088,39.31000,11.29000
4.12500,11.62500,Yaounde,0,0.00000,0.00000,0.00030,163.00000,0.00040,166.00000,0.00040,122.00000,-7.49200,0.11800,-7.63900,0.18100,-7.58800,0.08600,-7.66600,0.24500,-7.52300,0.14400,-7.55100,0.07100,-7.55900,0.17800,-7.56200,0.12300,-8.82800,0.15900,-8.83300,0.20800,-9.08900,0.23700,-8.90700,0.21900,-8.94100,0.18500,-8.84000,0.19200,-8.85800,0.18900,-8.90300,0.23500,-8.95400,0.25200,-8.79200,0.20100,-8.83500,0.25300,-7.46800,0.19000,-7.48500,0.14200,-7.48300,0.12800,-7.46600,0.16200,-7.43700,0.13300,-7.59000,0.19300,-7.52600,0.13100,-7.47600,0.11400,-7.53800,0.16900,-7.52900,0.21700,-7.51100,0.13800,-7.37700,0.28700,-7.47700,0.22000,-7.54500,0.20600,0,-9999,-9999,-9999,30695088,52.75000,11.26000
4.12500,11.67500,Yaounde,0,0.00010,0.00000,0.00010,0.00000,0.00030,0.00000,0.00030,0.00000,-7.50300,0.10900,-7.65500,0.18200,-7.60300,0.08500,-7.66300,0.24700,-7.54800,0.14300,-7.57200,0.07100,-7.57400,0.17400,-7.57800,0.12400,-8.74000,0.17400,-8.77500,0.20300,-9.01000,0.23300,-8.85100,0.22800,-8.87700,0.17300,-8.76300,0.19800,-8.78700,0.18500,-8.83200,0.22600,-8.88200,0.25400,-8.71600,0.22600,-8.76700,0.22600,-7.47000,0.16500,-7.48000,0.15900,-7.46700,0.11600,-7.44400,0.15500,-7.43500,0.13700,-7.55000,0.19200,-7.50000,0.12900,-7.43600,0.11200,-7.53000,0.18100,-7.52300,0.22000,-7.47200,0.13600,-7.36700,0.26900,-7.44900,0.20200,-7.52300,0.19700,0,-9999,-9999,-9999,30695088,46.93000,10.92000
4.12500,11.72500,Yaounde,0,0.00020,0.00000,0.00040,0.00000,0.00060,0.00000,0.00080,23.00000,-7.53600,0.09000,-7.69700,0.19300,-7.64200,0.08500,-7.67500,0.24400,-7.60300,0.14000,-7.62100,0.07100,-7.61300,0.17000,-7.62000,0.12500,-8.65400,0.16700,-8.71700,0.18200,-8.89700,0.23000,-8.76600,0.22900,-8.78700,0.20300,-8.68500,0.18200,-8.71900,0.20300,-8.75900,0.21500,-8.80200,0.23000,-8.64000,0.23400,-8.69300,0.19000,-7.47900,0.16100,-7.46700,0.17900,-7.45100,0.10900,-7.44500,0.16500,-7.43300,0.14400,-7.53700,0.18400,-7.46900,0.13700,-7.41900,0.11300,-7.53700,0.18800,-7.50900,0.21600,-7.44000,0.14600,-7.33700,0.25900,-7.41300,0.18600,-7.48500,0.18300,0,-9999,-9999,-9999,30695088,50.87000,11.08000
