latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
57.12500,60.32500,Yekaterinburg,0,0.00050,2.00000,0.00100,46.00000,0.00100,42.00000,0.00100,65.00000,-9.42000,0.29400,-9.28800,0.21500,-9.76700,0.21500,-9.85000,0.29900,-9.52200,0.19800,-9.64200,0.42900,-9.70300,0.27100,-9.77900,0.31400,-12.34400,0.44900,-12.48400,0.45500,-12.44400,0.35700,-12.33200,0.32600,-12.33500,0.45800,-12.33700,0.32300,-12.43300,0.41500,-12.41700,0.37900,-12.22200,0.55000,-12.36700,0.44100,-12.43300,0.39600,-9.50000,0.38700,-9.63800,0.36100,-9.54100,0.35000,-9.83300,0.36600,-9.56100,0.38100,-9.68100,0.24200,-9.57000,0.39000,-9.57900,0.25600,-9.48900,0.31100,-9.41400,0.19300,-9.45000,0.40500,-9.39100,0.39900,-9.55600,0.22600,-9.44100,0.30800,0,-9999,-9999,-9999,16862528,58.45000,5.27000
57.12500,60.37500,Yekaterinburg,0,0.00000,0.00000,0.00000,20.00000,0.00000,18.00000,0.00000,17.00000,-9.41800,0.29000,-9.28400,0.21100,-9.77500,0.21700,-9.84800,0.29700,-9.51300,0.19900,-9.63600,0.43000,-9.69600,0.27100,-9.77100,0.31300,-12.36500,0.43000,-12.48900,0.44800,-12.45700,0.34900,-12.32200,0.32600,-12.35400,0.47100,-12.33100,0.31000,-12.42800,0.42400,-12.41900,0.38500,-12.21500,0.55000,-12.36500,0.42100,-12.40500,0.39800,-9.52600,0.38600,-9.67000,0.35600,-9.58100,0.34600,-9.86600,0.36900,-9.58700,0.38400,-9.69900,0.25700,-9.61600,0.39300,-9.60200,0.25300,-9.50800,0.30600,-9.45300,0.19400,-9.46900,0.40400,-9.42900,0.41200,-9.59400,0.22600,-9.47500,0.30400,0,-9999,-9999,-9999,16862528,55.80000,5.76000
57.12500,60.42500,Yekaterinburg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-9.40800,0.28700,-9.27600,0.20900,-9.77500,0.22100,-9.84100,0.29500,-9.50100,0.20200,-9.62500,0.42900,-9.68300,0.26900,-9.76100,0.31200,-12.36000,0.41900,-12.46400,0.43900,-12.44500,0.34100,-12.28500,0.32900,-12.34200,0.48200,-12.29400,0.30500,-12.39700,0.44000,-12.39500,0.39800,-12.17500,0.55500,-12.34500,0.40300,-12.35200,0.40100,-9.55600,0.38600,-9.70600,0.34900,-9.63200,0.34200,-9.90800,0.37100,-9.61700,0.38700,-9.72400,0.26500,-9.67100,0.39400,-9.62700,0.24700,-9.53100,0.29800,-9.50600,0.19600,-9.49400,0.39900,-9.46300,0.41600,-9.63700,0.22300,-9.51800,0.30000,7,-9999,-9999,-9999,16862528,48.42000,6.50000
57.12500,60.47500,Yekaterinburg,0,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,0.00020,1.00000,-9.42500,0.26900,-9.30700,0.19500,-9.83800,0.24900,-9.88600,0.29000,-9.52400,0.21700,-9.65200,0.43600,-9.69700,0.26100,-9.79100,0.31900,-12.30000,0.41400,-12.40100,0.44000,-12.38500,0.34400,-12.20400,0.33700,-12.28500,0.48800,-12.22400,0.31200,-12.32900,0.44700,-12.30700,0.41000,-12.10000,0.55400,-12.27100,0.40100,-12.26600,0.40200,-9.57600,0.37800,-9.72900,0.34300,-9.65100,0.33700,-9.93500,0.37000,-9.63200,0.38900,-9.73700,0.26900,-9.69500,0.38900,-9.63200,0.24900,-9.53700,0.29500,-9.53800,0.19300,-9.50600,0.39500,-9.48000,0.41200,-9.65000,0.22600,-9.53400,0.30100,3,-9999,-9999,-9999,16862528,39.83000,7.10000
57.12500,60.52500,Yekaterinburg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,2.00000,-9.47400,0.25600,-9.37000,0.18500,-9.92300,0.27800,-9.96600,0.29000,-9.58600,0.23600,-9.71700,0.45100,-9.74500,0.26000,-9.85400,0.33100,-12.24100,0.41600,-12.32800,0.44900,-12.31600,0.34900,-12.11200,0.35000,-12.21800,0.50100,-12.14500,0.32400,-12.24900,0.45100,-12.20900,0.43000,-12.03300,0.56300,-12.19100,0.40700,-12.17300,0.39700,-9.59500,0.37600,-9.75300,0.33300,-9.67800,0.33000,-9.97000,0.36900,-9.65400,0.38900,-9.75500,0.27100,-9.72700,0.38500,-9.63600,0.25100,-9.54700,0.29100,-9.58000,0.19600,-9.52100,0.39100,-9.50800,0.41100,-9.66500,0.22800,-9.55400,0.30100,0,-9999,-9999,-9999,16862528,50.37000,6.43000
57.12500,60.57500,Yekaterinburg,0,0.00030,0.00000,0.00070,21.00000,0.00080,26.00000,0.00100,23.00000,-9.53000,0.25300,-9.42900,0.18100,-9.98200,0.28900,-10.03300,0.29300,-9.65300,0.24200,-9.78500,0.46200,-9.80600,0.26200,-9.92200,0.34000,-12.21500,0.42000,-12.27900,0.46100,-12.26600,0.35900,-12.06000,0.36500,-12.17300,0.50500,-12.09800,0.33800,-12.19300,0.45200,-12.15300,0.44600,-12.00800,0.57500,-12.15000,0.41700,-12.13100,0.39500,-9.60600,0.37800,-9.76900,0.32600,-9.70500,0.32500,-10.00200,0.37100,-9.67400,0.38700,-9.77300,0.26900,-9.75600,0.38400,-9.63800,0.25200,-9.55900,0.28800,-9.61300,0.20300,-9.54000,0.38900,-9.53800,0.41400,-9.68100,0.22400,-9.57400,0.30100,0,-9999,-9999,-9999,16862528,52.17000,6.37000
57.12500,60.62500,Yekaterinburg,0,0.00000,0.00000,0.00000,11.00000,0.00010,11.00000,0.00040,53.00000,-9.49000,0.25700,-9.40500,0.18700,-9.97600,0.30200,-10.01500,0.29000,-9.62000,0.24600,-9.75200,0.46000,-9.76600,0.26900,-9.88400,0.33700,-12.11600,0.42500,-12.17300,0.46600,-12.16400,0.36600,-11.95800,0.37000,-12.06200,0.50300,-11.99500,0.34800,-12.09600,0.45500,-12.04400,0.46200,-11.91500,0.58300,-12.03800,0.42000,-12.01400,0.40100,-9.60500,0.37400,-9.76700,0.31900,-9.71900,0.32100,-10.02300,0.37600,-9.68500,0.38600,-9.77300,0.26600,-9.76300,0.38500,-9.62000,0.24800,-9.54700,0.28700,-9.62000,0.20700,-9.53700,0.38400,-9.56200,0.41900,-9.67300,0.22400,-9.58100,0.30600,0,-9999,-9999,-9999,16862528,46.09000,6.74000
57.12500,60.67500,Yekaterinburg,0,0.00000,88.00000,0.00020,171.00000,0.00020,292.00000,0.00080,294.00000,-9.44300,0.26100,-9.37600,0.19400,-9.96900,0.31800,-9.99400,0.28600,-9.58000,0.25100,-9.71200,0.45700,-9.71900,0.27700,-9.83800,0.33300,-12.05700,0.44000,-12.11800,0.48800,-12.10500,0.37800,-11.90000,0.38800,-11.98900,0.50400,-11.95100,0.35800,-12.05400,0.46900,-11.99000,0.48200,-11.88200,0.59900,-11.98600,0.43100,-11.96900,0.40900,-9.60600,0.37000,-9.76700,0.31000,-9.74400,0.31500,-10.05200,0.38200,-9.70700,0.39100,-9.78100,0.25700,-9.78600,0.38300,-9.61100,0.24500,-9.55300,0.28600,-9.64200,0.22200,-9.55700,0.38800,-9.59700,0.41400,-9.67600,0.22100,-9.60300,0.31300,0,-9999,-9999,-9999,16862528,44.93000,6.43000
57.12500,60.72500,Yekaterinburg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,5.00000,-9.43400,0.26200,-9.37000,0.19600,-9.96800,0.32000,-9.99000,0.28500,-9.57300,0.25200,-9.70500,0.45700,-9.71100,0.27800,-9.83000,0.33200,-12.01600,0.46000,-12.08900,0.51900,-12.06500,0.39500,-11.86700,0.41300,-11.93800,0.50800,-11.92100,0.36600,-12.02600,0.47500,-11.95900,0.49700,-11.86500,0.61800,-11.96100,0.44900,-11.95700,0.41200,-9.60200,0.36600,-9.76300,0.30300,-9.76300,0.31500,-10.06500,0.38500,-9.72400,0.39600,-9.78200,0.25200,-9.80300,0.38100,-9.60700,0.24500,-9.57300,0.28500,-9.65800,0.23600,-9.58600,0.39600,-9.62200,0.39900,-9.68300,0.21700,-9.62000,0.31600,0,-9999,-9999,-9999,16862528,44.06000,6.80000
57.12500,60.77500,Yekaterinburg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.45400,0.26400,-9.40000,0.20200,-10.00400,0.32800,-10.02900,0.28500,-9.61100,0.25600,-9.73900,0.46000,-9.73600,0.28200,-9.85800,0.33100,-11.93300,0.47200,-12.01100,0.54600,-11.98700,0.40800,-11.79800,0.42300,-11.84500,0.51200,-11.84400,0.37400,-11.95200,0.47100,-11.88100,0.49400,-11.78600,0.62600,-11.89000,0.45900,-11.88500,0.41900,-9.58000,0.36200,-9.73800,0.29700,-9.75300,0.31900,-10.04500,0.39100,-9.71100,0.39200,-9.74800,0.25000,-9.78500,0.38100,-9.57700,0.24400,-9.55200,0.29000,-9.63100,0.23100,-9.57300,0.40100,-9.61100,0.40400,-9.65000,0.22200,-9.60500,0.31900,0,-9999,-9999,-9999,16862528,44.07000,7.29000
