latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
40.42500,44.27500,Yerevan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.88700,0.24000,-10.86200,0.30500,-10.75000,0.41700,-11.10700,0.44900,-10.92400,0.30500,-10.97700,0.35500,-10.72400,0.45400,-11.31400,0.17200,-13.35900,0.38100,-13.66300,0.32300,-13.29300,0.35600,-13.11800,0.37600,-13.18800,0.43000,-13.35100,0.38700,-13.14900,0.30900,-13.20900,0.41100,-13.05300,0.45500,-13.27000,0.29500,-12.96000,0.28900,-11.19800,0.65000,-11.35700,0.48200,-10.81600,0.59400,-11.52100,0.40600,-11.53300,0.37400,-11.55300,0.46300,-11.60900,0.36500,-11.54500,0.47300,-11.72800,0.47100,-11.23700,0.56100,-11.76500,0.35100,-11.58000,0.54500,-11.56900,0.63400,-11.39700,0.41400,0,-9999,-9999,-9999,23558310,3.83000,1.59000
40.42500,44.32500,Yerevan,0,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-10.82800,0.23800,-10.80100,0.30000,-10.69000,0.41400,-11.05100,0.44700,-10.86000,0.30100,-10.92400,0.34300,-10.66800,0.45200,-11.24800,0.17000,-13.21900,0.36700,-13.52800,0.33500,-13.21200,0.33100,-12.99100,0.36400,-13.05000,0.40100,-13.19800,0.38100,-13.01800,0.29300,-13.07500,0.41100,-12.91300,0.41400,-13.11400,0.31200,-12.82100,0.28000,-11.20300,0.66900,-11.35100,0.48800,-10.78700,0.60000,-11.51700,0.41800,-11.54600,0.38200,-11.55800,0.47500,-11.61000,0.34300,-11.56900,0.48700,-11.73300,0.45600,-11.16000,0.58000,-11.77000,0.36100,-11.55700,0.54600,-11.59600,0.60000,-11.38700,0.41800,0,-9999,-9999,-9999,23558310,2.92000,1.50000
40.42500,44.37500,Yerevan,0,0.00060,37.00000,0.00100,132.00000,0.00100,110.00000,0.00110,149.00000,-10.63900,0.23700,-10.59700,0.29400,-10.52400,0.40900,-10.87900,0.45100,-10.66500,0.28800,-10.76300,0.30700,-10.49700,0.45800,-11.06600,0.16200,-13.07300,0.34800,-13.37800,0.34300,-13.13400,0.30100,-12.87500,0.34800,-12.90400,0.35700,-13.03800,0.37500,-12.88400,0.29600,-12.94600,0.42800,-12.76600,0.38200,-12.96000,0.32400,-12.67100,0.29400,-11.20100,0.67500,-11.33400,0.48600,-10.76100,0.60400,-11.50200,0.42500,-11.52300,0.40000,-11.53400,0.47900,-11.60000,0.34600,-11.58300,0.49100,-11.71800,0.43700,-11.12400,0.56900,-11.76300,0.37400,-11.52000,0.51500,-11.59200,0.55000,-11.36400,0.42800,0,-9999,-9999,-9999,23558310,3.47000,1.72000
40.42500,44.42500,Yerevan,0,0.00030,0.00000,0.00080,0.00000,0.00080,0.00000,0.00080,0.00000,-10.57100,0.23800,-10.52200,0.29400,-10.46400,0.40900,-10.81800,0.45600,-10.59300,0.28500,-10.70800,0.29500,-10.43500,0.46100,-11.00400,0.16000,-12.91200,0.32800,-13.21900,0.33700,-13.06600,0.28700,-12.76200,0.34600,-12.75300,0.32300,-12.88800,0.37200,-12.75300,0.31600,-12.81700,0.43600,-12.61700,0.33700,-12.82600,0.32700,-12.53300,0.31400,-11.15600,0.66400,-11.29400,0.48300,-10.72700,0.60000,-11.44800,0.42000,-11.45200,0.42500,-11.47100,0.47300,-11.55900,0.36500,-11.56600,0.47900,-11.65300,0.42200,-11.08400,0.54200,-11.70000,0.37700,-11.45900,0.50500,-11.52400,0.50100,-11.30600,0.41400,0,-9999,-9999,-9999,23558310,8.70000,3.13000
40.42500,44.47500,Yerevan,0,0.00000,0.00000,0.00000,3.00000,0.00000,3.00000,0.00000,14.00000,-10.57400,0.25600,-10.51400,0.32000,-10.49400,0.41700,-10.83300,0.50800,-10.57800,0.29300,-10.73500,0.30000,-10.43500,0.48000,-11.04100,0.16800,-12.76600,0.32300,-13.06900,0.32100,-12.97400,0.30700,-12.66800,0.34900,-12.62000,0.30600,-12.73800,0.36900,-12.63300,0.32800,-12.69200,0.43700,-12.48000,0.31400,-12.70400,0.33700,-12.39100,0.31500,-11.03800,0.61200,-11.20300,0.46900,-10.64200,0.60800,-11.31500,0.40200,-11.30500,0.42800,-11.34700,0.43000,-11.41900,0.34100,-11.45700,0.44700,-11.49900,0.38600,-10.96600,0.49000,-11.52800,0.33800,-11.34900,0.47000,-11.35800,0.44200,-11.17500,0.38900,0,-9999,-9999,-9999,23558310,8.11000,3.00000
40.42500,44.52500,Yerevan,0,0.00020,486.00000,0.00090,1177.00000,0.00100,901.00000,0.00110,935.00000,-10.59700,0.27100,-10.52700,0.34000,-10.53600,0.42500,-10.86600,0.54800,-10.58300,0.30100,-10.77800,0.30600,-10.45100,0.49400,-11.09200,0.17600,-12.69300,0.33800,-12.97200,0.31400,-12.92400,0.32900,-12.62000,0.34900,-12.54900,0.30200,-12.64900,0.35900,-12.56800,0.33700,-12.63600,0.42900,-12.39800,0.33900,-12.64300,0.34200,-12.30100,0.30500,-10.85100,0.58400,-11.04200,0.45500,-10.48400,0.62100,-11.17000,0.37600,-11.12100,0.40900,-11.19300,0.38800,-11.23200,0.32200,-11.27900,0.39700,-11.31500,0.35500,-10.80200,0.46700,-11.30900,0.28300,-11.19100,0.44400,-11.17000,0.40600,-11.02600,0.38700,0,-9999,-9999,-9999,23558310,4.59000,2.03000
40.42500,44.57500,Yerevan,0,0.00200,962.00000,0.00380,1174.00000,0.00390,1019.00000,0.00390,843.00000,-10.71700,0.29200,-10.64800,0.37400,-10.67600,0.43800,-10.99600,0.60600,-10.68600,0.31400,-10.91000,0.33500,-10.54400,0.51200,-11.22900,0.19700,-12.71800,0.35000,-12.95500,0.30900,-12.95400,0.34500,-12.62800,0.35200,-12.55400,0.30700,-12.64500,0.35300,-12.57000,0.35500,-12.67300,0.42000,-12.39700,0.39700,-12.65800,0.34100,-12.26700,0.30600,-10.65500,0.58900,-10.88200,0.46800,-10.29900,0.61800,-11.07000,0.36600,-10.96700,0.40000,-11.05800,0.38600,-11.06500,0.31300,-11.11900,0.37200,-11.15900,0.35200,-10.62800,0.47900,-11.12000,0.29400,-11.02200,0.44000,-11.02400,0.40700,-10.89000,0.40600,0,-9999,-9999,-9999,23558310,5.19000,2.08000
40.42500,44.62500,Yerevan,1,0.01290,8469.00000,0.02410,11567.00000,0.02640,9105.00000,0.02850,8734.00000,-10.84300,0.31200,-10.77600,0.40900,-10.82600,0.45200,-11.13600,0.66500,-10.79300,0.32700,-11.05000,0.36600,-10.63800,0.52900,-11.36700,0.21700,-12.83000,0.36200,-13.06000,0.32000,-13.06800,0.36300,-12.69400,0.36900,-12.65500,0.33700,-12.74500,0.37700,-12.65700,0.37900,-12.80300,0.42400,-12.48100,0.46600,-12.75700,0.35100,-12.30300,0.30000,-10.61000,0.61800,-10.87100,0.50700,-10.19100,0.61400,-11.06200,0.37500,-10.94100,0.38900,-11.04700,0.41600,-11.03200,0.33000,-11.10100,0.37400,-11.11600,0.35400,-10.57600,0.52200,-11.05400,0.32500,-10.96700,0.47400,-11.02200,0.43300,-10.82900,0.43400,0,-9999,-9999,-9999,23558310,3.19000,1.53000
40.42500,44.67500,Yerevan,0,0.00030,407.00000,0.00120,1660.00000,0.00160,1433.00000,0.00220,1260.00000,-10.98400,0.33500,-10.93100,0.43500,-10.97300,0.46900,-11.28900,0.69700,-10.92500,0.33800,-11.20200,0.40000,-10.75500,0.53300,-11.50700,0.23100,-13.00000,0.39000,-13.28400,0.35500,-13.25000,0.39600,-12.80800,0.40200,-12.83500,0.38300,-12.93200,0.42500,-12.81000,0.40400,-13.01800,0.44700,-12.63200,0.53600,-12.93900,0.37800,-12.42000,0.27400,-10.73700,0.71400,-11.05400,0.59300,-10.25700,0.66900,-11.21700,0.43500,-11.08100,0.42800,-11.25000,0.51600,-11.22500,0.44200,-11.31500,0.45100,-11.24500,0.39300,-10.71500,0.61100,-11.21100,0.40700,-11.10800,0.60600,-11.26200,0.53800,-10.97200,0.56000,0,-9999,-9999,-9999,23558310,3.95000,1.90000
40.42500,44.72500,Yerevan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.20900,0.37300,-11.18600,0.47800,-11.21000,0.49300,-11.53400,0.74800,-11.14500,0.35400,-11.44400,0.45500,-10.94500,0.54000,-11.72000,0.25400,-13.22600,0.44600,-13.60100,0.39700,-13.49300,0.45000,-12.97000,0.43600,-13.07900,0.43900,-13.18000,0.47800,-13.01300,0.44700,-13.29300,0.50500,-12.84000,0.60600,-13.17600,0.42400,-12.61200,0.26500,-11.13200,0.87800,-11.47100,0.71000,-10.55100,0.73900,-11.60600,0.58100,-11.41300,0.55400,-11.72400,0.71300,-11.65500,0.62500,-11.79400,0.61400,-11.66900,0.50400,-11.02700,0.70400,-11.66800,0.56300,-11.41100,0.77100,-11.81000,0.68100,-11.42100,0.73900,0,-9999,-9999,-9999,23558310,4.83000,2.31000
