latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
28.87500,112.07500,Yiyang,0,0.00010,9524.00000,0.00090,16684.00000,0.00110,18265.00000,0.00140,21908.00000,-9.34300,0.10500,-9.34000,0.11900,-9.74800,0.25700,-9.74000,0.25200,-9.63600,0.27700,-9.47500,0.45300,-9.42100,0.20500,-9.76200,0.15900,-12.11700,0.38800,-12.15700,0.31500,-12.00900,0.44600,-11.98400,0.28100,-12.25300,0.31600,-12.04800,0.31700,-11.99000,0.47400,-11.75800,0.31100,-11.68300,0.29400,-11.65200,0.31900,-11.78700,0.46800,-9.50100,0.25000,-9.52900,0.34200,-9.64200,0.40900,-9.42200,0.26400,-9.73100,0.43200,-9.52800,0.35300,-9.81200,0.31800,-9.39400,0.38100,-9.85800,0.37500,-9.56800,0.46200,-9.50000,0.40500,-9.55400,0.51400,-9.86300,0.38000,-9.44600,0.46300,0,0.01100,3.94320,0.66460,27031204,18.34000,4.86000
28.87500,112.12500,Yiyang,0,0.00120,21725.00000,0.00220,25925.00000,0.00220,26887.00000,0.00230,26230.00000,-9.39400,0.11900,-9.40300,0.10800,-9.79500,0.25600,-9.77100,0.21700,-9.69700,0.26800,-9.55400,0.44700,-9.45300,0.22300,-9.82400,0.15700,-12.32900,0.36100,-12.33500,0.31900,-12.17300,0.42800,-12.15000,0.30500,-12.36600,0.30300,-12.20100,0.27900,-12.09000,0.45200,-11.83400,0.30400,-11.79400,0.25800,-11.69700,0.29600,-11.78600,0.41200,-9.73400,0.26000,-9.68000,0.31500,-9.78500,0.35500,-9.55700,0.25200,-9.87600,0.37400,-9.72000,0.31100,-9.93900,0.29800,-9.49200,0.34600,-9.94400,0.35500,-9.73000,0.44700,-9.65500,0.39200,-9.71800,0.45600,-9.94900,0.35500,-9.74200,0.44500,2,0.00880,2.96320,0.59020,27031204,17.59000,4.57000
28.87500,112.17500,Yiyang,0,0.00030,11304.00000,0.00190,13489.00000,0.00210,13990.00000,0.00230,11627.00000,-9.49800,0.12500,-9.52700,0.09700,-9.86300,0.26400,-9.85700,0.23800,-9.81000,0.25300,-9.69300,0.44200,-9.51700,0.28200,-9.91700,0.15000,-12.53600,0.38800,-12.50900,0.34100,-12.33200,0.40200,-12.31000,0.34200,-12.45300,0.29800,-12.33400,0.26000,-12.17500,0.42200,-11.87500,0.29800,-11.86500,0.23000,-11.70400,0.26400,-11.72300,0.34800,-9.93600,0.27600,-9.80600,0.29800,-9.89900,0.29800,-9.65900,0.24900,-10.00600,0.32200,-9.87900,0.29100,-9.98300,0.28400,-9.50200,0.31500,-9.93600,0.35100,-9.78700,0.44800,-9.67600,0.39800,-9.75700,0.44000,-9.92000,0.33500,-9.77100,0.47000,17,0.00040,0.16720,0.01610,27031204,12.89000,7.00000
28.87500,112.22500,Yiyang,0,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,0.00030,744.00000,-9.54200,0.12800,-9.58000,0.09200,-9.89200,0.26700,-9.89300,0.24700,-9.85900,0.24700,-9.75200,0.44000,-9.54400,0.30700,-9.95700,0.14700,-12.66800,0.43600,-12.60400,0.35600,-12.45700,0.37900,-12.40200,0.37600,-12.50200,0.29500,-12.40600,0.25600,-12.22900,0.38800,-11.89000,0.26800,-11.89100,0.23600,-11.67300,0.24800,-11.63000,0.31900,-10.03700,0.26200,-9.89000,0.28300,-9.93100,0.26400,-9.66700,0.24200,-10.07600,0.29600,-9.90100,0.29200,-9.93200,0.29000,-9.41600,0.27300,-9.81700,0.34400,-9.72400,0.44700,-9.60900,0.40000,-9.70600,0.43600,-9.76500,0.37800,-9.68000,0.51200,7,0.00000,0.00000,0.00000,27031204,12.08000,6.82000
28.87500,112.27500,Yiyang,0,0.00010,7867.00000,0.00030,3497.00000,0.00050,2102.00000,0.00150,2733.00000,-9.67500,0.12800,-9.75600,0.09700,-9.98100,0.27300,-10.05500,0.27700,-10.00800,0.23900,-9.94600,0.45700,-9.68300,0.37200,-10.06600,0.14700,-12.76300,0.50300,-12.67400,0.36500,-12.54200,0.34600,-12.44700,0.38700,-12.54200,0.31300,-12.44000,0.27500,-12.25600,0.34600,-11.90000,0.24800,-11.86500,0.26000,-11.63800,0.26100,-11.52600,0.29100,-10.03400,0.26000,-9.89400,0.27800,-9.83300,0.27600,-9.56900,0.24700,-10.06500,0.28900,-9.80200,0.31500,-9.78600,0.30400,-9.24900,0.27200,-9.59600,0.35600,-9.57400,0.47600,-9.38900,0.39700,-9.53800,0.44400,-9.47200,0.38800,-9.15000,0.42900,30,0.00330,2.00790,0.18030,27031204,11.94000,6.56000
28.87500,112.32500,Yiyang,1,0.00130,4585.00000,0.00540,3257.00000,0.01090,7007.00000,0.02360,9593.00000,-9.71100,0.12700,-9.80400,0.09900,-10.00500,0.27400,-10.10100,0.28700,-10.04700,0.23900,-10.00200,0.46600,-9.72700,0.39100,-10.09400,0.14800,-12.80000,0.60000,-12.70800,0.37300,-12.58500,0.31100,-12.48200,0.37700,-12.56900,0.33800,-12.43900,0.27500,-12.25000,0.32100,-11.91300,0.26400,-11.81700,0.25900,-11.57300,0.26800,-11.45500,0.29100,-9.85400,0.25500,-9.75300,0.29300,-9.60300,0.28400,-9.29900,0.26800,-9.99900,0.29100,-9.57000,0.35600,-9.56200,0.34700,-8.89400,0.30400,-9.30100,0.38600,-9.26300,0.41300,-9.06400,0.34600,-9.19400,0.45700,-9.18700,0.46800,-8.72900,0.40400,8,0.00670,4.08030,0.73840,27031204,13.81000,6.14000
28.87500,112.37500,Yiyang,1,0.01700,54126.00000,0.03070,49668.00000,0.03680,53976.00000,0.04770,56581.00000,-9.85000,0.12400,-9.98800,0.11100,-10.10100,0.28400,-10.29400,0.34000,-10.19300,0.24300,-10.23300,0.52800,-9.93800,0.46500,-10.19600,0.15100,-12.80300,0.68200,-12.72700,0.36800,-12.60500,0.30200,-12.51800,0.37700,-12.61000,0.37800,-12.44800,0.27300,-12.25100,0.34100,-11.94200,0.27800,-11.77600,0.25200,-11.55600,0.28500,-11.42700,0.30400,-9.52100,0.32100,-9.45100,0.45900,-9.37100,0.31400,-8.98100,0.21300,-9.91700,0.29100,-9.21700,0.34600,-9.43800,0.37400,-8.72600,0.28700,-9.17500,0.41800,-9.10100,0.38500,-8.90800,0.38100,-9.02900,0.49000,-9.00000,0.56800,-8.60700,0.51400,17,0.01820,2.70160,2.73220,27031204,8.79000,5.66000
28.87500,112.42500,Yiyang,0,0.00510,1034.00000,0.00890,1241.00000,0.00980,0.00000,0.01070,0.00000,-9.89400,0.12700,-10.03600,0.11100,-10.12400,0.29300,-10.36300,0.40600,-10.23000,0.24300,-10.30600,0.56400,-9.99900,0.48700,-10.23100,0.15800,-12.81100,0.76300,-12.75900,0.36300,-12.63900,0.32700,-12.57800,0.39100,-12.69000,0.41100,-12.46500,0.26800,-12.29100,0.35300,-11.99700,0.28300,-11.77200,0.25200,-11.58200,0.29200,-11.47800,0.32000,-9.19300,0.31500,-9.18900,0.52500,-9.30200,0.34500,-8.85100,0.23300,-9.84200,0.29600,-9.04500,0.38100,-9.38700,0.35100,-8.59000,0.26700,-9.20400,0.50000,-9.05800,0.42400,-8.94800,0.48100,-9.05500,0.58100,-8.95700,0.73400,-8.75800,0.70600,0,0.00370,1.40760,0.13240,27031204,17.97000,6.38000
28.87500,112.47500,Yiyang,0,0.00000,898.00000,0.00010,1078.00000,0.00010,0.00000,0.00010,0.00000,-10.02400,0.13600,-10.17700,0.11200,-10.19200,0.31800,-10.56600,0.59800,-10.33500,0.24500,-10.51700,0.67000,-10.17900,0.55300,-10.33200,0.17700,-12.86700,0.84300,-12.83100,0.37800,-12.70500,0.35700,-12.69400,0.42500,-12.82100,0.44700,-12.53900,0.27700,-12.38700,0.37700,-12.08300,0.30500,-11.86600,0.26700,-11.66900,0.29200,-11.60400,0.33900,-9.06200,0.32500,-9.09300,0.54600,-9.28700,0.36800,-8.80200,0.25500,-9.86000,0.30400,-8.99700,0.45600,-9.39600,0.33000,-8.57200,0.31400,-9.33900,0.57400,-9.14300,0.58300,-9.17200,0.64200,-9.22600,0.66600,-9.05800,0.95200,-9.09700,0.97700,0,0.00530,1.65580,0.22850,27031204,18.29000,6.24000
28.87500,112.52500,Yiyang,0,0.00000,6.00000,0.00000,8.00000,0.00000,0.00000,0.00000,0.00000,-10.09000,0.17200,-10.24100,0.11000,-10.22700,0.34200,-10.67400,0.73300,-10.39400,0.25400,-10.61600,0.72600,-10.27600,0.58700,-10.39800,0.20700,-12.99300,0.90700,-12.96000,0.42200,-12.79700,0.37300,-12.85000,0.47200,-12.99200,0.45300,-12.66800,0.29600,-12.53400,0.39900,-12.20300,0.32100,-12.03000,0.29300,-11.80600,0.30400,-11.80800,0.36200,-9.15600,0.38800,-9.15400,0.64300,-9.38900,0.41300,-8.89300,0.29800,-10.01900,0.33800,-9.07400,0.59300,-9.51600,0.34100,-8.66900,0.38500,-9.55900,0.62300,-9.37200,0.81100,-9.43900,0.82300,-9.44000,0.71200,-9.18200,1.08500,-9.41300,1.21200,3,0.00110,0.35330,0.04600,27031204,15.75000,6.15000
